Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.3265,33.3434,Warrior,70.1021,64.8330,46.8950,15.6976,2.4723,1.8840,200,57.8801,533.2605,380.2903,463.2033,435.5772,587.1482,0.0451,0.0306,Population structure converged. Difference: 0.0449
1,1,53.2613,38.9450,Warrior,91.5251,84.6457,6.0378,15.3706,2.4208,1.8840,200,57.8801,432.7120,452.9715,435.2465,352.6507,478.2204,0.0398,0.0306,Population structure converged. Difference: 0.0449
1,2,55.1790,44.3201,Warrior,73.0626,67.5709,50.8971,5.8927,2.5767,1.8840,200,57.8801,290.3262,393.3569,321.5656,132.9487,231.3960,0.0238,0.0306,Population structure converged. Difference: 0.0449
1,3,56.0608,48.4101,Warrior,85.1221,59.0045,47.9555,5.5521,2.3658,1.8840,200,57.8801,170.8801,261.5036,281.8317,76.0280,119.2578,0.0141,0.0306,Population structure converged. Difference: 0.0449
1,4,56.7318,51.0056,Warrior,75.4490,75.0268,42.5060,4.9212,2.0970,1.8840,200,57.8801,119.8861,236.3932,356.2817,57.4899,72.5311,0.0094,0.0306,Population structure converged. Difference: 0.0449
1,5,56.7318,52.9658,Warrior,75.4490,75.0268,42.5060,4.9212,2.0970,1.8840,200,57.8801,66.0501,221.2488,325.8938,27.6855,20.1194,0.0039,0.0306,Population structure converged. Difference: 0.0449
1,6,57.5121,54.0179,Warrior,81.1206,71.6104,40.5704,4.6971,2.0015,1.8840,200,57.8801,84.1641,236.4777,409.4258,31.3788,17.4083,0.0054,0.0306,Population structure converged. Difference: 0.0449
1,7,57.6361,54.6748,Warrior,82.5793,70.7317,40.0726,4.6395,1.9769,1.8840,200,57.8801,94.8339,211.1103,366.3790,33.1976,32.9918,0.0054,0.0306,Population structure converged. Difference: 0.0449
1,8,57.8801,55.3906,Warrior,84.0833,70.5090,39.1625,4.3792,1.8660,1.8840,200,57.8801,80.0044,190.9658,334.4890,19.1831,17.1449,0.0036,0.0306,Population structure converged. Difference: 0.0449
2,0,50.8221,28.3047,Warrior,67.5749,72.7281,39.1722,13.1959,7.3289,1.8736,200,52.0880,451.2148,642.4410,430.9181,492.0336,495.9596,0.0383,0.0250,Population structure converged. Difference: 0.0396
2,1,50.8221,35.5906,Warrior,67.5749,72.7281,39.1722,13.1959,7.3289,1.8736,200,52.0880,332.7726,567.4647,259.0810,314.7643,391.0545,0.0372,0.0250,Population structure converged. Difference: 0.0396
