Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.9029,34.1999,Warrior,81.2588,84.0463,11.7138,17.8107,5.1705,1.8892,200,56.0409,274.1523,571.8699,365.9537,395.8768,422.4003,0.0304,0.0204,Population structure converged. Difference: 0.0250
1,1,53.0031,43.5453,Warrior,77.5758,71.6932,30.9759,14.8190,4.9361,1.8892,200,56.0409,179.2085,355.4784,210.1911,169.6393,147.5824,0.0201,0.0204,Population structure converged. Difference: 0.0250
1,2,55.5737,49.3267,Warrior,81.4668,89.4889,16.2286,7.6320,5.1837,1.8892,200,56.0409,137.1916,89.5062,162.9106,40.2644,26.2047,0.0075,0.0204,Population structure converged. Difference: 0.0250
1,3,55.5737,51.8500,Warrior,81.4668,89.4889,16.2286,7.6320,5.1837,1.8892,200,56.0409,55.5937,39.1782,105.2311,13.8476,4.3324,0.0001,0.0204,Population structure converged. Difference: 0.0250
1,4,55.9860,53.2872,Warrior,82.4550,76.3818,28.1921,7.7246,5.2466,1.8892,200,56.0409,19.1681,39.4093,68.1514,19.3776,5.9303,0.0000,0.0204,Population structure converged. Difference: 0.0250
1,5,56.0409,54.6741,Warrior,82.5191,76.4412,28.2140,7.6379,5.1877,1.8892,200,56.0409,10.6014,42.3378,45.3899,13.9568,1.0302,0.0000,0.0204,Population structure converged. Difference: 0.0250
2,0,54.3356,35.3141,Warrior,92.1411,73.1443,30.6848,2.5409,1.4889,1.9902,200,58.7088,487.8793,442.5559,426.3280,387.1335,478.5696,0.0507,0.0165,Population structure converged. Difference: 0.0305
2,1,57.3221,44.8648,Warrior,84.9256,75.7330,31.7708,2.6309,4.9397,1.9537,200,58.7088,376.9915,276.6137,195.9935,242.1136,299.1229,0.0291,0.0165,Population structure converged. Difference: 0.0305
2,2,58.5136,51.8635,Warrior,86.4562,77.0979,32.3434,2.5867,1.5157,1.9537,200,58.7088,113.2884,171.7284,26.5414,21.2131,191.6899,0.0095,0.0165,Population structure converged. Difference: 0.0305
2,3,58.5357,54.9523,Warrior,86.9368,77.5265,31.4114,2.6011,1.5241,1.9537,200,58.7088,44.2255,84.2839,3.0445,5.1395,118.7767,0.0040,0.0165,Population structure converged. Difference: 0.0305
2,4,58.7088,56.9707,Warrior,87.1255,77.6948,31.4796,2.1632,1.5369,1.9537,200,58.7088,18.7265,17.6449,2.3713,0.0224,7.2065,0.0005,0.0165,Population structure converged. Difference: 0.0305
3,0,45.7034,32.8449,Warrior,83.8313,45.4390,40.7639,28.8842,1.0816,1.8828,200,53.6042,337.8185,358.5533,293.3712,260.6166,393.6186,0.0411,0.0308,Population structure converged. Difference: 0.0252
3,1,48.3645,39.1839,Warrior,75.7042,77.0083,16.6674,29.5149,1.1052,1.8828,200,53.6042,198.5359,282.2308,229.3065,102.1874,297.0988,0.0234,0.0308,Population structure converged. Difference: 0.0252
3,2,52.8719,43.8291,Warrior,80.5523,82.2661,17.8054,18.1791,1.1969,1.8828,200,53.6042,85.9452,214.4393,153.6276,35.5227,79.8396,0.0066,0.0308,Population structure converged. Difference: 0.0252
3,3,53.0912,47.4530,Warrior,82.4791,80.9392,17.5182,17.8859,1.1776,1.8828,200,53.6042,48.5958,195.9371,145.6340,28.7166,18.3379,0.0010,0.0308,Population structure converged. Difference: 0.0252
3,4,53.6042,50.6941,Warrior,75.7746,74.3599,33.8250,14.9586,1.0819,1.8828,200,53.6042,20.0949,86.6244,96.2500,31.8153,0.8162,0.0005,0.0308,Population structure converged. Difference: 0.0252
3,5,53.6042,52.2881,Warrior,75.7746,74.3599,33.8250,14.9586,1.0819,1.8828,200,53.6042,12.0504,32.9374,56.3460,13.5808,0.8152,0.0000,0.0308,Population structure converged. Difference: 0.0252
4,0,53.2616,37.8067,Warrior,76.6567,76.1993,27.4914,2.1232,17.5294,1.8788,200,53.2616,333.0753,400.1985,281.5351,406.6229,324.9674,0.0331,0.0158,Population structure converged. Difference: 0.0122
4,1,53.2616,49.6271,Warrior,76.6567,76.1993,27.4914,2.1232,17.5294,1.8788,200,53.2616,113.3020,100.6440,73.6324,161.8084,65.9062,0.0080,0.0158,Population structure converged. Difference: 0.0122
4,2,53.2616,52.6211,Warrior,76.6567,76.1993,27.4914,2.1232,17.5294,1.8788,200,53.2616,13.5191,17.0934,16.2256,38.5622,6.5235,0.0012,0.0158,Population structure converged. Difference: 0.0122
5,0,55.0486,37.6541,Warrior,82.1721,68.8090,35.7831,1.8401,11.3956,1.8672,200,55.1172,339.4445,331.3572,251.6326,386.0825,253.4371,0.0381,0.0161,Population structure converged. Difference: 0.0305
5,1,55.1172,48.3548,Warrior,82.2584,68.8813,35.8207,1.8421,11.1975,1.8672,200,55.1172,178.1893,183.5814,105.2694,182.1587,119.5183,0.0154,0.0161,Population structure converged. Difference: 0.0305
5,2,55.1172,53.4846,Warrior,82.2584,68.8813,35.8207,1.8421,11.1975,1.8672,200,55.1172,17.3199,27.0137,25.6530,15.2633,40.3534,0.0008,0.0161,Population structure converged. Difference: 0.0305
6,0,49.2955,33.2891,Warrior,73.0435,88.4695,9.1622,9.8862,19.4385,1.9377,200,59.0105,402.5891,532.2001,514.6761,389.1253,508.9547,0.0358,0.0310,Population structure converged. Difference: 0.0331
6,1,54.7061,40.7092,Warrior,80.0950,97.0101,10.0467,10.8406,2.0075,1.9377,200,59.0105,216.2640,636.5823,507.0013,220.5969,174.6826,0.0207,0.0310,Population structure converged. Difference: 0.0331
6,2,58.1665,46.2517,Warrior,84.2060,101.9894,10.5624,1.1316,2.1106,1.9377,200,59.0105,87.3787,340.0855,268.8038,78.8666,82.5035,0.0121,0.0310,Population structure converged. Difference: 0.0331
6,3,58.2006,51.0981,Warrior,84.2494,102.0420,10.5678,1.1322,2.0086,1.9377,200,59.0105,46.3082,280.0969,192.6696,54.6952,86.8285,0.0041,0.0310,Population structure converged. Difference: 0.0331
6,4,58.9394,55.5273,Warrior,90.9732,64.7909,40.8181,1.1929,2.2249,1.9377,200,59.0105,16.4452,180.7767,95.3229,23.1902,51.6614,0.0010,0.0310,Population structure converged. Difference: 0.0331
6,5,59.0105,57.1186,Warrior,87.1342,67.0722,42.2553,1.2349,2.3033,1.9377,200,59.0105,20.4617,160.6676,96.8435,12.7104,24.0740,0.0005,0.0310,Population structure converged. Difference: 0.0331
7,0,47.3680,36.4033,Warrior,79.0115,93.7684,6.0496,17.0048,4.1657,1.8052,200,52.0612,306.1063,666.4597,464.3615,231.3616,361.1763,0.0367,0.0259,Population structure converged. Difference: 0.0328
7,1,51.7763,43.7247,Warrior,79.0115,93.7684,6.0496,17.0048,4.1657,1.8896,200,52.0612,138.6524,326.0406,218.0269,99.1801,107.8302,0.0288,0.0259,Population structure converged. Difference: 0.0328
7,2,51.7763,46.6953,Warrior,79.0115,93.7684,6.0496,17.0048,4.1657,1.8896,200,52.0612,28.8565,96.2333,96.9393,18.3505,33.0087,0.0121,0.0259,Population structure converged. Difference: 0.0328
7,3,51.7763,48.6317,Warrior,79.0115,93.7684,6.0496,17.0048,4.1657,1.8896,200,52.0612,11.6977,76.5692,85.5377,3.5405,17.1117,0.0040,0.0259,Population structure converged. Difference: 0.0328
7,4,52.0612,50.4075,Warrior,77.4039,61.6838,41.0044,15.8269,4.0810,1.8896,200,52.0612,3.9031,77.6622,82.5312,0.9504,7.8829,0.0014,0.0259,Population structure converged. Difference: 0.0328
8,0,50.0500,36.6122,Warrior,78.6396,37.4745,72.0160,2.6522,9.2177,1.9159,200,57.6789,433.2040,313.2782,588.1466,399.1825,382.8087,0.0476,0.0373,Population structure converged. Difference: 0.0304
8,1,52.0031,44.7305,Warrior,82.4728,73.7637,25.1770,8.9196,9.6670,1.9712,200,57.6789,124.7385,153.0059,452.8491,213.5609,177.7329,0.0224,0.0373,Population structure converged. Difference: 0.0304
8,2,54.6212,47.8680,Warrior,82.6585,73.9298,25.2337,8.9396,9.2384,1.9159,200,57.6789,57.7782,190.4752,297.3354,40.2342,45.6428,0.0081,0.0373,Population structure converged. Difference: 0.0304
8,3,54.9918,50.0694,Warrior,86.2336,77.1273,26.3251,2.3046,8.0095,1.9712,200,57.6789,44.7726,291.3767,454.3999,11.8663,1.5686,0.0012,0.0373,Population structure converged. Difference: 0.0304
8,4,57.0991,52.3605,Warrior,85.5277,76.4959,26.1096,2.2862,9.5806,1.9159,200,57.6789,54.1639,215.5506,382.7884,11.1907,1.6136,0.0008,0.0373,Population structure converged. Difference: 0.0304
8,5,57.6710,54.0636,Warrior,86.2235,77.1183,26.3813,2.4052,7.8717,1.9159,200,57.6789,28.9007,105.6243,207.2858,10.3473,0.6392,0.0007,0.0373,Population structure converged. Difference: 0.0304
8,6,57.6789,55.9776,Warrior,86.2327,77.1265,26.3841,2.3841,7.8726,1.9159,200,57.6789,13.3714,29.0366,45.9207,7.4616,0.5268,0.0003,0.0373,Population structure converged. Difference: 0.0304
