Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.9363,34.7877,Warrior,58.7715,86.7897,41.5184,7.1395,5.7809,1.7956,200,50.2281,318.1841,936.3225,417.8435,334.3436,485.9029,0.0331,0.0290,Population structure converged. Difference: 0.0083
1,1,45.9363,40.9108,Warrior,58.7715,86.7897,41.5184,7.1395,5.7809,1.7956,200,50.2281,129.9865,624.3501,162.3217,244.8146,313.8722,0.0193,0.0290,Population structure converged. Difference: 0.0083
1,2,50.1487,44.2952,Warrior,73.8064,77.5503,37.0984,6.3795,5.1655,1.7956,200,50.2281,50.7164,229.1267,54.8896,73.7139,106.8223,0.0056,0.0290,Population structure converged. Difference: 0.0083
1,3,50.1487,45.5027,Warrior,73.8064,77.5503,37.0984,6.3795,5.1655,1.7956,200,50.2281,26.9433,85.6366,39.0338,35.2009,64.6225,0.0024,0.0290,Population structure converged. Difference: 0.0083
1,4,50.1497,47.0979,Warrior,73.8077,77.5517,37.0991,6.3796,5.1619,1.7956,200,50.2281,41.9616,29.4977,3.5253,16.9749,0.1280,0.0005,0.0290,Population structure converged. Difference: 0.0083
1,5,50.1641,48.1287,Warrior,73.9386,77.4494,37.0502,6.3909,5.1710,1.7956,200,50.2281,43.4344,24.6176,4.2760,0.0897,0.1217,0.0000,0.0290,Population structure converged. Difference: 0.0083
1,6,50.1641,48.7073,Warrior,73.9386,77.4494,37.0502,6.3909,5.1710,1.7956,200,50.2281,35.5130,22.2246,4.3089,0.0880,0.1256,0.0000,0.0290,Population structure converged. Difference: 0.0083
1,7,50.1641,49.3157,Warrior,73.9386,77.4494,37.0502,6.3909,5.1710,1.7956,200,50.2281,19.8444,14.4540,3.5123,0.0954,0.1387,0.0000,0.0290,Population structure converged. Difference: 0.0083
1,8,50.2281,49.5700,Warrior,73.9613,77.7130,37.0360,6.3986,4.8912,1.7956,200,50.2281,9.1754,6.3353,3.1823,0.0890,0.1370,0.0000,0.0290,Population structure converged. Difference: 0.0083
1,9,50.2281,49.8171,Warrior,73.9613,77.7130,37.0360,6.3986,4.8912,1.7956,200,50.2281,1.0259,1.4238,2.1464,0.0824,0.1234,0.0000,0.0290,Population structure converged. Difference: 0.0083
2,0,48.9265,34.5664,Warrior,77.5510,82.1200,13.1885,12.5098,14.6307,1.8455,200,55.4252,492.4957,564.1653,360.8327,416.0118,392.9379,0.0395,0.0590,Population structure converged. Difference: 0.0086
2,1,52.3390,39.9246,Warrior,74.1712,67.4530,43.5502,0.8324,13.9931,1.8417,200,55.4252,258.3314,509.9530,278.4433,214.7395,278.1001,0.0267,0.0590,Population structure converged. Difference: 0.0086
2,2,52.6768,44.1080,Warrior,82.6395,87.5083,14.0539,0.8870,14.9113,1.8455,200,55.4252,194.8941,396.2203,250.2723,184.5147,186.8091,0.0187,0.0590,Population structure converged. Difference: 0.0086
2,3,53.4263,47.5521,Warrior,77.6101,70.5804,38.6516,0.7388,12.4191,1.8417,200,55.4252,118.3732,237.1660,222.4325,140.8471,93.7954,0.0094,0.0590,Population structure converged. Difference: 0.0086
2,4,53.4263,49.9108,Warrior,77.6101,70.5804,38.6516,0.7388,12.4191,1.8417,200,55.4252,81.8884,222.6662,200.2031,101.7481,70.6321,0.0033,0.0590,Population structure converged. Difference: 0.0086
2,5,53.4454,51.4478,Warrior,79.4274,72.2331,34.4077,0.7822,13.1495,1.8417,200,55.4252,66.1728,162.9720,182.8834,60.1742,37.1742,0.0003,0.0590,Population structure converged. Difference: 0.0086
2,6,53.4151,52.4116,Warrior,88.3243,80.3242,16.6789,1.0527,13.6199,1.8455,200,55.4252,33.4692,65.6130,163.4345,3.1132,1.5992,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,7,53.4151,52.6585,Warrior,88.3243,80.3242,16.6789,1.0527,13.6199,1.8455,200,55.4252,30.9039,65.2052,147.3497,0.0104,0.9146,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,8,53.6838,52.7121,Warrior,76.1726,80.6605,30.9620,0.5918,11.6131,1.8417,200,55.4252,26.9150,72.7085,143.7845,0.0116,1.0974,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,9,53.6838,52.8163,Warrior,76.1726,80.6605,30.9620,0.5918,11.6131,1.8417,200,55.4252,29.0282,62.1248,125.7865,0.0139,1.4007,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,10,54.4355,52.9031,Warrior,80.0292,78.1483,29.9977,0.5734,11.2514,1.8455,200,55.4252,22.6820,64.7992,122.2557,0.0155,1.3592,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,11,54.6217,53.0283,Warrior,78.2297,78.1487,32.9511,0.6298,10.0408,1.8455,200,55.4252,17.3791,53.2324,102.6719,0.0206,1.5603,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,12,54.9495,53.2131,Warrior,81.1358,76.2836,32.1647,0.6148,9.8011,1.8455,200,55.4252,18.0288,36.8486,81.1114,0.0202,1.9921,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,13,54.9791,53.4317,Warrior,82.2779,74.8254,32.4034,0.6194,9.8739,1.8455,200,55.4252,16.5158,35.0198,61.7559,0.0224,1.7045,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,14,54.9878,53.6461,Warrior,84.5653,75.8486,28.7980,0.7638,10.0243,1.8455,200,55.4252,17.6576,23.1796,49.3698,0.0281,2.0796,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,15,55.1080,53.9861,Warrior,84.4112,73.4694,31.8162,0.6081,9.6950,1.8455,200,55.4252,13.3435,17.0654,28.9280,0.0212,2.1128,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,16,55.1388,54.1997,Warrior,83.4189,74.9569,31.4422,0.6010,9.5810,1.8455,200,55.4252,12.7053,9.0096,21.0244,0.0236,2.1800,0.0000,0.0590,Population structure converged. Difference: 0.0086
2,17,55.1538,54.4587,Warrior,84.0742,76.3547,29.3092,0.6057,9.6563,1.8455,200,55.4252,9.1754,7.7053,6.9219,0.0138,1.1574,0.0000,0.0590,Population structure converged. Difference: 0.0086
