Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.2981,33.3039,Warrior,63.2204,62.1674,53.4495,4.6724,16.4902,1.8486,200,55.7419,236.0350,372.0744,342.2341,349.4851,365.6041,0.0474,0.0347,Population structure converged. Difference: 0.0089
1,1,49.1876,39.9197,Warrior,70.3979,47.7142,59.8262,9.0012,13.0606,1.9092,200,55.7419,149.2306,329.0563,252.8488,178.6110,191.2662,0.0505,0.0347,Population structure converged. Difference: 0.0089
1,2,50.8681,45.1590,Warrior,86.7008,58.7641,28.0507,10.8057,15.6788,1.9092,200,55.7419,79.0038,242.0070,281.2172,34.1150,62.2024,0.0573,0.0347,Population structure converged. Difference: 0.0089
1,3,51.8214,47.3066,Warrior,73.4959,82.1107,20.0642,10.6248,13.7044,1.9092,200,55.7419,46.9565,146.7743,293.1405,13.7284,42.3090,0.0354,0.0347,Population structure converged. Difference: 0.0089
1,4,51.8538,48.8974,Warrior,73.5355,82.1549,20.0751,10.6305,13.6040,1.9092,200,55.7419,59.4699,98.1019,220.2301,6.0459,21.5053,0.0031,0.0347,Population structure converged. Difference: 0.0089
1,5,52.9293,49.7542,Warrior,89.4437,60.6231,28.9381,4.8203,16.1748,1.9092,200,55.7419,68.7457,118.4242,244.4265,4.2325,8.6042,0.0004,0.0347,Population structure converged. Difference: 0.0089
1,6,53.2384,50.8540,Warrior,72.1654,80.6242,27.5429,8.0244,11.6432,1.9092,200,55.7419,81.0059,116.6082,207.3223,3.6308,2.7369,0.0001,0.0347,Population structure converged. Difference: 0.0089
1,7,54.6831,51.5504,Warrior,82.3310,74.2128,25.3526,7.3862,10.7173,1.9092,200,55.7419,67.6209,116.6732,113.5449,4.7008,2.0512,0.0000,0.0347,Population structure converged. Difference: 0.0089
1,8,55.1069,52.1223,Warrior,75.7970,80.1544,28.4676,4.7419,10.8390,1.9092,200,55.7419,55.3525,115.8554,120.1495,6.4266,2.1336,0.0000,0.0347,Population structure converged. Difference: 0.0089
1,9,55.7106,52.6514,Warrior,79.7734,77.6644,27.5833,4.5946,10.3844,1.9092,200,55.7419,55.2495,88.2790,122.3321,6.4394,2.7847,0.0000,0.0347,Population structure converged. Difference: 0.0089
