Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,54.1060,34.7266,Warrior,84.7039,67.7072,29.9173,15.4059,2.2656,1.9145,200,58.0178,461.9256,410.1950,246.8631,457.1155,422.9087,0.0489,0.0240,Population structure converged. Difference: 0.0099
1,1,54.1060,43.5748,Warrior,84.7039,67.7072,29.9173,15.4059,2.2656,1.9145,200,58.0178,296.4128,271.9975,167.6393,246.1329,312.5979,0.0413,0.0240,Population structure converged. Difference: 0.0099
1,2,57.5152,50.5785,Warrior,86.4055,69.0674,35.4320,6.7840,2.3111,1.9145,200,58.0178,137.9061,87.8610,62.0705,78.9634,158.6496,0.0105,0.0240,Population structure converged. Difference: 0.0099
1,3,57.9298,53.0605,Warrior,90.4398,70.1938,31.0161,5.9314,2.4190,1.9145,200,58.0178,43.2283,26.6758,21.2517,28.5893,70.4279,0.0016,0.0240,Population structure converged. Difference: 0.0099
1,4,57.9298,53.6793,Warrior,90.4398,70.1938,31.0161,5.9314,2.4190,1.9145,200,58.0178,20.8076,25.5046,11.7128,21.4706,38.5507,0.0000,0.0240,Population structure converged. Difference: 0.0099
1,5,57.9298,54.4222,Warrior,90.4398,70.1938,31.0161,5.9314,2.4190,1.9145,200,58.0178,9.6667,15.7375,6.4046,11.8350,16.4592,0.0000,0.0240,Population structure converged. Difference: 0.0099
1,6,57.9800,55.1781,Warrior,90.5092,70.2477,31.0399,5.9359,2.2673,1.9145,200,58.0178,10.1223,15.9595,4.9618,19.6405,15.1809,0.0000,0.0240,Population structure converged. Difference: 0.0099
1,7,58.0145,56.6267,Warrior,86.0453,73.1918,32.3408,5.9823,2.4398,1.9145,200,58.0178,7.5990,2.4647,7.8289,18.3345,0.0246,0.0000,0.0240,Population structure converged. Difference: 0.0099
1,8,58.0178,57.4518,Warrior,90.5615,70.2883,31.0578,5.9393,2.1531,1.9145,200,58.0178,4.5928,1.5734,4.2490,8.6036,0.0101,0.0000,0.0240,Population structure converged. Difference: 0.0099
2,0,53.1001,34.1672,Warrior,79.5321,72.5402,29.8157,2.1313,15.9807,1.9612,200,57.7210,278.1316,426.0854,435.6391,421.9927,230.5784,0.0435,0.0252,Population structure converged. Difference: 0.0048
