Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.6675,30.7693,Warrior,73.1482,45.5682,58.9467,4.2928,18.0441,1.9899,200,58.0332,219.0980,423.9038,451.0114,222.0410,346.8816,0.0337,0.0319,Population structure converged. Difference: 0.0280
1,1,47.0754,34.8671,Warrior,63.2102,75.6762,27.2589,14.8091,19.0456,1.9437,200,58.0332,218.2516,342.9630,467.4034,155.9665,285.0167,0.0362,0.0319,Population structure converged. Difference: 0.0280
1,2,48.0363,39.2040,Warrior,73.1354,56.8569,50.7695,3.6973,15.5409,1.9899,200,58.0332,263.7498,250.1457,407.0916,86.5889,237.6745,0.0302,0.0319,Population structure converged. Difference: 0.0280
1,3,49.2484,42.6109,Warrior,76.8680,59.7587,45.9582,3.3469,14.0682,1.9899,200,58.0332,136.4203,90.0979,248.2017,54.6396,94.5683,0.0189,0.0319,Population structure converged. Difference: 0.0280
1,4,50.7758,44.7122,Warrior,70.7594,76.3606,27.0425,4.9656,20.8720,1.9437,200,58.0332,110.4772,59.4273,142.0584,76.0857,67.4183,0.0221,0.0319,Population structure converged. Difference: 0.0280
1,5,50.7758,46.4524,Warrior,70.7594,76.3606,27.0425,4.9656,20.8720,1.9437,200,58.0332,86.0587,69.7619,126.3726,75.3734,46.2477,0.0134,0.0319,Population structure converged. Difference: 0.0280
1,6,57.5854,48.1185,Warrior,79.0016,84.4148,29.8948,4.1810,2.5078,1.9437,200,58.0332,59.1012,64.9409,110.0869,68.4605,30.6089,0.0074,0.0319,Population structure converged. Difference: 0.0280
1,7,57.5854,49.5323,Warrior,79.0016,84.4148,29.8948,4.1810,2.5078,1.9437,200,58.0332,48.7324,76.6617,79.2707,23.6692,17.2988,0.0005,0.0319,Population structure converged. Difference: 0.0280
1,8,57.5854,50.5983,Warrior,79.0016,84.4148,29.8948,4.1810,2.5078,1.9437,200,58.0332,32.9482,87.7770,79.4217,22.6071,31.6219,0.0004,0.0319,Population structure converged. Difference: 0.0280
1,9,57.5854,52.5523,Warrior,79.0016,84.4148,29.8948,4.1810,2.5078,1.9437,200,58.0332,29.8675,90.3291,61.2001,20.0366,49.7189,0.0001,0.0319,Population structure converged. Difference: 0.0280
1,10,58.0332,54.8653,Warrior,79.4540,84.8982,30.0660,3.0597,2.5222,1.9437,200,58.0332,17.8164,84.6546,44.8244,10.2550,41.9709,0.0001,0.0319,Population structure converged. Difference: 0.0280
1,11,58.0332,56.4524,Warrior,79.4540,84.8982,30.0660,3.0597,2.5222,1.9437,200,58.0332,9.5584,52.2435,22.8773,1.8429,28.5961,0.0000,0.0319,Population structure converged. Difference: 0.0280
2,0,46.0433,31.7742,Warrior,59.7098,83.0650,49.2200,4.1605,3.8446,1.7774,200,58.8023,390.1693,389.9328,526.7786,252.3390,311.7510,0.0392,0.0464,Population structure converged. Difference: 0.0454
2,1,47.5928,37.3103,Warrior,57.8140,77.4984,41.5662,0.5060,22.6153,1.8594,200,58.8023,131.7189,435.7308,444.7610,166.8174,209.1126,0.0368,0.0464,Population structure converged. Difference: 0.0454
2,2,49.2745,40.4256,Warrior,78.5601,54.0545,37.5788,6.8081,22.9984,1.9383,200,58.8023,194.1205,388.8046,470.8321,133.9209,203.7675,0.0326,0.0464,Population structure converged. Difference: 0.0454
2,3,52.4514,44.2289,Warrior,59.7098,83.0650,49.2200,4.1605,3.8446,1.8993,200,58.8023,212.1929,321.9067,450.2515,68.4185,177.0187,0.0143,0.0464,Population structure converged. Difference: 0.0454
2,4,54.3658,47.3103,Warrior,65.7459,77.8312,48.5300,4.1022,3.7908,1.9383,200,58.8023,198.9002,313.0201,389.0021,38.7444,117.5488,0.0045,0.0464,Population structure converged. Difference: 0.0454
2,5,55.2536,49.6247,Warrior,76.5980,68.3881,40.5232,0.4864,14.0044,1.8993,200,58.8023,169.1379,287.0039,151.4633,22.8376,66.4851,0.0021,0.0464,Population structure converged. Difference: 0.0454
2,6,58.5544,51.4496,Warrior,93.8480,64.5736,37.0195,0.4507,4.1082,1.9383,200,58.8023,216.6803,352.5432,119.4578,6.8946,54.2265,0.0004,0.0464,Population structure converged. Difference: 0.0454
2,7,58.8023,53.0613,Warrior,93.8480,64.5736,37.0195,0.4507,4.1082,1.8993,200,58.8023,144.9432,216.1277,38.5567,3.7704,25.4289,0.0004,0.0464,Population structure converged. Difference: 0.0454
2,8,58.8023,54.5150,Warrior,93.8480,64.5736,37.0195,0.4507,4.1082,1.8993,200,58.8023,106.4249,129.6807,27.1663,2.9096,20.5745,0.0004,0.0464,Population structure converged. Difference: 0.0454
2,9,58.8023,56.2471,Warrior,93.8480,64.5736,37.0195,0.4507,4.1082,1.8993,200,58.8023,67.7779,53.0569,16.8805,3.0005,15.7011,0.0004,0.0464,Population structure converged. Difference: 0.0454
3,0,46.7545,32.5500,Warrior,79.5827,45.1281,48.5470,15.4382,11.3040,1.9661,200,56.8800,435.2058,425.4038,316.8730,438.1150,355.3785,0.0402,0.0259,Population structure converged. Difference: 0.0385
3,1,53.2154,38.3866,Warrior,87.8611,97.8488,2.1373,1.8547,10.2981,1.9661,200,56.8800,310.1453,392.1494,323.6247,198.4426,175.9623,0.0357,0.0259,Population structure converged. Difference: 0.0385
3,2,53.2154,43.0994,Warrior,87.8611,97.8488,2.1373,1.8547,10.2981,1.9661,200,56.8800,188.3099,286.7114,310.2707,70.6951,65.4205,0.0567,0.0259,Population structure converged. Difference: 0.0385
3,3,54.1843,45.9417,Warrior,78.2956,70.5017,38.6176,1.9206,10.6645,1.9661,200,56.8800,192.5930,335.7848,400.1049,44.2526,21.4243,0.0734,0.0259,Population structure converged. Difference: 0.0385
3,4,54.1843,48.4406,Warrior,78.2956,70.5017,38.6176,1.9206,10.6645,1.9661,200,56.8800,129.0566,293.7403,332.9286,51.5043,13.3258,0.0450,0.0259,Population structure converged. Difference: 0.0385
3,5,55.9901,50.8622,Warrior,78.0460,70.2770,38.4945,1.9145,11.2680,1.9233,200,56.8800,79.6090,313.4319,345.1542,44.4283,8.0942,0.0239,0.0259,Population structure converged. Difference: 0.0385
3,6,55.9901,52.7170,Warrior,78.0460,70.2770,38.4945,1.9145,11.2680,1.9233,200,56.8800,52.4204,237.4902,319.3827,24.4650,2.6044,0.0038,0.0259,Population structure converged. Difference: 0.0385
3,7,56.8800,53.9275,Warrior,78.0140,76.5841,34.4054,1.6782,9.3182,1.9233,200,56.8800,41.4848,169.4110,307.5444,0.3799,2.0553,0.0008,0.0259,Population structure converged. Difference: 0.0385
3,8,56.8800,54.7699,Warrior,78.0140,76.5841,34.4054,1.6782,9.3182,1.9233,200,56.8800,26.9254,97.3883,165.5331,0.1834,1.8679,0.0006,0.0259,Population structure converged. Difference: 0.0385
