Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.2864,32.1135,Warrior,72.4760,76.3293,14.8324,19.9888,16.3735,1.9645,200,58.4712,439.2179,579.7932,450.3741,277.2112,299.9638,0.0332,0.0394,Population structure converged. Difference: 0.0058
1,1,48.5927,37.3945,Warrior,84.2770,70.1637,13.4364,18.3368,13.7860,1.8763,200,58.4712,224.3687,376.9072,322.7177,188.4416,246.3943,0.0360,0.0394,Population structure converged. Difference: 0.0058
1,2,49.0588,41.4048,Warrior,81.7566,74.0466,13.0346,17.7885,13.3737,1.8763,200,58.4712,170.8801,182.5390,260.7609,113.7788,121.2928,0.0446,0.0394,Population structure converged. Difference: 0.0058
1,3,56.9952,44.2884,Warrior,76.8246,69.5797,48.8511,2.5232,2.2214,1.8763,200,58.4712,147.0598,153.5435,215.2606,62.3582,49.1002,0.0463,0.0394,Population structure converged. Difference: 0.0058
1,4,56.9952,46.2017,Warrior,76.8246,69.5797,48.8511,2.5232,2.2214,1.8763,200,58.4712,130.8250,75.9872,121.0590,44.4878,25.3875,0.0277,0.0394,Population structure converged. Difference: 0.0058
1,5,56.9952,48.1704,Warrior,76.8246,69.5797,48.8511,2.5232,2.2214,1.8763,200,58.4712,58.3060,54.7301,152.6469,56.0766,22.5705,0.0178,0.0394,Population structure converged. Difference: 0.0058
1,6,57.4742,50.4049,Warrior,84.9082,94.6469,14.6571,3.0780,2.7098,1.8763,200,58.4712,39.8202,36.3322,233.0627,68.1667,41.1330,0.0179,0.0394,Population structure converged. Difference: 0.0058
1,7,57.5438,52.7371,Warrior,84.9988,94.7480,14.6728,3.0813,2.4992,1.8763,200,58.4712,30.6584,33.8383,257.8708,51.9099,54.5511,0.0056,0.0394,Population structure converged. Difference: 0.0058
1,8,57.5438,54.5486,Warrior,84.9988,94.7480,14.6728,3.0813,2.4992,1.8763,200,58.4712,29.6208,52.4690,256.7563,36.4777,44.7544,0.0030,0.0394,Population structure converged. Difference: 0.0058
1,9,58.2737,56.1029,Warrior,94.5160,85.6028,15.0688,2.5592,2.2531,1.8763,200,58.4712,40.4378,101.8845,266.9381,16.7899,19.7743,0.0021,0.0394,Population structure converged. Difference: 0.0058
