Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.5948,30.1695,Warrior,87.9735,37.1663,34.7277,19.7566,20.3759,1.9010,200,55.4872,295.8456,335.0687,491.5154,288.3075,286.8387,0.0358,0.0495,Population structure converged. Difference: 0.0095
1,1,44.3011,33.3866,Warrior,63.5920,60.7064,47.6251,11.4318,16.6447,1.8013,200,55.4872,142.5238,244.0319,361.3502,242.2547,208.6564,0.0337,0.0495,Population structure converged. Difference: 0.0095
1,2,46.0373,36.4110,Warrior,66.7964,76.9026,41.7498,5.4304,9.1208,1.4150,200,55.4872,98.4282,174.4823,212.7380,184.2464,159.7389,0.0356,0.0495,Population structure converged. Difference: 0.0095
1,3,50.7382,39.0151,Warrior,69.5698,70.8499,38.4639,5.0030,16.1133,1.9640,200,55.4872,90.6770,82.6717,183.7756,154.1324,127.3813,0.0430,0.0495,Population structure converged. Difference: 0.0095
1,4,51.7754,41.3239,Warrior,66.7964,76.9026,41.7498,5.4304,9.1208,1.9640,200,55.4872,106.3953,106.0500,104.4862,59.4912,92.6558,0.0347,0.0495,Population structure converged. Difference: 0.0095
1,5,52.0493,43.3018,Warrior,68.8809,73.0610,43.0528,5.5999,9.4054,1.9640,200,55.4872,109.9282,162.1977,65.5205,34.1589,82.8644,0.0299,0.0495,Population structure converged. Difference: 0.0095
1,6,53.4429,46.0904,Warrior,66.7964,76.9026,41.7498,5.4304,9.1208,1.9010,200,55.4872,59.3874,167.4857,45.5834,25.5860,53.5495,0.0339,0.0495,Population structure converged. Difference: 0.0095
1,7,53.8233,48.4970,Warrior,73.9600,63.7982,46.3054,6.0230,9.9135,1.9010,200,55.4872,23.6854,93.6843,35.9510,7.4179,41.2440,0.0201,0.0495,Population structure converged. Difference: 0.0095
1,8,54.0953,50.6935,Warrior,74.2869,64.0801,46.5100,6.0496,9.0734,1.9010,200,55.4872,7.2175,25.5726,10.1778,1.4349,17.4478,0.0018,0.0495,Population structure converged. Difference: 0.0095
1,9,54.0953,51.5522,Warrior,74.2869,64.0801,46.5100,6.0496,9.0734,1.9010,200,55.4872,2.8991,16.1029,4.8405,0.0909,13.0198,0.0005,0.0495,Population structure converged. Difference: 0.0095
1,10,54.1223,52.2817,Warrior,74.3729,64.1543,46.3590,6.0300,9.0839,1.9010,200,55.4872,2.8969,9.5413,2.7139,0.0293,3.4906,0.0008,0.0495,Population structure converged. Difference: 0.0095
1,11,54.5708,52.8377,Warrior,71.5586,75.1667,38.8717,5.4880,8.9149,1.9010,200,55.4872,4.9350,12.2426,2.4874,0.0369,0.4675,0.0010,0.0495,Population structure converged. Difference: 0.0095
1,12,54.6257,53.4159,Warrior,72.1742,73.5022,39.9038,5.4944,8.9253,1.9010,200,55.4872,8.1893,23.8974,3.8915,0.0591,0.0797,0.0005,0.0495,Population structure converged. Difference: 0.0095
1,13,54.8079,53.7824,Warrior,76.6821,66.1462,42.3955,5.5144,9.2618,1.9010,200,55.4872,12.3916,37.6385,6.0785,0.0896,0.1411,0.0000,0.0495,Population structure converged. Difference: 0.0095
1,14,54.9322,54.0220,Warrior,76.8071,66.2541,42.4646,5.1972,9.2769,1.9010,200,55.4872,7.1077,29.9784,8.5668,0.1007,0.1866,0.0000,0.0495,Population structure converged. Difference: 0.0095
1,15,54.9642,54.2957,Warrior,73.9565,73.5306,38.0256,5.0715,9.4159,1.9010,200,55.4872,3.2579,23.9764,10.3528,0.1018,0.1487,0.0000,0.0495,Population structure converged. Difference: 0.0095
1,16,55.1401,54.5599,Warrior,78.5478,67.7556,38.7839,5.4973,9.4154,1.9010,200,55.4872,3.3249,13.3323,5.2605,0.0589,0.0797,0.0000,0.0495,Population structure converged. Difference: 0.0095
1,17,55.3445,54.7033,Warrior,76.2905,72.1690,37.3214,4.9775,9.2415,1.9010,200,55.4872,4.2147,8.4163,2.0742,0.0333,0.0806,0.0000,0.0495,Population structure converged. Difference: 0.0095
1,18,55.4454,54.8387,Warrior,76.0861,72.5750,37.5314,5.0055,8.8019,1.9010,200,55.4872,5.1161,9.2510,1.9547,0.0467,0.0967,0.0000,0.0495,Population structure converged. Difference: 0.0095
1,19,55.4872,54.9670,Warrior,76.4586,72.3280,37.4037,4.9885,8.8213,1.9010,200,55.4872,3.7720,7.9619,2.0333,0.0550,0.1127,0.0000,0.0495,Population structure converged. Difference: 0.0095
2,0,44.8862,29.7683,Warrior,57.7837,124.0690,9.8967,3.4707,4.7798,1.9831,200,58.7656,366.9400,522.7357,447.0071,377.0930,431.9193,0.0408,0.0442,Population structure converged. Difference: 0.0090
2,1,45.0747,34.0736,Warrior,71.5099,71.2492,36.8377,16.6958,3.7073,1.4333,200,58.7656,188.6462,367.8086,370.1662,242.6395,374.5244,0.0415,0.0442,Population structure converged. Difference: 0.0090
2,2,45.1548,37.5543,Warrior,58.0953,124.7379,9.9501,3.4895,3.7273,1.9831,200,58.7656,118.3295,401.0028,473.1823,190.9283,346.9248,0.0529,0.0442,Population structure converged. Difference: 0.0090
2,3,51.8365,40.6034,Warrior,78.7243,96.5519,13.4832,4.7285,6.5119,1.9831,200,58.7656,138.7277,551.7349,473.9707,102.1628,261.4703,0.0699,0.0442,Population structure converged. Difference: 0.0090
2,4,52.2700,42.7362,Warrior,82.2753,91.8858,14.0914,4.9418,6.8057,1.9831,200,58.7656,60.7916,569.6208,435.9012,84.4585,104.0146,0.0726,0.0442,Population structure converged. Difference: 0.0090
2,5,52.3052,44.5298,Warrior,82.6146,92.2648,13.5389,4.7480,6.8337,1.9831,200,58.7656,61.7488,781.0613,518.6897,46.7178,35.9582,0.0558,0.0442,Population structure converged. Difference: 0.0090
2,6,52.7274,46.2407,Warrior,82.7678,82.4661,13.5804,5.4276,15.7582,1.9453,200,58.7656,72.3763,766.5792,480.9895,37.4794,25.3152,0.0060,0.0442,Population structure converged. Difference: 0.0090
2,7,55.8601,48.5806,Warrior,86.9636,86.6466,14.2688,5.7027,6.4182,1.9453,200,58.7656,123.2637,456.9409,414.4086,39.7431,14.5100,0.0002,0.0442,Population structure converged. Difference: 0.0090
2,8,56.1931,50.6878,Warrior,78.2197,64.4584,53.4053,3.1717,0.7449,1.9574,200,58.7656,105.1408,261.4377,413.0352,17.3732,18.7202,0.0003,0.0442,Population structure converged. Difference: 0.0090
2,9,57.8053,52.6424,Warrior,95.4036,78.6192,21.2003,3.8684,0.9086,1.9574,200,58.7656,50.1820,120.9123,251.5356,1.0895,13.2382,0.0002,0.0442,Population structure converged. Difference: 0.0090
2,10,57.8053,53.6330,Warrior,95.4036,78.6192,21.2003,3.8684,0.9086,1.9574,200,58.7656,37.4469,111.7351,225.7833,0.5787,16.5462,0.0003,0.0442,Population structure converged. Difference: 0.0090
2,11,57.8605,54.7876,Warrior,94.5718,75.7716,24.9211,3.8347,0.9007,1.9574,200,58.7656,55.4155,155.6179,312.3763,0.9279,10.1132,0.0002,0.0442,Population structure converged. Difference: 0.0090
2,12,58.5605,56.1157,Warrior,88.4841,88.1616,18.5822,3.9429,0.8293,1.9453,200,58.7656,68.4266,124.0783,289.2309,1.4171,6.9640,0.0001,0.0442,Population structure converged. Difference: 0.0090
2,13,58.7589,56.9767,Warrior,90.6371,79.4673,25.0073,4.0388,0.8495,1.9453,200,58.7656,67.3387,86.7177,232.6519,0.9262,3.7921,0.0000,0.0442,Population structure converged. Difference: 0.0090
2,14,58.7656,57.6690,Warrior,90.6462,79.4753,25.0098,4.0392,0.8294,1.9453,200,58.7656,33.0882,41.4303,90.6447,0.2826,0.6689,0.0000,0.0442,Population structure converged. Difference: 0.0090
2,15,58.7656,57.9681,Warrior,90.6462,79.4753,25.0098,4.0392,0.8294,1.9453,200,58.7656,10.8434,22.1602,27.2787,0.0690,0.0041,0.0000,0.0442,Population structure converged. Difference: 0.0090
