Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.8295,34.0093,Warrior,54.8520,100.3754,9.9052,23.1516,11.7158,1.8921,200,55.0399,470.6274,551.5622,507.4203,312.5350,389.2457,0.0314,0.0221,Population structure converged. Difference: 0.0208
1,1,49.8245,40.2359,Warrior,60.1362,58.3385,69.5417,0.2584,11.7252,1.8921,200,55.0399,283.0687,608.0888,583.4689,110.0637,202.7143,0.0180,0.0221,Population structure converged. Difference: 0.0208
1,2,50.9007,43.2978,Warrior,78.4780,99.7923,9.8476,0.2343,11.6477,1.8172,200,55.0399,214.6903,559.9895,597.7824,65.9394,113.0978,0.0193,0.0221,Population structure converged. Difference: 0.0208
1,3,54.5483,47.2128,Warrior,85.7836,83.2193,14.0476,0.3342,16.6154,1.8921,200,55.0399,192.6181,437.9554,623.2546,35.1973,17.6579,0.0132,0.0221,Population structure converged. Difference: 0.0208
1,4,54.9033,49.9147,Warrior,83.2301,80.7421,19.4422,0.3576,16.2280,1.8921,200,55.0399,132.1370,228.1522,485.6801,5.0976,6.6638,0.0050,0.0221,Population structure converged. Difference: 0.0208
1,5,55.0124,52.0872,Warrior,84.7022,79.7243,19.1971,0.3531,16.0234,1.8921,200,55.0399,129.8212,284.7770,688.6448,0.5540,8.0588,0.0015,0.0221,Population structure converged. Difference: 0.0208
1,6,55.0399,53.9173,Warrior,83.6788,81.1774,18.9652,0.3488,15.8298,1.8921,200,55.0399,66.2075,119.5905,344.1014,0.0013,3.9473,0.0001,0.0221,Population structure converged. Difference: 0.0208
2,0,50.0564,32.0455,Warrior,73.5415,83.9810,15.2588,21.7704,5.4483,1.9336,200,56.4565,257.0056,364.6863,352.1326,228.7047,256.9109,0.0437,0.0156,Population structure converged. Difference: 0.0227
2,1,55.6400,39.5367,Warrior,85.7288,64.8852,36.0232,6.6444,6.7184,1.9336,200,56.4565,140.8140,568.2137,294.0013,133.8784,300.9172,0.0502,0.0156,Population structure converged. Difference: 0.0227
2,2,55.6400,47.5697,Warrior,85.7288,64.8852,36.0232,6.6444,6.7184,1.9336,200,56.4565,86.3131,330.0317,194.7570,71.4721,174.3053,0.0247,0.0156,Population structure converged. Difference: 0.0227
2,3,56.4565,53.0027,Warrior,70.6660,80.6973,41.6442,1.7573,5.2353,1.9336,200,56.4565,49.3240,95.8819,121.2646,65.1344,12.2686,0.0039,0.0156,Population structure converged. Difference: 0.0227
2,4,56.4565,55.2037,Warrior,70.6660,80.6973,41.6442,1.7573,5.2353,1.9336,200,56.4565,20.5443,20.2648,35.5235,20.7910,0.2320,0.0000,0.0156,Population structure converged. Difference: 0.0227
3,0,47.1685,36.2732,Warrior,92.0171,62.2559,13.8403,21.2163,10.6704,1.9545,200,56.0468,308.8221,387.8989,313.7652,294.8967,235.1903,0.0350,0.0229,Population structure converged. Difference: 0.0317
3,1,50.5008,45.0102,Warrior,69.1012,66.6725,37.1760,3.6126,23.4377,1.9260,200,56.0468,64.5457,88.2339,160.6304,90.0632,29.1881,0.0190,0.0229,Population structure converged. Difference: 0.0317
3,2,51.9882,47.1046,Warrior,80.8991,58.6621,36.6598,3.5625,20.2165,1.9037,200,56.0468,87.2131,26.5073,80.1138,49.2192,19.5031,0.0041,0.0229,Population structure converged. Difference: 0.0317
3,3,53.4442,48.5722,Warrior,68.6555,70.9887,44.3630,4.3111,11.6817,1.9260,200,56.0468,80.4305,16.1628,76.2462,55.5968,28.7532,0.0006,0.0229,Population structure converged. Difference: 0.0317
3,4,56.0425,50.5404,Warrior,83.1516,66.5142,37.0877,3.6041,9.6423,1.9037,200,56.0468,41.3099,19.2011,61.5557,48.1095,30.3263,0.0003,0.0229,Population structure converged. Difference: 0.0317
3,5,56.0468,52.1531,Warrior,83.1516,66.5142,37.0877,3.6041,9.6423,1.9260,200,56.0468,35.1724,22.2744,50.9713,27.5648,27.4376,0.0002,0.0229,Population structure converged. Difference: 0.0317
3,6,56.0468,54.3229,Warrior,83.1516,66.5142,37.0877,3.6041,9.6423,1.9260,200,56.0468,33.6530,15.6742,13.5646,3.0168,14.6781,0.0002,0.0229,Population structure converged. Difference: 0.0317
4,0,48.9559,36.8138,Warrior,67.8895,95.4679,9.3656,12.5323,14.7447,1.9019,200,58.5237,403.5212,799.2894,519.3348,338.6271,560.4615,0.0326,0.0141,Population structure converged. Difference: 0.0411
4,1,58.5064,45.3289,Warrior,80.5128,91.7459,22.8930,3.6305,1.2177,1.8983,200,58.5237,187.9943,317.8055,144.0651,133.1728,305.2781,0.0104,0.0141,Population structure converged. Difference: 0.0411
4,2,58.5064,50.4856,Warrior,80.5128,91.7459,22.8930,3.6305,1.2177,1.8983,200,58.5237,29.9140,37.8873,31.8647,11.2106,39.7159,0.0084,0.0141,Population structure converged. Difference: 0.0411
4,3,58.5237,56.2140,Warrior,80.5337,91.7697,22.8990,3.6314,1.1661,1.8983,200,58.5237,15.1854,13.1784,23.2544,8.8755,8.3705,0.0035,0.0141,Population structure converged. Difference: 0.0411
5,0,42.2086,32.7182,Warrior,79.0185,53.7517,36.9450,13.5995,16.6854,1.5066,200,52.9558,212.8569,294.1119,400.6922,403.1709,229.9078,0.0362,0.0290,Population structure converged. Difference: 0.0493
5,1,42.2086,39.0626,Warrior,79.0185,53.7517,36.9450,13.5995,16.6854,1.5066,200,52.9558,178.1054,174.7099,245.0114,244.2344,132.2776,0.0188,0.0290,Population structure converged. Difference: 0.0493
5,2,47.2487,41.4512,Warrior,68.4292,58.4565,40.1787,14.7898,18.1458,1.8727,200,52.9558,32.6522,14.4193,10.2666,48.8196,79.6894,0.0119,0.0290,Population structure converged. Difference: 0.0493
5,3,51.7091,42.7350,Warrior,70.9198,74.1180,35.3167,0.0392,19.6063,1.8586,200,52.9558,60.9011,22.5969,17.0055,38.7707,177.9994,0.0224,0.0290,Population structure converged. Difference: 0.0493
5,4,52.9558,46.5385,Warrior,81.3900,59.3936,40.8228,0.0369,18.3567,1.8727,200,52.9558,42.7861,58.2420,17.0697,50.9560,125.4918,0.0214,0.0290,Population structure converged. Difference: 0.0493
