Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.6624,36.0984,Warrior,90.2897,89.6474,2.9670,0.2917,16.8043,1.8325,200,60.6804,517.2596,614.6434,384.0437,480.3289,386.6042,0.0358,0.0274,Population structure converged. Difference: 0.0385
1,1,58.3194,45.4080,Warrior,86.1459,108.9255,3.6050,0.3544,0.9692,1.9109,200,60.6804,272.0559,454.3464,353.9236,187.0678,160.1982,0.0224,0.0274,Population structure converged. Difference: 0.0385
1,2,58.3301,50.6383,Warrior,86.1459,108.9255,3.6050,0.3544,0.9692,1.9171,200,60.6804,109.5135,197.4528,137.6242,71.0218,75.7650,0.0053,0.0274,Population structure converged. Difference: 0.0385
1,3,59.8144,53.9159,Warrior,78.7248,81.7037,37.5926,0.5298,1.4491,1.9171,200,60.6804,47.3713,190.4316,120.3499,23.4189,75.3732,0.0032,0.0274,Population structure converged. Difference: 0.0385
1,4,60.4502,57.3321,Warrior,99.0088,80.4127,19.1949,0.3705,1.0132,1.9109,200,60.6804,15.9189,107.2237,92.2932,0.9328,28.4605,0.0009,0.0274,Population structure converged. Difference: 0.0385
1,5,60.6804,58.4305,Warrior,83.5983,83.0035,32.1727,0.3281,0.8974,1.9171,200,60.6804,25.8108,106.7195,135.6920,0.0045,5.8418,0.0001,0.0274,Population structure converged. Difference: 0.0385
2,0,38.9769,30.2575,Warrior,58.7669,44.3929,44.5373,31.0428,21.2602,1.8628,200,55.9824,315.2848,315.2345,510.9145,281.6186,307.1362,0.0344,0.0409,Population structure converged. Difference: 0.0248
2,1,42.5862,33.9240,Warrior,60.3265,61.1815,31.0036,24.9914,22.4971,1.8805,200,55.9824,187.1648,207.9080,328.5927,192.3166,185.2364,0.0316,0.0409,Population structure converged. Difference: 0.0248
2,2,46.4978,37.7987,Warrior,79.7225,29.0898,81.8564,0.7173,8.6141,1.8628,200,55.9824,95.0753,162.0127,263.0507,95.9151,135.2111,0.0242,0.0409,Population structure converged. Difference: 0.0248
2,3,46.4978,40.6899,Warrior,79.7225,29.0898,81.8564,0.7173,8.6141,1.8628,200,55.9824,91.8637,264.4499,363.0069,98.2557,106.5085,0.0174,0.0409,Population structure converged. Difference: 0.0248
