Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.1618,34.9740,Warrior,58.8716,62.6365,56.0114,2.7515,19.7290,1.8842,200,57.7595,189.2314,457.5104,438.7675,279.6668,335.9406,0.0394,0.0226,Population structure converged. Difference: 0.0221
1,1,54.3326,40.9017,Warrior,82.2733,65.8858,40.5656,8.6133,2.6620,1.8561,200,57.7595,79.4646,268.5951,376.5073,199.4755,160.0978,0.0211,0.0226,Population structure converged. Difference: 0.0221
1,2,54.3326,46.0610,Warrior,82.2733,65.8858,40.5656,8.6133,2.6620,1.8561,200,57.7595,52.8906,129.4354,252.6983,79.4617,79.6278,0.0050,0.0226,Population structure converged. Difference: 0.0221
1,3,57.1427,48.5195,Warrior,83.8232,67.1270,41.3298,4.7572,2.9627,1.8842,200,57.7595,67.7175,84.1222,172.3347,42.5581,59.5785,0.0010,0.0226,Population structure converged. Difference: 0.0221
1,4,57.2394,51.5868,Warrior,83.9495,67.2281,41.3921,4.7644,2.6660,1.8842,200,57.7595,84.1319,37.9871,126.5327,4.4456,79.6231,0.0010,0.0226,Population structure converged. Difference: 0.0221
1,5,57.4650,54.7198,Warrior,86.8222,73.5770,31.1145,5.5136,2.9727,1.8842,200,57.7595,44.6069,30.4660,71.5627,3.9063,33.3302,0.0011,0.0226,Population structure converged. Difference: 0.0221
1,6,57.7595,56.5107,Warrior,87.1486,73.8537,31.2315,4.7823,2.9839,1.8842,200,57.7595,16.9295,13.3114,29.3118,1.8609,0.0658,0.0008,0.0226,Population structure converged. Difference: 0.0221
2,0,49.7026,35.8103,Warrior,77.4249,61.0661,32.7473,16.7166,12.0451,1.8863,200,54.3502,358.5102,309.8377,230.0948,216.4732,241.7664,0.0268,0.0224,Population structure converged. Difference: 0.0300
2,1,50.7736,41.4217,Warrior,70.5612,78.2195,32.6353,8.4471,10.1369,1.8411,200,54.3502,280.3695,258.2189,250.9749,95.4978,81.0269,0.0159,0.0224,Population structure converged. Difference: 0.0300
2,2,51.2851,45.9235,Warrior,70.6746,75.2789,30.5620,12.9657,10.5189,1.8863,200,54.3502,136.5666,182.0989,272.3106,54.7674,23.9047,0.0077,0.0224,Population structure converged. Difference: 0.0300
2,3,53.2375,48.2722,Warrior,81.5762,64.3403,34.5031,8.9000,10.6804,1.8863,200,54.3502,90.5643,171.3188,240.0003,35.1425,7.4147,0.0036,0.0224,Population structure converged. Difference: 0.0300
2,4,53.2726,50.2691,Warrior,81.6161,64.3717,34.5199,8.8067,10.6856,1.8863,200,54.3502,43.7649,104.3970,117.3113,12.6580,2.2495,0.0006,0.0224,Population structure converged. Difference: 0.0300
2,5,54.2057,51.5044,Warrior,79.2327,75.5919,27.4987,8.0197,9.6570,1.8863,200,54.3502,26.1849,61.1129,63.0505,9.7309,1.0892,0.0005,0.0224,Population structure converged. Difference: 0.0300
2,6,54.3502,52.7690,Warrior,80.6314,74.7164,27.1802,7.9268,9.5452,1.8863,200,54.3502,13.0222,47.9386,39.8134,2.9439,0.6035,0.0003,0.0224,Population structure converged. Difference: 0.0300
3,0,47.1030,32.4866,Warrior,63.0541,51.5490,58.4315,12.0696,14.8958,1.9055,200,55.4420,250.8511,372.1596,494.5431,221.9082,389.3839,0.0406,0.0340,Population structure converged. Difference: 0.0486
3,1,47.1030,37.0818,Warrior,63.0541,51.5490,58.4315,12.0696,14.8958,1.9055,200,55.4420,121.3099,194.4909,515.7815,121.9584,278.0150,0.0400,0.0340,Population structure converged. Difference: 0.0486
3,2,48.1667,40.5430,Warrior,65.2113,57.8234,48.0212,13.5387,15.4054,1.9055,200,55.4420,91.5034,152.9849,397.3734,64.7746,172.3239,0.0355,0.0340,Population structure converged. Difference: 0.0486
3,3,48.1667,43.4128,Warrior,65.2113,57.8234,48.0212,13.5387,15.4054,1.9055,200,55.4420,63.9347,113.6173,294.9399,26.7649,25.7107,0.0287,0.0340,Population structure converged. Difference: 0.0486
3,4,50.3664,45.8489,Warrior,69.2730,53.1578,60.2550,12.4463,4.8680,1.9149,200,55.4420,56.7730,95.3450,192.7063,13.6428,10.2466,0.0141,0.0340,Population structure converged. Difference: 0.0486
