Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.2078,31.2914,Warrior,54.4836,84.1523,45.8903,1.5686,13.9051,1.9797,200,55.6369,439.3833,357.7346,402.4835,303.7577,376.1550,0.0428,0.0460,Population structure converged. Difference: 0.0031
1,1,49.3110,34.6485,Warrior,72.4921,66.3894,38.7912,3.8261,18.5012,1.9797,200,55.6369,360.7611,262.5152,315.6248,258.2940,304.5727,0.0368,0.0460,Population structure converged. Difference: 0.0031
1,2,52.5758,38.7800,Warrior,91.4029,57.6136,33.6635,3.3203,13.9997,1.8654,200,55.6369,259.4424,245.8663,331.3456,134.7398,218.4118,0.0320,0.0460,Population structure converged. Difference: 0.0031
1,3,52.5758,41.2801,Warrior,91.4029,57.6136,33.6635,3.3203,13.9997,1.8654,200,55.6369,225.1962,220.5663,277.7922,90.0263,166.0650,0.0316,0.0460,Population structure converged. Difference: 0.0031
1,4,52.5758,43.9311,Warrior,91.4029,57.6136,33.6635,3.3203,13.9997,1.8654,200,55.6369,228.7234,176.7425,188.7110,44.7797,119.6695,0.0302,0.0460,Population structure converged. Difference: 0.0031
1,5,52.5758,46.3071,Warrior,91.4029,57.6136,33.6635,3.3203,13.9997,1.8654,200,55.6369,187.7306,151.3852,111.7949,35.7450,70.1672,0.0269,0.0460,Population structure converged. Difference: 0.0031
1,6,53.0968,48.7732,Warrior,91.1877,59.9919,32.2353,3.1794,13.4057,1.8654,200,55.6369,138.2510,85.8138,55.5016,24.3364,44.2976,0.0141,0.0460,Population structure converged. Difference: 0.0031
1,7,53.4439,50.6514,Warrior,85.0171,68.8469,34.5121,0.5714,11.0525,1.9797,200,55.6369,113.0560,40.5072,28.4929,14.3010,20.3497,0.0056,0.0460,Population structure converged. Difference: 0.0031
1,8,54.9693,51.8680,Warrior,84.3120,68.0812,34.1282,0.5650,12.9136,1.8654,200,55.6369,77.9615,23.8536,16.4803,5.1623,10.8714,0.0019,0.0460,Population structure converged. Difference: 0.0031
1,9,55.6262,52.4753,Warrior,85.0171,68.8469,34.5121,0.5714,11.0525,1.8654,200,55.6369,27.9734,13.5554,6.7098,2.1207,1.6021,0.0013,0.0460,Population structure converged. Difference: 0.0031
