Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.6970,30.6970,Warrior,84.3323,51.1390,41.0357,8.2213,15.2717,1.5036,200,56.6136,627.6000,464.6560,268.4416,343.9866,436.2789,0.0388,0.0428,Population structure converged. Difference: 0.0468
1,1,50.8033,36.4538,Warrior,84.3323,51.1390,41.0357,8.2213,15.2717,1.9350,200,56.6136,385.8758,371.3565,270.5222,185.8309,215.9941,0.0309,0.0428,Population structure converged. Difference: 0.0468
1,2,55.6775,40.1950,Warrior,80.7247,63.7105,43.8513,8.7854,2.9280,1.9164,200,56.6136,248.5151,246.5354,165.8767,114.4291,150.0056,0.0302,0.0428,Population structure converged. Difference: 0.0468
1,3,55.6775,43.4010,Warrior,80.7247,63.7105,43.8513,8.7854,2.9280,1.9164,200,56.6136,155.3533,136.3764,97.6443,92.7815,63.7252,0.0302,0.0428,Population structure converged. Difference: 0.0468
1,4,56.2240,46.8097,Warrior,87.0308,68.6875,31.6531,9.4717,3.1568,1.9164,200,56.6136,157.1128,106.7151,73.6063,82.1951,60.5818,0.0257,0.0428,Population structure converged. Difference: 0.0468
1,5,56.2240,50.2790,Warrior,87.0308,68.6875,31.6531,9.4717,3.1568,1.9164,200,56.6136,66.1426,44.6069,46.6265,46.2425,35.9697,0.0136,0.0428,Population structure converged. Difference: 0.0468
1,6,56.4492,52.9124,Warrior,83.7485,71.2604,32.8388,9.1145,3.0377,1.9164,200,56.6136,40.3654,30.2850,36.8795,27.8615,22.0644,0.0009,0.0428,Population structure converged. Difference: 0.0468
1,7,56.6136,54.0816,Warrior,83.9327,71.4171,32.9110,8.8047,2.9345,1.9164,200,56.6136,28.8888,29.2298,24.7142,11.9041,16.1102,0.0012,0.0428,Population structure converged. Difference: 0.0468
2,0,42.0816,30.4319,Warrior,78.5069,43.6546,49.7715,12.2897,15.7773,1.4709,200,53.9257,470.3372,356.6666,322.4309,269.1073,524.1999,0.0379,0.0584,Population structure converged. Difference: 0.0435
2,1,46.7007,34.8254,Warrior,63.0116,62.0636,44.2074,4.4923,26.2252,1.8553,200,53.9257,342.0862,260.0171,233.7773,204.5158,264.8865,0.0342,0.0584,Population structure converged. Difference: 0.0435
