Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.3312,30.7325,Warrior,87.3189,63.3995,35.0458,9.4631,4.7727,1.8211,200,59.4786,446.9305,503.7824,527.2831,423.8930,435.3258,0.0315,0.0433,Population structure converged. Difference: 0.0091
1,1,51.3353,35.5618,Warrior,86.2268,64.0140,35.3854,9.5548,4.8190,1.8211,200,59.4786,311.0709,361.2529,345.8370,193.4161,439.8597,0.0389,0.0433,Population structure converged. Difference: 0.0091
1,2,51.3353,38.9703,Warrior,86.2268,64.0140,35.3854,9.5548,4.8190,1.8211,200,59.4786,280.0941,182.9177,274.0631,148.2522,323.1008,0.0362,0.0433,Population structure converged. Difference: 0.0091
1,3,59.1599,42.0372,Warrior,85.9178,77.9561,30.7650,0.9256,4.4354,1.8950,200,59.4786,191.9843,173.6020,262.8930,160.2815,181.5069,0.0346,0.0433,Population structure converged. Difference: 0.0091
1,4,59.1711,45.0523,Warrior,86.7114,77.4138,30.5510,0.9192,4.4046,1.9347,200,59.4786,179.0154,137.9204,198.1531,152.0024,83.0705,0.0320,0.0433,Population structure converged. Difference: 0.0091
1,5,59.1792,47.8220,Warrior,86.6026,77.3166,30.7264,0.9245,4.4299,1.8950,200,59.4786,179.4686,109.7087,106.8244,121.0977,60.3911,0.0286,0.0433,Population structure converged. Difference: 0.0091
1,6,59.1877,50.4478,Warrior,86.6129,77.3259,30.7301,0.9205,4.4106,1.8950,200,59.4786,128.6887,81.3564,73.2596,78.8887,43.9152,0.0162,0.0433,Population structure converged. Difference: 0.0091
1,7,59.1877,52.8753,Warrior,86.6169,77.3202,30.7315,0.9205,4.4108,1.8950,200,59.4786,77.8592,69.5579,54.9995,49.0579,23.6018,0.0086,0.0433,Population structure converged. Difference: 0.0091
1,8,59.1873,54.6257,Warrior,86.6056,77.3286,30.7340,0.9206,4.4112,1.8950,200,59.4786,60.8650,67.5356,47.9590,33.1155,13.6634,0.0058,0.0433,Population structure converged. Difference: 0.0091
1,9,59.1874,56.0476,Warrior,86.6106,77.3330,30.7243,0.9206,4.4115,1.8950,200,59.4786,57.6722,91.1150,43.5952,23.1650,9.0210,0.0006,0.0433,Population structure converged. Difference: 0.0091
