Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.4822,37.8111,Warrior,74.7070,47.7393,67.1835,6.1986,4.1717,1.8578,200,58.4558,427.5455,183.7479,620.7780,504.2832,322.2535,0.0368,0.0255,Population structure converged. Difference: 0.0082
1,1,55.8618,45.4303,Warrior,80.5269,80.4723,24.7955,6.7483,7.4570,1.9054,200,58.4558,280.2318,44.2488,571.8014,128.2546,112.6381,0.0130,0.0255,Population structure converged. Difference: 0.0082
1,2,55.8618,50.4256,Warrior,80.5269,80.4723,24.7955,6.7483,7.4570,1.9054,200,58.4558,167.6117,160.1530,515.6738,13.9398,2.1093,0.0019,0.0255,Population structure converged. Difference: 0.0082
1,3,58.0122,54.0838,Warrior,83.0324,82.9761,25.5670,4.0021,4.4224,1.9054,200,58.4558,60.6989,194.6754,371.4897,4.1303,2.1913,0.0007,0.0255,Population structure converged. Difference: 0.0082
1,4,58.0122,55.6802,Warrior,83.0324,82.9761,25.5670,4.0021,4.4224,1.9054,200,58.4558,26.1511,75.0515,117.4418,1.3858,1.8581,0.0000,0.0255,Population structure converged. Difference: 0.0082
1,5,58.3782,56.4798,Warrior,83.4562,83.3997,25.6975,3.5375,3.9090,1.9054,200,58.4558,7.1097,25.5824,32.4945,1.6750,1.9764,0.0000,0.0255,Population structure converged. Difference: 0.0082
1,6,58.3782,57.0963,Warrior,83.4562,83.3997,25.6975,3.5375,3.9090,1.9054,200,58.4558,1.9484,2.3335,0.2913,1.8960,1.7879,0.0000,0.0255,Population structure converged. Difference: 0.0082
1,7,58.3782,57.5534,Warrior,83.4562,83.3997,25.6975,3.5375,3.9090,1.9054,200,58.4558,1.8470,1.8854,0.2076,1.5111,0.9366,0.0000,0.0255,Population structure converged. Difference: 0.0082
1,8,58.4558,57.8496,Warrior,85.1252,80.2410,27.0383,3.6083,3.9872,1.9054,200,58.4558,1.2494,1.5257,0.2175,0.7037,0.4760,0.0000,0.0255,Population structure converged. Difference: 0.0082
1,9,58.4558,57.9830,Warrior,85.1252,80.2410,27.0383,3.6083,3.9872,1.9054,200,58.4558,1.1033,1.6718,0.2114,0.4547,0.1132,0.0000,0.0255,Population structure converged. Difference: 0.0082
2,0,45.5692,36.9973,Warrior,73.0638,51.8579,43.7889,11.2198,20.0696,1.9814,200,54.5006,279.6710,545.1340,220.7601,442.1065,301.2146,0.0570,0.0527,Population structure converged. Difference: 0.0071
2,1,49.2078,43.2585,Warrior,78.9364,56.0260,47.3085,12.1216,5.6075,1.9814,200,54.5006,56.0187,253.5758,130.7211,86.5959,83.8030,0.0645,0.0527,Population structure converged. Difference: 0.0071
2,2,49.3304,45.4496,Warrior,79.1435,56.1731,47.4327,12.1534,5.0973,1.9814,200,54.5006,17.0596,136.5331,59.2565,1.9193,40.8464,0.0423,0.0527,Population structure converged. Difference: 0.0071
2,3,49.4129,46.3879,Warrior,82.8262,54.2709,45.8265,11.7419,5.3345,1.9814,200,54.5006,11.1684,81.4899,41.9951,0.2460,38.5142,0.0202,0.0527,Population structure converged. Difference: 0.0071
2,4,52.1985,47.6522,Warrior,75.2741,57.7208,48.7396,12.4883,5.7772,1.9276,200,54.5006,14.0780,22.9356,26.1633,0.3012,51.6267,0.0005,0.0527,Population structure converged. Difference: 0.0071
2,5,52.5640,48.8285,Warrior,67.1329,73.1089,43.4682,11.1376,5.1523,1.9276,200,54.5006,11.4846,18.6010,19.2629,0.3571,41.6067,0.0005,0.0527,Population structure converged. Difference: 0.0071
2,6,52.6035,50.4256,Warrior,76.1139,58.3649,48.0470,12.3108,5.1634,1.9276,200,54.5006,10.2053,13.5345,8.1455,0.2032,9.5421,0.0007,0.0527,Population structure converged. Difference: 0.0071
2,7,52.6035,51.7596,Warrior,76.1139,58.3649,48.0470,12.3108,5.1634,1.9276,200,54.5006,7.5203,15.3025,1.9554,0.1799,0.0471,0.0004,0.0527,Population structure converged. Difference: 0.0071
2,8,53.3002,52.1409,Warrior,78.1041,59.8910,45.1025,11.5564,5.3461,1.9276,200,54.5006,9.6361,20.6080,2.2000,0.1566,0.0514,0.0002,0.0527,Population structure converged. Difference: 0.0071
2,9,53.7933,52.4172,Warrior,72.3298,70.2493,41.7680,10.7020,4.9508,1.9276,200,54.5006,16.5251,38.6996,4.6729,0.3096,0.0797,0.0000,0.0527,Population structure converged. Difference: 0.0071
