Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.2875,30.3389,Warrior,78.1211,33.1091,56.9705,13.9881,17.8111,1.8916,200,54.3537,482.9362,345.2539,337.2969,289.3230,249.6251,0.0342,0.0492,Population structure converged. Difference: 0.0079
1,1,45.3015,33.5316,Warrior,67.6233,60.8703,29.1804,20.3476,21.9783,1.8916,200,54.3537,389.5380,199.4782,340.9678,166.3338,261.4681,0.0405,0.0492,Population structure converged. Difference: 0.0079
1,2,46.7973,36.0790,Warrior,85.5074,51.4717,33.7711,17.0408,12.2091,1.8442,200,54.3537,392.5209,150.5150,248.4428,99.7840,181.2648,0.0262,0.0492,Population structure converged. Difference: 0.0079
1,3,46.7973,38.1641,Warrior,85.5074,51.4717,33.7711,17.0408,12.2091,1.8442,200,54.3537,290.4276,106.2094,195.4464,63.1272,153.4281,0.0212,0.0492,Population structure converged. Difference: 0.0079
1,4,46.7973,40.5318,Warrior,85.5074,51.4717,33.7711,17.0408,12.2091,1.8442,200,54.3537,186.4039,74.1581,136.3740,60.0945,86.1773,0.0148,0.0492,Population structure converged. Difference: 0.0079
1,5,51.2239,43.0177,Warrior,95.4279,47.8879,40.6885,14.3007,1.6951,1.8916,200,54.3537,140.7067,70.7127,91.9097,41.1118,49.9309,0.0060,0.0492,Population structure converged. Difference: 0.0079
1,6,53.8706,44.9527,Warrior,86.2086,58.5139,39.6788,13.9458,1.6530,1.9162,200,54.3537,80.6103,48.9544,71.9838,11.2913,29.0175,0.0033,0.0492,Population structure converged. Difference: 0.0079
1,7,54.1026,46.6463,Warrior,85.2547,59.9997,39.2970,13.8116,1.6371,1.9162,200,54.3537,60.9490,39.6293,26.1956,3.6870,20.1703,0.0007,0.0492,Population structure converged. Difference: 0.0079
1,8,53.9700,47.7414,Warrior,83.7275,58.9249,42.1757,13.5642,1.6078,1.9162,200,54.3537,35.4503,32.6336,13.9809,2.7886,13.2350,0.0006,0.0492,Population structure converged. Difference: 0.0079
1,9,54.6421,48.4937,Warrior,89.6270,60.8341,35.1102,12.7101,1.7185,1.9162,200,54.3537,28.3233,31.3912,11.5850,2.9738,14.6885,0.0010,0.0492,Population structure converged. Difference: 0.0079
1,10,53.1877,49.4010,Warrior,88.6620,59.5119,33.9642,15.9690,1.8928,1.9162,200,54.3537,30.2224,27.2282,13.3199,2.5664,20.0753,0.0011,0.0492,Population structure converged. Difference: 0.0079
1,11,53.6329,50.3217,Warrior,83.6608,60.4069,40.1488,14.1110,1.6726,1.8916,200,54.3537,20.0481,18.9237,13.0982,2.5759,23.1149,0.0010,0.0492,Population structure converged. Difference: 0.0079
1,12,53.7948,51.4618,Warrior,89.3898,60.0003,34.2430,14.6324,1.7344,1.9162,200,54.3537,9.4634,10.7061,13.0306,2.9533,22.2152,0.0008,0.0492,Population structure converged. Difference: 0.0079
1,13,54.0071,52.3056,Warrior,85.6289,59.3851,39.4695,13.8722,1.6443,1.9162,200,54.3537,8.5353,10.4177,13.0897,2.4526,13.3879,0.0006,0.0492,Population structure converged. Difference: 0.0079
1,14,54.0780,53.0391,Warrior,88.4279,61.6562,33.7251,14.4750,1.7157,1.9162,200,54.3537,7.8267,6.8575,11.5604,1.5257,5.3793,0.0002,0.0492,Population structure converged. Difference: 0.0079
1,15,54.2179,53.5258,Warrior,86.5159,62.0805,35.4302,14.1788,1.7945,1.9162,200,54.3537,5.8343,5.1616,10.5291,0.6758,0.0060,0.0001,0.0492,Population structure converged. Difference: 0.0079
1,16,54.3537,53.7973,Warrior,86.0200,63.3549,34.6543,14.1572,1.8135,1.9162,200,54.3537,4.7143,2.0728,8.3202,0.3087,0.0061,0.0001,0.0492,Population structure converged. Difference: 0.0079
1,17,54.3537,53.9266,Warrior,86.0200,63.3549,34.6543,14.1572,1.8135,1.9162,200,54.3537,3.1131,2.2406,7.2291,0.2464,0.0069,0.0001,0.0492,Population structure converged. Difference: 0.0079
2,0,56.7767,30.3599,Warrior,97.4165,75.0839,17.3768,2.4513,7.6715,1.8955,200,58.3605,331.7961,444.4658,504.3523,400.2350,368.6901,0.0359,0.0450,Population structure converged. Difference: 0.0073
2,1,48.8558,33.7514,Warrior,76.2111,81.0792,11.0201,26.7131,4.9765,1.9161,200,58.3605,240.0472,346.2066,451.3858,306.6413,304.7862,0.0401,0.0450,Population structure converged. Difference: 0.0073
2,2,52.1388,37.3970,Warrior,89.1900,42.2492,56.9115,4.6257,7.0236,1.8955,200,58.3605,281.6409,223.0894,468.2704,169.3511,298.4925,0.0420,0.0450,Population structure converged. Difference: 0.0073
2,3,52.8092,42.3730,Warrior,82.0564,55.2452,48.0709,5.1634,9.4641,1.9582,200,58.3605,312.6885,238.0911,362.9998,49.7116,228.7632,0.0361,0.0450,Population structure converged. Difference: 0.0073
2,4,56.3304,46.3163,Warrior,73.0765,69.8902,49.2729,4.0048,3.7555,1.9161,200,58.3605,186.5871,183.5054,361.2926,63.7700,50.7535,0.0305,0.0450,Population structure converged. Difference: 0.0073
2,5,56.3304,49.1674,Warrior,73.0765,69.8902,49.2729,4.0048,3.7555,1.9161,200,58.3605,92.8711,125.2883,269.5860,60.2662,7.8208,0.0210,0.0450,Population structure converged. Difference: 0.0073
2,6,56.1240,51.2846,Warrior,85.8783,57.2733,47.4710,4.8394,4.5381,1.9161,200,58.3605,85.2630,101.0747,235.6898,35.5678,3.2159,0.0072,0.0450,Population structure converged. Difference: 0.0073
2,7,56.1240,52.9000,Warrior,85.8783,57.2733,47.4710,4.8394,4.5381,1.9161,200,58.3605,76.6382,78.6108,220.2102,13.8150,3.6554,0.0013,0.0450,Population structure converged. Difference: 0.0073
2,8,57.5844,54.0470,Warrior,82.3955,67.0824,42.3537,3.4036,4.7647,1.9161,200,58.3605,59.5036,73.4609,187.5348,1.7364,4.3606,0.0009,0.0450,Population structure converged. Difference: 0.0073
2,9,57.5844,55.1735,Warrior,82.3955,67.0824,42.3537,3.4036,4.7647,1.9161,200,58.3605,43.0378,70.1794,187.3676,0.8657,5.5198,0.0003,0.0450,Population structure converged. Difference: 0.0073
2,10,57.5844,55.8792,Warrior,82.3955,67.0824,42.3537,3.4036,4.7647,1.9161,200,58.3605,28.4839,59.0402,129.2497,0.7984,4.3706,0.0000,0.0450,Population structure converged. Difference: 0.0073
2,11,58.2356,56.4078,Warrior,82.4429,72.0587,38.1423,3.0652,4.2909,1.9161,200,58.3605,21.8977,67.6078,130.6546,1.3935,2.8710,0.0000,0.0450,Population structure converged. Difference: 0.0073
2,12,58.2356,57.0481,Warrior,82.4429,72.0587,38.1423,3.0652,4.2909,1.9161,200,58.3605,14.3298,46.4898,72.5553,1.0750,0.5535,0.0000,0.0450,Population structure converged. Difference: 0.0073
