Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,36.7749,27.3180,Warrior,58.6208,66.1493,26.2432,34.8018,14.1850,1.4257,200,51.7008,287.6677,310.3545,433.8757,322.9603,408.1573,0.0481,0.1114,Population structure converged. Difference: 0.0083
1,1,37.1074,29.1862,Warrior,54.2394,43.9217,46.9854,37.1819,17.6716,1.9527,200,51.7008,196.4798,244.8625,370.6771,250.7838,335.2842,0.0425,0.1114,Population structure converged. Difference: 0.0083
1,2,39.1520,30.2963,Warrior,67.5358,61.8923,9.8440,25.5794,35.1485,1.8618,200,51.7008,106.5992,171.8902,372.8438,268.3865,306.2670,0.0371,0.1114,Population structure converged. Difference: 0.0083
1,3,45.4282,31.9439,Warrior,62.7033,50.7756,54.3173,11.7746,20.4292,1.9527,200,51.7008,81.0025,142.8913,277.1633,202.8235,248.8527,0.0297,0.1114,Population structure converged. Difference: 0.0083
1,4,45.4282,33.2685,Warrior,62.7033,50.7756,54.3173,11.7746,20.4292,1.9527,200,51.7008,55.2150,69.3009,213.7991,168.3662,197.5307,0.0250,0.1114,Population structure converged. Difference: 0.0083
1,5,45.4282,34.0976,Warrior,62.7033,50.7756,54.3173,11.7746,20.4292,1.9527,200,51.7008,62.4000,83.2239,229.3300,135.6252,163.3005,0.0253,0.1114,Population structure converged. Difference: 0.0083
1,6,44.8100,34.8196,Warrior,66.9012,44.2301,54.5089,12.5629,21.7969,1.9527,200,51.7008,57.5881,72.4074,221.9674,133.4350,144.2922,0.0218,0.1114,Population structure converged. Difference: 0.0083
1,7,46.0916,36.0289,Warrior,63.5800,51.4854,55.0767,11.9392,17.9187,1.9527,200,51.7008,64.3154,50.8678,193.8680,127.5499,94.1313,0.0141,0.1114,Population structure converged. Difference: 0.0083
1,8,46.0916,37.1588,Warrior,63.5800,51.4854,55.0767,11.9392,17.9187,1.9527,200,51.7008,71.1649,40.4779,177.7140,79.8288,74.3699,0.0146,0.1114,Population structure converged. Difference: 0.0083
1,9,46.7557,38.3843,Warrior,66.1642,53.5780,49.1864,12.4245,18.6470,1.9527,200,51.7008,69.6646,39.9638,159.0849,58.6318,62.4589,0.0103,0.1114,Population structure converged. Difference: 0.0083
1,10,46.7557,39.3731,Warrior,66.1642,53.5780,49.1864,12.4245,18.6470,1.9527,200,51.7008,62.8263,43.5795,130.0695,44.1785,50.6656,0.0098,0.1114,Population structure converged. Difference: 0.0083
1,11,46.8115,40.9462,Warrior,63.5800,51.4854,55.0767,11.9392,17.9187,1.9265,200,51.7008,69.3766,38.2216,106.7577,34.8940,37.9429,0.0030,0.1114,Population structure converged. Difference: 0.0083
1,12,46.8115,41.5883,Warrior,63.5800,51.4854,55.0767,11.9392,17.9187,1.9265,200,51.7008,58.9982,38.9908,108.5150,34.3424,37.5773,0.0015,0.1114,Population structure converged. Difference: 0.0083
1,13,47.4559,42.7102,Warrior,75.5000,61.3333,28.9636,13.6767,20.5264,1.8618,200,51.7008,48.1646,40.6322,100.3644,30.7159,27.4865,0.0011,0.1114,Population structure converged. Difference: 0.0083
1,14,46.8115,43.4964,Warrior,63.5800,51.4854,55.0767,11.9392,17.9187,1.9265,200,51.7008,35.3930,28.5799,117.1926,31.4748,17.3898,0.0007,0.1114,Population structure converged. Difference: 0.0083
