Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.0181,27.8671,Warrior,102.6374,52.8501,14.0858,10.0871,20.3396,1.4242,200,57.5944,546.4864,490.6937,411.9839,464.5340,456.4276,0.0338,0.0990,Population structure converged. Difference: 0.0094
1,1,40.0181,31.1109,Warrior,102.6374,52.8501,14.0858,10.0871,20.3396,1.4242,200,57.5944,446.0414,321.1182,325.4022,333.5553,367.2524,0.0350,0.0990,Population structure converged. Difference: 0.0094
1,2,43.8258,33.6514,Warrior,68.0526,67.5836,47.1909,8.0110,9.1618,1.5327,200,57.5944,272.4011,235.9720,307.2214,210.5489,251.7131,0.0329,0.0990,Population structure converged. Difference: 0.0094
1,3,44.7986,36.2003,Warrior,76.0757,75.5513,29.1756,8.9555,10.2420,1.5327,200,57.5944,98.0833,155.2292,272.0372,160.3122,186.3134,0.0278,0.0990,Population structure converged. Difference: 0.0094
1,4,48.2386,37.5077,Warrior,74.5227,82.8551,8.5463,17.8310,16.2449,1.8961,200,57.5944,66.3830,144.7128,297.1859,144.9818,150.6079,0.0349,0.0990,Population structure converged. Difference: 0.0094
1,5,50.9274,38.7614,Warrior,61.9916,68.9229,51.6627,3.9094,13.5133,1.8961,200,57.5944,68.1427,151.4920,273.7362,145.2332,138.6546,0.0324,0.0990,Population structure converged. Difference: 0.0094
1,6,52.9130,40.5179,Warrior,77.2042,76.4867,24.2443,8.2133,13.8515,1.8961,200,57.5944,75.6985,133.2912,311.9188,91.2453,129.4229,0.0302,0.0990,Population structure converged. Difference: 0.0094
1,7,52.9130,41.9977,Warrior,77.2042,76.4867,24.2443,8.2133,13.8515,1.8961,200,57.5944,75.4202,127.8649,277.0761,72.4230,92.3036,0.0330,0.0990,Population structure converged. Difference: 0.0094
1,8,52.9130,43.8054,Warrior,77.2042,76.4867,24.2443,8.2133,13.8515,1.8961,200,57.5944,74.9939,90.7615,251.7794,71.1801,65.0515,0.0331,0.0990,Population structure converged. Difference: 0.0094
1,9,52.9242,45.9608,Warrior,77.6997,76.0567,24.1080,8.2660,13.8695,1.8961,200,57.5944,74.8585,98.4340,244.8248,63.7181,51.5910,0.0272,0.0990,Population structure converged. Difference: 0.0094
1,10,55.6118,47.4183,Warrior,82.2747,76.4170,26.2735,5.0645,9.9703,1.8961,200,57.5944,61.5363,99.7845,225.2922,63.6870,41.5090,0.0171,0.0990,Population structure converged. Difference: 0.0094
