Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.5111,34.8399,Warrior,66.5452,72.3425,35.5926,17.9175,7.6022,1.8855,200,49.5111,279.1648,435.0273,265.7842,324.5656,372.1325,0.0403,0.0097,Population structure converged. Difference: 0.0216
1,1,49.5111,43.6119,Warrior,66.5452,72.3425,35.5926,17.9175,7.6022,1.8855,200,49.5111,123.6153,252.2579,167.5719,112.8341,208.1767,0.0194,0.0097,Population structure converged. Difference: 0.0216
1,2,49.5111,48.4641,Warrior,66.5452,72.3425,35.5926,17.9175,7.6022,1.8855,200,49.5111,17.9892,63.7189,34.8710,20.8646,24.7562,0.0062,0.0097,Population structure converged. Difference: 0.0216
2,0,40.8730,31.5148,Warrior,60.5602,65.7449,37.5937,13.8989,22.2023,1.4303,200,49.5003,343.1639,428.9530,324.9943,364.8980,298.4404,0.0410,0.0254,Population structure converged. Difference: 0.0456
2,1,42.0465,36.7527,Warrior,67.8492,55.2231,26.4543,13.3183,37.1550,1.8626,200,49.5003,300.3221,244.4599,211.3427,221.5753,153.5874,0.0369,0.0254,Population structure converged. Difference: 0.0456
2,2,46.2827,39.7399,Warrior,60.5602,65.7449,37.5937,13.8989,22.2023,1.9186,200,49.5003,112.5169,80.0339,105.9292,78.0106,56.1522,0.0239,0.0254,Population structure converged. Difference: 0.0456
2,3,46.7787,41.2486,Warrior,74.2997,60.4732,28.9694,14.5845,21.6732,1.8626,200,49.5003,48.2669,31.5415,31.6093,17.5623,24.4938,0.0309,0.0254,Population structure converged. Difference: 0.0456
2,4,48.1840,42.8275,Warrior,73.0114,58.6942,33.5620,13.3719,21.3605,1.9186,200,49.5003,59.0004,26.1757,20.4687,1.4010,25.4425,0.0576,0.0254,Population structure converged. Difference: 0.0456
2,5,49.0929,44.8427,Warrior,81.6006,55.2977,31.6199,11.6903,19.7915,1.9186,200,49.5003,47.6028,20.6418,14.6977,0.7989,15.2868,0.0462,0.0254,Population structure converged. Difference: 0.0456
2,6,49.5003,46.3138,Warrior,71.5461,69.0772,27.7238,12.1863,19.4666,1.9186,200,49.5003,47.1183,19.4758,10.5472,1.0551,2.5690,0.0247,0.0254,Population structure converged. Difference: 0.0456
2,7,49.5003,47.3426,Warrior,71.5461,69.0772,27.7238,12.1863,19.4666,1.9186,200,49.5003,49.9915,24.8019,9.9647,0.8684,0.9930,0.0052,0.0254,Population structure converged. Difference: 0.0456
3,0,41.7212,31.9068,Warrior,75.4234,58.2704,25.5572,10.4236,30.3254,1.7839,200,56.2238,269.3305,349.9409,314.1840,369.1171,230.5287,0.0332,0.0295,Population structure converged. Difference: 0.0232
3,1,44.5484,37.1575,Warrior,57.7482,51.1479,60.8216,7.7462,22.5361,1.9530,200,56.2238,84.7828,219.0236,313.3125,212.4063,143.3621,0.0157,0.0295,Population structure converged. Difference: 0.0232
3,2,44.5484,40.0718,Warrior,57.7482,51.1479,60.8216,7.7462,22.5361,1.9530,200,56.2238,76.2460,100.1162,305.4465,77.5730,60.2173,0.0059,0.0295,Population structure converged. Difference: 0.0232
3,3,47.6923,41.7111,Warrior,74.4480,65.9391,24.4850,8.9857,26.1421,1.9530,200,56.2238,70.9012,86.8715,323.0991,31.1196,34.2902,0.0067,0.0295,Population structure converged. Difference: 0.0232
3,4,48.4839,43.5065,Warrior,75.4685,66.8429,24.8207,8.4076,24.4603,1.9530,200,56.2238,63.2687,85.3507,321.6523,3.8337,29.3832,0.0096,0.0295,Population structure converged. Difference: 0.0232
3,5,55.4004,45.9011,Warrior,84.8388,75.1422,27.9024,10.6773,1.4392,1.9530,200,56.2238,58.7143,84.6008,308.2702,2.5050,41.9051,0.0045,0.0295,Population structure converged. Difference: 0.0232
3,6,55.9394,49.4727,Warrior,84.9565,75.2465,27.9411,10.2540,1.6019,1.9456,200,56.2238,73.8826,107.2495,275.7548,1.5609,128.9737,0.0023,0.0295,Population structure converged. Difference: 0.0232
3,7,56.0508,52.6071,Warrior,84.9860,75.2726,29.3095,8.9902,1.4417,1.9530,200,56.2238,38.1315,65.4043,135.0379,1.2715,106.6386,0.0008,0.0295,Population structure converged. Difference: 0.0232
3,8,56.2238,54.9489,Warrior,85.1969,75.4594,28.1930,9.5499,1.6007,1.9456,200,56.2238,8.9971,16.9204,35.5777,0.5370,25.6654,0.0000,0.0295,Population structure converged. Difference: 0.0232
