Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.6105,30.2963,Warrior,63.7115,69.3996,50.8839,7.4174,8.5875,1.8119,200,57.0474,319.6606,307.6334,561.8649,334.3056,393.6077,0.0398,0.0469,Population structure converged. Difference: 0.0088
1,1,52.5986,34.0463,Warrior,76.1332,54.4388,53.6236,7.6569,8.1475,1.9343,200,57.0474,229.3500,298.3561,459.6330,242.0053,323.6840,0.0286,0.0469,Population structure converged. Difference: 0.0088
1,2,52.5986,38.4432,Warrior,76.1332,54.4388,53.6236,7.6569,8.1475,1.9343,200,57.0474,171.8362,153.6498,393.6789,164.2507,230.6931,0.0188,0.0469,Population structure converged. Difference: 0.0088
1,3,52.5986,42.4744,Warrior,76.1332,54.4388,53.6236,7.6569,8.1475,1.9343,200,57.0474,109.5245,95.9749,278.2985,87.5993,102.8196,0.0117,0.0469,Population structure converged. Difference: 0.0088
1,4,53.6475,45.2696,Warrior,71.8300,65.4770,48.0078,6.9982,7.6869,1.9343,200,57.0474,130.5426,123.8484,217.3444,47.9783,51.0432,0.0048,0.0469,Population structure converged. Difference: 0.0088
1,5,53.6475,47.7379,Warrior,71.8300,65.4770,48.0078,6.9982,7.6869,1.9343,200,57.0474,96.4247,102.7776,157.1601,8.0884,14.8073,0.0031,0.0469,Population structure converged. Difference: 0.0088
1,6,54.4105,49.6095,Warrior,85.2074,81.8024,15.3022,8.5695,9.1185,1.9343,200,57.0474,44.3953,132.4019,216.1520,3.6247,4.5956,0.0027,0.0469,Population structure converged. Difference: 0.0088
1,7,54.4105,51.0129,Warrior,85.2074,81.8024,15.3022,8.5695,9.1185,1.9343,200,57.0474,31.1791,115.5533,210.6206,1.9134,1.5090,0.0038,0.0469,Population structure converged. Difference: 0.0088
1,8,54.7307,52.2060,Warrior,79.8654,61.3720,44.9981,6.5595,7.2050,1.9343,200,57.0474,30.9640,99.8185,174.9085,1.9340,1.3089,0.0026,0.0469,Population structure converged. Difference: 0.0088
1,9,55.6611,53.2051,Warrior,86.8176,83.3482,15.5914,5.9414,8.3014,1.9343,200,57.0474,25.6051,126.0632,204.1771,1.5024,1.0193,0.0007,0.0469,Population structure converged. Difference: 0.0088
1,10,55.6611,53.9092,Warrior,86.8176,83.3482,15.5914,5.9414,8.3014,1.9343,200,57.0474,27.1413,122.9879,218.1767,1.2319,0.9566,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,11,55.9728,54.5608,Warrior,79.0453,70.1205,38.6928,5.6403,6.5010,1.9343,200,57.0474,32.8027,104.0195,201.6824,1.3031,0.9454,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,12,56.3597,55.1199,Warrior,78.0124,74.8949,35.8450,5.2252,6.0225,1.9343,200,57.0474,30.2690,65.4945,160.3326,1.3310,0.7755,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,13,56.3597,55.5491,Warrior,78.0124,74.8949,35.8450,5.2252,6.0225,1.9343,200,57.0474,24.5155,39.7030,117.2753,0.5065,0.6016,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,14,56.8461,55.8430,Warrior,79.6726,76.4888,33.3681,4.8641,5.6064,1.9343,200,57.0474,18.4395,32.8401,96.0445,0.2466,0.7624,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,15,56.8461,56.1390,Warrior,79.6726,76.4888,33.3681,4.8641,5.6064,1.9343,200,57.0474,14.5879,18.2294,65.3819,0.3390,0.3324,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,16,57.0758,56.3500,Warrior,86.6541,83.1914,19.5617,4.9209,5.6718,1.9343,200,57.0474,10.0864,15.0891,44.4898,0.2537,0.1012,0.0000,0.0469,Population structure converged. Difference: 0.0088
1,17,57.0474,56.5481,Warrior,82.8773,73.4989,33.2046,4.8403,5.5789,1.9343,200,57.0474,9.0092,18.8254,45.1773,0.0927,0.0975,0.0000,0.0469,Population structure converged. Difference: 0.0088
2,0,42.8330,29.8123,Warrior,70.4311,36.6577,66.9904,25.1613,0.7595,1.8705,200,54.7817,516.3046,265.6782,402.7478,386.2695,370.1300,0.0257,0.0471,Population structure converged. Difference: 0.0094
2,1,43.3549,33.5642,Warrior,66.3514,44.1217,54.7127,27.6507,7.1635,1.8881,200,54.7817,232.4170,146.3891,281.4952,287.4668,307.9730,0.0169,0.0471,Population structure converged. Difference: 0.0094
2,2,43.3818,36.9336,Warrior,83.1824,35.5505,53.1434,9.5449,18.5788,1.8187,200,54.7817,159.8546,99.6862,294.5007,184.6858,216.4523,0.0192,0.0471,Population structure converged. Difference: 0.0094
2,3,47.6052,39.8820,Warrior,72.9140,47.1080,55.3643,19.5491,5.0646,1.8881,200,54.7817,143.4825,69.0896,142.8201,89.2203,106.6280,0.0191,0.0471,Population structure converged. Difference: 0.0094
2,4,50.3656,42.1467,Warrior,86.8174,43.5403,52.2713,11.2355,6.1355,1.8881,200,54.7817,136.8551,63.2475,57.9990,55.8823,97.1199,0.0208,0.0471,Population structure converged. Difference: 0.0094
2,5,49.4389,44.1052,Warrior,60.4061,63.7440,62.6388,10.8390,2.3722,1.8881,200,54.7817,111.3603,61.3560,40.9756,45.5169,90.5425,0.0154,0.0471,Population structure converged. Difference: 0.0094
2,6,52.4016,45.6815,Warrior,79.0859,51.0955,56.8773,10.6176,2.3237,1.8881,200,54.7817,93.0968,49.0067,38.0893,30.5545,67.8625,0.0104,0.0471,Population structure converged. Difference: 0.0094
2,7,53.2635,47.0794,Warrior,81.4158,52.6007,52.5946,7.7337,5.6551,1.8881,200,54.7817,59.5063,40.0805,34.0212,19.5511,43.3849,0.0039,0.0471,Population structure converged. Difference: 0.0094
2,8,52.4016,48.5884,Warrior,79.0859,51.0955,56.8773,10.6176,2.3237,1.8881,200,54.7817,64.0212,40.0326,29.0620,6.7621,16.4651,0.0018,0.0471,Population structure converged. Difference: 0.0094
