Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.3147,28.6428,Warrior,77.7341,61.7452,38.7339,12.8617,8.9252,1.4250,200,52.6507,409.5187,353.5639,338.4911,360.2432,400.7377,0.0361,0.0328,Population structure converged. Difference: 0.0377
1,1,45.3147,32.6012,Warrior,77.7341,61.7452,38.7339,12.8617,8.9252,1.4250,200,52.6507,251.9861,242.6130,255.1812,221.4607,240.8391,0.0365,0.0328,Population structure converged. Difference: 0.0377
1,2,45.3147,35.3168,Warrior,77.7341,61.7452,38.7339,12.8617,8.9252,1.4250,200,52.6507,212.2609,211.5390,238.2970,181.9334,223.6656,0.0366,0.0328,Population structure converged. Difference: 0.0377
1,3,47.7170,38.2709,Warrior,80.8999,40.7184,52.4630,6.6073,19.3113,1.8781,200,52.6507,106.9775,140.0806,259.8360,145.7304,120.6139,0.0389,0.0328,Population structure converged. Difference: 0.0377
1,4,50.9543,40.4837,Warrior,74.4867,57.0679,47.5973,11.4565,9.3916,1.8781,200,52.6507,89.6277,119.3627,262.6911,111.0365,122.0187,0.0451,0.0328,Population structure converged. Difference: 0.0377
1,5,51.8666,42.9523,Warrior,78.5710,57.4028,44.5241,10.7168,8.7852,1.8781,200,52.6507,87.7634,112.5797,145.6780,59.3429,101.4189,0.0542,0.0328,Population structure converged. Difference: 0.0377
1,6,51.8666,45.4856,Warrior,78.5710,57.4028,44.5241,10.7168,8.7852,1.8781,200,52.6507,66.9588,106.1618,114.4333,21.8083,78.9255,0.0536,0.0328,Population structure converged. Difference: 0.0377
1,7,51.9098,46.8839,Warrior,82.6320,54.2480,44.5544,10.7241,7.8415,1.8781,200,52.6507,69.5873,90.3032,118.8791,12.2952,71.3267,0.0414,0.0328,Population structure converged. Difference: 0.0377
1,8,53.5088,49.3131,Warrior,76.4576,60.3984,48.6805,6.1380,8.3256,1.8781,200,52.6507,42.4234,73.4010,132.1490,7.3210,39.1268,0.0143,0.0328,Population structure converged. Difference: 0.0377
1,9,52.6507,50.7381,Warrior,80.8555,62.2894,37.3892,10.6970,8.7690,1.8781,200,52.6507,26.0460,47.6130,60.3917,3.6219,16.3860,0.0027,0.0328,Population structure converged. Difference: 0.0377
