Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.1831,28.7494,Warrior,70.4301,73.5507,42.2894,7.2117,6.5181,1.4469,200,58.1524,377.7571,406.0533,333.5673,621.0442,430.5331,0.0430,0.0795,Population structure converged. Difference: 0.0087
1,1,48.3813,32.3635,Warrior,71.7203,74.8981,43.0641,3.6800,6.6375,1.4469,200,58.1524,272.6259,441.6338,281.5385,406.0036,452.2887,0.0486,0.0795,Population structure converged. Difference: 0.0087
1,2,54.3429,34.7432,Warrior,70.4301,73.5507,42.2894,7.2117,6.5181,1.9044,200,58.1524,296.2087,393.1145,284.4134,342.3079,502.0330,0.0506,0.0795,Population structure converged. Difference: 0.0087
1,3,54.3429,38.4064,Warrior,70.4301,73.5507,42.2894,7.2117,6.5181,1.9044,200,58.1524,246.7626,383.9865,262.6181,244.6166,344.6206,0.0497,0.0795,Population structure converged. Difference: 0.0087
1,4,54.1086,40.0244,Warrior,70.4301,73.5507,42.2894,7.2117,6.5181,1.8924,200,58.1524,224.1732,365.6736,277.5182,168.2830,275.4924,0.0446,0.0795,Population structure converged. Difference: 0.0087
1,5,55.5080,42.1283,Warrior,83.9251,63.2630,40.7094,4.3167,7.7858,1.9447,200,58.1524,181.3067,316.9479,274.3252,107.0201,164.0005,0.0425,0.0795,Population structure converged. Difference: 0.0087
1,6,55.5080,43.5920,Warrior,83.9251,63.2630,40.7094,4.3167,7.7858,1.9447,200,58.1524,115.0351,262.8705,217.3145,87.8147,147.6688,0.0393,0.0795,Population structure converged. Difference: 0.0087
1,7,55.5080,45.2691,Warrior,83.9251,63.2630,40.7094,4.3167,7.7858,1.9447,200,58.1524,71.2204,252.3290,205.4559,67.3144,79.4555,0.0405,0.0795,Population structure converged. Difference: 0.0087
1,8,55.5080,47.0192,Warrior,83.9251,63.2630,40.7094,4.3167,7.7858,1.9447,200,58.1524,62.3522,164.5389,148.3890,34.8462,16.7382,0.0402,0.0795,Population structure converged. Difference: 0.0087
1,9,55.5080,48.4944,Warrior,83.9251,63.2630,40.7094,4.3167,7.7858,1.9447,200,58.1524,40.4059,107.9691,128.9138,15.0403,6.2756,0.0479,0.0795,Population structure converged. Difference: 0.0087
1,10,55.9994,49.7589,Warrior,90.3043,94.3055,4.7371,3.7997,6.8534,1.8933,200,58.1524,45.7117,103.0034,106.9176,14.9092,7.6919,0.0509,0.0795,Population structure converged. Difference: 0.0087
1,11,56.2793,51.1018,Warrior,90.7021,94.7210,4.7580,3.8165,6.0026,1.8933,200,58.1524,43.1322,118.8492,123.7454,12.4808,7.7101,0.0419,0.0795,Population structure converged. Difference: 0.0087
1,12,57.1821,52.4768,Warrior,84.3240,81.5811,23.6929,3.8679,6.5342,1.8933,200,58.1524,48.8183,118.6911,172.3780,12.9167,7.2875,0.0231,0.0795,Population structure converged. Difference: 0.0087
1,13,56.9800,53.8453,Warrior,82.4773,82.7796,24.0410,3.6780,7.0241,1.8933,200,58.1524,50.9558,106.5796,192.2350,3.9109,7.3557,0.0078,0.0795,Population structure converged. Difference: 0.0087
1,14,56.9800,54.3195,Warrior,82.4773,82.7796,24.0410,3.6780,7.0241,1.8933,200,58.1524,59.8968,106.5702,222.4413,2.9161,7.1768,0.0020,0.0795,Population structure converged. Difference: 0.0087
1,15,57.0642,54.8109,Warrior,82.5717,82.8743,24.0685,3.4534,7.0321,1.8933,200,58.1524,55.8908,96.8991,220.9474,2.0611,5.7786,0.0001,0.0795,Population structure converged. Difference: 0.0087
1,16,57.0792,55.1475,Warrior,80.9645,84.5520,24.5018,3.5324,6.4493,1.8933,200,58.1524,49.1608,91.2078,199.6938,1.6406,4.8167,0.0001,0.0795,Population structure converged. Difference: 0.0087
1,17,57.5418,55.5187,Warrior,79.9027,78.0706,33.5852,3.6577,4.7838,1.8933,200,58.1524,48.9676,92.0911,196.2488,1.2881,3.6562,0.0001,0.0795,Population structure converged. Difference: 0.0087
1,18,57.5789,55.8174,Warrior,82.0714,85.7078,23.6001,3.2852,5.3355,1.8933,200,58.1524,37.0956,87.3200,169.3934,1.2464,2.2623,0.0001,0.0795,Population structure converged. Difference: 0.0087
1,19,57.5418,56.1872,Warrior,79.9027,78.0706,33.5852,3.6577,4.7838,1.8933,200,58.1524,37.0479,66.8406,123.1445,1.0360,1.4096,0.0000,0.0795,Population structure converged. Difference: 0.0087
