Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.2618,35.0183,Warrior,81.6744,42.9690,51.4055,11.2233,12.7277,1.8744,200,57.7927,495.2862,385.5591,308.9688,351.0847,299.8706,0.0330,0.0160,Population structure converged. Difference: 0.0261
1,1,57.3906,42.2908,Warrior,81.8012,64.5986,49.3530,1.1985,3.0487,1.8744,200,57.7927,350.0701,213.0120,170.9387,175.3405,175.4555,0.0189,0.0160,Population structure converged. Difference: 0.0261
1,2,57.3906,49.5053,Warrior,81.8012,64.5986,49.3530,1.1985,3.0487,1.8744,200,57.7927,63.9138,114.3236,52.3199,34.7650,55.4496,0.0094,0.0160,Population structure converged. Difference: 0.0261
1,3,57.5290,53.2951,Warrior,77.8346,71.1643,46.9599,1.1404,2.9009,1.8744,200,57.7927,34.6717,85.5531,28.7760,22.6736,30.9222,0.0035,0.0160,Population structure converged. Difference: 0.0261
1,4,57.7927,56.3250,Warrior,83.7762,66.1583,45.7158,1.2274,3.1223,1.8744,200,57.7927,9.9255,36.8201,5.9446,9.1629,8.7935,0.0001,0.0160,Population structure converged. Difference: 0.0261
2,0,45.5688,33.4541,Warrior,81.9670,73.7118,17.3890,15.9236,11.0086,1.9997,200,50.9119,445.0317,425.1485,331.1505,475.2566,414.3617,0.0453,0.0228,Population structure converged. Difference: 0.0372
2,1,47.3266,40.2130,Warrior,63.6305,85.1630,20.0904,18.3973,12.7188,1.9445,200,50.9119,249.6901,174.6359,215.5296,191.3180,213.4775,0.0289,0.0228,Population structure converged. Difference: 0.0372
2,2,47.3266,43.8809,Warrior,63.6305,85.1630,20.0904,18.3973,12.7188,1.9445,200,50.9119,105.4236,68.8899,94.0386,42.9782,65.3114,0.0203,0.0228,Population structure converged. Difference: 0.0372
2,3,50.2998,45.0423,Warrior,81.2721,73.0869,17.2416,15.7886,12.6109,1.9445,200,50.9119,84.3788,29.0789,22.1743,13.3533,23.3504,0.0114,0.0228,Population structure converged. Difference: 0.0372
2,4,50.3330,45.8776,Warrior,81.0189,73.4822,17.1879,15.7394,12.5716,1.9445,200,50.9119,56.5244,33.7177,12.5401,7.0208,17.7731,0.0048,0.0228,Population structure converged. Difference: 0.0372
