Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.7271,29.2733,Warrior,55.2292,67.3530,64.0156,10.5559,2.8463,1.9354,200,56.0070,371.5017,399.1073,478.7586,404.8623,511.5422,0.0433,0.1004,Population structure converged. Difference: 0.0096
1,1,46.8835,32.1684,Warrior,72.3789,47.4954,55.2132,21.7423,3.1703,1.8767,200,56.0070,254.7404,354.8260,388.9962,276.3917,445.6013,0.0392,0.1004,Population structure converged. Difference: 0.0096
1,2,48.6295,35.1615,Warrior,60.1510,72.9035,46.4546,18.2933,2.1976,1.9354,200,56.0070,191.7856,349.6824,325.2020,167.4618,403.4338,0.0432,0.1004,Population structure converged. Difference: 0.0096
1,3,49.9479,37.6439,Warrior,68.1860,62.5342,48.0744,18.9311,2.2742,1.9354,200,56.0070,93.1899,213.3314,270.7741,130.1867,332.7017,0.0394,0.1004,Population structure converged. Difference: 0.0096
1,4,49.0221,38.9641,Warrior,72.0158,50.1469,63.6068,10.6320,3.5985,1.8497,200,56.0070,95.3050,160.8771,217.1243,114.6151,284.0056,0.0330,0.1004,Population structure converged. Difference: 0.0096
1,5,53.0451,40.4522,Warrior,74.7736,68.5758,41.6050,11.2660,3.7795,1.9560,200,56.0070,87.9302,125.8528,241.0592,100.8565,275.8083,0.0268,0.1004,Population structure converged. Difference: 0.0096
1,6,53.0451,42.4187,Warrior,74.7736,68.5758,41.6050,11.2660,3.7795,1.9560,200,56.0070,76.1835,118.7510,271.4074,80.6405,211.4719,0.0228,0.1004,Population structure converged. Difference: 0.0096
1,7,53.2448,43.9359,Warrior,75.0404,68.8205,41.7535,11.3062,3.0793,1.9560,200,56.0070,66.2024,122.6564,269.1535,79.2495,155.0179,0.0177,0.1004,Population structure converged. Difference: 0.0096
1,8,54.6664,45.1022,Warrior,76.5299,70.1866,42.3123,8.1114,2.8599,1.9560,200,56.0070,69.8747,130.8463,214.7973,72.5000,66.9371,0.0176,0.1004,Population structure converged. Difference: 0.0096
1,9,53.6595,45.9340,Warrior,75.0096,62.7137,51.4903,7.7084,3.0781,1.9560,200,56.0070,66.0865,134.7543,204.1658,69.7872,53.4772,0.0132,0.1004,Population structure converged. Difference: 0.0096
1,10,54.1931,47.2892,Warrior,75.2722,69.0331,44.1435,8.4624,3.0888,1.9560,200,56.0070,58.7373,132.5577,132.2144,57.0436,38.7165,0.0016,0.1004,Population structure converged. Difference: 0.0096
1,11,54.8908,47.7623,Warrior,79.9462,69.3978,38.9835,8.3416,3.3309,1.9560,200,56.0070,71.2165,111.5747,86.6247,65.1685,37.5063,0.0016,0.1004,Population structure converged. Difference: 0.0096
1,12,55.2335,49.2676,Warrior,77.2553,69.7380,42.0419,7.7543,3.2105,1.8767,200,56.0070,50.6343,89.4786,100.7708,62.2980,18.0107,0.0017,0.1004,Population structure converged. Difference: 0.0096
1,13,55.2335,50.2844,Warrior,77.2553,69.7380,42.0419,7.7543,3.2105,1.8767,200,56.0070,50.5515,76.9091,112.5761,47.8818,16.2773,0.0014,0.1004,Population structure converged. Difference: 0.0096
1,14,55.2335,50.9103,Warrior,77.2553,69.7380,42.0419,7.7543,3.2105,1.8767,200,56.0070,48.0720,81.9300,186.0773,44.1111,15.1226,0.0013,0.1004,Population structure converged. Difference: 0.0096
1,15,55.2335,51.8196,Warrior,77.2553,69.7380,42.0419,7.7543,3.2105,1.8767,200,56.0070,30.8143,43.9482,82.8127,19.9185,17.3334,0.0013,0.1004,Population structure converged. Difference: 0.0096
1,16,55.3406,52.6753,Warrior,77.3918,69.8612,42.1162,7.7680,2.8629,1.8767,200,56.0070,18.4916,29.5590,36.0857,7.8635,9.8599,0.0013,0.1004,Population structure converged. Difference: 0.0096
1,17,56.0142,52.9553,Warrior,80.2217,69.6369,38.6151,8.1190,3.4073,1.9354,200,56.0070,21.6679,29.6722,41.0889,6.6200,9.1679,0.0013,0.1004,Population structure converged. Difference: 0.0096
1,18,55.3087,53.4684,Warrior,76.6310,70.2793,42.6385,7.5950,2.8561,1.8767,200,56.0070,14.3648,26.9356,33.2717,5.1696,1.1269,0.0013,0.1004,Population structure converged. Difference: 0.0096
1,19,55.8425,53.8418,Warrior,76.5908,70.2424,42.6161,7.5910,2.9596,1.9354,200,56.0070,8.7851,23.3371,29.1589,3.8010,0.0376,0.0014,0.1004,Population structure converged. Difference: 0.0096
1,20,55.8729,54.1671,Warrior,76.6289,70.2774,42.6373,7.5988,2.8576,1.9354,200,56.0070,6.7760,19.3263,23.3239,3.2975,0.0306,0.0015,0.1004,Population structure converged. Difference: 0.0096
1,21,55.8765,54.3710,Warrior,76.6330,70.2811,42.6396,7.5956,2.8507,1.9354,200,56.0070,6.3723,15.1474,20.5889,1.6624,0.0267,0.0014,0.1004,Population structure converged. Difference: 0.0096
1,22,55.8729,54.6573,Warrior,76.6289,70.2774,42.6373,7.5988,2.8576,1.9354,200,56.0070,5.1427,5.9859,12.7713,2.1918,0.0170,0.0012,0.1004,Population structure converged. Difference: 0.0096
1,23,55.8745,54.8284,Warrior,76.6306,70.2789,42.6383,7.5958,2.8565,1.9354,200,56.0070,3.2935,3.9204,9.7863,0.3559,0.0098,0.0011,0.1004,Population structure converged. Difference: 0.0096
1,24,55.9092,54.9956,Warrior,76.6290,70.5296,42.4392,7.5595,2.8428,1.9354,200,56.0070,2.3251,2.8615,6.6322,0.2323,0.0075,0.0010,0.1004,Population structure converged. Difference: 0.0096
1,25,55.9111,55.2194,Warrior,76.6313,70.5317,42.4405,7.5597,2.8368,1.9354,200,56.0070,1.1423,1.6026,3.0004,0.0766,0.0047,0.0008,0.1004,Population structure converged. Difference: 0.0096
1,26,56.0070,55.3109,Warrior,79.0279,67.7144,42.7734,7.6191,2.8652,1.9354,200,56.0070,0.6295,1.0881,1.7314,0.0670,0.0035,0.0009,0.1004,Population structure converged. Difference: 0.0096
1,27,56.0070,55.4128,Warrior,79.0279,67.7144,42.7734,7.6191,2.8652,1.9354,200,56.0070,0.2641,0.5599,0.5390,0.0366,0.0031,0.0009,0.1004,Population structure converged. Difference: 0.0096
1,28,56.0070,55.4730,Warrior,79.0279,67.7144,42.7734,7.6191,2.8652,1.9354,200,56.0070,0.1057,0.3355,0.3009,0.0572,0.0030,0.0009,0.1004,Population structure converged. Difference: 0.0096
