Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.5456,30.1198,Warrior,75.6921,66.2878,11.8144,38.8150,7.3907,1.9237,200,59.9846,361.8297,386.4876,645.4270,375.2507,419.4629,0.0492,0.0365,Population structure converged. Difference: 0.0472
1,1,56.1570,34.1355,Warrior,97.3199,81.3529,9.9312,9.4211,1.9749,1.9190,200,59.9846,316.2828,247.9536,531.9814,424.8571,428.7362,0.0489,0.0365,Population structure converged. Difference: 0.0472
1,2,57.6109,37.2384,Warrior,102.5646,85.7371,5.7016,3.9154,2.0813,1.9190,200,59.9846,379.5207,277.8008,497.6327,288.9256,393.6781,0.0447,0.0365,Population structure converged. Difference: 0.0472
1,3,58.2002,41.0346,Warrior,78.2816,65.4382,53.3826,1.3090,1.5885,1.9190,200,59.9846,378.8513,340.0884,599.6057,250.4314,248.2572,0.0407,0.0365,Population structure converged. Difference: 0.0472
1,4,58.6224,45.6543,Warrior,83.6349,62.2201,51.3573,1.2594,1.5283,1.9190,200,59.9846,300.4247,317.8542,574.4096,158.1283,119.2358,0.0247,0.0365,Population structure converged. Difference: 0.0472
1,5,59.4918,48.5590,Warrior,100.3134,83.5521,13.1773,1.3359,1.6212,1.9190,200,59.9846,238.0870,295.6986,542.5354,109.9814,105.9815,0.0187,0.0365,Population structure converged. Difference: 0.0472
1,6,58.7201,50.5494,Warrior,93.3083,77.9995,23.4334,2.3757,2.8830,1.9431,200,59.9846,200.8205,290.0809,580.8665,72.6580,105.6989,0.0133,0.0365,Population structure converged. Difference: 0.0472
1,7,59.1258,53.4601,Warrior,103.1237,80.7814,13.0490,1.8375,1.2084,1.9190,200,59.9846,144.1776,261.4549,517.0752,28.5479,68.8379,0.0053,0.0365,Population structure converged. Difference: 0.0472
1,8,59.5445,55.4413,Warrior,100.4045,83.6279,13.1893,1.6761,1.1022,1.9190,200,59.9846,94.5628,178.2644,433.4177,20.6502,29.3358,0.0025,0.0365,Population structure converged. Difference: 0.0472
1,9,59.9846,56.4581,Warrior,96.2600,87.5717,13.8113,1.4220,0.9351,1.9190,200,59.9846,74.1693,154.2848,371.0653,13.7237,21.5229,0.0005,0.0365,Population structure converged. Difference: 0.0472
1,10,59.9846,57.2832,Warrior,96.2600,87.5717,13.8113,1.4220,0.9351,1.9190,200,59.9846,85.7437,127.4894,309.8303,13.0326,11.9563,0.0001,0.0365,Population structure converged. Difference: 0.0472
2,0,46.7922,30.3134,Warrior,110.0554,33.7552,42.3757,1.6242,12.1894,1.8832,200,59.8781,520.1256,394.9870,363.5591,426.5204,423.8219,0.0404,0.0365,Population structure converged. Difference: 0.0471
2,1,49.7907,34.1672,Warrior,73.0840,63.7324,45.0945,6.4482,11.6408,1.8241,200,59.8781,374.4535,274.4866,419.0756,358.9943,400.8580,0.0413,0.0365,Population structure converged. Difference: 0.0471
2,2,54.1005,37.8080,Warrior,77.3528,80.1202,30.9141,6.8459,4.7671,1.9682,200,59.8781,317.2568,222.1817,405.6019,198.7087,431.8116,0.0273,0.0365,Population structure converged. Difference: 0.0471
2,3,56.0374,41.1768,Warrior,101.5653,67.6240,26.0925,1.3873,3.3308,1.9682,200,59.8781,381.0976,224.1061,345.8015,162.9247,354.5599,0.0168,0.0365,Population structure converged. Difference: 0.0471
2,4,56.2425,44.6300,Warrior,101.8947,67.8433,26.1771,1.3918,2.6931,1.9682,200,59.8781,399.5949,233.1124,233.3576,128.9328,303.2438,0.0067,0.0365,Population structure converged. Difference: 0.0471
2,5,58.2957,48.6856,Warrior,101.8947,67.8433,26.1771,1.3918,2.6931,1.9378,200,59.8781,310.2518,239.8085,290.8925,96.9960,106.6826,0.0046,0.0365,Population structure converged. Difference: 0.0471
2,6,59.2403,51.3214,Warrior,80.2956,83.1683,32.0902,1.5097,2.9363,1.9113,200,59.8781,236.2651,221.6024,342.3536,46.3933,57.0000,0.0015,0.0365,Population structure converged. Difference: 0.0471
2,7,59.2673,52.9191,Warrior,80.3034,83.1967,32.1011,1.2934,3.1054,1.9113,200,59.8781,160.7122,210.7156,313.7896,23.7419,27.2522,0.0012,0.0365,Population structure converged. Difference: 0.0471
2,8,59.3255,54.8285,Warrior,80.3667,83.2703,32.1296,1.2946,2.9389,1.9113,200,59.8781,89.8274,166.2199,215.4929,11.8227,19.6944,0.0008,0.0365,Population structure converged. Difference: 0.0471
2,9,59.3637,56.2124,Warrior,80.4198,83.2970,32.1399,1.2183,2.9250,1.9113,200,59.8781,62.9958,131.5535,164.1144,2.9362,1.2736,0.0007,0.0365,Population structure converged. Difference: 0.0471
2,10,59.8781,57.1859,Warrior,87.4305,78.2429,30.1897,1.2164,2.9205,1.9113,200,59.8781,34.7542,125.0769,116.0499,1.7284,1.1265,0.0008,0.0365,Population structure converged. Difference: 0.0471
3,0,43.6109,31.0767,Warrior,75.2620,35.0411,72.4342,8.9209,8.3418,1.8110,200,58.1853,326.7186,391.1346,354.3206,381.9816,381.7362,0.0346,0.0465,Population structure converged. Difference: 0.0394
3,1,48.0584,34.2352,Warrior,66.9927,66.3283,42.2834,2.5500,21.8456,1.8304,200,58.1853,320.5645,343.2947,416.6610,310.8115,329.4217,0.0376,0.0465,Population structure converged. Difference: 0.0394
3,2,52.1415,38.0272,Warrior,85.9337,53.6108,40.7494,10.1835,9.5225,1.8945,200,58.1853,212.9824,319.7776,434.7145,211.4891,186.1370,0.0391,0.0465,Population structure converged. Difference: 0.0394
3,3,53.4363,41.5164,Warrior,80.2176,61.9163,39.4708,9.5062,8.8891,1.8945,200,58.1853,125.4430,230.5727,382.1910,72.1638,94.1747,0.0390,0.0465,Population structure converged. Difference: 0.0394
3,4,53.7554,44.1450,Warrior,80.6478,62.2484,39.6825,9.5571,7.8641,1.8945,200,58.1853,97.5718,223.9716,319.1764,76.0133,81.7281,0.0271,0.0465,Population structure converged. Difference: 0.0394
3,5,55.1911,46.4961,Warrior,72.7362,72.0149,42.8547,2.7686,9.6256,1.8945,200,58.1853,74.6854,148.5977,177.9061,60.1480,68.7572,0.0182,0.0465,Population structure converged. Difference: 0.0394
3,6,55.4523,48.3633,Warrior,78.6392,79.2929,28.2607,9.9706,3.8365,1.8945,200,58.1853,75.3851,151.4007,163.0804,52.6569,61.0848,0.0116,0.0465,Population structure converged. Difference: 0.0394
3,7,55.9345,50.0816,Warrior,77.3251,69.4181,41.3095,2.6688,9.2785,1.8945,200,58.1853,45.6590,119.5837,114.2227,27.7920,35.0240,0.0016,0.0465,Population structure converged. Difference: 0.0394
3,8,55.9345,50.9538,Warrior,77.3251,69.4181,41.3095,2.6688,9.2785,1.8945,200,58.1853,40.8755,124.1224,102.0479,24.6171,33.8122,0.0014,0.0465,Population structure converged. Difference: 0.0394
3,9,57.5027,52.4804,Warrior,83.8653,64.7318,44.2061,2.7645,4.4323,1.8945,200,58.1853,40.9778,82.6477,71.1794,16.6732,15.6854,0.0007,0.0465,Population structure converged. Difference: 0.0394
3,10,57.7700,53.5832,Warrior,79.8107,71.2716,42.0689,2.6308,4.2180,1.8945,200,58.1853,34.0260,65.7126,63.2065,14.4246,11.5674,0.0002,0.0465,Population structure converged. Difference: 0.0394
3,11,57.7700,54.2504,Warrior,79.8107,71.2716,42.0689,2.6308,4.2180,1.8945,200,58.1853,28.3572,60.9823,64.0399,14.9367,5.2057,0.0002,0.0465,Population structure converged. Difference: 0.0394
3,12,58.1853,54.9933,Warrior,81.0232,81.6967,30.2412,2.7039,4.3351,1.8945,200,58.1853,22.2354,52.1273,55.8997,14.8299,6.3461,0.0001,0.0465,Population structure converged. Difference: 0.0394
3,13,58.1853,55.9786,Warrior,81.0232,81.6967,30.2412,2.7039,4.3351,1.8945,200,58.1853,24.9310,27.9472,37.7035,11.5090,6.7954,0.0000,0.0465,Population structure converged. Difference: 0.0394
4,0,44.9982,28.8205,Warrior,51.8646,59.0056,75.6467,7.2354,6.2477,1.9423,200,56.1339,359.7978,411.9095,426.7237,523.9163,454.3694,0.0429,0.0368,Population structure converged. Difference: 0.0397
4,1,52.1812,32.7733,Warrior,74.7886,74.6058,27.6441,15.3422,7.6194,1.9030,200,56.1339,256.8919,363.5693,334.6252,301.0684,403.6954,0.0437,0.0368,Population structure converged. Difference: 0.0397
4,2,52.1812,36.0719,Warrior,74.7886,74.6058,27.6441,15.3422,7.6194,1.9030,200,56.1339,271.5508,267.9185,289.8487,234.6770,355.7682,0.0335,0.0368,Population structure converged. Difference: 0.0397
4,3,52.1600,38.4337,Warrior,76.1380,73.2984,27.1878,15.6190,7.7568,1.9030,200,56.1339,219.9538,244.3386,292.0105,162.7014,253.5386,0.0336,0.0368,Population structure converged. Difference: 0.0397
4,4,54.2956,41.6078,Warrior,73.9188,77.9601,31.6956,9.4346,6.9908,1.9022,200,56.1339,170.6159,245.3854,287.5361,115.2787,161.5613,0.0266,0.0368,Population structure converged. Difference: 0.0397
4,5,54.5372,45.3228,Warrior,77.3597,67.2492,39.4889,8.2463,7.6559,1.9022,200,56.1339,140.9581,213.6931,257.4500,77.2199,110.1270,0.0183,0.0368,Population structure converged. Difference: 0.0397
4,6,54.9488,48.2123,Warrior,77.6985,74.8008,31.8656,9.6512,5.9838,1.9022,200,56.1339,89.7849,173.0727,199.8084,31.6742,56.8784,0.0103,0.0368,Population structure converged. Difference: 0.0397
4,7,56.0254,50.3109,Warrior,88.2451,63.8857,35.5045,6.4119,5.9528,1.9022,200,56.1339,66.3937,129.2011,148.7878,16.0135,33.9692,0.0060,0.0368,Population structure converged. Difference: 0.0397
4,8,56.1339,52.2282,Warrior,78.0012,74.4156,35.2924,6.3736,5.9173,1.9022,200,56.1339,45.4877,88.5183,124.8374,10.5188,2.7815,0.0022,0.0368,Population structure converged. Difference: 0.0397
4,9,56.1339,53.1265,Warrior,78.0012,74.4156,35.2924,6.3736,5.9173,1.9022,200,56.1339,31.3097,72.7529,93.8310,7.2466,1.6138,0.0013,0.0368,Population structure converged. Difference: 0.0397
4,10,56.1339,53.9892,Warrior,78.0012,74.4156,35.2924,6.3736,5.9173,1.9022,200,56.1339,15.0449,42.9774,53.9119,6.0441,0.5889,0.0000,0.0368,Population structure converged. Difference: 0.0397
5,0,50.0803,30.1937,Warrior,68.3339,90.8073,26.2480,11.1887,3.4221,1.9787,200,56.6060,382.4922,349.9671,435.6971,402.7826,418.4983,0.0485,0.0393,Population structure converged. Difference: 0.0360
5,1,50.0803,33.7856,Warrior,68.3339,90.8073,26.2480,11.1887,3.4221,1.9787,200,56.6060,255.9559,340.6841,427.9105,253.6868,358.1566,0.0398,0.0393,Population structure converged. Difference: 0.0360
5,2,54.7702,36.8402,Warrior,80.5051,60.1953,47.4093,11.5371,0.3531,1.9243,200,56.6060,184.5492,395.5739,453.9226,221.6509,288.9276,0.0426,0.0393,Population structure converged. Difference: 0.0360
5,3,52.3439,39.3973,Warrior,79.9202,76.9267,29.4956,10.9601,2.6974,1.9787,200,56.6060,182.5583,331.0974,364.7632,236.5278,264.6968,0.0379,0.0393,Population structure converged. Difference: 0.0360
5,4,53.2192,42.8548,Warrior,82.1649,79.0874,27.0736,8.9398,2.7343,1.9787,200,56.6060,160.3628,323.3905,325.1550,154.8437,199.0693,0.0310,0.0393,Population structure converged. Difference: 0.0360
5,5,55.2302,46.5101,Warrior,79.6594,76.6757,29.3994,10.9243,3.3413,1.8910,200,56.6060,108.7703,283.8110,284.9072,99.1265,102.6519,0.0250,0.0393,Population structure converged. Difference: 0.0360
5,6,55.2302,49.3057,Warrior,79.6594,76.6757,29.3994,10.9243,3.3413,1.8910,200,56.6060,82.5740,205.1281,193.3409,14.7465,31.0851,0.0149,0.0393,Population structure converged. Difference: 0.0360
