Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.4320,34.5195,Warrior,79.2455,74.8808,30.1478,2.8360,12.8899,1.4925,200,55.6260,474.8965,617.6911,548.1419,466.9618,524.9805,0.0266,0.1001,Population structure converged. Difference: 0.0095
1,1,49.3984,40.5295,Warrior,82.3181,77.7841,31.3167,2.9460,5.6350,1.4925,200,55.6260,326.1759,397.3102,439.7064,333.5542,253.0366,0.0243,0.1001,Population structure converged. Difference: 0.0095
1,2,53.7624,43.1873,Warrior,70.9395,80.0314,32.2215,3.0311,13.7765,1.9364,200,55.6260,198.1841,356.0498,297.5931,178.6350,126.3637,0.0187,0.1001,Population structure converged. Difference: 0.0095
1,3,53.7624,46.7879,Warrior,70.9395,80.0314,32.2215,3.0311,13.7765,1.9364,200,55.6260,102.1568,217.0447,73.2366,59.0203,43.7242,0.0366,0.1001,Population structure converged. Difference: 0.0095
1,4,55.1741,49.9689,Warrior,79.2455,74.8808,30.1478,2.8360,12.8899,1.9364,200,55.6260,49.4126,101.1548,50.2914,1.1175,25.9294,0.0480,0.1001,Population structure converged. Difference: 0.0095
1,5,55.1741,51.3553,Warrior,79.2455,74.8808,30.1478,2.8360,12.8899,1.9364,200,55.6260,35.1384,98.2151,77.6936,0.7835,15.6199,0.0384,0.1001,Population structure converged. Difference: 0.0095
1,6,55.1741,52.5733,Warrior,79.2455,74.8808,30.1478,2.8360,12.8899,1.9364,200,55.6260,13.2482,18.3985,6.3363,0.2506,7.1060,0.0308,0.1001,Population structure converged. Difference: 0.0095
1,7,55.1741,53.5320,Warrior,79.2455,74.8808,30.1478,2.8360,12.8899,1.9364,200,55.6260,8.2339,5.4453,2.8037,0.2352,0.7673,0.0146,0.1001,Population structure converged. Difference: 0.0095
1,8,54.9239,53.7707,Warrior,77.2450,76.1213,30.6473,2.8830,13.1034,1.9364,200,55.6260,7.4260,4.9242,1.3472,0.4284,0.4707,0.0095,0.1001,Population structure converged. Difference: 0.0095
1,9,54.9239,54.1533,Warrior,77.2450,76.1213,30.6473,2.8830,13.1034,1.9364,200,55.6260,6.5920,4.5415,1.0876,0.4153,0.4269,0.0020,0.1001,Population structure converged. Difference: 0.0095
1,10,54.9456,54.1725,Warrior,78.4050,74.0866,31.2957,2.5823,13.6304,1.9364,200,55.6260,8.5955,5.5312,0.9660,1.1759,0.3192,0.0020,0.1001,Population structure converged. Difference: 0.0095
1,11,55.0707,54.2185,Warrior,76.8181,76.8540,30.9423,2.9108,12.4749,1.9364,200,55.6260,7.0903,4.6748,0.9175,0.6465,0.2751,0.0039,0.1001,Population structure converged. Difference: 0.0095
1,12,55.0707,54.3914,Warrior,76.8181,76.8540,30.9423,2.9108,12.4749,1.9364,200,55.6260,6.5417,4.3284,1.1845,0.6441,0.3202,0.0020,0.1001,Population structure converged. Difference: 0.0095
1,13,55.0707,54.4860,Warrior,76.8181,76.8540,30.9423,2.9108,12.4749,1.9364,200,55.6260,5.4559,3.7803,1.0558,0.2366,0.3492,0.0020,0.1001,Population structure converged. Difference: 0.0095
1,14,55.5034,54.6273,Warrior,78.0310,76.0869,31.5052,3.1073,11.2695,1.9364,200,55.6260,4.4996,3.6742,1.0711,0.0073,0.2954,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,15,55.5034,54.6845,Warrior,78.0310,76.0869,31.5052,3.1073,11.2695,1.9364,200,55.6260,3.5825,3.5937,1.0193,0.0088,0.3682,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,16,55.5360,54.7300,Warrior,79.6862,75.2972,30.3155,3.1409,11.5603,1.9364,200,55.6260,3.1753,2.9988,1.1446,0.0139,0.6102,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,17,55.5360,54.7974,Warrior,79.6862,75.2972,30.3155,3.1409,11.5603,1.9364,200,55.6260,2.3766,2.6942,1.1937,0.0172,0.6280,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,18,55.5704,54.8553,Warrior,79.1430,74.7839,31.6364,3.1202,11.3165,1.9364,200,55.6260,2.2451,2.1120,0.9872,0.0089,0.6461,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,19,55.5704,54.8764,Warrior,79.1430,74.7839,31.6364,3.1202,11.3165,1.9364,200,55.6260,1.9256,1.7138,0.9382,0.0047,0.7285,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,20,55.5912,54.8961,Warrior,78.3720,75.5247,31.9029,2.9367,11.2638,1.9364,200,55.6260,1.3505,1.4600,0.7212,0.0053,0.7126,0.0000,0.1001,Population structure converged. Difference: 0.0095
1,21,55.6260,55.0171,Warrior,78.6526,75.3504,31.8293,2.9299,11.2378,1.9364,200,55.6260,1.1599,1.0319,0.7046,0.0054,0.8741,0.0000,0.1001,Population structure converged. Difference: 0.0095
