Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.5198,28.4751,Warrior,63.0605,59.3855,60.3950,12.7623,4.3968,1.9076,200,58.5094,340.5234,394.3081,443.1542,254.2685,458.0565,0.0392,0.0940,Population structure converged. Difference: 0.0076
1,1,49.5198,30.7575,Warrior,63.0605,59.3855,60.3950,12.7623,4.3968,1.9076,200,58.5094,163.0880,256.7914,423.0012,234.0970,423.6124,0.0432,0.0940,Population structure converged. Difference: 0.0076
1,2,49.5198,33.4045,Warrior,63.0605,59.3855,60.3950,12.7623,4.3968,1.9076,200,58.5094,73.3213,177.6694,396.6330,200.5461,378.4048,0.0383,0.0940,Population structure converged. Difference: 0.0076
1,3,49.5198,35.3306,Warrior,63.0605,59.3855,60.3950,12.7623,4.3968,1.9076,200,58.5094,37.0221,132.6704,380.0966,224.8756,296.7950,0.0324,0.0940,Population structure converged. Difference: 0.0076
1,4,49.5198,37.0883,Warrior,63.0605,59.3855,60.3950,12.7623,4.3968,1.9076,200,58.5094,40.0666,123.3950,227.8839,132.1111,248.0497,0.0345,0.0940,Population structure converged. Difference: 0.0076
1,5,50.5518,38.9562,Warrior,64.3452,60.5953,61.6254,13.0223,0.4117,1.9147,200,58.5094,34.8964,122.5311,223.5786,106.2662,213.8098,0.0221,0.0940,Population structure converged. Difference: 0.0076
1,6,50.5518,40.9559,Warrior,64.3452,60.5953,61.6254,13.0223,0.4117,1.9147,200,58.5094,33.4163,121.3928,252.4274,89.9492,133.5917,0.0116,0.0940,Population structure converged. Difference: 0.0076
1,7,52.0560,42.4696,Warrior,73.5194,78.4682,25.3394,16.8633,5.8096,1.9076,200,58.5094,38.9050,121.3260,233.3574,69.9091,109.7950,0.0106,0.0940,Population structure converged. Difference: 0.0076
1,8,52.4502,45.0801,Warrior,74.0425,79.0265,25.5197,16.9833,4.4280,1.9076,200,58.5094,27.8047,83.1117,222.6035,57.8657,83.5877,0.0082,0.0940,Population structure converged. Difference: 0.0076
1,9,53.3129,46.4498,Warrior,75.0578,62.7374,44.7174,7.3685,10.1189,1.9343,200,58.5094,23.3232,102.5971,224.7533,52.5051,64.5355,0.0080,0.0940,Population structure converged. Difference: 0.0076
1,10,53.3129,47.5028,Warrior,75.0578,62.7374,44.7174,7.3685,10.1189,1.9343,200,58.5094,29.9856,98.8970,225.6993,40.9244,49.9091,0.0080,0.0940,Population structure converged. Difference: 0.0076
1,11,54.0187,47.9504,Warrior,78.4172,69.1341,34.1786,7.6983,10.5718,1.9343,200,58.5094,39.6296,106.9942,224.1145,42.1585,33.6339,0.0060,0.0940,Population structure converged. Difference: 0.0076
1,12,54.1525,49.2405,Warrior,81.3765,69.4053,32.2284,16.4691,0.5207,1.9147,200,58.5094,40.4771,108.0008,216.2045,35.6758,25.4359,0.0021,0.0940,Population structure converged. Difference: 0.0076
1,13,54.1525,50.2877,Warrior,81.3765,69.4053,32.2284,16.4691,0.5207,1.9147,200,58.5094,35.1282,109.2194,200.8352,21.8518,12.8519,0.0020,0.0940,Population structure converged. Difference: 0.0076
1,14,56.8200,51.0255,Warrior,76.6569,76.5086,37.8245,8.5194,0.4905,1.9147,200,58.5094,43.8078,113.5425,182.7889,16.4763,13.2979,0.0020,0.0940,Population structure converged. Difference: 0.0076
1,15,56.8200,51.7727,Warrior,76.6569,76.5086,37.8245,8.5194,0.4905,1.9147,200,58.5094,53.3123,97.8396,166.6118,16.8478,10.4869,0.0001,0.0940,Population structure converged. Difference: 0.0076
1,16,56.8200,52.6877,Warrior,76.6569,76.5086,37.8245,8.5194,0.4905,1.9147,200,58.5094,54.5889,75.0819,105.4999,15.4734,13.8280,0.0001,0.0940,Population structure converged. Difference: 0.0076
