Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.9958,28.2778,Warrior,66.8256,48.1383,53.4047,6.8876,24.7438,1.9116,200,59.8658,311.9906,457.3026,517.8524,497.1818,553.6500,0.0340,0.2283,Population structure converged. Difference: 0.0097
1,1,46.0508,30.2465,Warrior,65.9248,47.4894,52.6848,6.7947,27.1063,1.9361,200,59.8658,330.5831,353.7850,504.2615,411.2171,365.1188,0.0324,0.2283,Population structure converged. Difference: 0.0097
1,2,53.9259,31.7866,Warrior,69.7653,80.9609,38.6330,6.7564,3.8843,1.8661,200,59.8658,309.5272,309.7845,431.7877,422.2550,312.7165,0.0322,0.2283,Population structure converged. Difference: 0.0097
1,3,50.9919,32.2401,Warrior,83.2090,79.4674,11.5569,21.3349,4.4318,1.9361,200,59.8658,342.9041,264.0902,410.0220,389.8761,271.8258,0.0346,0.2283,Population structure converged. Difference: 0.0097
1,4,51.4690,33.6337,Warrior,74.5292,71.1779,31.2140,19.1094,3.9695,1.9361,200,59.8658,322.9091,236.7079,334.9455,316.4743,187.2696,0.0329,0.2283,Population structure converged. Difference: 0.0097
1,5,51.4690,33.9668,Warrior,74.5292,71.1779,31.2140,19.1094,3.9695,1.9361,200,59.8658,346.3938,294.7680,342.7458,368.5297,231.2594,0.0327,0.2283,Population structure converged. Difference: 0.0097
1,6,54.9944,35.4278,Warrior,65.6859,69.6691,62.5725,0.2782,1.7944,1.9361,200,59.8658,365.4234,264.8368,347.2381,333.5076,252.1844,0.0333,0.2283,Population structure converged. Difference: 0.0097
1,7,54.9944,37.1814,Warrior,65.6859,69.6691,62.5725,0.2782,1.7944,1.9361,200,59.8658,406.9823,255.2548,275.7585,301.4753,253.0471,0.0347,0.2283,Population structure converged. Difference: 0.0097
1,8,55.0545,39.0660,Warrior,104.4437,66.5328,18.7884,8.7021,1.5330,1.9361,200,59.8658,365.4853,233.7710,289.4134,212.8697,258.5020,0.0328,0.2283,Population structure converged. Difference: 0.0097
1,9,58.3769,40.7302,Warrior,87.6232,58.2901,52.3526,0.2327,1.5013,1.9361,200,59.8658,382.2878,216.1322,299.2995,221.2324,270.0842,0.0303,0.2283,Population structure converged. Difference: 0.0097
1,10,58.3769,41.5622,Warrior,87.6232,58.2901,52.3526,0.2327,1.5013,1.9361,200,59.8658,428.8234,197.7389,348.3144,228.6299,248.3328,0.0281,0.2283,Population structure converged. Difference: 0.0097
1,11,59.0082,43.5668,Warrior,87.3634,81.1097,26.0396,2.5816,2.9056,1.9361,200,59.8658,453.6395,194.8241,388.5949,216.9877,214.7557,0.0245,0.2283,Population structure converged. Difference: 0.0097
1,12,58.9447,43.7543,Warrior,102.4689,66.7822,28.5073,0.6814,1.5601,1.9361,200,59.8658,364.7547,183.8981,354.5703,224.4132,199.2709,0.0220,0.2283,Population structure converged. Difference: 0.0097
1,13,59.3659,45.2753,Warrior,103.0216,77.8235,16.3852,0.3717,2.3979,1.9116,200,59.8658,352.6914,181.2837,284.7342,116.3406,174.7199,0.0167,0.2283,Population structure converged. Difference: 0.0097
1,14,59.7054,46.8321,Warrior,90.7450,87.2897,18.8688,1.2901,1.8064,1.9361,200,59.8658,263.0178,169.0950,270.4868,88.9643,166.4640,0.0210,0.2283,Population structure converged. Difference: 0.0097
1,15,60.0611,48.6954,Warrior,94.1471,84.9452,17.8847,0.4057,2.6174,1.9116,200,59.8658,278.7692,160.5452,235.6905,40.9400,153.6284,0.0175,0.2283,Population structure converged. Difference: 0.0097
