Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.4090,28.7931,Warrior,68.1306,63.0530,55.2079,2.8460,10.7624,1.9646,200,56.5641,325.7882,601.3448,372.0921,441.8948,470.6225,0.0379,0.0418,Population structure converged. Difference: 0.0476
1,1,51.4090,32.1872,Warrior,68.1306,63.0530,55.2079,2.8460,10.7624,1.9646,200,56.5641,259.0997,629.0788,317.4339,341.5646,458.0266,0.0251,0.0418,Population structure converged. Difference: 0.0476
1,2,51.4090,35.6570,Warrior,68.1306,63.0530,55.2079,2.8460,10.7624,1.9646,200,56.5641,214.5138,430.1663,252.3685,263.0041,295.3303,0.0202,0.0418,Population structure converged. Difference: 0.0476
1,3,51.4090,38.2180,Warrior,68.1306,63.0530,55.2079,2.8460,10.7624,1.9646,200,56.5641,228.7064,268.1612,226.7556,185.1148,225.5272,0.0207,0.0418,Population structure converged. Difference: 0.0476
1,4,51.4090,41.4537,Warrior,68.1306,63.0530,55.2079,2.8460,10.7624,1.9646,200,56.5641,183.9662,196.1643,193.2195,149.5117,149.1167,0.0216,0.0418,Population structure converged. Difference: 0.0476
1,5,51.9886,44.2726,Warrior,64.4490,85.9300,32.5380,3.5589,13.5242,1.9380,200,56.5641,94.0047,166.0795,187.8313,84.0994,98.1165,0.0261,0.0418,Population structure converged. Difference: 0.0476
1,6,51.9886,47.4523,Warrior,64.4490,85.9300,32.5380,3.5589,13.5242,1.9380,200,56.5641,63.1330,169.2189,187.0837,47.7848,45.1810,0.0126,0.0418,Population structure converged. Difference: 0.0476
1,7,52.8955,49.1212,Warrior,70.7371,77.3748,37.7591,2.9549,11.1742,1.9646,200,56.5641,51.5309,141.3044,142.3669,21.5926,16.3719,0.0093,0.0418,Population structure converged. Difference: 0.0476
1,8,54.0482,50.4978,Warrior,73.4030,74.5237,36.3677,9.5770,6.1286,1.9380,200,56.5641,33.8379,103.1542,129.6299,11.4152,15.3920,0.0047,0.0418,Population structure converged. Difference: 0.0476
1,9,54.3690,51.1755,Warrior,70.5623,83.7611,31.7167,3.4691,10.4908,1.9380,200,56.5641,30.7460,104.6086,98.0997,5.7073,11.0673,0.0033,0.0418,Population structure converged. Difference: 0.0476
1,10,55.3242,51.9942,Warrior,74.0480,75.1785,36.6873,2.9459,11.1404,1.9233,200,56.5641,30.0697,97.6402,89.4027,2.1189,3.2984,0.0018,0.0418,Population structure converged. Difference: 0.0476
1,11,55.3242,52.6034,Warrior,74.0480,75.1785,36.6873,2.9459,11.1404,1.9233,200,56.5641,27.8634,69.6768,57.3815,1.8176,2.6845,0.0017,0.0418,Population structure converged. Difference: 0.0476
1,12,56.5641,53.1650,Warrior,75.4265,76.5780,38.6717,3.0263,6.2975,1.9380,200,56.5641,27.7116,52.1456,42.7457,3.2658,3.2123,0.0007,0.0418,Population structure converged. Difference: 0.0476
1,13,56.5641,53.9929,Warrior,75.4265,76.5780,38.6717,3.0263,6.2975,1.9380,200,56.5641,16.3713,38.9977,23.8685,2.3968,3.2220,0.0002,0.0418,Population structure converged. Difference: 0.0476
2,0,42.0162,28.6449,Warrior,47.1974,76.1323,58.1328,14.9595,3.5781,1.9646,200,54.6659,472.7444,428.8213,433.3040,576.1245,587.9750,0.0318,0.0650,Population structure converged. Difference: 0.0455
2,1,42.0162,32.7454,Warrior,47.1974,76.1323,58.1328,14.9595,3.5781,1.9646,200,54.6659,325.2002,385.1363,316.2741,360.5787,401.9787,0.0351,0.0650,Population structure converged. Difference: 0.0455
2,2,43.0993,35.3199,Warrior,58.1413,56.7532,39.6458,14.0743,31.3854,1.9030,200,54.6659,222.5110,417.0123,297.9965,243.3290,341.4105,0.0324,0.0650,Population structure converged. Difference: 0.0455
2,3,45.5345,38.6896,Warrior,62.1042,46.6963,69.2171,17.7394,4.2430,1.9030,200,54.6659,114.8797,339.8403,214.1801,97.5954,275.6788,0.0157,0.0650,Population structure converged. Difference: 0.0455
2,4,48.4621,40.9774,Warrior,77.9875,51.5390,41.4525,18.1060,10.9150,1.8894,200,54.6659,69.1092,192.8345,98.8641,21.8661,173.5796,0.0065,0.0650,Population structure converged. Difference: 0.0455
2,5,50.7627,42.1043,Warrior,67.4989,65.8873,46.0266,16.3394,4.2478,1.9030,200,54.6659,71.1093,158.6454,117.2010,16.4595,155.4522,0.0049,0.0650,Population structure converged. Difference: 0.0455
2,6,50.7627,43.7798,Warrior,67.4989,65.8873,46.0266,16.3394,4.2478,1.9030,200,54.6659,69.9048,133.4212,105.0881,13.9706,134.0317,0.0013,0.0650,Population structure converged. Difference: 0.0455
