Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.2940,31.1673,Warrior,87.9415,74.7407,2.0574,13.3972,21.8633,1.9393,200,54.1293,253.4464,320.9798,458.3830,472.7998,346.0112,0.0373,0.0361,Population structure converged. Difference: 0.0417
1,1,49.8171,35.9679,Warrior,69.5904,53.3960,54.6138,7.8029,14.5969,1.9393,200,54.1293,175.0511,209.8801,536.1543,183.3799,241.4967,0.0350,0.0361,Population structure converged. Difference: 0.0417
1,2,51.6608,40.0583,Warrior,70.2799,59.7303,51.0076,6.3452,12.6370,1.9393,200,54.1293,260.5676,244.9196,796.3664,73.9847,186.9159,0.0263,0.0361,Population structure converged. Difference: 0.0417
1,3,52.3423,44.3845,Warrior,71.2023,60.5142,50.6847,4.7960,12.8028,1.9393,200,54.1293,228.5664,242.5573,829.3055,56.6137,113.8795,0.0180,0.0361,Population structure converged. Difference: 0.0417
1,4,53.8063,48.0929,Warrior,75.5927,64.2456,43.8451,5.4542,10.8625,1.9393,200,54.1293,127.0317,147.0724,634.6588,19.6610,41.1974,0.0038,0.0361,Population structure converged. Difference: 0.0417
1,5,54.1293,50.4070,Warrior,77.2247,65.6326,40.8775,6.1380,10.1273,1.9393,200,54.1293,100.4354,119.3727,506.2517,7.4309,13.6008,0.0011,0.0361,Population structure converged. Difference: 0.0417
1,6,54.1293,51.9641,Warrior,77.2247,65.6326,40.8775,6.1380,10.1273,1.9393,200,54.1293,103.5458,113.9635,426.2676,2.3983,4.0800,0.0000,0.0361,Population structure converged. Difference: 0.0417
2,0,44.5843,30.6806,Warrior,60.3840,55.7354,48.5768,22.8075,12.4963,1.8918,200,58.4580,443.5884,442.2744,418.1967,318.0138,485.0353,0.0360,0.0573,Population structure converged. Difference: 0.0494
2,1,48.7057,35.6493,Warrior,60.5387,57.8936,71.4514,9.5959,0.5204,1.9450,200,58.4580,225.0606,375.0929,304.1443,171.2579,299.1935,0.0296,0.0573,Population structure converged. Difference: 0.0494
2,2,52.4516,40.9846,Warrior,69.0843,63.7659,55.5759,10.9785,0.5954,1.9450,200,58.4580,114.0984,451.6685,271.0253,73.9012,240.4299,0.0130,0.0573,Population structure converged. Difference: 0.0494
2,3,52.4516,43.9418,Warrior,69.0843,63.7659,55.5759,10.9785,0.5954,1.9450,200,58.4580,118.6550,343.8080,162.9673,59.6033,80.5306,0.0057,0.0573,Population structure converged. Difference: 0.0494
2,4,52.4516,46.9454,Warrior,69.0843,63.7659,55.5759,10.9785,0.5954,1.9450,200,58.4580,100.2962,187.2721,239.7947,50.5110,64.2416,0.0023,0.0573,Population structure converged. Difference: 0.0494
2,5,53.9074,49.1850,Warrior,67.9524,64.9833,61.8579,4.7261,0.4803,1.9450,200,58.4580,75.2015,122.9071,247.0510,41.3831,50.2116,0.0020,0.0573,Population structure converged. Difference: 0.0494
2,6,54.8503,50.9485,Warrior,78.4500,62.5244,45.3924,3.9992,9.6339,1.8918,200,58.4580,54.0644,89.1630,207.9779,28.4164,40.8153,0.0014,0.0573,Population structure converged. Difference: 0.0494
2,7,56.2513,52.2682,Warrior,88.0410,81.2632,19.6272,10.3467,0.7218,1.9450,200,58.4580,40.1275,60.8602,179.0063,25.4594,29.6049,0.0012,0.0573,Population structure converged. Difference: 0.0494
2,8,58.0190,53.5914,Warrior,85.1348,81.4150,26.9273,5.9211,0.6018,1.9450,200,58.4580,33.3934,62.9113,157.7978,17.8284,27.3357,0.0008,0.0573,Population structure converged. Difference: 0.0494
2,9,58.4385,54.6280,Warrior,86.1546,82.3902,25.9053,4.8093,0.7406,1.9450,200,58.4580,29.9470,81.2607,145.4128,9.4719,24.5346,0.0007,0.0573,Population structure converged. Difference: 0.0494
2,10,58.4580,55.7085,Warrior,85.6182,81.8772,27.0802,4.9239,0.5004,1.9450,200,58.4580,25.9800,87.7254,171.3039,4.9565,21.6041,0.0006,0.0573,Population structure converged. Difference: 0.0494
3,0,43.6325,29.6459,Warrior,48.1530,68.4810,65.1087,6.4893,11.7680,1.9533,200,57.2977,346.6675,373.1616,363.6603,461.8171,412.5434,0.0273,0.0504,Population structure converged. Difference: 0.0315
3,1,43.6325,33.9291,Warrior,48.1530,68.4810,65.1087,6.4893,11.7680,1.9533,200,57.2977,225.7182,250.1887,328.6537,341.7119,257.7861,0.0310,0.0504,Population structure converged. Difference: 0.0315
3,2,46.1960,37.6531,Warrior,59.4147,58.0542,51.5675,4.7499,26.2138,1.8793,200,57.2977,167.6323,158.8811,343.4988,247.9941,156.2177,0.0399,0.0504,Population structure converged. Difference: 0.0315
3,3,48.4830,40.6118,Warrior,59.4747,58.1128,70.9531,7.0718,4.3876,1.8793,200,57.2977,131.7130,157.2247,314.6614,163.5911,125.4114,0.0338,0.0504,Population structure converged. Difference: 0.0315
