Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.5467,28.6257,Warrior,70.0805,72.8882,38.0799,0.7876,18.1637,1.9844,200,56.0677,406.3275,422.4810,373.7772,506.4643,419.9909,0.0418,0.0660,Population structure converged. Difference: 0.0084
1,1,49.5467,32.0182,Warrior,70.0805,72.8882,38.0799,0.7876,18.1637,1.9844,200,56.0677,350.9691,340.6256,294.2971,403.8230,317.4642,0.0351,0.0660,Population structure converged. Difference: 0.0084
1,2,52.3164,36.8456,Warrior,70.0805,72.8882,38.0799,0.7876,18.1637,1.8717,200,56.0677,205.0650,293.4109,310.3025,331.0369,238.7185,0.0307,0.0660,Population structure converged. Difference: 0.0084
1,3,53.3040,39.3229,Warrior,78.2197,68.3219,35.6943,0.7383,17.0258,1.8652,200,56.0677,219.8247,196.9760,270.2385,299.3430,174.0932,0.0281,0.0660,Population structure converged. Difference: 0.0084
1,4,53.3040,40.9852,Warrior,78.2197,68.3219,35.6943,0.7383,17.0258,1.8652,200,56.0677,185.6395,194.7590,189.3147,321.9786,160.8168,0.0293,0.0660,Population structure converged. Difference: 0.0084
1,5,54.8804,44.6011,Warrior,85.4220,67.6574,35.3471,0.7311,10.8424,1.9657,200,56.0677,155.7851,117.2529,122.0295,212.0110,102.2653,0.0257,0.0660,Population structure converged. Difference: 0.0084
1,6,54.8804,46.2489,Warrior,85.4220,67.6574,35.3471,0.7311,10.8424,1.9657,200,56.0677,156.1226,88.9359,75.6902,113.7356,90.4815,0.0281,0.0660,Population structure converged. Difference: 0.0084
1,7,54.8804,48.5313,Warrior,85.4220,67.6574,35.3471,0.7311,10.8424,1.9657,200,56.0677,137.3638,45.1711,53.5162,63.4355,50.7441,0.0219,0.0660,Population structure converged. Difference: 0.0084
1,8,55.5117,49.9111,Warrior,80.2227,70.0715,37.4453,0.7745,11.4860,1.8717,200,56.0677,95.5242,38.8040,49.4890,35.9694,24.7296,0.0094,0.0660,Population structure converged. Difference: 0.0084
1,9,55.5336,50.8311,Warrior,79.6021,71.0766,37.1556,0.7685,11.3972,1.8717,200,56.0677,69.2577,33.8521,28.7898,23.5526,30.3899,0.0063,0.0660,Population structure converged. Difference: 0.0084
1,10,55.7325,51.5712,Warrior,79.8385,71.2877,37.2659,0.7333,10.8746,1.8717,200,56.0677,96.5256,30.8791,16.8092,13.3298,21.6483,0.0115,0.0660,Population structure converged. Difference: 0.0084
1,11,55.8750,52.6498,Warrior,85.4220,67.6574,35.3471,0.7311,10.8424,1.8717,200,56.0677,84.7505,29.9312,12.0301,1.2842,19.3070,0.0134,0.0660,Population structure converged. Difference: 0.0084
1,12,55.9860,53.8387,Warrior,83.1159,69.3632,36.2599,0.7114,10.5497,1.8717,200,56.0677,61.8513,23.1449,7.5740,0.0017,14.5992,0.0075,0.0660,Population structure converged. Difference: 0.0084
1,13,55.9444,54.0652,Warrior,84.2185,68.5550,35.8160,0.7208,10.6897,1.8717,200,56.0677,65.2981,30.8555,6.7306,0.0016,11.5734,0.0044,0.0660,Population structure converged. Difference: 0.0084
1,14,55.9860,54.6608,Warrior,83.1159,69.3632,36.2599,0.7114,10.5497,1.8717,200,56.0677,36.8010,14.2877,4.2885,0.0015,8.6221,0.0015,0.0660,Population structure converged. Difference: 0.0084
1,15,55.9860,54.9871,Warrior,83.1159,69.3632,36.2599,0.7114,10.5497,1.8717,200,56.0677,33.8950,16.6535,3.0256,0.0017,6.6480,0.0009,0.0660,Population structure converged. Difference: 0.0084
1,16,55.9872,55.4232,Warrior,83.2866,69.5057,35.8972,0.7391,10.5714,1.8717,200,56.0677,10.9410,5.9073,2.7832,0.0011,3.5567,0.0005,0.0660,Population structure converged. Difference: 0.0084
