Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.7248,27.9230,Warrior,59.0151,49.8020,55.3622,16.5162,19.3044,1.9449,200,56.6418,406.9411,435.8772,649.8274,469.2880,449.9106,0.0393,0.0479,Population structure converged. Difference: 0.0488
1,1,43.7248,31.8770,Warrior,59.0151,49.8020,55.3622,16.5162,19.3044,1.9449,200,56.6418,286.1401,340.8736,454.5646,314.0940,360.5902,0.0402,0.0479,Population structure converged. Difference: 0.0488
1,2,49.6794,34.5231,Warrior,77.2961,65.2291,27.1674,5.0231,25.2843,1.9449,200,56.6418,169.0184,274.9885,390.2106,230.0127,331.8993,0.0372,0.0479,Population structure converged. Difference: 0.0488
1,3,49.6794,36.9841,Warrior,77.2961,65.2291,27.1674,5.0231,25.2843,1.9449,200,56.6418,157.3595,256.2433,262.1426,137.4823,221.9799,0.0297,0.0479,Population structure converged. Difference: 0.0488
1,4,51.4614,39.0947,Warrior,67.5170,56.9766,63.3379,5.4607,6.7078,1.9449,200,56.6418,159.8845,236.3001,259.4958,111.3671,141.3547,0.0216,0.0479,Population structure converged. Difference: 0.0488
1,5,51.4614,40.9333,Warrior,67.5170,56.9766,63.3379,5.4607,6.7078,1.9449,200,56.6418,120.8820,200.5462,224.3491,85.9380,100.0471,0.0172,0.0479,Population structure converged. Difference: 0.0488
1,6,51.4614,43.2122,Warrior,67.5170,56.9766,63.3379,5.4607,6.7078,1.9449,200,56.6418,107.4972,164.9727,227.6890,62.5148,82.0561,0.0083,0.0479,Population structure converged. Difference: 0.0488
1,7,53.7038,45.0536,Warrior,77.3612,56.1598,54.5685,5.2989,6.6116,1.9449,200,56.6418,82.5437,132.5422,189.0078,61.4894,77.6148,0.0029,0.0479,Population structure converged. Difference: 0.0488
1,8,53.7038,46.4977,Warrior,77.3612,56.1598,54.5685,5.2989,6.6116,1.9449,200,56.6418,98.2521,112.2613,214.9115,54.6556,70.8080,0.0025,0.0479,Population structure converged. Difference: 0.0488
1,9,55.8897,48.2724,Warrior,85.2585,71.9485,29.9659,5.5405,7.2865,1.9449,200,56.6418,59.3604,60.8328,206.4936,35.8724,61.5649,0.0012,0.0479,Population structure converged. Difference: 0.0488
1,10,55.8897,49.4717,Warrior,85.2585,71.9485,29.9659,5.5405,7.2865,1.9449,200,56.6418,31.3471,35.9130,182.6158,21.9166,65.4668,0.0000,0.0479,Population structure converged. Difference: 0.0488
1,11,56.3183,50.7952,Warrior,85.7495,72.3628,30.1385,4.4208,7.3285,1.9449,200,56.6418,43.3236,29.6250,170.1752,12.5813,66.4675,0.0000,0.0479,Population structure converged. Difference: 0.0488
1,12,56.3183,52.1507,Warrior,85.7495,72.3628,30.1385,4.4208,7.3285,1.9449,200,56.6418,45.3870,45.0223,159.5888,6.2162,54.3114,0.0000,0.0479,Population structure converged. Difference: 0.0488
1,13,56.3183,53.0139,Warrior,85.7495,72.3628,30.1385,4.4208,7.3285,1.9449,200,56.6418,45.2922,51.8784,138.8217,4.3339,45.6203,0.0000,0.0479,Population structure converged. Difference: 0.0488
1,14,56.6418,54.0088,Warrior,86.1523,72.7027,30.2800,4.0916,6.7734,1.9449,200,56.6418,39.8232,54.8942,140.0610,0.6033,23.6909,0.0000,0.0479,Population structure converged. Difference: 0.0488
2,0,43.5009,29.2016,Warrior,54.1522,51.5806,63.8056,4.0108,26.4509,1.9524,200,54.9426,491.3134,388.7174,443.7606,353.3118,478.3152,0.0407,0.0476,Population structure converged. Difference: 0.0492
2,1,43.5009,31.4619,Warrior,54.1522,51.5806,63.8056,4.0108,26.4509,1.9524,200,54.9426,557.2300,325.0186,410.3926,253.4375,469.0565,0.0393,0.0476,Population structure converged. Difference: 0.0492
2,2,46.0227,33.6333,Warrior,80.2951,52.7947,32.4674,9.5465,24.8963,1.9710,200,54.9426,441.0067,239.6202,341.4040,195.7689,336.1144,0.0418,0.0476,Population structure converged. Difference: 0.0492
2,3,46.0227,36.6416,Warrior,80.2951,52.7947,32.4674,9.5465,24.8963,1.9710,200,54.9426,263.0568,187.5550,284.5622,98.7999,199.4390,0.0445,0.0476,Population structure converged. Difference: 0.0492
2,4,46.8855,38.4277,Warrior,78.2091,48.6459,50.5766,18.4320,4.1364,1.9752,200,54.9426,254.0782,151.4291,224.5195,50.8260,150.9340,0.0502,0.0476,Population structure converged. Difference: 0.0492
2,5,50.2478,39.6340,Warrior,94.6790,50.2742,38.6691,11.3700,5.0075,1.8500,200,54.9426,237.3862,169.1343,239.9825,44.3881,163.2662,0.0546,0.0476,Population structure converged. Difference: 0.0492
2,6,51.6610,40.7811,Warrior,94.6603,49.7630,40.9263,11.4273,3.2230,1.9524,200,54.9426,245.6150,155.7674,215.7751,42.3059,159.2958,0.0564,0.0476,Population structure converged. Difference: 0.0492
2,7,53.5945,42.3677,Warrior,90.0539,59.2112,36.4134,10.7068,3.6148,1.9524,200,54.9426,210.6470,141.5059,182.3013,46.1199,170.0009,0.0420,0.0476,Population structure converged. Difference: 0.0492
2,8,54.9426,44.5537,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,146.9789,127.6369,166.6991,32.5741,140.4678,0.0239,0.0476,Population structure converged. Difference: 0.0492
2,9,54.9426,46.0392,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,158.3376,100.3901,168.9684,31.5903,121.8118,0.0220,0.0476,Population structure converged. Difference: 0.0492
2,10,54.9426,47.5867,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,149.9533,69.8363,139.4461,23.3347,101.4250,0.0190,0.0476,Population structure converged. Difference: 0.0492
2,11,54.9426,48.9844,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,107.1843,72.0560,132.2210,20.0578,73.2089,0.0197,0.0476,Population structure converged. Difference: 0.0492
2,12,54.9426,50.1460,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,81.4155,74.6236,102.2183,14.6003,55.2206,0.0168,0.0476,Population structure converged. Difference: 0.0492
2,13,54.9426,51.3697,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,61.0581,54.4749,75.3047,10.2970,35.8536,0.0041,0.0476,Population structure converged. Difference: 0.0492
2,14,54.9426,52.3638,Warrior,83.1948,70.1010,33.6399,9.8913,3.1731,1.9524,200,54.9426,35.2330,39.9181,52.3705,4.5894,25.8036,0.0039,0.0476,Population structure converged. Difference: 0.0492
3,0,50.0842,28.0678,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.4143,200,59.5687,453.5933,394.0999,378.5063,523.5439,490.5823,0.0445,0.0428,Population structure converged. Difference: 0.0395
3,1,50.0842,31.4111,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.4143,200,59.5687,337.5777,348.6091,290.1825,329.2242,375.6579,0.0406,0.0428,Population structure converged. Difference: 0.0395
3,2,50.0842,34.5879,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.4143,200,59.5687,369.3924,337.6269,231.6985,230.3122,291.5478,0.0380,0.0428,Population structure converged. Difference: 0.0395
3,3,57.4331,38.1639,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.8699,200,59.5687,268.4558,242.6989,239.1804,139.7219,245.2147,0.0274,0.0428,Population structure converged. Difference: 0.0395
3,4,57.4331,40.8670,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.8699,200,59.5687,235.6236,237.7529,243.2299,116.1004,236.2039,0.0289,0.0428,Population structure converged. Difference: 0.0395
3,5,57.4331,43.2480,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.8699,200,59.5687,232.8008,218.3139,218.9745,86.0724,219.1666,0.0313,0.0428,Population structure converged. Difference: 0.0395
3,6,57.4331,46.4244,Warrior,95.1782,68.4590,30.2756,1.6305,4.4566,1.8699,200,59.5687,224.2739,241.5062,247.0397,76.2019,149.4160,0.0341,0.0428,Population structure converged. Difference: 0.0395
3,7,58.9669,48.3960,Warrior,96.8678,69.6743,30.8131,1.6595,0.9853,1.9479,200,59.5687,233.7453,270.4867,262.9414,62.0707,129.0503,0.0292,0.0428,Population structure converged. Difference: 0.0395
3,8,58.9669,50.6238,Warrior,96.8678,69.6743,30.8131,1.6595,0.9853,1.9479,200,59.5687,234.3015,228.4810,226.7243,52.5081,111.9233,0.0219,0.0428,Population structure converged. Difference: 0.0395
3,9,58.9682,53.4980,Warrior,90.4122,88.6118,17.6285,2.0826,1.2649,1.9479,200,59.5687,231.4783,169.8016,166.0938,43.6074,80.9228,0.0066,0.0428,Population structure converged. Difference: 0.0395
3,10,59.2472,54.5886,Warrior,91.1200,73.3975,32.4596,1.7481,1.2748,1.9479,200,59.5687,211.6583,101.9291,109.7383,43.9114,45.7711,0.0066,0.0428,Population structure converged. Difference: 0.0395
3,11,59.2571,55.6689,Warrior,84.7865,77.9345,34.4661,1.6266,1.1862,1.9479,200,59.5687,182.3467,83.5337,60.2460,30.1558,29.1357,0.0046,0.0428,Population structure converged. Difference: 0.0395
3,12,59.5687,57.3069,Warrior,91.0696,77.4752,28.9687,1.5601,0.9263,1.9479,200,59.5687,122.4017,59.1834,35.2008,10.3018,14.8778,0.0019,0.0428,Population structure converged. Difference: 0.0395
4,0,42.2168,28.1082,Warrior,69.7417,36.4056,51.7821,6.8421,35.2285,1.9549,200,55.3639,450.9609,371.2430,541.1084,455.7891,431.8539,0.0515,0.0444,Population structure converged. Difference: 0.0385
4,1,42.4770,31.4376,Warrior,70.1319,36.6092,52.0718,5.7617,35.4255,1.9549,200,55.3639,368.0044,332.4842,445.9612,317.4460,324.3547,0.0562,0.0444,Population structure converged. Difference: 0.0385
4,2,45.3034,33.4838,Warrior,50.6601,106.7917,31.5249,6.3283,4.6950,1.9626,200,55.3639,326.7674,448.8693,356.7767,246.6326,261.8082,0.0553,0.0444,Population structure converged. Difference: 0.0385
4,3,45.3034,36.1974,Warrior,50.6601,106.7917,31.5249,6.3283,4.6950,1.9626,200,55.3639,269.7734,534.5187,312.0092,112.3240,271.6698,0.0563,0.0444,Population structure converged. Difference: 0.0385
4,4,52.1360,38.5769,Warrior,75.3419,56.3601,55.9401,6.1897,6.1682,1.9626,200,55.3639,216.8856,524.1453,291.7229,114.5153,277.1318,0.0430,0.0444,Population structure converged. Difference: 0.0385
4,5,52.4773,41.0414,Warrior,84.6087,61.4671,36.6994,9.3836,7.8412,1.9626,200,55.3639,172.6384,336.2485,209.9737,101.7855,231.5504,0.0290,0.0444,Population structure converged. Difference: 0.0385
4,6,53.6328,43.1520,Warrior,78.4205,59.1400,48.2385,7.6721,6.5288,1.8807,200,55.3639,132.5980,339.6515,223.1482,80.8398,175.6804,0.0192,0.0444,Population structure converged. Difference: 0.0385
4,7,53.6685,44.5638,Warrior,78.4684,59.1761,48.2679,7.6768,6.4108,1.8807,200,55.3639,134.7156,325.6616,172.6698,91.3080,144.1597,0.0138,0.0444,Population structure converged. Difference: 0.0385
4,8,53.6685,46.4173,Warrior,78.4684,59.1761,48.2679,7.6768,6.4108,1.8807,200,55.3639,167.0444,188.3296,124.3886,70.6178,126.2288,0.0122,0.0444,Population structure converged. Difference: 0.0385
4,9,53.8871,48.7273,Warrior,78.6788,59.3348,48.3974,7.0189,6.5701,1.8807,200,55.3639,102.4201,122.9772,95.5938,52.4037,87.0823,0.0130,0.0444,Population structure converged. Difference: 0.0385
4,10,53.8871,50.3395,Warrior,78.6788,59.3348,48.3974,7.0189,6.5701,1.8807,200,55.3639,74.4262,113.4471,101.5678,31.5072,71.3876,0.0062,0.0444,Population structure converged. Difference: 0.0385
4,11,54.6231,51.2560,Warrior,74.6859,68.5634,44.2131,6.2797,6.2579,1.8807,200,55.3639,83.0449,95.7427,94.7396,19.7289,67.4051,0.0015,0.0444,Population structure converged. Difference: 0.0385
4,12,55.3639,52.3110,Warrior,84.8124,64.2805,38.3791,6.2749,6.2531,1.8807,200,55.3639,54.3997,73.4982,47.2442,1.5229,43.5058,0.0016,0.0444,Population structure converged. Difference: 0.0385
4,13,55.3639,53.3129,Warrior,84.8124,64.2805,38.3791,6.2749,6.2531,1.8807,200,55.3639,18.8773,30.7739,35.0414,1.3508,16.5653,0.0011,0.0444,Population structure converged. Difference: 0.0385
5,0,51.5963,29.3377,Warrior,76.5278,54.1869,49.6276,12.3854,7.2722,1.9063,200,54.8732,503.4681,469.5618,371.1067,398.9629,491.9545,0.0446,0.0430,Population structure converged. Difference: 0.0423
5,1,51.5963,32.9191,Warrior,76.5278,54.1869,49.6276,12.3854,7.2722,1.9063,200,54.8732,452.2024,524.1212,297.1301,294.1851,459.2459,0.0436,0.0430,Population structure converged. Difference: 0.0423
5,2,51.5963,36.0110,Warrior,76.5278,54.1869,49.6276,12.3854,7.2722,1.9063,200,54.8732,566.8181,588.6181,207.0608,201.3125,348.8503,0.0336,0.0430,Population structure converged. Difference: 0.0423
5,3,51.5963,38.7076,Warrior,76.5278,54.1869,49.6276,12.3854,7.2722,1.9063,200,54.8732,384.2144,681.9096,150.4661,62.2308,218.6401,0.0310,0.0430,Population structure converged. Difference: 0.0423
5,4,51.5963,41.3963,Warrior,76.5278,54.1869,49.6276,12.3854,7.2722,1.9063,200,54.8732,280.3760,486.5455,147.4044,49.3718,159.5580,0.0254,0.0430,Population structure converged. Difference: 0.0423
5,5,51.9708,43.5724,Warrior,86.3349,58.4333,32.9415,14.0441,8.2462,1.9063,200,54.8732,212.2788,392.1097,121.3432,23.6237,89.2212,0.0171,0.0430,Population structure converged. Difference: 0.0423
5,6,52.9200,46.1865,Warrior,82.1759,55.6184,45.5969,8.7598,7.8490,1.8832,200,54.8732,162.1321,280.5997,127.1771,14.7403,87.5887,0.0095,0.0430,Population structure converged. Difference: 0.0423
5,7,52.9200,48.0840,Warrior,82.1759,55.6184,45.5969,8.7598,7.8490,1.8832,200,54.8732,120.3683,231.6492,100.8377,10.9073,63.4220,0.0062,0.0430,Population structure converged. Difference: 0.0423
5,8,52.9200,49.6666,Warrior,82.1759,55.6184,45.5969,8.7598,7.8490,1.8832,200,54.8732,77.5697,143.1430,74.7068,6.3689,31.3333,0.0013,0.0430,Population structure converged. Difference: 0.0423
5,9,54.5862,50.7692,Warrior,78.2745,79.5996,26.3299,8.3196,7.4763,1.8832,200,54.8732,40.8665,99.6301,73.2174,5.3864,25.4358,0.0005,0.0430,Population structure converged. Difference: 0.0423
5,10,54.5862,51.4033,Warrior,78.2745,79.5996,26.3299,8.3196,7.4763,1.8832,200,54.8732,40.5550,77.9389,72.6928,6.2912,16.8489,0.0005,0.0430,Population structure converged. Difference: 0.0423
5,11,54.8732,51.8578,Warrior,80.6036,78.0766,25.8261,8.1605,7.3333,1.8832,200,54.8732,34.3660,70.5276,64.0363,5.7118,16.9265,0.0005,0.0430,Population structure converged. Difference: 0.0423
5,12,54.8732,52.6454,Warrior,80.6036,78.0766,25.8261,8.1605,7.3333,1.8832,200,54.8732,23.1757,49.3666,60.0989,6.0033,4.9660,0.0002,0.0430,Population structure converged. Difference: 0.0423
