Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.3140,33.1713,Warrior,65.7595,70.1831,49.3996,11.3266,3.3313,1.9151,200,55.7472,348.6226,504.9697,296.5864,301.3813,425.2515,0.0502,0.0472,Population structure converged. Difference: 0.0094
1,1,54.1172,40.5402,Warrior,80.5674,69.7628,31.7112,13.8772,4.0814,1.9151,200,55.7472,158.1321,413.7300,258.0786,215.2407,383.0217,0.0316,0.0472,Population structure converged. Difference: 0.0094
1,2,54.4988,47.6996,Warrior,76.0428,72.0551,36.0850,11.9649,3.8522,1.9151,200,55.7472,105.1739,203.1898,85.2877,119.1008,196.1444,0.0168,0.0472,Population structure converged. Difference: 0.0094
1,3,54.4988,51.1616,Warrior,76.0428,72.0551,36.0850,11.9649,3.8522,1.9151,200,55.7472,33.9745,82.8799,29.2433,10.5982,43.4826,0.0072,0.0472,Population structure converged. Difference: 0.0094
1,4,54.4988,52.2078,Warrior,76.0428,72.0551,36.0850,11.9649,3.8522,1.9151,200,55.7472,32.3560,5.9152,32.2782,0.7432,17.4704,0.0038,0.0472,Population structure converged. Difference: 0.0094
1,5,54.4988,52.7667,Warrior,76.0428,72.0551,36.0850,11.9649,3.8522,1.9151,200,55.7472,35.6507,11.5566,45.4942,1.1112,0.1266,0.0029,0.0472,Population structure converged. Difference: 0.0094
1,6,55.0695,53.0319,Warrior,76.6004,72.5834,36.3496,10.5862,3.8805,1.9151,200,55.7472,43.1415,18.2288,49.7188,1.2210,0.1477,0.0029,0.0472,Population structure converged. Difference: 0.0094
1,7,55.3323,53.7007,Warrior,81.9194,70.9335,32.2433,11.5167,3.3872,1.9151,200,55.7472,38.8352,23.5604,47.7231,1.3925,0.1760,0.0000,0.0472,Population structure converged. Difference: 0.0094
1,8,55.3323,54.1335,Warrior,81.9194,70.9335,32.2433,11.5167,3.3872,1.9151,200,55.7472,22.6299,21.9485,37.2196,1.2920,0.1728,0.0000,0.0472,Population structure converged. Difference: 0.0094
1,9,55.3378,54.3913,Warrior,82.0513,66.2796,37.7431,10.7611,3.1649,1.9151,200,55.7472,15.3209,14.5717,18.8581,1.0226,0.1108,0.0000,0.0472,Population structure converged. Difference: 0.0094
1,10,55.4766,54.7044,Warrior,81.8338,71.2862,32.2097,10.7352,3.9351,1.9151,200,55.7472,8.5018,6.5013,8.2595,0.6944,0.1005,0.0000,0.0472,Population structure converged. Difference: 0.0094
1,11,55.7180,54.9257,Warrior,82.3425,71.2998,32.4099,10.7257,3.2222,1.9151,200,55.7472,8.2261,5.7174,6.2810,0.4548,0.0967,0.0000,0.0472,Population structure converged. Difference: 0.0094
1,12,55.7180,55.1190,Warrior,82.3425,71.2998,32.4099,10.7257,3.2222,1.9151,200,55.7472,5.9144,5.4388,4.5408,0.1886,0.0804,0.0000,0.0472,Population structure converged. Difference: 0.0094
1,13,55.7472,55.2267,Warrior,81.9396,71.9294,32.2513,10.6732,3.2064,1.9151,200,55.7472,6.3526,5.1068,4.2749,0.1809,0.1107,0.0000,0.0472,Population structure converged. Difference: 0.0094
2,0,43.7460,31.8712,Warrior,72.6122,56.7631,55.3161,13.9494,1.3592,1.5051,200,54.3025,336.8311,315.6052,268.8669,384.8020,350.4494,0.0350,0.0329,Population structure converged. Difference: 0.0097
2,1,45.8422,37.1252,Warrior,70.6559,59.7334,37.3159,11.3873,20.9075,1.8242,200,54.3025,157.5097,246.1001,229.3214,211.3785,279.3128,0.0356,0.0329,Population structure converged. Difference: 0.0097
2,2,48.9908,41.4843,Warrior,71.3420,64.6131,47.8973,14.6163,1.5312,1.8242,200,54.3025,100.8767,71.4998,72.8841,42.6878,155.8126,0.0346,0.0329,Population structure converged. Difference: 0.0097
2,3,48.9908,43.9983,Warrior,71.3420,64.6131,47.8973,14.6163,1.5312,1.8242,200,54.3025,27.6439,23.2220,37.8663,10.3330,127.2765,0.0291,0.0329,Population structure converged. Difference: 0.0097
2,4,49.1527,45.9537,Warrior,76.1536,61.2245,45.3854,15.6021,1.6345,1.8242,200,54.3025,15.8090,14.5811,31.0279,11.5141,95.9685,0.0244,0.0329,Population structure converged. Difference: 0.0097
2,5,53.5962,47.9797,Warrior,75.8164,68.6655,50.9013,3.0741,1.5426,1.8242,200,54.3025,6.1972,9.2578,11.0417,10.6998,45.6148,0.0122,0.0329,Population structure converged. Difference: 0.0097
2,6,53.5962,48.9289,Warrior,75.8164,68.6655,50.9013,3.0741,1.5426,1.8242,200,54.3025,3.1157,8.2162,7.8192,8.0103,8.6656,0.0030,0.0329,Population structure converged. Difference: 0.0097
2,7,53.9454,49.8915,Warrior,77.1113,69.8383,48.3549,3.1266,1.5689,1.8242,200,54.3025,5.3515,7.4388,5.5508,22.7208,0.0963,0.0010,0.0329,Population structure converged. Difference: 0.0097
2,8,54.2680,51.7231,Warrior,81.7212,66.7449,46.5576,3.3136,1.6627,1.8242,200,54.3025,6.5292,9.2589,6.5904,31.1782,0.1123,0.0000,0.0329,Population structure converged. Difference: 0.0097
2,9,54.3025,53.1386,Warrior,81.7704,66.7850,46.5856,3.3155,1.5435,1.8242,200,54.3025,5.2222,5.3926,3.7827,12.4402,0.0026,0.0000,0.0329,Population structure converged. Difference: 0.0097
2,10,54.3025,53.4564,Warrior,81.7704,66.7850,46.5856,3.3155,1.5435,1.8242,200,54.3025,4.1682,3.1633,2.9664,6.3064,0.0017,0.0000,0.0329,Population structure converged. Difference: 0.0097
2,11,54.3025,53.7817,Warrior,81.7704,66.7850,46.5856,3.3155,1.5435,1.8242,200,54.3025,4.1557,1.8770,2.3221,0.0080,0.0018,0.0000,0.0329,Population structure converged. Difference: 0.0097
3,0,47.0514,33.1699,Warrior,66.4729,53.1268,51.4123,14.0893,14.8987,1.9510,200,57.0021,481.0556,505.0608,381.1670,321.6901,433.0780,0.0446,0.0480,Population structure converged. Difference: 0.0081
3,1,47.0514,38.8318,Warrior,66.4729,53.1268,51.4123,14.0893,14.8987,1.9510,200,57.0021,341.7448,381.7572,290.2287,259.9882,442.6824,0.0447,0.0480,Population structure converged. Difference: 0.0081
