Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.5123,29.0552,Warrior,83.6964,31.8028,60.5530,13.1163,10.8315,1.7958,200,55.3197,483.9793,344.5008,450.9767,418.0239,498.7486,0.0416,0.0441,Population structure converged. Difference: 0.0072
1,1,45.4830,33.9013,Warrior,67.0208,59.2243,38.5992,7.4465,27.7092,1.9737,200,55.3197,396.3385,283.6532,483.2440,237.7002,500.8887,0.0308,0.0441,Population structure converged. Difference: 0.0072
1,2,47.0246,38.0501,Warrior,88.4854,33.6225,64.0178,2.4229,11.4513,1.9737,200,55.3197,275.2155,181.4269,329.1551,133.9226,375.8871,0.0265,0.0441,Population structure converged. Difference: 0.0072
1,3,50.6966,41.4166,Warrior,82.8415,71.4890,32.2199,2.7287,10.7209,1.7958,200,55.3197,184.0719,167.0011,143.9606,73.2023,136.0282,0.0178,0.0441,Population structure converged. Difference: 0.0072
1,4,50.6966,43.2639,Warrior,82.8415,71.4890,32.2199,2.7287,10.7209,1.7958,200,55.3197,152.3190,187.7508,177.0500,55.5252,52.0097,0.0141,0.0441,Population structure converged. Difference: 0.0072
1,5,50.6966,45.5496,Warrior,82.8415,71.4890,32.2199,2.7287,10.7209,1.7958,200,55.3197,92.2081,239.9655,194.8329,32.6597,41.0159,0.0107,0.0441,Population structure converged. Difference: 0.0072
1,6,52.9505,47.9748,Warrior,79.6908,70.4204,35.1966,2.9808,11.7114,1.9737,200,55.3197,81.6348,223.6801,143.4580,23.4989,16.8519,0.0084,0.0441,Population structure converged. Difference: 0.0072
1,7,53.3262,49.1922,Warrior,94.5377,64.3521,29.0033,2.4563,9.6506,1.9737,200,55.3197,52.8035,141.2330,89.4160,20.1736,14.7259,0.0077,0.0441,Population structure converged. Difference: 0.0072
1,8,53.1533,50.6213,Warrior,84.9821,66.7947,34.0215,2.8813,11.3204,1.9737,200,55.3197,19.6952,59.0244,25.2746,12.3948,11.0822,0.0073,0.0441,Population structure converged. Difference: 0.0072
1,9,53.5490,51.6404,Warrior,82.8415,71.4890,32.2199,2.7287,10.7209,1.9737,200,55.3197,7.4186,18.6501,12.5534,5.3707,5.4233,0.0079,0.0441,Population structure converged. Difference: 0.0072
1,10,55.3197,52.2082,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,8.0944,20.0760,11.5137,2.3015,6.2628,0.0078,0.0441,Population structure converged. Difference: 0.0072
1,11,55.3197,52.7503,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,7.8257,7.9223,3.5707,1.0147,6.3777,0.0063,0.0441,Population structure converged. Difference: 0.0072
1,12,55.3197,53.2149,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,5.3177,6.9067,2.2806,1.9297,6.2495,0.0029,0.0441,Population structure converged. Difference: 0.0072
1,13,55.3197,53.7366,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,3.6214,3.6352,2.0011,0.0108,6.4122,0.0009,0.0441,Population structure converged. Difference: 0.0072
1,14,55.3197,54.1809,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,3.1340,2.5542,2.2314,0.0121,6.3941,0.0000,0.0441,Population structure converged. Difference: 0.0072
1,15,55.3197,54.5244,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,3.7584,1.9901,3.4170,0.0194,3.9922,0.0000,0.0441,Population structure converged. Difference: 0.0072
1,16,55.3197,54.7397,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,4.0308,1.6587,4.8614,0.0231,2.1044,0.0000,0.0441,Population structure converged. Difference: 0.0072
1,17,55.3197,54.9224,Warrior,87.0219,75.0965,29.4649,2.4954,5.9213,1.9737,200,55.3197,3.0835,1.7296,5.8518,0.0240,0.2146,0.0000,0.0441,Population structure converged. Difference: 0.0072
2,0,47.0330,31.6456,Warrior,67.9382,74.0388,22.1630,13.8491,22.0109,1.8731,200,59.2147,314.9031,428.0788,591.9179,448.9322,327.8502,0.0424,0.0438,Population structure converged. Difference: 0.0078
2,1,48.2286,36.5684,Warrior,69.3603,75.5886,22.6269,9.9526,22.4716,1.8731,200,59.2147,248.4985,414.8546,508.4508,392.9248,239.8400,0.0386,0.0438,Population structure converged. Difference: 0.0078
