Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.3304,38.3264,Warrior,86.3581,61.5304,37.8137,4.9206,9.3772,1.9230,200,55.8938,293.5104,237.2767,317.7576,366.5462,306.2268,0.0303,0.0123,Population structure converged. Difference: 0.0089
1,1,55.8680,50.7652,Warrior,86.9781,61.9722,38.0851,3.5200,9.4445,1.9230,200,55.8938,126.6801,63.1912,106.7683,26.1054,53.8055,0.0188,0.0123,Population structure converged. Difference: 0.0089
1,2,55.8680,55.2925,Warrior,86.9781,61.9722,38.0851,3.5200,9.4445,1.9230,200,55.8938,5.7795,1.6906,0.6385,0.0693,0.0393,0.0000,0.0123,Population structure converged. Difference: 0.0089
1,3,55.8938,55.4003,Warrior,86.6559,62.1859,38.2165,3.5322,9.4095,1.9230,200,55.8938,0.0403,0.0277,0.0121,0.2227,0.0007,0.0000,0.0123,Population structure converged. Difference: 0.0089
2,0,49.0338,36.6974,Warrior,69.0556,57.8797,52.4758,6.0961,14.4928,1.8437,200,53.4653,225.1890,340.5144,358.5641,229.1701,327.4561,0.0247,0.0206,Population structure converged. Difference: 0.0071
2,1,53.0511,45.5634,Warrior,77.8924,56.0744,53.2115,6.9320,5.8897,1.8716,200,53.4653,152.2340,248.3857,132.5345,30.3000,34.9546,0.0047,0.0206,Population structure converged. Difference: 0.0071
2,2,53.0511,48.6936,Warrior,77.8924,56.0744,53.2115,6.9320,5.8897,1.8716,200,53.4653,15.4086,3.1509,14.8766,0.1552,7.9072,0.0001,0.0206,Population structure converged. Difference: 0.0071
2,3,53.2582,50.3702,Warrior,77.4013,57.6187,52.2392,6.8883,5.8526,1.8716,200,53.4653,23.6017,5.0025,18.6139,0.3674,13.6960,0.0002,0.0206,Population structure converged. Difference: 0.0071
2,4,53.4409,52.3897,Warrior,78.2701,56.3463,53.4696,5.7985,6.1156,1.8716,200,53.4653,10.1111,2.4002,8.1310,0.1987,5.6589,0.0001,0.0206,Population structure converged. Difference: 0.0071
2,5,53.4653,53.0900,Warrior,78.3712,56.4190,53.2803,5.8060,6.1235,1.8716,200,53.4653,0.6086,0.7350,0.8634,0.0888,0.4180,0.0000,0.0206,Population structure converged. Difference: 0.0071
3,0,45.5308,34.4827,Warrior,69.2831,72.1611,26.4849,26.2695,5.8013,1.8340,200,54.9845,159.6317,389.2501,348.0890,224.1973,287.7430,0.0295,0.0249,Population structure converged. Difference: 0.0028
3,1,52.3266,41.5444,Warrior,78.9376,72.8023,33.3951,8.1976,6.6674,1.8340,200,54.9845,60.7568,164.9044,54.8163,96.4583,152.2632,0.0125,0.0249,Population structure converged. Difference: 0.0028
3,2,52.5719,46.2057,Warrior,79.2809,73.1189,33.5403,8.2333,5.8266,1.8340,200,54.9845,12.4610,16.1096,10.0209,38.1947,7.9052,0.0009,0.0249,Population structure converged. Difference: 0.0028
3,3,54.7410,49.2206,Warrior,78.3793,75.1879,34.4894,8.4662,3.4771,1.8627,200,54.9845,17.7159,20.0741,9.9140,78.5841,1.0894,0.0001,0.0249,Population structure converged. Difference: 0.0028
3,4,54.8867,52.4127,Warrior,78.9171,75.7039,33.6242,8.2539,3.5009,1.8627,200,54.9845,1.2125,2.6142,2.5599,2.8259,0.6188,0.0000,0.0249,Population structure converged. Difference: 0.0028
3,5,54.8921,52.9782,Warrior,79.8996,74.1565,34.0428,8.3566,3.5445,1.8627,200,54.9845,0.3464,1.4163,0.9473,0.0211,1.2034,0.0001,0.0249,Population structure converged. Difference: 0.0028
3,6,54.9325,54.2097,Warrior,79.9713,74.1495,34.0734,8.2582,3.5477,1.8627,200,54.9845,0.3342,0.9109,0.1995,0.0120,1.0923,0.0002,0.0249,Population structure converged. Difference: 0.0028
3,7,54.9845,54.8290,Warrior,79.7329,75.1938,33.3977,8.1982,3.4773,1.8627,200,54.9845,0.3546,0.5237,0.0820,0.0053,0.1064,0.0000,0.0249,Population structure converged. Difference: 0.0028
4,0,50.4765,37.5166,Warrior,94.5848,71.8814,27.9242,4.2130,1.3966,1.7636,200,57.2207,322.9510,407.9715,273.0806,233.3965,367.4153,0.0383,0.0194,Population structure converged. Difference: 0.0095
4,1,56.1195,47.7907,Warrior,101.0649,76.8061,16.1350,4.5017,1.4922,1.8545,200,57.2207,202.5643,86.1715,65.8024,52.9480,101.1043,0.0082,0.0194,Population structure converged. Difference: 0.0095
4,2,56.6777,51.2427,Warrior,92.5189,86.7313,14.7706,4.4906,1.4886,1.8545,200,57.2207,35.0565,21.9274,19.3211,0.1204,0.0130,0.0013,0.0194,Population structure converged. Difference: 0.0095
4,3,56.7991,54.1679,Warrior,91.7166,78.1203,23.7937,5.0152,1.3542,1.8545,200,57.2207,48.0364,32.3385,22.5573,0.1865,0.0236,0.0019,0.0194,Population structure converged. Difference: 0.0095
4,4,57.2207,56.3808,Warrior,91.8257,78.8453,24.0145,3.9587,1.3558,1.8545,200,57.2207,41.3517,34.0485,18.9566,0.0664,0.0070,0.0000,0.0194,Population structure converged. Difference: 0.0095
4,5,57.2207,56.6822,Warrior,91.8257,78.8453,24.0145,3.9587,1.3558,1.8545,200,57.2207,14.7529,33.3167,24.5189,0.0799,0.0100,0.0000,0.0194,Population structure converged. Difference: 0.0095
5,0,46.5910,35.6334,Warrior,72.9656,54.8154,35.8821,14.0618,22.2751,1.9522,200,57.2245,359.2265,618.6732,470.5017,274.8085,245.9197,0.0427,0.0327,Population structure converged. Difference: 0.0064
5,1,50.4370,44.0582,Warrior,87.6521,83.1250,5.0446,3.9082,20.2701,1.9571,200,57.2245,145.1150,305.6200,288.4916,140.1803,63.4949,0.0295,0.0327,Population structure converged. Difference: 0.0064
5,2,53.6021,46.7568,Warrior,88.8853,93.0262,3.1225,2.4191,12.5468,1.9522,200,57.2245,67.3357,225.2048,239.9337,20.1905,13.5861,0.0351,0.0327,Population structure converged. Difference: 0.0064
5,3,54.8416,48.2892,Warrior,90.6526,94.8759,3.1846,2.4672,8.8196,1.9522,200,57.2245,78.1072,268.5452,316.0103,29.7283,21.5973,0.0545,0.0327,Population structure converged. Difference: 0.0064
5,4,56.0498,51.6532,Warrior,84.8465,63.7409,41.7246,1.5660,8.1220,1.9522,200,57.2245,62.0276,249.0298,304.1379,17.9034,17.9678,0.0198,0.0327,Population structure converged. Difference: 0.0064
5,5,56.4147,54.0867,Warrior,81.1188,69.7274,39.8915,1.4972,7.7652,1.9522,200,57.2245,56.7677,226.8051,320.9452,0.2699,7.2945,0.0000,0.0327,Population structure converged. Difference: 0.0064
5,6,57.1264,55.1559,Warrior,83.8664,72.1040,35.9223,1.3105,6.7968,1.9522,200,57.2245,33.9117,213.1692,308.1847,0.2591,1.7425,0.0000,0.0327,Population structure converged. Difference: 0.0064
5,7,57.1264,55.8161,Warrior,83.8664,72.1040,35.9223,1.3105,6.7968,1.9522,200,57.2245,26.0826,98.1568,127.5623,0.2000,0.9283,0.0000,0.0327,Population structure converged. Difference: 0.0064
5,8,57.1522,56.3803,Warrior,84.2465,72.4309,35.1749,1.3202,6.8276,1.9522,200,57.2245,14.0687,37.8121,20.4082,0.1204,0.4006,0.0000,0.0327,Population structure converged. Difference: 0.0064
5,9,57.2245,56.8590,Warrior,82.7399,75.9684,33.2934,1.2929,6.7055,1.9522,200,57.2245,7.5784,12.9315,3.9393,0.0300,0.3198,0.0000,0.0327,Population structure converged. Difference: 0.0064
6,0,44.5760,34.1175,Warrior,57.5593,62.8349,59.4770,8.4362,11.6926,1.8152,200,57.4994,340.0816,378.4791,398.4805,300.3646,266.9958,0.0395,0.0358,Population structure converged. Difference: 0.0096
6,1,47.9170,40.3290,Warrior,85.0093,80.3314,2.1516,2.4578,30.0499,1.8872,200,57.4994,210.3389,277.8004,595.4872,105.0216,92.0151,0.0299,0.0358,Population structure converged. Difference: 0.0096
6,2,50.0329,43.9597,Warrior,93.6005,88.4499,2.3691,2.7062,12.8743,1.8152,200,57.4994,165.1440,155.8264,600.2193,26.4170,90.3143,0.0118,0.0358,Population structure converged. Difference: 0.0096
6,3,54.4799,47.3973,Warrior,94.4322,89.2358,2.3901,2.7302,11.2117,1.8872,200,57.4994,111.0643,177.6391,493.1178,5.7788,84.0319,0.0047,0.0358,Population structure converged. Difference: 0.0096
6,4,54.6115,50.4356,Warrior,72.1440,75.0639,39.4433,5.5946,7.7542,1.8872,200,57.4994,97.4140,188.3900,438.1542,5.7177,32.5007,0.0013,0.0358,Population structure converged. Difference: 0.0096
6,5,55.4317,53.0340,Warrior,95.8609,90.5859,2.4263,2.7715,8.3554,1.8872,200,57.4994,91.1520,73.0072,260.8616,5.7522,4.8652,0.0005,0.0358,Population structure converged. Difference: 0.0096
6,6,55.5151,54.3208,Warrior,86.4444,63.2904,37.4225,5.3080,7.5346,1.8872,200,57.4994,104.2351,85.4980,263.5011,2.1882,3.8992,0.0000,0.0358,Population structure converged. Difference: 0.0096
6,7,56.3799,54.8501,Warrior,77.5427,80.6811,30.8054,2.6363,8.3345,1.8872,200,57.4994,102.4304,87.6317,246.0878,1.7860,2.2658,0.0000,0.0358,Population structure converged. Difference: 0.0096
6,8,57.3078,55.4373,Warrior,83.9489,79.3294,26.9774,2.4271,7.3171,1.8872,200,57.4994,71.1879,115.4363,237.2128,1.5804,1.5267,0.0000,0.0358,Population structure converged. Difference: 0.0096
6,9,57.4729,56.1301,Warrior,84.3939,75.2669,31.0940,2.3028,6.9424,1.8872,200,57.4994,28.2300,65.0667,94.3296,1.4853,1.0710,0.0000,0.0358,Population structure converged. Difference: 0.0096
6,10,57.4994,56.9538,Warrior,84.3705,79.3891,26.9977,2.3022,6.9404,1.8872,200,57.4994,8.5622,14.7854,15.8560,0.7862,0.3650,0.0000,0.0358,Population structure converged. Difference: 0.0096
7,0,47.7888,34.0924,Warrior,58.3051,78.1160,36.5899,12.6717,14.3173,1.9018,200,56.1352,322.5610,521.0767,435.4432,263.6291,242.6909,0.0474,0.0251,Population structure converged. Difference: 0.0100
