Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.8373,38.4949,Warrior,75.8140,72.6222,17.6797,18.6716,15.2125,1.9052,200,58.3786,255.9633,193.0502,384.5218,171.7581,351.3965,0.0455,0.0215,Population structure converged. Difference: 0.0098
1,1,50.3264,45.1620,Warrior,86.3715,69.6554,35.8797,2.1448,5.9485,1.4449,200,58.3786,31.0558,100.1212,168.4448,37.3937,104.7086,0.0550,0.0215,Population structure converged. Difference: 0.0098
1,2,51.5889,48.1677,Warrior,81.5118,74.8821,18.2298,19.2527,6.1236,1.9052,200,58.3786,17.2653,53.3765,117.9090,21.4844,22.6020,0.0208,0.0215,Population structure converged. Difference: 0.0098
1,3,57.6901,49.6060,Warrior,85.8689,69.2501,35.6709,2.4408,6.7693,1.9052,200,58.3786,17.9400,28.7441,78.5456,50.8324,19.4655,0.0390,0.0215,Population structure converged. Difference: 0.0098
1,4,58.0101,52.8404,Warrior,89.2219,81.9651,19.9542,2.3477,6.5111,1.9052,200,58.3786,20.6469,20.4476,60.5029,73.9582,5.8939,0.0251,0.0215,Population structure converged. Difference: 0.0098
1,5,58.1453,57.2442,Warrior,86.4472,69.7164,35.9111,2.4572,5.4681,1.9052,200,58.3786,10.7308,19.5341,37.1485,9.5038,5.3128,0.0001,0.0215,Population structure converged. Difference: 0.0098
1,6,58.3786,57.8095,Warrior,89.7062,82.4099,20.0625,2.3604,5.4610,1.9052,200,58.3786,8.7598,29.9026,48.7376,0.0049,0.1804,0.0000,0.0215,Population structure converged. Difference: 0.0098
2,0,45.2936,36.2804,Warrior,69.2125,74.9307,32.5044,3.5671,19.7854,1.4443,200,49.4974,162.0113,192.1634,252.2135,174.5436,156.6668,0.0385,0.0205,Population structure converged. Difference: 0.0090
2,1,47.2389,41.4378,Warrior,65.0344,66.5379,39.8196,4.3699,24.2382,1.8415,200,49.4974,65.4087,84.2218,139.0610,49.0961,47.2924,0.0229,0.0205,Population structure converged. Difference: 0.0090
2,2,48.5069,43.7868,Warrior,79.5804,55.9374,37.5237,4.1179,22.8406,1.8415,200,49.4974,52.1848,106.2420,102.4394,7.1838,62.8203,0.0393,0.0205,Population structure converged. Difference: 0.0090
