Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.9258,35.8329,Warrior,68.8051,71.0910,33.3545,3.4943,23.2551,1.9783,200,51.7030,305.9941,474.6721,215.9948,305.1265,309.8922,0.0359,0.0151,Population structure converged. Difference: 0.0374
1,1,50.1718,43.4072,Warrior,68.8051,71.0910,33.3545,3.4943,23.2551,1.8812,200,51.7030,67.0103,305.3115,136.2737,109.2418,51.7399,0.0248,0.0151,Population structure converged. Difference: 0.0374
1,2,51.5554,46.4643,Warrior,72.8674,70.2313,32.9512,3.4520,20.4981,1.8812,200,51.7030,24.7678,104.9738,43.3914,52.1856,16.9882,0.0075,0.0151,Population structure converged. Difference: 0.0374
1,3,51.5554,47.0248,Warrior,72.8674,70.2313,32.9512,3.4520,20.4981,1.8812,200,51.7030,18.7082,58.6436,18.0502,46.8877,19.2212,0.0061,0.0151,Population structure converged. Difference: 0.0374
1,4,51.5554,48.4385,Warrior,72.8674,70.2313,32.9512,3.4520,20.4981,1.8812,200,51.7030,17.8941,40.1766,12.9006,20.9390,4.3037,0.0041,0.0151,Population structure converged. Difference: 0.0374
1,5,51.7030,49.8404,Warrior,71.0781,72.2358,33.8917,2.9776,19.8167,1.8812,200,51.7030,19.5686,41.2259,9.6130,5.9179,3.9807,0.0020,0.0151,Population structure converged. Difference: 0.0374
2,0,55.2882,36.7481,Warrior,74.8609,71.5049,47.3253,0.7044,5.6045,1.9663,200,57.2671,494.4920,574.5096,322.4140,432.8555,442.9575,0.0333,0.0115,Population structure converged. Difference: 0.0375
2,1,57.2671,47.9590,Warrior,77.1819,73.7218,48.7925,0.2397,0.0642,1.9663,200,57.2671,197.1466,307.3769,110.2823,229.1756,152.4181,0.0310,0.0115,Population structure converged. Difference: 0.0375
2,2,57.2671,53.5817,Warrior,77.1819,73.7218,48.7925,0.2397,0.0642,1.9663,200,57.2671,70.5969,108.8694,20.2614,59.1103,58.1796,0.0041,0.0115,Population structure converged. Difference: 0.0375
2,3,57.2671,55.1961,Warrior,77.1819,73.7218,48.7925,0.2397,0.0642,1.9663,200,57.2671,4.9827,1.8058,0.2157,0.0043,15.5768,0.0001,0.0115,Population structure converged. Difference: 0.0375
3,0,40.5107,32.0806,Warrior,54.6651,44.3600,55.0795,16.0515,29.8439,1.9417,200,55.4362,301.7968,274.9050,333.3544,354.8071,344.7864,0.0350,0.0237,Population structure converged. Difference: 0.0394
3,1,43.4673,37.1354,Warrior,82.3973,56.9096,14.2363,16.2478,30.2090,1.9417,200,55.4362,126.3613,145.7827,199.2652,255.2003,285.4639,0.0301,0.0237,Population structure converged. Difference: 0.0394
3,2,47.8784,39.3256,Warrior,61.0941,59.7374,62.8683,10.6627,5.6376,1.8612,200,55.4362,77.8151,115.1728,175.6063,149.2133,203.8139,0.0264,0.0237,Population structure converged. Difference: 0.0394
3,3,51.9590,41.8734,Warrior,74.4655,53.9869,56.8164,9.6363,5.0949,1.9417,200,55.4362,100.0366,78.1462,220.7780,104.4753,170.5751,0.0281,0.0237,Population structure converged. Difference: 0.0394
3,4,51.9590,45.8326,Warrior,74.4655,53.9869,56.8164,9.6363,5.0949,1.9417,200,55.4362,75.2747,53.3656,183.5229,47.6953,139.2778,0.0147,0.0237,Population structure converged. Difference: 0.0394
3,5,53.0317,49.7793,Warrior,67.5011,66.0021,58.8916,1.3764,6.2288,1.8612,200,55.4362,40.9720,32.9526,39.0824,17.9604,46.1459,0.0081,0.0237,Population structure converged. Difference: 0.0394
3,6,55.0867,51.3711,Warrior,73.9101,67.8304,47.4147,4.6355,6.2093,1.9417,200,55.4362,13.9535,16.4654,12.1722,3.4805,3.8101,0.0018,0.0237,Population structure converged. Difference: 0.0394
3,7,55.1087,52.1756,Warrior,71.9597,63.7811,56.9099,1.3301,6.0192,1.9417,200,55.4362,10.2358,20.1709,10.4288,6.2360,0.3649,0.0006,0.0237,Population structure converged. Difference: 0.0394
3,8,55.4362,53.3357,Warrior,74.3242,68.2105,47.6804,4.6614,5.1234,1.9417,200,55.4362,8.6803,32.9739,19.9712,11.8626,0.7595,0.0006,0.0237,Population structure converged. Difference: 0.0394
4,0,39.2621,31.3821,Warrior,56.4116,46.0225,47.0953,31.7341,18.7364,1.8817,200,52.0789,333.2351,340.0402,310.1111,353.2265,279.2256,0.0350,0.0156,Population structure converged. Difference: 0.0428
4,1,41.6907,35.0597,Warrior,58.8681,48.0266,49.1462,24.4067,19.5524,1.8817,200,52.0789,201.4500,196.9092,220.1965,210.3446,217.4455,0.0384,0.0156,Population structure converged. Difference: 0.0428
4,2,51.1612,38.6394,Warrior,77.6993,59.2217,41.8480,16.7258,4.5051,1.8817,200,52.0789,57.2493,119.2386,94.5547,67.7767,85.1991,0.0202,0.0156,Population structure converged. Difference: 0.0428
4,3,51.1612,42.9156,Warrior,77.6993,59.2217,41.8480,16.7258,4.5051,1.8817,200,52.0789,86.0380,99.0398,106.1591,56.5977,59.1100,0.0066,0.0156,Population structure converged. Difference: 0.0428
4,4,51.1612,47.1861,Warrior,77.6993,59.2217,41.8480,16.7258,4.5051,1.8817,200,52.0789,90.2520,51.5149,93.4344,42.6587,51.6609,0.0013,0.0156,Population structure converged. Difference: 0.0428
4,5,52.0789,49.9428,Warrior,78.7158,59.9965,42.3955,14.8833,4.0089,1.8817,200,52.0789,45.1361,29.9151,43.0271,6.9666,23.8239,0.0000,0.0156,Population structure converged. Difference: 0.0428
5,0,50.5948,33.7819,Warrior,71.2483,54.2399,53.7543,11.3404,9.4170,1.9054,200,55.5347,706.9649,407.2705,424.1070,451.3687,518.6628,0.0342,0.0136,Population structure converged. Difference: 0.0482
5,1,54.2485,43.5602,Warrior,76.0254,61.7570,47.2647,1.6413,13.3115,1.8928,200,55.5347,421.0780,209.8317,353.5619,150.8021,136.6699,0.0161,0.0136,Population structure converged. Difference: 0.0482
5,2,54.4272,48.0381,Warrior,73.5245,66.3047,45.7099,1.5873,12.8736,1.8928,200,55.5347,171.0595,79.0119,378.8267,61.9594,40.4240,0.0045,0.0136,Population structure converged. Difference: 0.0482
5,3,55.5222,50.7308,Warrior,77.5352,62.9834,48.2034,1.6739,9.6041,1.8928,200,55.5347,92.5470,37.2168,359.1265,66.3559,18.0271,0.0021,0.0136,Population structure converged. Difference: 0.0482
5,4,55.5347,52.9820,Warrior,77.5479,62.9937,48.2112,1.6416,9.6056,1.8928,200,55.5347,37.8583,22.0166,157.6982,46.9522,2.8170,0.0000,0.0136,Population structure converged. Difference: 0.0482
6,0,45.0181,34.0435,Warrior,78.3349,75.7619,28.1338,8.2671,9.5023,1.5410,200,54.4804,636.0030,472.7912,288.6519,412.3213,472.5778,0.0310,0.0179,Population structure converged. Difference: 0.0445
