Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.7317,31.1606,Warrior,67.3302,88.3571,14.9170,1.5832,27.8126,1.9076,200,52.6802,175.5370,330.8579,443.9819,338.2258,273.3104,0.0392,0.0365,Population structure converged. Difference: 0.0073
1,1,48.7317,37.1664,Warrior,67.3302,88.3571,14.9170,1.5832,27.8126,1.9076,200,52.6802,105.3949,265.7268,232.9421,271.9916,156.9933,0.0385,0.0365,Population structure converged. Difference: 0.0073
1,2,49.0966,43.1816,Warrior,72.5610,79.6836,16.0758,1.7062,29.9733,1.9076,200,52.6802,67.1061,202.2933,112.3449,84.7000,102.1947,0.0109,0.0365,Population structure converged. Difference: 0.0073
1,3,49.8311,46.5310,Warrior,73.3992,80.6040,16.2615,1.6015,28.1338,1.9076,200,52.6802,45.1389,167.3613,131.9382,27.4889,38.3182,0.0008,0.0365,Population structure converged. Difference: 0.0073
1,4,51.8037,48.7919,Warrior,71.5808,71.1596,32.7991,1.2751,23.1854,1.9076,200,52.6802,21.1492,95.2968,93.8952,1.2728,4.3853,0.0000,0.0365,Population structure converged. Difference: 0.0073
1,5,51.8153,49.4879,Warrior,69.2693,76.0687,31.3111,1.2172,22.1336,1.9076,200,52.6802,30.7447,93.6925,100.2041,1.9094,7.0272,0.0000,0.0365,Population structure converged. Difference: 0.0073
1,6,51.8343,50.5999,Warrior,75.7489,71.7233,26.8520,3.4552,22.2206,1.9076,200,52.6802,17.9699,38.2887,67.5826,1.3316,5.7608,0.0000,0.0365,Population structure converged. Difference: 0.0073
1,7,52.2477,51.3846,Warrior,73.9982,70.0657,32.0410,1.2456,22.6496,1.9076,200,52.6802,10.1646,31.3338,57.6521,1.0265,1.8127,0.0000,0.0365,Population structure converged. Difference: 0.0073
1,8,52.6726,51.7985,Warrior,73.5789,73.5611,30.2789,1.1771,21.4040,1.9076,200,52.6802,6.3758,20.9517,30.6534,0.8265,0.5397,0.0000,0.0365,Population structure converged. Difference: 0.0073
1,9,52.6726,52.0439,Warrior,73.5789,73.5611,30.2789,1.1771,21.4040,1.9076,200,52.6802,4.5592,21.3407,28.8634,0.5700,0.3236,0.0000,0.0365,Population structure converged. Difference: 0.0073
1,10,52.6802,52.2992,Warrior,75.7148,69.4879,31.7768,1.2353,21.7852,1.9076,200,52.6802,2.6229,10.0745,13.4947,0.2338,0.1650,0.0000,0.0365,Population structure converged. Difference: 0.0073
2,0,51.5278,30.9933,Warrior,69.7832,54.5093,61.7781,9.3265,4.6029,1.9048,200,55.3320,252.9936,503.7497,646.8839,319.8804,382.0996,0.0332,0.0252,Population structure converged. Difference: 0.0096
2,1,51.5278,36.3571,Warrior,69.7832,54.5093,61.7781,9.3265,4.6029,1.9048,200,55.3320,119.1355,223.0272,443.3142,182.1106,249.7413,0.0396,0.0252,Population structure converged. Difference: 0.0096
2,2,51.5278,41.8707,Warrior,69.7832,54.5093,61.7781,9.3265,4.6029,1.9048,200,55.3320,78.1439,118.9842,309.5133,85.8635,230.6375,0.0458,0.0252,Population structure converged. Difference: 0.0096
2,3,54.4949,46.9636,Warrior,77.6032,66.7815,40.1250,10.3716,5.1187,1.9048,200,55.3320,64.5719,80.1923,194.1447,51.0093,66.8115,0.0358,0.0252,Population structure converged. Difference: 0.0096
2,4,55.0621,50.3958,Warrior,78.2136,67.3068,40.4406,9.3999,4.6391,1.9048,200,55.3320,38.0868,38.6625,132.4083,29.2321,12.2440,0.0175,0.0252,Population structure converged. Difference: 0.0096
2,5,55.1064,52.6993,Warrior,87.8502,61.3614,36.8684,9.3201,4.5998,1.9048,200,55.3320,29.4775,43.4318,119.9451,9.3066,0.8419,0.0054,0.0252,Population structure converged. Difference: 0.0096
2,6,55.1064,54.1790,Warrior,87.8502,61.3614,36.8684,9.3201,4.5998,1.9048,200,55.3320,20.3205,14.6104,34.0117,1.9925,0.5495,0.0001,0.0252,Population structure converged. Difference: 0.0096
2,7,55.3320,54.8077,Warrior,81.6554,66.7238,37.4728,9.4729,4.6752,1.9048,200,55.3320,15.2109,6.8637,4.8865,0.3005,0.1630,0.0001,0.0252,Population structure converged. Difference: 0.0096
