Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.3807,34.5525,Warrior,73.4150,31.4482,83.2234,2.8523,9.0612,1.8815,200,56.9136,278.0501,187.1982,433.5845,243.3698,304.0984,0.0432,0.0454,Population structure converged. Difference: 0.0089
1,1,48.6109,41.2103,Warrior,65.4089,50.1148,64.0120,9.0778,11.3864,1.9249,200,56.9136,119.2587,158.4164,639.0145,154.7687,126.3752,0.0219,0.0454,Population structure converged. Difference: 0.0089
1,2,55.5798,45.9035,Warrior,85.1520,81.5948,19.4351,3.3083,10.5098,1.8815,200,56.9136,48.4396,272.5215,870.0336,156.6557,12.6710,0.0027,0.0454,Population structure converged. Difference: 0.0089
1,3,56.2190,49.8159,Warrior,85.9707,82.3793,19.6220,2.8797,9.1483,1.8815,200,56.9136,160.8100,272.0537,600.5120,63.4188,5.1966,0.0005,0.0454,Population structure converged. Difference: 0.0089
1,4,56.6649,54.5924,Warrior,85.7641,82.1814,19.5748,3.3320,9.1477,1.9249,200,56.9136,66.2641,151.2135,243.0996,1.2667,0.8577,0.0002,0.0454,Population structure converged. Difference: 0.0089
1,5,56.8231,55.7749,Warrior,89.7496,78.4786,19.6975,2.8908,9.1835,1.9249,200,56.9136,8.7248,21.4274,6.5272,0.0455,0.5016,0.0004,0.0454,Population structure converged. Difference: 0.0089
1,6,56.8345,56.1431,Warrior,85.9707,82.3793,19.6220,2.8797,9.1483,1.9249,200,56.9136,2.6969,2.2386,0.7036,0.0384,0.4037,0.0005,0.0454,Population structure converged. Difference: 0.0089
1,7,56.9136,56.4124,Warrior,87.5197,81.2603,19.3554,2.8406,9.0240,1.9249,200,56.9136,1.2952,1.5416,0.0676,0.0359,0.3143,0.0004,0.0454,Population structure converged. Difference: 0.0089
2,0,42.3740,35.1003,Warrior,72.0861,54.2191,48.7173,5.3533,19.6243,1.5382,200,55.3861,430.9188,296.9457,406.6135,161.9388,380.0297,0.0295,0.0428,Population structure converged. Difference: 0.0092
2,1,50.2102,39.7233,Warrior,95.7067,53.7507,31.2342,13.9866,5.3218,1.9597,200,55.3861,302.2697,141.5362,362.7947,103.8985,170.8059,0.0256,0.0428,Population structure converged. Difference: 0.0092
2,2,52.7821,44.8321,Warrior,73.9299,60.1173,54.0170,5.9357,6.0002,1.9597,200,55.3861,207.7749,102.1626,232.0233,82.2745,55.8634,0.0149,0.0428,Population structure converged. Difference: 0.0092
2,3,53.2709,49.8111,Warrior,86.3041,57.0172,43.2136,7.8094,5.6557,1.9597,200,55.3861,129.4280,60.2070,186.1940,15.2689,26.3836,0.0077,0.0428,Population structure converged. Difference: 0.0092
2,4,54.0679,51.7439,Warrior,95.8145,60.9669,31.2693,5.9423,6.0069,1.9597,200,55.3861,108.2280,31.2565,136.3600,13.5282,2.3671,0.0004,0.0428,Population structure converged. Difference: 0.0092
2,5,54.4057,52.8097,Warrior,82.8752,67.3913,36.3535,6.6539,6.7262,1.9597,200,55.3861,104.8515,22.6835,100.8977,5.9531,0.3781,0.0001,0.0428,Population structure converged. Difference: 0.0092
2,6,54.6042,53.4771,Warrior,83.1467,67.6120,36.4726,6.6756,6.0931,1.9597,200,55.3861,87.7979,15.3664,73.8591,0.8518,0.2180,0.0000,0.0428,Population structure converged. Difference: 0.0092
2,7,55.2394,54.0457,Warrior,86.0326,70.0587,32.2794,6.1343,5.4950,1.9597,200,55.3861,45.8948,17.9222,46.5625,0.2666,0.2183,0.0000,0.0428,Population structure converged. Difference: 0.0092
2,8,55.3861,54.4769,Warrior,86.1194,70.0293,32.5894,5.5788,5.6830,1.9597,200,55.3861,32.5857,18.6185,17.6409,0.2227,0.1896,0.0000,0.0428,Population structure converged. Difference: 0.0092
2,9,55.3861,54.8815,Warrior,86.1194,70.0293,32.5894,5.5788,5.6830,1.9597,200,55.3861,16.8321,10.4673,5.6665,0.1803,0.1330,0.0000,0.0428,Population structure converged. Difference: 0.0092
3,0,48.6194,38.0205,Warrior,56.2839,63.5969,66.5938,5.0552,8.4702,1.9119,200,55.8007,206.4737,504.2976,549.2242,346.1450,382.2698,0.0396,0.0289,Population structure converged. Difference: 0.0072
3,1,49.1176,47.3183,Warrior,62.4876,115.5754,6.9208,5.6124,9.4038,1.9119,200,55.8007,22.5034,122.9932,229.0506,45.6796,49.3898,0.0149,0.0289,Population structure converged. Difference: 0.0072
3,2,49.8579,48.4962,Warrior,60.1726,61.2408,64.1267,5.4044,9.0554,1.9119,200,55.8007,2.6145,74.9390,113.3791,9.4390,0.5180,0.0023,0.0289,Population structure converged. Difference: 0.0072
3,3,50.3005,48.6407,Warrior,60.6076,61.6836,64.5903,4.9031,8.2154,1.9119,200,55.8007,3.2268,130.1204,170.6691,0.2574,0.0468,0.0001,0.0289,Population structure converged. Difference: 0.0072
3,4,50.4122,48.8181,Warrior,60.9242,61.5435,64.4436,4.8919,8.1967,1.9119,200,55.8007,7.0037,249.0928,320.9279,0.4934,0.0508,0.0001,0.0289,Population structure converged. Difference: 0.0072
3,5,53.8679,49.3909,Warrior,84.8192,86.3250,9.7738,7.1391,11.9429,1.9119,200,55.8007,19.0975,258.5802,336.1518,0.1342,0.3761,0.0000,0.0289,Population structure converged. Difference: 0.0072
3,6,55.6751,50.5067,Warrior,87.2563,88.8053,10.0547,5.1891,8.6946,1.9119,200,55.8007,70.9222,279.5990,561.7373,0.6182,1.6766,0.0000,0.0289,Population structure converged. Difference: 0.0072
3,7,55.8007,52.5581,Warrior,87.4253,88.9773,10.0741,5.0414,8.4818,1.9119,200,55.8007,130.8092,184.8129,692.5601,1.3628,3.7103,0.0000,0.0289,Population structure converged. Difference: 0.0072
3,8,55.8007,54.4748,Warrior,87.4253,88.9773,10.0741,5.0414,8.4818,1.9119,200,55.8007,30.5008,40.1250,138.5802,1.0649,2.8905,0.0000,0.0289,Population structure converged. Difference: 0.0072
3,9,55.8007,55.4037,Warrior,87.4253,88.9773,10.0741,5.0414,8.4818,1.9119,200,55.8007,1.4970,14.4881,19.9769,0.5208,1.2364,0.0000,0.0289,Population structure converged. Difference: 0.0072
4,0,45.1883,35.4700,Warrior,61.1097,64.5906,40.7080,26.2771,7.3147,1.9460,200,53.8781,153.7962,319.3266,434.5502,246.0465,346.9190,0.0357,0.0230,Population structure converged. Difference: 0.0060
