Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.3253,27.7517,Warrior,63.5018,70.3765,49.7153,12.2716,4.1347,1.5041,200,55.9535,535.5083,395.1549,433.7211,390.7041,494.4128,0.0440,0.1165,Population structure converged. Difference: 0.0097
1,1,44.9699,28.9146,Warrior,84.8304,52.3820,56.7611,2.6587,3.3678,1.7010,200,55.9535,582.6783,398.8651,361.3674,395.2266,318.5250,0.0399,0.1165,Population structure converged. Difference: 0.0097
1,2,45.8721,31.3243,Warrior,98.9424,61.0960,32.9326,3.1010,3.9281,1.7010,200,55.9535,464.9594,309.4279,411.9685,342.4594,327.9046,0.0383,0.1165,Population structure converged. Difference: 0.0097
1,3,43.0242,32.9313,Warrior,61.9495,64.2044,49.1173,2.4563,22.2725,1.4150,200,55.9535,296.2285,215.2726,392.3606,286.8135,214.3859,0.0373,0.1165,Population structure converged. Difference: 0.0097
1,4,43.0289,34.4179,Warrior,51.4232,58.0190,83.5086,2.6770,4.3722,1.8306,200,55.9535,255.6067,161.5341,346.6823,197.6653,242.7672,0.0385,0.1165,Population structure converged. Difference: 0.0097
1,5,45.5878,35.4809,Warrior,87.3026,46.8958,48.9041,2.6385,14.2590,1.4636,200,55.9535,268.6684,144.3257,287.6999,150.5276,216.1486,0.0397,0.1165,Population structure converged. Difference: 0.0097
1,6,47.8632,37.3252,Warrior,65.6629,55.9005,58.2944,3.1451,16.9970,1.8369,200,55.9535,191.9024,113.3820,215.5253,98.9244,186.9737,0.0409,0.1165,Population structure converged. Difference: 0.0097
1,7,48.2151,39.2992,Warrior,74.9224,48.2366,47.8257,13.3356,15.6796,1.9329,200,55.9535,130.3999,75.9122,203.1824,88.7261,188.5867,0.0405,0.1165,Population structure converged. Difference: 0.0097
1,8,49.6910,40.0114,Warrior,84.9846,45.6507,45.9721,5.6349,17.7576,1.8837,200,55.9535,110.9061,82.6409,222.3627,94.7733,175.3829,0.0433,0.1165,Population structure converged. Difference: 0.0097
1,9,49.6910,40.8760,Warrior,84.9846,45.6507,45.9721,5.6349,17.7576,1.8837,200,55.9535,85.0865,56.1023,173.4762,89.0199,115.4354,0.0470,0.1165,Population structure converged. Difference: 0.0097
1,10,52.4966,41.8332,Warrior,82.5642,49.2697,51.3796,2.9554,13.8311,1.9329,200,55.9535,102.9298,71.7457,160.8498,86.5431,82.1262,0.0435,0.1165,Population structure converged. Difference: 0.0097
1,11,51.3691,43.1443,Warrior,76.1834,47.0426,60.3175,2.8973,13.5592,1.9329,200,55.9535,97.7164,71.6241,129.2257,74.3951,70.6291,0.0391,0.1165,Population structure converged. Difference: 0.0097
1,12,51.4255,43.5350,Warrior,80.8099,46.7374,54.0164,3.2458,15.1904,1.9329,200,55.9535,78.8679,68.0626,125.0154,75.0362,69.0759,0.0344,0.1165,Population structure converged. Difference: 0.0097
1,13,51.7129,44.9459,Warrior,81.8512,44.8892,57.5564,2.7647,12.9386,1.9329,200,55.9535,65.6009,59.7296,108.1859,59.9889,51.8870,0.0245,0.1165,Population structure converged. Difference: 0.0097
1,14,51.7129,46.1292,Warrior,81.8512,44.8892,57.5564,2.7647,12.9386,1.9329,200,55.9535,55.8994,65.4190,138.3346,49.3567,36.7923,0.0180,0.1165,Population structure converged. Difference: 0.0097
1,15,53.7796,47.7449,Warrior,86.9203,66.6954,27.1927,3.3788,15.8127,1.9390,200,55.9535,44.5428,71.5150,165.5103,35.1766,30.9547,0.0057,0.1165,Population structure converged. Difference: 0.0097
1,16,53.7796,48.4211,Warrior,86.9203,66.6954,27.1927,3.3788,15.8127,1.9390,200,55.9535,51.7256,85.8493,169.8128,29.2320,25.5931,0.0053,0.1165,Population structure converged. Difference: 0.0097
1,17,54.0654,49.1324,Warrior,76.6238,58.7948,50.7384,2.4372,11.4059,1.9390,200,55.9535,53.2845,81.1836,171.3058,20.3379,19.3474,0.0031,0.1165,Population structure converged. Difference: 0.0097
