Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.5211,29.9322,Warrior,61.7294,65.4498,37.3939,22.4102,13.0168,1.4510,200,52.0374,275.8948,320.7083,404.4983,434.8774,298.4879,0.0292,0.0250,Population structure converged. Difference: 0.0325
1,1,46.7755,33.9398,Warrior,72.4983,68.0074,32.0274,8.8599,18.6069,1.8079,200,52.0374,158.4663,216.3411,426.6347,342.3411,230.6926,0.0330,0.0250,Population structure converged. Difference: 0.0325
1,2,49.7077,38.1518,Warrior,76.9039,53.0044,41.6735,8.1640,20.2542,1.9232,200,52.0374,88.0038,172.4003,276.9647,236.2974,130.1002,0.0346,0.0250,Population structure converged. Difference: 0.0325
1,3,49.7077,42.4153,Warrior,76.9039,53.0044,41.6735,8.1640,20.2542,1.9232,200,52.0374,59.2227,124.1262,227.9735,82.8178,65.3520,0.0385,0.0250,Population structure converged. Difference: 0.0325
1,4,50.9761,45.6045,Warrior,74.8978,66.2334,31.1920,7.9510,19.7259,1.9232,200,52.0374,49.1760,80.2755,173.0946,35.7270,43.0292,0.0290,0.0250,Population structure converged. Difference: 0.0325
1,5,51.8002,48.0357,Warrior,74.3948,65.7885,34.9274,5.2959,19.5934,1.9232,200,52.0374,44.8929,62.9145,100.6068,12.9386,16.8556,0.0077,0.0250,Population structure converged. Difference: 0.0325
1,6,52.2550,49.4967,Warrior,76.4474,67.6037,31.8373,7.6066,16.5050,1.9232,200,52.0374,27.3991,48.2562,58.6776,4.5433,8.4691,0.0027,0.0250,Population structure converged. Difference: 0.0325
1,7,52.0374,50.4015,Warrior,74.6739,66.0354,35.0585,5.3157,18.9164,1.9232,200,52.0374,14.1387,28.0312,45.0147,2.3277,5.1699,0.0004,0.0250,Population structure converged. Difference: 0.0325
2,0,41.3402,29.8633,Warrior,63.5202,55.4795,28.8415,1.8189,50.3399,1.9043,200,60.1294,266.6922,329.6085,569.1768,461.0002,386.0183,0.0475,0.0306,Population structure converged. Difference: 0.0285
2,1,43.8642,34.0336,Warrior,60.4915,35.4788,97.9156,5.2997,0.8143,1.9043,200,60.1294,188.6119,434.5739,595.0306,257.5833,392.0970,0.0613,0.0306,Population structure converged. Difference: 0.0285
2,2,53.5155,37.4823,Warrior,77.9046,68.0430,35.3727,13.8367,4.8430,1.9043,200,60.1294,103.4264,326.8522,613.2238,173.5471,333.4783,0.0594,0.0306,Population structure converged. Difference: 0.0285
2,3,56.5474,40.7208,Warrior,84.2739,82.1836,25.4344,7.0283,1.0799,1.8636,200,60.1294,110.6700,249.4277,387.7545,120.7837,325.7139,0.0638,0.0306,Population structure converged. Difference: 0.0285
2,4,60.0578,45.4539,Warrior,87.8353,76.9034,32.0572,2.0217,1.1824,1.9043,200,60.1294,106.1072,242.8270,349.8058,76.2079,271.8410,0.0465,0.0306,Population structure converged. Difference: 0.0285
2,5,60.0578,50.8069,Warrior,87.8353,76.9034,32.0572,2.0217,1.1824,1.9043,200,60.1294,88.9986,172.7242,153.5281,30.0715,184.2820,0.0229,0.0306,Population structure converged. Difference: 0.0285
2,6,60.0578,54.6663,Warrior,87.8353,76.9034,32.0572,2.0217,1.1824,1.9043,200,60.1294,50.5712,65.5406,98.9657,10.2865,72.3717,0.0080,0.0306,Population structure converged. Difference: 0.0285
2,7,60.1194,56.6090,Warrior,87.3941,77.3355,32.2373,1.8440,1.1890,1.9043,200,60.1294,35.3994,57.4264,49.5816,10.3354,39.1777,0.0003,0.0306,Population structure converged. Difference: 0.0285
2,8,60.1294,58.4615,Warrior,87.6449,77.1679,32.1674,1.8400,1.1798,1.9043,200,60.1294,21.8490,19.8704,36.7891,4.3597,2.6774,0.0002,0.0306,Population structure converged. Difference: 0.0285
3,0,45.1253,30.7504,Warrior,78.1109,52.4472,53.9716,11.2605,4.2098,1.4756,200,53.9387,321.0868,534.0469,248.2869,362.1473,484.3712,0.0265,0.0346,Population structure converged. Difference: 0.0312
3,1,45.1253,34.7118,Warrior,78.1109,52.4472,53.9716,11.2605,4.2098,1.4756,200,53.9387,139.9533,264.4060,185.0525,227.4896,227.8297,0.0269,0.0346,Population structure converged. Difference: 0.0312
3,2,47.5147,37.7744,Warrior,68.9954,45.8399,61.9015,16.1511,7.1121,1.9195,200,53.9387,83.8816,81.8587,143.9392,153.2153,192.3669,0.0246,0.0346,Population structure converged. Difference: 0.0312
3,3,51.8427,40.6527,Warrior,74.5805,53.4431,54.4338,9.8548,7.6878,1.9195,200,53.9387,51.5364,47.8965,97.8886,115.6503,108.3293,0.0301,0.0346,Population structure converged. Difference: 0.0312
3,4,51.7912,43.3749,Warrior,74.7692,53.0509,54.5929,9.8798,7.7073,1.9195,200,53.9387,37.2369,37.9356,68.2189,49.4240,107.2317,0.0342,0.0346,Population structure converged. Difference: 0.0312
3,5,53.3842,46.3977,Warrior,78.0889,59.6535,45.8117,12.2373,4.2086,1.9195,200,53.9387,22.3280,24.1085,40.8635,25.0970,42.7867,0.0351,0.0346,Population structure converged. Difference: 0.0312
3,6,53.4791,48.3213,Warrior,79.1440,62.7229,39.2500,10.3291,8.5540,1.9195,200,53.9387,20.3884,28.7535,52.0160,19.2917,15.5594,0.0195,0.0346,Population structure converged. Difference: 0.0312
3,7,53.9620,49.8767,Warrior,79.7872,63.2327,39.5690,10.4131,6.9979,1.9195,200,53.9387,20.5288,29.2159,58.5862,14.5528,6.3177,0.0096,0.0346,Population structure converged. Difference: 0.0312
3,8,53.9620,51.3084,Warrior,79.7872,63.2327,39.5690,10.4131,6.9979,1.9195,200,53.9387,18.9540,20.8415,59.4498,12.9483,4.2408,0.0021,0.0346,Population structure converged. Difference: 0.0312
3,9,53.9387,52.3092,Warrior,79.9335,62.9821,39.6416,10.4322,7.0107,1.9195,200,53.9387,15.8431,19.0382,50.5479,6.9163,1.3437,0.0000,0.0346,Population structure converged. Difference: 0.0312
4,0,48.5552,32.6756,Warrior,71.2154,77.5377,20.0254,16.3176,14.9039,1.9521,200,55.9771,267.3598,486.3267,356.2465,465.9443,357.8497,0.0351,0.0219,Population structure converged. Difference: 0.0449
4,1,53.5685,38.4154,Warrior,86.0659,52.7200,50.6053,2.5157,8.0931,1.8597,200,55.9771,194.4653,368.1231,266.3679,295.2498,243.4362,0.0309,0.0219,Population structure converged. Difference: 0.0449
4,2,53.5685,42.8881,Warrior,86.0659,52.7200,50.6053,2.5157,8.0931,1.8597,200,55.9771,157.0850,283.2034,259.8102,235.2194,153.4389,0.0168,0.0219,Population structure converged. Difference: 0.0449
