Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.4730,29.8348,Warrior,75.7966,44.3453,49.3081,14.6997,15.8503,1.4238,200,56.1141,328.3956,509.2327,477.4580,436.4788,376.4394,0.0289,0.0589,Population structure converged. Difference: 0.0098
1,1,42.8767,33.0204,Warrior,55.7617,43.5983,75.7130,6.9413,17.9857,1.9546,200,56.1141,255.5604,275.1951,420.7087,251.0833,241.4083,0.0289,0.0589,Population structure converged. Difference: 0.0098
1,2,44.2735,36.0209,Warrior,58.8087,45.9807,71.4913,10.3526,13.3667,1.9546,200,56.1141,176.8069,199.0744,412.4253,110.7309,155.8146,0.0320,0.0589,Population structure converged. Difference: 0.0098
1,3,47.1504,38.2216,Warrior,64.1812,53.9578,54.2458,7.6899,19.9252,1.9546,200,56.1141,140.9358,197.3231,342.1685,94.9059,100.0069,0.0396,0.0589,Population structure converged. Difference: 0.0098
1,4,47.1504,40.5473,Warrior,64.1812,53.9578,54.2458,7.6899,19.9252,1.9546,200,56.1141,86.0415,148.8273,335.4661,26.2401,57.7991,0.0421,0.0589,Population structure converged. Difference: 0.0098
1,5,48.0778,42.3543,Warrior,68.8313,52.1104,52.3886,7.4266,19.2431,1.9546,200,56.1141,49.6784,155.9593,301.1666,24.2637,41.5512,0.0515,0.0589,Population structure converged. Difference: 0.0098
1,6,50.5296,43.7288,Warrior,81.1862,77.5767,14.8219,11.5292,14.8859,1.9546,200,56.1141,40.2291,150.2701,276.3654,24.6374,21.2907,0.0548,0.0589,Population structure converged. Difference: 0.0098
1,7,52.1710,44.6478,Warrior,71.6887,60.2694,52.0243,2.5731,13.4445,1.9546,200,56.1141,40.8494,136.9998,265.5359,23.7583,21.4802,0.0425,0.0589,Population structure converged. Difference: 0.0098
1,8,52.1710,45.9440,Warrior,71.6887,60.2694,52.0243,2.5731,13.4445,1.9546,200,56.1141,27.1968,90.5791,157.5843,19.1612,8.5442,0.0286,0.0589,Population structure converged. Difference: 0.0098
1,9,52.1710,47.0803,Warrior,71.6887,60.2694,52.0243,2.5731,13.4445,1.9546,200,56.1141,25.6286,83.1961,156.6087,15.6813,7.7017,0.0139,0.0589,Population structure converged. Difference: 0.0098
1,10,52.3105,48.2718,Warrior,71.8555,60.4097,52.1454,2.5791,13.0103,1.9546,200,56.1141,27.5347,76.8916,183.9227,9.5238,7.8153,0.0044,0.0589,Population structure converged. Difference: 0.0098
1,11,52.3105,49.2289,Warrior,71.8555,60.4097,52.1454,2.5791,13.0103,1.9546,200,56.1141,32.2846,83.9325,207.7397,12.1342,5.5877,0.0042,0.0589,Population structure converged. Difference: 0.0098
1,12,52.3156,50.3014,Warrior,73.1112,62.8458,46.1271,2.6831,15.2328,1.9546,200,56.1141,28.8708,70.4089,210.2689,13.9955,4.6243,0.0003,0.0589,Population structure converged. Difference: 0.0098
1,13,54.0015,51.1522,Warrior,78.9877,67.0776,38.1998,2.7302,13.0048,1.9546,200,56.1141,22.1955,57.6653,165.0634,11.3860,4.3979,0.0003,0.0589,Population structure converged. Difference: 0.0098
1,14,54.0015,51.8039,Warrior,78.9877,67.0776,38.1998,2.7302,13.0048,1.9546,200,56.1141,21.5986,48.4547,140.4128,5.9965,3.7076,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,15,54.0502,52.3078,Warrior,83.1217,79.4262,20.7073,2.4678,14.2769,1.9546,200,56.1141,20.0151,67.1337,151.2083,2.3178,4.1071,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,16,54.9685,52.7858,Warrior,80.1871,68.0961,38.7798,2.7717,10.1653,1.9546,200,56.1141,23.9848,82.2602,169.6039,2.7433,6.5929,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,17,54.9921,53.3655,Warrior,80.4204,68.2942,38.3109,2.7797,10.1948,1.9546,200,56.1141,29.9681,74.8691,153.2332,2.0003,5.0919,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,18,55.1410,53.8104,Warrior,84.5185,80.7610,21.0553,2.4473,11.2180,1.9546,200,56.1141,27.3707,64.3709,112.0557,0.4878,4.6572,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,19,55.2839,54.1456,Warrior,84.5567,81.0705,21.1360,2.6840,10.5528,1.9546,200,56.1141,31.8387,55.7425,94.0293,0.4300,3.0144,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,20,55.4252,54.4407,Warrior,76.8791,73.4612,38.5409,1.9062,9.2126,1.9546,200,56.1141,24.9921,61.5526,93.5275,0.0602,2.1408,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,21,55.6750,54.7613,Warrior,86.1579,64.8656,38.0107,1.8800,9.0858,1.9546,200,56.1141,18.3010,56.1173,86.8242,0.0543,1.0978,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,22,55.8612,54.9412,Warrior,86.5410,78.7396,22.9184,2.6747,9.1262,1.9546,200,56.1141,13.7424,45.3792,79.8466,0.0508,0.7152,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,23,55.8612,55.1577,Warrior,86.5410,78.7396,22.9184,2.6747,9.1262,1.9546,200,56.1141,10.4605,22.7016,48.0482,0.0537,0.6426,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,24,56.0549,55.2724,Warrior,85.6869,81.8773,21.3464,1.9012,9.1882,1.9546,200,56.1141,11.9810,21.2093,45.8155,0.0617,0.7372,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,25,56.0549,55.4295,Warrior,85.6869,81.8773,21.3464,1.9012,9.1882,1.9546,200,56.1141,11.0829,17.9518,37.9086,0.0720,0.6789,0.0000,0.0589,Population structure converged. Difference: 0.0098
1,26,56.1141,55.5704,Warrior,83.8540,75.4141,29.6728,1.9059,9.1532,1.9546,200,56.1141,8.8050,14.7955,28.5436,0.0760,0.5687,0.0000,0.0589,Population structure converged. Difference: 0.0098
2,0,39.6697,28.3305,Warrior,79.2901,88.7355,1.5375,29.2831,1.1538,1.5456,200,56.4890,479.5267,344.8953,334.2229,318.5509,404.4500,0.0344,0.0486,Population structure converged. Difference: 0.0074
2,1,39.6697,30.6998,Warrior,79.2901,88.7355,1.5375,29.2831,1.1538,1.5456,200,56.4890,283.6655,368.3089,306.7957,292.0909,322.3337,0.0264,0.0486,Population structure converged. Difference: 0.0074
2,2,42.7651,33.7316,Warrior,62.7244,70.9317,39.7272,19.4504,7.1663,1.7780,200,56.4890,216.7134,348.0223,332.7156,206.9800,267.5970,0.0209,0.0486,Population structure converged. Difference: 0.0074
2,3,51.5373,36.0846,Warrior,83.8360,93.8229,1.6257,19.4954,1.2200,1.8806,200,56.4890,105.5145,419.9346,374.8384,140.7137,157.0593,0.0248,0.0486,Population structure converged. Difference: 0.0074
2,4,51.5373,38.3922,Warrior,83.8360,93.8229,1.6257,19.4954,1.2200,1.8806,200,56.4890,124.6087,412.6198,428.5411,74.4302,201.9683,0.0292,0.0486,Population structure converged. Difference: 0.0074
2,5,51.5373,40.1196,Warrior,83.8360,93.8229,1.6257,19.4954,1.2200,1.8806,200,56.4890,173.7069,280.5330,430.7833,45.9576,201.8186,0.0283,0.0486,Population structure converged. Difference: 0.0074
2,6,51.5373,42.4346,Warrior,83.8360,93.8229,1.6257,19.4954,1.2200,1.8806,200,56.4890,137.1989,286.6868,470.1629,28.4511,136.1720,0.0292,0.0486,Population structure converged. Difference: 0.0074
2,7,52.3630,45.3652,Warrior,71.3706,79.8726,31.1216,16.5967,1.0386,1.8806,200,56.4890,139.0925,238.3087,506.6945,24.0488,73.5339,0.0224,0.0486,Population structure converged. Difference: 0.0074
2,8,52.4565,48.1265,Warrior,81.3766,64.0244,35.8586,17.5563,1.1842,1.8806,200,56.4890,121.6565,183.6464,418.8671,14.2747,36.6034,0.0118,0.0486,Population structure converged. Difference: 0.0074
2,9,53.0850,49.9729,Warrior,85.9001,96.1328,1.6657,15.0514,1.2500,1.8806,200,56.4890,80.6226,141.3981,301.1292,11.8693,15.8531,0.0062,0.0486,Population structure converged. Difference: 0.0074
2,10,53.3594,51.0615,Warrior,86.1964,64.7082,32.1167,15.7243,1.2543,1.8806,200,56.4890,41.3658,125.7309,224.1800,5.3755,1.6508,0.0026,0.0486,Population structure converged. Difference: 0.0074
2,11,53.3688,51.5470,Warrior,86.2112,64.7194,32.1223,15.7270,1.2202,1.8806,200,56.4890,30.4671,117.0254,204.0609,4.2612,0.6839,0.0014,0.0486,Population structure converged. Difference: 0.0074
