Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.5536,32.6959,Warrior,68.4942,55.5572,44.3550,25.1273,6.4662,1.9400,200,57.2846,297.4308,345.6758,343.0786,357.1344,370.1402,0.0334,0.0638,Population structure converged. Difference: 0.0073
1,1,56.2930,37.8764,Warrior,85.7788,58.5654,46.7567,0.8012,8.0980,1.9400,200,57.2846,358.8884,172.7810,303.3619,255.3662,236.8409,0.0294,0.0638,Population structure converged. Difference: 0.0073
1,2,50.8186,41.0239,Warrior,64.7250,60.0964,60.3667,6.6274,8.1845,1.9400,200,57.2846,395.8932,120.9103,362.7030,169.0420,180.3233,0.0158,0.0638,Population structure converged. Difference: 0.0073
1,3,55.1093,44.2537,Warrior,76.6040,62.9682,49.5233,4.5227,6.3818,1.9400,200,57.2846,310.9305,69.2333,334.3560,103.4749,89.4267,0.0111,0.0638,Population structure converged. Difference: 0.0073
1,4,55.1283,47.0480,Warrior,76.6275,62.9875,49.5385,4.5241,6.3223,1.9400,200,57.2846,241.5399,52.8874,343.7035,85.5399,85.7480,0.0053,0.0638,Population structure converged. Difference: 0.0073
1,5,56.1746,50.6407,Warrior,87.2493,80.5139,19.5850,5.8703,6.7815,1.9400,200,57.2846,187.0141,52.7204,298.0255,32.8025,43.9064,0.0046,0.0638,Population structure converged. Difference: 0.0073
1,6,56.6342,53.2317,Warrior,87.8120,81.0331,19.7114,4.6184,6.8252,1.9400,200,57.2846,79.8306,71.6611,217.8861,8.5413,31.8433,0.0024,0.0638,Population structure converged. Difference: 0.0073
1,7,56.9084,55.1349,Warrior,84.6898,66.1820,39.9092,3.6447,5.5743,1.9400,200,57.2846,47.0344,97.1729,206.3009,1.5348,5.5692,0.0007,0.0638,Population structure converged. Difference: 0.0073
1,8,57.0387,56.0727,Warrior,87.3167,82.3535,20.0325,4.2036,6.0937,1.9400,200,57.2846,26.8096,95.6061,163.2878,0.4372,0.4062,0.0000,0.0638,Population structure converged. Difference: 0.0073
1,9,57.0609,56.3344,Warrior,85.6721,83.8323,20.3922,4.1244,5.9789,1.9400,200,57.2846,23.0293,81.0925,114.5858,0.2939,0.2836,0.0000,0.0638,Population structure converged. Difference: 0.0073
1,10,57.2846,56.6322,Warrior,89.6186,78.7602,21.8657,3.8568,5.8987,1.9400,200,57.2846,15.9441,49.2749,52.4184,0.1948,0.1432,0.0000,0.0638,Population structure converged. Difference: 0.0073
1,11,57.2846,56.8701,Warrior,89.6186,78.7602,21.8657,3.8568,5.8987,1.9400,200,57.2846,5.9389,25.8262,15.0107,0.0559,0.0786,0.0000,0.0638,Population structure converged. Difference: 0.0073
2,0,46.1693,31.3445,Warrior,118.7391,52.1633,12.1046,3.5015,13.4915,1.9555,200,57.2232,509.6846,363.5508,399.7647,447.7243,428.1915,0.0445,0.0334,Population structure converged. Difference: 0.0044
2,1,50.4946,38.2476,Warrior,78.9654,84.8885,8.8165,18.3936,8.9360,1.8961,200,57.2232,774.0662,261.0930,431.8073,214.9910,285.5537,0.0413,0.0334,Population structure converged. Difference: 0.0044
2,2,54.4440,43.7245,Warrior,84.0205,90.3229,9.3809,6.7677,9.5080,1.8961,200,57.2232,860.2266,216.7582,487.9089,141.6588,82.1573,0.0377,0.0334,Population structure converged. Difference: 0.0044
2,3,55.2763,46.8554,Warrior,90.3022,53.3212,46.3109,3.7143,6.3514,1.9314,200,57.2232,607.4844,257.4893,396.0193,36.7156,21.8442,0.0213,0.0334,Population structure converged. Difference: 0.0044
2,4,56.6144,49.5253,Warrior,84.8357,91.1992,13.2572,3.8349,6.8730,1.9314,200,57.2232,372.8587,339.0982,307.5764,17.4961,21.5477,0.0026,0.0334,Population structure converged. Difference: 0.0044
2,5,56.9992,52.5148,Warrior,92.9289,84.6670,12.3076,3.5602,6.5361,1.9314,200,57.2232,163.8585,305.6179,211.2912,5.5548,20.4988,0.0049,0.0334,Population structure converged. Difference: 0.0044
2,6,56.9992,54.3731,Warrior,92.9289,84.6670,12.3076,3.5602,6.5361,1.9314,200,57.2232,93.3064,189.7876,150.5563,4.5341,13.5572,0.0027,0.0334,Population structure converged. Difference: 0.0044
2,7,57.1014,55.7988,Warrior,91.4338,82.3319,15.8731,3.1550,7.2063,1.8961,200,57.2232,54.7101,90.5782,70.1122,0.5607,3.6653,0.0025,0.0334,Population structure converged. Difference: 0.0044
2,8,57.2164,56.4055,Warrior,93.2239,84.9358,12.3467,2.9366,6.5569,1.9314,200,57.2232,32.9319,41.8227,1.0963,0.3716,2.6642,0.0003,0.0334,Population structure converged. Difference: 0.0044
2,9,57.2232,56.9715,Warrior,93.2336,84.9446,12.3480,2.9369,6.5368,1.9314,200,57.2232,8.5560,7.8278,0.8050,0.1777,0.0872,0.0002,0.0334,Population structure converged. Difference: 0.0044
3,0,46.8510,29.3472,Warrior,62.9344,42.7260,76.6393,2.5628,15.1374,1.9328,200,54.7369,268.2538,366.1323,426.7826,353.9016,276.1744,0.0321,0.0385,Population structure converged. Difference: 0.0081
3,1,46.8510,33.1869,Warrior,62.9344,42.7260,76.6393,2.5628,15.1374,1.9328,200,54.7369,227.9426,283.1364,303.5464,241.3352,265.7536,0.0385,0.0385,Population structure converged. Difference: 0.0081
3,2,51.4526,37.4463,Warrior,77.5034,52.6168,48.0821,3.1561,18.6416,1.9328,200,54.7369,131.1337,222.4058,228.3153,146.8949,226.9406,0.0380,0.0385,Population structure converged. Difference: 0.0081
