Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.0845,32.4844,Warrior,69.4140,72.6558,50.6945,3.3919,3.8438,1.5979,200,54.6719,414.3736,640.5509,297.0583,728.3043,505.5572,0.0269,0.0465,Population structure converged. Difference: 0.0087
1,1,45.0378,37.4514,Warrior,85.3394,63.0010,42.0995,4.4815,5.0786,1.5979,200,54.6719,290.1175,377.0181,167.8238,405.4472,395.5756,0.0124,0.0465,Population structure converged. Difference: 0.0087
1,2,45.3717,40.8106,Warrior,85.8069,63.3461,42.3301,3.4105,5.1064,1.5979,200,54.6719,183.5489,189.8264,92.1365,186.8214,196.4101,0.0063,0.0465,Population structure converged. Difference: 0.0087
1,3,49.4559,43.4490,Warrior,64.0695,75.6294,52.7693,3.5307,4.0011,1.8090,200,54.6719,69.1644,82.6227,58.4277,46.4115,55.3752,0.0040,0.0465,Population structure converged. Difference: 0.0087
1,4,51.9898,44.6020,Warrior,69.4140,72.6558,50.6945,3.3919,3.8438,1.8247,200,54.6719,55.5062,28.8754,25.7088,0.2703,66.7564,0.0065,0.0465,Population structure converged. Difference: 0.0087
1,5,52.1806,46.7819,Warrior,72.6994,85.8162,34.4982,2.4462,4.5400,1.8090,200,54.6719,47.0667,31.8321,17.6686,0.1922,34.1239,0.0116,0.0465,Population structure converged. Difference: 0.0087
1,6,52.9238,48.8582,Warrior,85.0169,65.8737,41.9404,3.3606,3.8084,1.8090,200,54.6719,27.9856,21.5155,23.1389,0.2489,23.8782,0.0092,0.0465,Population structure converged. Difference: 0.0087
1,7,54.0159,50.5365,Warrior,76.6059,80.1836,36.3882,2.5802,4.2421,1.8247,200,54.6719,27.8859,16.6181,20.7690,0.3238,5.7099,0.0048,0.0465,Population structure converged. Difference: 0.0087
1,8,54.0159,51.2674,Warrior,76.6059,80.1836,36.3882,2.5802,4.2421,1.8247,200,54.6719,22.1582,12.2297,13.1814,0.2581,2.9360,0.0033,0.0465,Population structure converged. Difference: 0.0087
1,9,54.0288,51.8383,Warrior,85.0169,65.8737,41.9404,3.3606,3.8084,1.8247,200,54.6719,36.3822,16.1824,16.2266,0.2053,5.5787,0.0015,0.0465,Population structure converged. Difference: 0.0087
1,10,54.3618,52.3375,Warrior,83.3725,70.9812,38.4394,2.7256,4.4812,1.8247,200,54.6719,30.5340,19.5216,21.3689,0.2071,2.8526,0.0015,0.0465,Population structure converged. Difference: 0.0087
1,11,54.4200,52.9249,Warrior,87.6227,67.8928,37.4611,2.6563,4.3671,1.8247,200,54.6719,22.6689,26.9297,27.6785,0.1969,0.0789,0.0006,0.0465,Population structure converged. Difference: 0.0087
1,12,54.4200,53.2273,Warrior,87.6227,67.8928,37.4611,2.6563,4.3671,1.8247,200,54.6719,21.4552,28.6614,25.7603,0.1974,0.0872,0.0006,0.0465,Population structure converged. Difference: 0.0087
1,13,54.5453,53.6100,Warrior,87.8180,68.0441,37.5152,2.6601,3.9627,1.8247,200,54.6719,23.6244,25.7770,21.4068,0.1933,0.0932,0.0000,0.0465,Population structure converged. Difference: 0.0087
1,14,54.6719,53.8811,Warrior,81.7793,76.8219,34.8626,2.4720,4.0642,1.8247,200,54.6719,23.3773,28.1595,17.1118,0.1914,0.1101,0.0000,0.0465,Population structure converged. Difference: 0.0087
1,15,54.6719,54.0847,Warrior,81.7793,76.8219,34.8626,2.4720,4.0642,1.8247,200,54.6719,18.1244,26.3125,11.3749,0.1698,0.1280,0.0000,0.0465,Population structure converged. Difference: 0.0087
1,16,54.6719,54.2017,Warrior,81.7793,76.8219,34.8626,2.4720,4.0642,1.8247,200,54.6719,12.5778,20.3334,8.7107,0.1082,0.1063,0.0000,0.0465,Population structure converged. Difference: 0.0087
2,0,43.2446,31.4185,Warrior,66.0360,67.7389,48.1793,17.3840,0.6619,1.4104,200,52.5134,483.7807,465.7690,327.1348,513.9852,657.7709,0.0469,0.0427,Population structure converged. Difference: 0.0087
2,1,50.3328,35.4370,Warrior,66.0360,67.7389,48.1793,17.3840,0.6619,1.8834,200,52.5134,332.0715,348.8323,283.3745,486.5040,456.4155,0.0548,0.0427,Population structure converged. Difference: 0.0087
2,2,50.3328,41.9672,Warrior,66.0360,67.7389,48.1793,17.3840,0.6619,1.8834,200,52.5134,161.0786,158.7967,161.5934,185.8226,250.3770,0.0554,0.0427,Population structure converged. Difference: 0.0087
2,3,52.1869,46.7053,Warrior,74.4454,63.4866,45.1549,16.2928,0.6203,1.8834,200,52.5134,73.1084,103.0567,98.0946,34.8432,144.2115,0.0359,0.0427,Population structure converged. Difference: 0.0087
2,4,52.1869,47.9533,Warrior,74.4454,63.4866,45.1549,16.2928,0.6203,1.8834,200,52.5134,26.2594,28.7014,56.4062,14.7418,44.2192,0.0274,0.0427,Population structure converged. Difference: 0.0087
2,5,52.1869,49.0660,Warrior,74.4454,63.4866,45.1549,16.2928,0.6203,1.8834,200,52.5134,20.0526,12.4370,28.1193,8.4490,19.2417,0.0116,0.0427,Population structure converged. Difference: 0.0087
2,6,52.3213,49.7290,Warrior,72.8956,66.3287,44.2148,15.9536,0.6074,1.8834,200,52.5134,11.2165,17.9363,26.1281,1.2454,17.0260,0.0049,0.0427,Population structure converged. Difference: 0.0087
2,7,52.3213,50.1031,Warrior,72.8956,66.3287,44.2148,15.9536,0.6074,1.8834,200,52.5134,10.9461,16.4758,22.4192,1.1678,8.3677,0.0025,0.0427,Population structure converged. Difference: 0.0087
2,8,52.3484,50.2792,Warrior,72.3551,67.3198,43.8870,15.8353,0.6029,1.8834,200,52.5134,11.1361,10.3582,22.3668,1.4209,4.8360,0.0013,0.0427,Population structure converged. Difference: 0.0087
2,9,52.3213,50.3207,Warrior,72.8956,66.3287,44.2148,15.9536,0.6074,1.8834,200,52.5134,12.2182,8.9187,22.2115,1.7267,5.8697,0.0025,0.0427,Population structure converged. Difference: 0.0087
2,10,52.3474,50.7893,Warrior,72.3791,67.2757,43.9015,15.8405,0.6031,1.8834,200,52.5134,13.9100,7.0884,20.8780,1.4383,3.2313,0.0013,0.0427,Population structure converged. Difference: 0.0087
2,11,52.4455,50.9474,Warrior,73.5904,65.9613,43.9699,15.8652,0.6132,1.8834,200,52.5134,15.2625,3.5503,5.5748,1.1427,6.4026,0.0025,0.0427,Population structure converged. Difference: 0.0087
2,12,52.4455,51.6210,Warrior,73.5904,65.9613,43.9699,15.8652,0.6132,1.8834,200,52.5134,7.5739,2.6274,3.9520,0.4005,0.0009,0.0013,0.0427,Population structure converged. Difference: 0.0087
2,13,52.4455,51.8381,Warrior,73.5904,65.9613,43.9699,15.8652,0.6132,1.8834,200,52.5134,5.3812,2.3449,3.8517,0.3119,0.0009,0.0000,0.0427,Population structure converged. Difference: 0.0087
2,14,52.5134,52.0583,Warrior,73.0627,66.4808,44.3162,15.4423,0.6980,1.8834,200,52.5134,2.9717,1.6884,2.7075,0.2281,0.0007,0.0000,0.0427,Population structure converged. Difference: 0.0087
3,0,46.2938,34.0975,Warrior,85.7880,72.6794,26.6266,8.4621,6.4439,1.5279,200,56.6275,528.7042,424.4850,442.2658,509.4918,497.6046,0.0391,0.0266,Population structure converged. Difference: 0.0059
3,1,53.9561,39.4900,Warrior,85.7880,72.6794,26.6266,8.4621,6.4439,1.8570,200,56.6275,421.5323,355.8819,366.8872,305.3932,343.4966,0.0355,0.0266,Population structure converged. Difference: 0.0059
3,2,56.5500,45.0335,Warrior,87.9328,74.4965,27.2923,8.6736,1.6047,1.9463,200,56.6275,304.6956,207.5750,393.1646,144.9400,145.7611,0.0371,0.0266,Population structure converged. Difference: 0.0059
3,3,56.5500,48.9989,Warrior,87.9328,74.4965,27.2923,8.6736,1.6047,1.9463,200,56.6275,237.4314,104.2133,202.6775,68.3197,90.5846,0.0291,0.0266,Population structure converged. Difference: 0.0059
3,4,56.5500,51.6077,Warrior,87.9328,74.4965,27.2923,8.6736,1.6047,1.9463,200,56.6275,162.6546,58.5253,88.2806,32.5189,60.1443,0.0174,0.0266,Population structure converged. Difference: 0.0059
3,5,56.6317,53.8098,Warrior,88.0259,74.5754,27.3212,8.4710,1.6064,1.9463,200,56.6275,47.7880,20.7754,28.6922,50.0213,11.4623,0.0114,0.0266,Population structure converged. Difference: 0.0059
3,6,56.6317,54.9744,Warrior,88.0259,74.5754,27.3212,8.4710,1.6064,1.9463,200,56.6275,33.4459,7.3667,17.3576,30.8993,7.6067,0.0063,0.0266,Population structure converged. Difference: 0.0059
3,7,56.6317,55.8851,Warrior,88.0259,74.5754,27.3212,8.4710,1.6064,1.9463,200,56.6275,12.3482,11.8174,4.2042,16.6978,2.1532,0.0026,0.0266,Population structure converged. Difference: 0.0059
3,8,56.6275,56.2929,Warrior,88.0316,74.5802,27.2995,8.4805,1.6082,1.9463,200,56.6275,6.9294,8.7810,0.3893,16.5480,0.2136,0.0002,0.0266,Population structure converged. Difference: 0.0059
4,0,46.5434,32.7163,Warrior,81.9693,61.8779,44.0312,5.6231,6.4985,1.3914,200,51.6746,360.2214,256.5676,396.0719,364.0557,346.5578,0.0359,0.0354,Population structure converged. Difference: 0.0070
4,1,46.5434,36.5496,Warrior,81.9693,61.8779,44.0312,5.6231,6.4985,1.3914,200,51.6746,304.9896,169.1001,268.5720,273.0771,258.0169,0.0307,0.0354,Population structure converged. Difference: 0.0070
4,2,46.8750,40.9864,Warrior,64.8301,54.8948,63.9121,4.7790,11.5840,1.8196,200,51.6746,263.4306,75.9746,107.4704,123.6974,198.0203,0.0385,0.0354,Population structure converged. Difference: 0.0070
4,3,50.0702,44.3039,Warrior,79.5381,60.0425,42.7252,5.4563,12.2378,1.8196,200,51.6746,142.8152,60.6996,60.6138,82.4848,106.4698,0.0404,0.0354,Population structure converged. Difference: 0.0070
4,4,50.8047,46.1186,Warrior,74.7786,64.2319,47.8238,6.1074,7.0583,1.8196,200,51.6746,56.8486,21.4425,12.2732,51.4302,36.4032,0.0350,0.0354,Population structure converged. Difference: 0.0070
4,5,51.5168,47.1965,Warrior,79.3392,63.2329,44.9955,5.7673,6.6651,1.8196,200,51.6746,36.5444,12.3705,6.9745,33.2433,21.5673,0.0450,0.0354,Population structure converged. Difference: 0.0070
4,6,51.5632,48.4882,Warrior,80.3287,62.6495,44.5803,5.6932,6.7483,1.8196,200,51.6746,30.3313,12.6238,6.7018,23.7366,16.5627,0.0398,0.0354,Population structure converged. Difference: 0.0070
4,7,51.8760,49.4590,Warrior,79.5015,65.6857,42.7056,5.4538,6.6535,1.8196,200,51.6746,14.4532,7.7351,5.3171,8.7016,6.8584,0.0260,0.0354,Population structure converged. Difference: 0.0070
