Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.9820,32.1405,Warrior,86.7110,90.5411,12.9805,9.7534,0.0141,1.9206,200,58.5371,255.8202,473.2512,307.4313,282.6326,405.9738,0.0315,0.0442,Population structure converged. Difference: 0.0090
1,1,56.9820,37.6199,Warrior,86.7110,90.5411,12.9805,9.7534,0.0141,1.9206,200,58.5371,216.3517,463.9377,260.8246,170.0934,347.8979,0.0311,0.0442,Population structure converged. Difference: 0.0090
1,2,57.1998,44.2764,Warrior,78.5097,81.9775,30.6692,8.8309,0.0127,1.9206,200,58.5371,167.2400,313.6443,223.5610,106.0722,250.7852,0.0184,0.0442,Population structure converged. Difference: 0.0090
1,3,57.1132,48.5196,Warrior,86.4986,65.3513,39.5017,8.6358,0.0126,1.9206,200,58.5371,113.8990,248.3472,193.5035,70.5334,149.8613,0.0095,0.0442,Population structure converged. Difference: 0.0090
1,4,57.1826,51.9357,Warrior,89.5195,88.2965,12.6587,9.5116,0.0137,1.9206,200,58.5371,84.6796,192.4014,182.3466,48.4643,83.4499,0.0054,0.0442,Population structure converged. Difference: 0.0090
1,5,57.3950,54.4977,Warrior,87.2040,91.0559,13.0543,8.6755,0.0104,1.9206,200,58.5371,61.8683,135.9973,156.3768,32.7180,33.4537,0.0029,0.0442,Population structure converged. Difference: 0.0090
1,6,57.4646,55.8000,Warrior,88.7944,89.6485,12.8525,8.6918,0.0127,1.9206,200,58.5371,37.7426,131.2445,130.8929,18.8054,17.8437,0.0001,0.0442,Population structure converged. Difference: 0.0090
1,7,58.1875,56.5339,Warrior,83.7530,75.4846,33.4409,7.3108,0.0107,1.9206,200,58.5371,29.4691,127.3035,123.0516,5.5167,13.2734,0.0001,0.0442,Population structure converged. Difference: 0.0090
1,8,58.3258,57.1088,Warrior,86.2013,73.8948,32.7366,7.1568,0.0105,1.9206,200,58.5371,16.5693,85.0390,101.2877,1.0317,3.7451,0.0000,0.0442,Population structure converged. Difference: 0.0090
1,9,58.3765,57.3605,Warrior,88.3127,72.5238,32.1292,7.0241,0.0103,1.9206,200,58.5371,14.0677,80.7346,110.7303,1.1563,3.7452,0.0000,0.0442,Population structure converged. Difference: 0.0090
1,10,58.5371,57.7077,Warrior,84.4891,78.0430,30.7382,6.7199,0.0098,1.9206,200,58.5371,13.2073,69.9142,102.3175,0.8565,0.0000,0.0000,0.0442,Population structure converged. Difference: 0.0090
1,11,58.5371,58.0144,Warrior,84.4891,78.0430,30.7382,6.7199,0.0098,1.9206,200,58.5371,10.7082,52.7545,77.9912,0.5900,0.0000,0.0000,0.0442,Population structure converged. Difference: 0.0090
2,0,44.2399,31.2174,Warrior,58.0701,55.9738,46.4956,5.4832,33.9773,1.8957,200,56.1334,325.7134,330.9894,400.5155,447.9844,308.2656,0.0336,0.0547,Population structure converged. Difference: 0.0097
2,1,49.8777,35.4669,Warrior,64.1747,61.8580,51.3834,6.0596,16.5243,1.8957,200,56.1334,233.4048,260.9875,273.5040,328.2793,204.5218,0.0253,0.0547,Population structure converged. Difference: 0.0097
2,2,50.9662,38.8408,Warrior,79.7932,74.5944,17.6873,8.5966,19.3285,1.8957,200,56.1334,118.1428,215.6890,260.6190,176.2307,152.3999,0.0298,0.0547,Population structure converged. Difference: 0.0097
2,3,51.7296,42.1027,Warrior,71.7454,68.0871,36.4931,6.7745,16.9000,1.8957,200,56.1334,93.1545,152.4357,261.9291,107.5250,152.4189,0.0258,0.0547,Population structure converged. Difference: 0.0097
2,4,52.7822,45.7994,Warrior,77.8027,81.9998,19.4432,6.3715,14.3827,1.8796,200,56.1334,67.8274,92.1658,227.8596,29.6923,113.6637,0.0154,0.0547,Population structure converged. Difference: 0.0097
2,5,53.0313,48.1142,Warrior,69.5413,91.9884,21.8116,0.5632,16.0955,1.8957,200,56.1334,48.5014,97.7598,203.6444,11.8162,87.4233,0.0047,0.0547,Population structure converged. Difference: 0.0097
