Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.0635,31.4887,Warrior,83.0517,35.1979,47.2879,18.1403,16.3222,1.9334,200,55.1909,402.7735,559.8188,476.5487,481.0222,365.9784,0.0495,0.0301,Population structure converged. Difference: 0.0324
1,1,46.5280,38.2337,Warrior,57.4067,87.2293,25.7402,8.2341,21.3896,1.9378,200,55.1909,231.1620,487.9815,244.9901,207.4653,170.4788,0.0493,0.0301,Population structure converged. Difference: 0.0324
1,2,49.3963,42.1212,Warrior,67.1619,66.7286,38.2406,14.6696,13.1994,1.9334,200,55.1909,116.8667,388.0512,188.1785,53.2646,77.5507,0.0194,0.0301,Population structure converged. Difference: 0.0324
1,3,51.6472,44.7366,Warrior,75.1703,71.7581,27.5393,7.9363,17.5959,1.9334,200,55.1909,92.8657,232.6976,106.7862,26.4164,31.9975,0.0031,0.0301,Population structure converged. Difference: 0.0324
1,4,54.1144,46.8306,Warrior,71.7966,71.3334,40.8795,1.8803,14.1102,1.9334,200,55.1909,108.6959,249.4258,131.4771,33.1292,21.1420,0.0007,0.0301,Population structure converged. Difference: 0.0324
1,5,54.1144,49.2470,Warrior,71.7966,71.3334,40.8795,1.8803,14.1102,1.9334,200,55.1909,60.2840,145.3813,134.7644,36.9297,10.3608,0.0005,0.0301,Population structure converged. Difference: 0.0324
1,6,54.9000,51.1643,Warrior,78.9363,75.3531,28.9190,1.9745,14.8171,1.9334,200,55.1909,33.3101,75.4793,134.3683,29.9300,8.0416,0.0003,0.0301,Population structure converged. Difference: 0.0324
1,7,55.1384,52.4556,Warrior,79.2163,75.6204,29.0216,1.9815,14.1603,1.9334,200,55.1909,29.3475,28.2267,79.8225,17.5089,5.5336,0.0000,0.0301,Population structure converged. Difference: 0.0324
1,8,55.1909,53.4605,Warrior,79.2762,75.6776,29.0435,1.8817,14.1209,1.9334,200,55.1909,19.2231,20.9129,59.6072,9.6851,2.7457,0.0000,0.0301,Population structure converged. Difference: 0.0324
2,0,55.8995,36.1158,Warrior,73.8118,86.0507,32.0861,3.0685,4.9829,1.8709,200,56.3329,501.9363,792.4460,352.4130,581.6913,527.8750,0.0376,0.0141,Population structure converged. Difference: 0.0237
2,1,56.3329,45.7970,Warrior,74.2345,86.5434,32.2698,1.9408,5.0115,1.8709,200,56.3329,337.5628,518.9079,271.5909,406.5270,375.9068,0.0255,0.0141,Population structure converged. Difference: 0.0237
2,2,56.3329,53.6012,Warrior,74.2345,86.5434,32.2698,1.9408,5.0115,1.8709,200,56.3329,57.7808,116.9001,81.2805,46.7161,82.6561,0.0122,0.0141,Population structure converged. Difference: 0.0237
2,3,56.3329,55.0280,Warrior,74.2345,86.5434,32.2698,1.9408,5.0115,1.8709,200,56.3329,12.5287,25.3563,36.8893,16.2383,0.0082,0.0095,0.0141,Population structure converged. Difference: 0.0237
3,0,39.2260,29.6118,Warrior,66.5250,43.8662,50.9664,9.8770,28.7654,1.3999,200,52.3795,510.5815,390.4362,481.0836,391.5478,424.5397,0.0490,0.0329,Population structure converged. Difference: 0.0465
3,1,44.5870,35.2046,Warrior,64.6640,56.0547,35.7312,19.1867,24.3634,1.9166,200,52.3795,223.8827,352.8545,260.0737,161.2587,236.0061,0.0406,0.0329,Population structure converged. Difference: 0.0465
3,2,47.4834,38.0853,Warrior,72.9170,63.2089,26.0639,16.1072,21.7029,1.9166,200,52.3795,170.5182,244.4564,194.0503,56.2199,162.2953,0.0499,0.0329,Population structure converged. Difference: 0.0465
3,3,50.8883,41.5338,Warrior,76.8768,72.4261,22.3229,13.7953,14.5789,1.9166,200,52.3795,77.9624,103.4598,118.7606,30.8298,55.3306,0.0599,0.0329,Population structure converged. Difference: 0.0465
3,4,50.8883,44.5204,Warrior,76.8768,72.4261,22.3229,13.7953,14.5789,1.9166,200,52.3795,40.8535,89.7752,74.3356,18.9615,24.9833,0.0338,0.0329,Population structure converged. Difference: 0.0465
3,5,52.3795,47.5287,Warrior,80.9454,70.1684,25.2982,15.6339,7.9541,1.9166,200,52.3795,35.6903,66.6582,47.7859,7.9996,27.0799,0.0119,0.0329,Population structure converged. Difference: 0.0465
3,6,52.3795,49.1848,Warrior,80.9454,70.1684,25.2982,15.6339,7.9541,1.9166,200,52.3795,21.5340,44.9395,32.2689,4.7640,19.7371,0.0076,0.0329,Population structure converged. Difference: 0.0465
3,7,52.3795,50.0542,Warrior,80.9454,70.1684,25.2982,15.6339,7.9541,1.9166,200,52.3795,13.4830,23.3319,12.7491,2.9706,14.8037,0.0028,0.0329,Population structure converged. Difference: 0.0465
4,0,42.9684,32.4076,Warrior,50.8025,54.9837,75.5464,8.5401,10.1273,1.9544,200,53.8634,286.5791,268.4413,554.4309,372.8048,336.5718,0.0510,0.0307,Population structure converged. Difference: 0.0398
4,1,49.3786,37.9071,Warrior,84.7102,49.0215,42.3036,10.9636,13.0012,1.9544,200,53.8634,126.7216,153.9339,484.2964,263.3944,224.7712,0.0391,0.0307,Population structure converged. Difference: 0.0398
4,2,50.9953,42.2742,Warrior,87.0149,50.3553,43.4546,8.7724,10.4028,1.9544,200,53.8634,204.9852,109.5022,227.9131,94.0620,98.1787,0.0193,0.0307,Population structure converged. Difference: 0.0398
4,3,51.1381,45.7500,Warrior,71.2657,76.6356,29.7948,11.9800,10.3239,1.9544,200,53.8634,272.2472,90.3918,239.4198,49.9569,28.6596,0.0077,0.0307,Population structure converged. Difference: 0.0398
4,4,51.1783,48.2825,Warrior,71.9953,75.9458,29.5266,12.1026,10.4296,1.9544,200,53.8634,183.7096,91.5906,184.9211,2.7139,9.2886,0.0027,0.0307,Population structure converged. Difference: 0.0398
4,5,52.3955,49.3747,Warrior,73.2674,77.2876,30.0483,8.7829,10.6138,1.9544,200,53.8634,118.2720,121.4544,141.7091,2.1028,2.5382,0.0001,0.0307,Population structure converged. Difference: 0.0398
4,6,53.7155,50.0713,Warrior,88.5787,66.2461,28.5513,7.6052,9.0187,1.9544,200,53.8634,87.9856,155.2759,134.7838,2.3263,2.8494,0.0000,0.0307,Population structure converged. Difference: 0.0398
4,7,53.8634,50.8270,Warrior,81.1922,73.2980,28.4972,7.3059,9.7067,1.9544,200,53.8634,62.5658,160.7493,107.0223,2.3917,2.8581,0.0000,0.0307,Population structure converged. Difference: 0.0398
4,8,53.8634,51.8019,Warrior,81.1922,73.2980,28.4972,7.3059,9.7067,1.9544,200,53.8634,41.7206,122.3718,61.7297,2.7522,2.2126,0.0000,0.0307,Population structure converged. Difference: 0.0398
5,0,42.6471,31.9775,Warrior,63.1548,55.5457,41.3792,37.7026,2.2177,1.9261,200,56.3283,317.9052,350.1491,444.7145,371.2714,510.9997,0.0424,0.0208,Population structure converged. Difference: 0.0408
5,1,49.4701,36.9205,Warrior,60.6561,55.9169,74.8763,6.0561,2.4945,1.9261,200,56.3283,146.6875,272.1911,227.9124,232.8485,651.9423,0.0334,0.0208,Population structure converged. Difference: 0.0408
5,2,55.9107,41.4941,Warrior,76.0478,70.1060,43.1258,7.5929,3.1275,1.9261,200,56.3283,69.4355,88.4096,220.5057,221.6001,294.4585,0.0117,0.0208,Population structure converged. Difference: 0.0408
5,3,55.9107,46.4882,Warrior,76.0478,70.1060,43.1258,7.5929,3.1275,1.9261,200,56.3283,86.1833,64.8557,203.2873,215.5888,140.2821,0.0054,0.0208,Population structure converged. Difference: 0.0408
5,4,56.3692,51.2454,Warrior,78.8410,68.6936,42.2570,7.4399,2.7685,1.9261,200,56.3283,87.3311,60.8571,158.2799,108.3137,66.8292,0.0027,0.0208,Population structure converged. Difference: 0.0408
5,5,56.3283,54.1187,Warrior,77.9519,69.3154,42.6395,7.3560,2.7373,1.9261,200,56.3283,48.5622,36.9005,108.9128,16.3742,20.8632,0.0024,0.0208,Population structure converged. Difference: 0.0408
6,0,52.8060,36.2062,Warrior,83.3688,94.9948,6.2564,8.1875,7.1925,1.8581,200,55.4212,417.0992,944.6705,503.3978,385.8012,505.2569,0.0321,0.0169,Population structure converged. Difference: 0.0443
6,1,54.7180,46.0716,Warrior,88.7083,78.4041,15.5854,9.2107,8.0915,1.9237,200,55.4212,217.7332,607.2430,272.7162,166.7714,163.8594,0.0213,0.0169,Population structure converged. Difference: 0.0443
6,2,54.7180,49.9857,Warrior,88.7083,78.4041,15.5854,9.2107,8.0915,1.9237,200,55.4212,131.5079,274.1615,63.6569,40.3822,53.7271,0.0099,0.0169,Population structure converged. Difference: 0.0443
6,3,55.1579,52.1155,Warrior,90.8313,77.8247,15.4702,8.4503,7.4235,1.9237,200,55.4212,54.1916,111.2638,14.4409,3.7951,24.9687,0.0021,0.0169,Population structure converged. Difference: 0.0443
6,4,55.4212,53.0702,Warrior,87.7513,86.1511,11.3142,7.5305,7.2529,1.9237,200,55.4212,54.9347,75.2756,11.1689,0.2981,0.2817,0.0010,0.0169,Population structure converged. Difference: 0.0443
7,0,53.2637,32.2990,Warrior,65.4997,83.9842,37.3498,5.7052,7.4611,1.8924,200,58.2546,507.8026,439.6101,643.2404,487.0250,421.7375,0.0520,0.0275,Population structure converged. Difference: 0.0385
7,1,53.2637,40.3483,Warrior,65.4997,83.9842,37.3498,5.7052,7.4611,1.8924,200,58.2546,389.3018,477.0061,254.8883,255.4778,350.7278,0.0611,0.0275,Population structure converged. Difference: 0.0385
7,2,57.0901,47.0413,Warrior,75.6343,80.9407,35.9963,5.4984,1.9303,1.8924,200,58.2546,172.1749,399.9212,183.4209,136.0395,136.9899,0.0397,0.0275,Population structure converged. Difference: 0.0385
7,3,57.9854,51.5415,Warrior,82.5286,76.2905,33.9282,5.1825,2.0702,1.8924,200,58.2546,100.6018,225.8840,70.2292,47.1971,24.6309,0.0123,0.0275,Population structure converged. Difference: 0.0385
7,4,57.9854,53.2963,Warrior,82.5286,76.2905,33.9282,5.1825,2.0702,1.8924,200,58.2546,120.5372,159.0932,32.6929,18.5871,7.1045,0.0079,0.0275,Population structure converged. Difference: 0.0385
7,5,58.2379,54.9957,Warrior,85.0323,74.8242,33.2761,5.0829,1.7844,1.8924,200,58.2546,96.2890,95.5089,13.5516,9.5752,7.1215,0.0000,0.0275,Population structure converged. Difference: 0.0385
7,6,58.2546,56.0972,Warrior,87.8312,72.8468,32.3967,4.9486,1.9768,1.8924,200,58.2546,77.8685,73.4639,15.9328,17.2823,5.6935,0.0000,0.0275,Population structure converged. Difference: 0.0385
8,0,41.8775,31.5998,Warrior,78.9622,77.0213,21.2644,0.4815,22.2706,1.6231,200,59.2676,393.3738,553.3386,462.8267,480.1579,455.4021,0.0349,0.0280,Population structure converged. Difference: 0.0267
8,1,48.2917,37.0622,Warrior,88.6859,86.5061,23.8829,0.5408,0.3842,1.5837,200,59.2676,238.3281,559.1783,359.8670,337.9198,359.1344,0.0254,0.0280,Population structure converged. Difference: 0.0267
8,2,52.9742,41.0762,Warrior,69.9374,78.5020,39.7083,11.5390,0.3133,1.8618,200,59.2676,176.1019,382.1273,217.5340,109.9787,313.7484,0.0173,0.0280,Population structure converged. Difference: 0.0267
8,3,52.9742,44.9016,Warrior,69.9374,78.5020,39.7083,11.5390,0.3133,1.8618,200,59.2676,169.0038,115.3533,115.5307,73.1088,193.0775,0.0136,0.0280,Population structure converged. Difference: 0.0267
8,4,59.2404,48.6267,Warrior,88.6936,86.5136,23.8850,0.5408,0.3669,1.8618,200,59.2676,101.7977,79.9105,66.2821,48.0175,101.7929,0.0180,0.0280,Population structure converged. Difference: 0.0267
8,5,59.2404,52.6035,Warrior,88.6936,86.5136,23.8850,0.5408,0.3669,1.8618,200,59.2676,78.3130,39.2110,67.2997,38.6793,27.9181,0.0130,0.0280,Population structure converged. Difference: 0.0267
8,6,59.2585,55.8495,Warrior,88.7174,86.5368,23.8914,0.5410,0.3134,1.8618,200,59.2676,89.9463,41.1530,67.1696,37.7022,19.1198,0.0058,0.0280,Population structure converged. Difference: 0.0267
8,7,59.2676,57.7264,Warrior,88.4484,85.6931,24.9533,0.5393,0.3659,1.8618,200,59.2676,51.4570,25.9091,44.1067,14.6324,0.0020,0.0013,0.0280,Population structure converged. Difference: 0.0267
