Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.6681,30.9877,Warrior,82.5798,65.6644,23.3627,22.1454,6.2477,1.8828,200,58.3742,523.2191,480.7492,507.1868,456.1670,386.3390,0.0406,0.0457,Population structure converged. Difference: 0.0097
1,1,50.0037,35.4670,Warrior,82.9822,65.9844,23.4765,21.2787,6.2782,1.8828,200,58.3742,459.8601,449.5494,442.5094,431.2037,264.1429,0.0376,0.0457,Population structure converged. Difference: 0.0097
1,2,53.8593,39.5799,Warrior,91.0727,72.4177,18.9150,10.7043,6.8903,1.8828,200,58.3742,435.8503,419.6132,378.7487,322.8691,174.6927,0.0341,0.0457,Population structure converged. Difference: 0.0097
1,3,54.9282,43.4506,Warrior,91.1390,87.4384,7.6201,7.1685,6.6340,1.8828,200,58.3742,210.8361,343.1853,271.6219,177.5923,124.7789,0.0251,0.0457,Population structure converged. Difference: 0.0097
1,4,57.5861,45.9228,Warrior,96.0315,76.3607,19.9448,0.3974,7.2655,1.8828,200,58.3742,185.2212,290.5136,245.8337,120.6236,90.2998,0.0160,0.0457,Population structure converged. Difference: 0.0097
1,5,57.5861,49.1646,Warrior,96.0315,76.3607,19.9448,0.3974,7.2655,1.8828,200,58.3742,90.5820,164.7913,134.8052,74.6773,45.2462,0.0042,0.0457,Population structure converged. Difference: 0.0097
1,6,57.9331,51.1293,Warrior,96.5228,76.7514,20.0469,0.3995,6.2794,1.8828,200,58.3742,100.7107,86.8228,60.6635,90.6759,36.8627,0.0029,0.0457,Population structure converged. Difference: 0.0097
1,7,57.9331,53.0084,Warrior,96.5228,76.7514,20.0469,0.3995,6.2794,1.8828,200,58.3742,65.6199,33.9649,11.7505,94.1656,14.5127,0.0026,0.0457,Population structure converged. Difference: 0.0097
1,8,58.0322,54.9185,Warrior,84.2399,86.3763,22.5608,0.4496,6.3733,1.8828,200,58.3742,52.5828,16.8979,6.7682,62.0786,7.5410,0.0015,0.0457,Population structure converged. Difference: 0.0097
1,9,58.0322,55.4153,Warrior,84.2399,86.3763,22.5608,0.4496,6.3733,1.8828,200,58.3742,35.9889,15.1172,6.1633,47.3496,5.9519,0.0018,0.0457,Population structure converged. Difference: 0.0097
1,10,58.3598,56.1862,Warrior,90.6849,81.5673,21.3048,0.4245,6.0185,1.8828,200,58.3742,31.6309,11.9250,3.7030,41.7194,4.2521,0.0010,0.0457,Population structure converged. Difference: 0.0097
1,11,58.3598,56.9522,Warrior,90.6849,81.5673,21.3048,0.4245,6.0185,1.8828,200,58.3742,9.7192,2.8664,2.0938,19.8797,0.2328,0.0009,0.0457,Population structure converged. Difference: 0.0097
1,12,58.3742,57.2436,Warrior,90.7028,81.5834,21.3090,0.3852,6.0197,1.8828,200,58.3742,4.8531,3.8791,2.4667,13.7777,0.2524,0.0004,0.0457,Population structure converged. Difference: 0.0097
1,13,58.3742,57.4923,Warrior,90.7028,81.5834,21.3090,0.3852,6.0197,1.8828,200,58.3742,3.8900,4.0596,3.3382,8.5738,0.2110,0.0000,0.0457,Population structure converged. Difference: 0.0097
