Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.2452,30.9970,Warrior,59.2808,67.1803,46.2090,15.9476,11.3823,1.7399,200,49.9146,285.7339,411.0231,546.8958,409.6191,526.6945,0.0401,0.0528,Population structure converged. Difference: 0.0472
1,1,43.5071,33.7372,Warrior,59.2808,67.1803,46.2090,15.9476,11.3823,1.8054,200,49.9146,213.7001,279.5656,491.6788,301.6512,360.3061,0.0327,0.0528,Population structure converged. Difference: 0.0472
1,2,46.4435,35.9916,Warrior,95.1944,61.3091,19.5473,14.1531,9.7961,1.8054,200,49.9146,226.2673,274.9922,404.9934,222.1009,299.1695,0.0228,0.0528,Population structure converged. Difference: 0.0472
1,3,46.4435,39.4257,Warrior,95.1944,61.3091,19.5473,14.1531,9.7961,1.8054,200,49.9146,225.2400,183.5075,357.6458,80.5362,173.5007,0.0175,0.0528,Population structure converged. Difference: 0.0472
1,4,48.3531,41.5626,Warrior,98.3414,63.3359,20.1935,8.0093,10.1199,1.8054,200,49.9146,301.9465,143.9707,276.8410,53.2227,63.7523,0.0143,0.0528,Population structure converged. Difference: 0.0472
1,5,48.3531,43.6320,Warrior,98.3414,63.3359,20.1935,8.0093,10.1199,1.8054,200,49.9146,272.8666,82.3823,250.7226,56.5292,24.7771,0.0086,0.0528,Population structure converged. Difference: 0.0472
1,6,49.7736,45.3097,Warrior,90.2479,71.7992,20.5250,8.1408,9.2871,1.8054,200,49.9146,192.2354,44.6948,129.9246,32.0557,5.8097,0.0045,0.0528,Population structure converged. Difference: 0.0472
1,7,49.7736,46.3563,Warrior,90.2479,71.7992,20.5250,8.1408,9.2871,1.8054,200,49.9146,95.0356,37.3947,87.5997,13.2567,3.9004,0.0021,0.0528,Population structure converged. Difference: 0.0472
1,8,49.7736,46.7467,Warrior,90.2479,71.7992,20.5250,8.1408,9.2871,1.8054,200,49.9146,84.2566,42.5164,75.6053,20.8992,4.2570,0.0005,0.0528,Population structure converged. Difference: 0.0472
1,9,49.9146,47.6639,Warrior,90.4859,71.9885,20.5791,8.1623,8.7842,1.8054,200,49.9146,51.0256,50.3065,66.0372,10.0701,1.6589,0.0003,0.0528,Population structure converged. Difference: 0.0472
