Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.0996,29.7170,Warrior,61.8188,41.7501,48.5797,1.7505,46.1009,1.8864,200,55.8582,415.8218,306.9392,272.4408,414.0275,312.3984,0.0366,0.0425,Population structure converged. Difference: 0.0094
1,1,46.5530,33.9088,Warrior,71.8839,49.0442,50.4380,11.1356,17.4982,1.8461,200,55.8582,237.7571,222.8036,197.1624,260.9797,164.7243,0.0378,0.0425,Population structure converged. Difference: 0.0094
1,2,46.5530,36.2318,Warrior,71.8839,49.0442,50.4380,11.1356,17.4982,1.8461,200,55.8582,158.9417,176.0822,149.1280,177.4143,165.2718,0.0344,0.0425,Population structure converged. Difference: 0.0094
1,3,46.5530,38.3296,Warrior,71.8839,49.0442,50.4380,11.1356,17.4982,1.8461,200,55.8582,117.1225,128.8583,122.7874,145.2982,146.0155,0.0254,0.0425,Population structure converged. Difference: 0.0094
1,4,46.6816,39.8176,Warrior,77.5767,50.1358,41.3860,12.0175,18.8840,1.8461,200,55.8582,76.4461,115.3620,103.6666,122.6948,123.3978,0.0184,0.0425,Population structure converged. Difference: 0.0094
1,5,47.1323,41.2572,Warrior,69.2749,67.3867,32.7428,1.7899,28.8057,1.8369,200,55.8582,43.8772,122.9326,138.6325,107.6473,116.2544,0.0112,0.0425,Population structure converged. Difference: 0.0094
1,6,55.2616,42.9256,Warrior,85.0981,72.1244,35.0448,1.9157,5.8170,1.8369,200,55.8582,50.7250,69.7917,101.1759,79.8825,80.7770,0.0093,0.0425,Population structure converged. Difference: 0.0094
1,7,55.2616,44.4388,Warrior,85.0981,72.1244,35.0448,1.9157,5.8170,1.8369,200,55.8582,67.7170,106.0338,106.6057,88.3315,77.5411,0.0008,0.0425,Population structure converged. Difference: 0.0094
1,8,55.2616,46.4005,Warrior,85.0981,72.1244,35.0448,1.9157,5.8170,1.8369,200,55.8582,59.4166,91.7644,91.3308,70.2993,54.3498,0.0000,0.0425,Population structure converged. Difference: 0.0094
1,9,55.2616,48.2623,Warrior,85.0981,72.1244,35.0448,1.9157,5.8170,1.8369,200,55.8582,64.6261,98.8073,84.3011,52.1587,55.2864,0.0000,0.0425,Population structure converged. Difference: 0.0094
1,10,55.6129,50.3036,Warrior,84.7751,71.8506,34.9118,1.9084,6.5541,1.8461,200,55.8582,60.4163,94.4293,83.0886,38.8564,46.5768,0.0000,0.0425,Population structure converged. Difference: 0.0094
1,11,55.7834,52.5793,Warrior,86.1957,70.4751,35.4968,1.9404,5.8920,1.8461,200,55.8582,39.3737,82.5386,55.2813,17.7265,31.3133,0.0000,0.0425,Population structure converged. Difference: 0.0094
1,12,55.8556,54.1954,Warrior,85.0981,72.1244,35.0448,1.9157,5.8170,1.8461,200,55.8582,19.5837,66.1785,31.6317,4.5133,12.2521,0.0000,0.0425,Population structure converged. Difference: 0.0094
1,13,55.8556,54.9643,Warrior,85.0981,72.1244,35.0448,1.9157,5.8170,1.8461,200,55.8582,9.1253,33.1524,16.5116,2.4697,1.9229,0.0000,0.0425,Population structure converged. Difference: 0.0094
1,14,55.8582,55.3381,Warrior,84.6308,72.6563,34.9852,1.9124,5.8152,1.8461,200,55.8582,7.0979,13.1932,5.9256,2.8416,0.6319,0.0000,0.0425,Population structure converged. Difference: 0.0094
2,0,45.4104,29.1552,Warrior,100.1171,51.5024,34.2781,4.6617,9.4407,1.4904,200,57.8829,472.0540,389.0322,561.9398,455.6268,471.6599,0.0428,0.0628,Population structure converged. Difference: 0.0072
2,1,51.0167,33.4102,Warrior,85.3079,90.7394,3.9271,14.3034,5.7223,1.8526,200,57.8829,334.7860,397.0216,496.7402,372.6529,382.0647,0.0396,0.0628,Population structure converged. Difference: 0.0072
2,2,53.8871,37.0261,Warrior,78.2313,62.0475,44.6606,6.0737,8.9868,1.9466,200,57.8829,346.0731,322.4123,432.3711,270.2079,352.6449,0.0388,0.0628,Population structure converged. Difference: 0.0072
2,3,55.4431,41.7539,Warrior,80.6877,69.9150,42.0381,6.6390,0.7201,1.8526,200,57.8829,285.3575,268.3018,439.2720,144.3230,271.2554,0.0445,0.0628,Population structure converged. Difference: 0.0072
2,4,55.4431,45.1049,Warrior,80.6877,69.9150,42.0381,6.6390,0.7201,1.8526,200,57.8829,249.0098,259.8445,448.8323,89.7136,140.7912,0.0410,0.0628,Population structure converged. Difference: 0.0072
2,5,55.4431,47.6373,Warrior,80.6877,69.9150,42.0381,6.6390,0.7201,1.8526,200,57.8829,181.1955,210.6753,406.5628,58.7265,102.4922,0.0330,0.0628,Population structure converged. Difference: 0.0072
2,6,56.6451,50.9110,Warrior,79.2041,70.7844,42.5609,6.7216,0.7291,1.9466,200,57.8829,77.3685,190.6201,398.6122,16.7569,27.4987,0.0256,0.0628,Population structure converged. Difference: 0.0072
2,7,56.6451,52.9341,Warrior,79.2041,70.7844,42.5609,6.7216,0.7291,1.9466,200,57.8829,41.6170,106.8073,245.9288,10.5308,13.9779,0.0126,0.0628,Population structure converged. Difference: 0.0072
2,8,56.6451,54.2536,Warrior,79.2041,70.7844,42.5609,6.7216,0.7291,1.9466,200,57.8829,21.9594,41.3309,101.2549,7.3277,14.3135,0.0037,0.0628,Population structure converged. Difference: 0.0072
2,9,56.6734,55.0041,Warrior,81.6286,67.8341,43.0082,6.7923,0.7368,1.9466,200,57.8829,10.7591,21.1212,22.9871,2.0722,9.9101,0.0030,0.0628,Population structure converged. Difference: 0.0072
2,10,56.6734,55.4352,Warrior,81.6286,67.8341,43.0082,6.7923,0.7368,1.9466,200,57.8829,13.7042,23.4167,39.4669,3.6569,4.0539,0.0007,0.0628,Population structure converged. Difference: 0.0072
2,11,57.4991,55.8313,Warrior,83.2367,69.1619,41.5853,5.2499,0.7662,1.9466,200,57.8829,17.3453,14.1463,10.3201,0.4952,1.9612,0.0009,0.0628,Population structure converged. Difference: 0.0072
2,12,57.7052,56.1045,Warrior,85.0804,70.7026,38.0211,5.6030,0.5930,1.9466,200,57.8829,16.7017,12.8098,10.1667,0.5429,1.2273,0.0016,0.0628,Population structure converged. Difference: 0.0072
2,13,57.7052,56.3966,Warrior,85.0804,70.7026,38.0211,5.6030,0.5930,1.9466,200,57.8829,17.6705,12.0426,9.1495,0.5493,0.0074,0.0022,0.0628,Population structure converged. Difference: 0.0072
2,14,57.8408,56.7388,Warrior,82.8167,73.9466,37.3257,5.1487,0.7623,1.9466,200,57.8829,9.3893,5.7941,6.6163,0.4576,0.0061,0.0017,0.0628,Population structure converged. Difference: 0.0072
