Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.4059,29.7464,Warrior,85.0980,44.1322,48.2454,9.1425,13.3818,1.9429,200,59.2595,303.9593,460.8271,437.6186,471.4465,339.3345,0.0387,0.0817,Population structure converged. Difference: 0.0091
1,1,50.1402,32.8579,Warrior,86.2985,44.7548,48.9260,9.2715,10.7492,1.9429,200,59.2595,219.6246,532.7098,334.3998,350.9555,333.6981,0.0370,0.0817,Population structure converged. Difference: 0.0091
1,2,52.7465,34.8961,Warrior,77.1791,65.3948,36.9977,8.2918,12.1365,1.9429,200,59.2595,219.0400,409.6046,261.9056,321.4884,311.9576,0.0397,0.0817,Population structure converged. Difference: 0.0091
1,3,52.7465,37.2663,Warrior,77.1791,65.3948,36.9977,8.2918,12.1365,1.9429,200,59.2595,207.1969,344.4417,254.8349,251.7511,234.4567,0.0330,0.0817,Population structure converged. Difference: 0.0091
1,4,53.2996,40.1837,Warrior,81.4369,78.8973,20.2869,18.9896,0.3893,1.8972,200,59.2595,168.5247,345.8195,298.1184,116.3222,168.2865,0.0268,0.0817,Population structure converged. Difference: 0.0091
1,5,52.7465,42.9974,Warrior,77.1791,65.3948,36.9977,8.2918,12.1365,1.9429,200,59.2595,166.9248,291.7285,258.4647,73.8500,108.4481,0.0175,0.0817,Population structure converged. Difference: 0.0091
1,6,53.0441,44.6671,Warrior,85.6850,81.1190,13.2182,19.6630,0.3148,1.8972,200,59.2595,192.6103,260.5940,222.3802,55.3216,90.8392,0.0156,0.0817,Population structure converged. Difference: 0.0091
1,7,56.9385,45.1623,Warrior,79.1039,67.0258,46.8902,6.6765,0.3036,1.8972,200,59.2595,215.5721,257.2516,267.4699,77.7233,84.4892,0.0114,0.0817,Population structure converged. Difference: 0.0091
1,8,56.9385,46.9223,Warrior,79.1039,67.0258,46.8902,6.6765,0.3036,1.8972,200,59.2595,184.2410,243.2922,262.8344,49.7756,106.3017,0.0096,0.0817,Population structure converged. Difference: 0.0091
1,9,58.8218,47.9514,Warrior,83.2128,83.0932,28.3478,5.0028,0.3434,1.8972,200,59.2595,154.0652,223.1505,260.3355,56.8452,101.7645,0.0091,0.0817,Population structure converged. Difference: 0.0091
1,10,58.8219,49.5619,Warrior,83.2129,83.0932,28.3478,5.0028,0.3433,1.8972,200,59.2595,135.3467,144.3784,230.6905,49.4088,92.3447,0.0072,0.0817,Population structure converged. Difference: 0.0091
1,11,59.0128,50.2555,Warrior,85.5108,81.4408,27.7841,4.9033,0.3609,1.8972,200,59.2595,133.3248,138.4938,247.0754,49.3198,91.0475,0.0056,0.0817,Population structure converged. Difference: 0.0091
1,12,59.0128,51.8634,Warrior,85.5108,81.4408,27.7841,4.9033,0.3609,1.8972,200,59.2595,121.2299,143.2062,222.7143,38.6933,70.2249,0.0050,0.0817,Population structure converged. Difference: 0.0091
1,13,59.1548,52.6277,Warrior,88.4319,79.3629,27.0752,4.7782,0.3517,1.8972,200,59.2595,104.6511,129.5071,164.6790,41.0027,64.6557,0.0063,0.0817,Population structure converged. Difference: 0.0091
1,14,59.1548,53.6727,Warrior,88.4319,79.3629,27.0752,4.7782,0.3517,1.8972,200,59.2595,89.3694,130.1106,123.4854,26.9194,62.8285,0.0088,0.0817,Population structure converged. Difference: 0.0091
1,15,59.1700,55.2701,Warrior,88.4521,79.3810,27.0814,4.7793,0.3062,1.8972,200,59.2595,61.8292,127.4582,107.1645,27.3040,38.0521,0.0048,0.0817,Population structure converged. Difference: 0.0091
1,16,59.1700,56.7706,Warrior,88.4521,79.3810,27.0814,4.7793,0.3062,1.8972,200,59.2595,48.8771,80.8958,75.3014,11.1185,18.0450,0.0033,0.0817,Population structure converged. Difference: 0.0091
1,17,59.1700,57.3529,Warrior,88.4521,79.3810,27.0814,4.7793,0.3062,1.8972,200,59.2595,36.8334,81.4157,84.9483,8.1996,7.4893,0.0032,0.0817,Population structure converged. Difference: 0.0091
1,18,59.1719,57.6921,Warrior,87.1607,81.1421,26.6860,4.7095,0.3017,1.8972,200,59.2595,35.2914,58.5502,73.7392,3.8815,4.1052,0.0032,0.0817,Population structure converged. Difference: 0.0091
1,19,59.1720,58.0992,Warrior,91.1928,77.2688,26.5276,4.6816,0.3293,1.8972,200,59.2595,33.2415,50.8304,48.6088,3.4085,4.1033,0.0003,0.0817,Population structure converged. Difference: 0.0091
1,20,59.1951,58.3200,Warrior,88.4742,79.4008,27.0881,4.6511,0.3858,1.8972,200,59.2595,23.1582,40.1631,32.5979,5.0183,0.0021,0.0003,0.0817,Population structure converged. Difference: 0.0091
