Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.0028,28.2210,Warrior,108.9864,47.1605,22.0131,15.0857,6.7543,1.9123,200,55.4794,544.2800,409.3694,486.8056,509.3139,410.8676,0.0470,0.2034,Population structure converged. Difference: 0.0086
1,1,47.0028,29.9816,Warrior,108.9864,47.1605,22.0131,15.0857,6.7543,1.9123,200,55.4794,448.2924,304.1019,405.6445,387.2157,366.7443,0.0458,0.2034,Population structure converged. Difference: 0.0086
1,2,50.5566,31.8778,Warrior,71.0183,52.7395,57.9595,12.6286,5.6541,1.9123,200,55.4794,390.8137,261.0680,375.4635,381.3145,338.1592,0.0540,0.2034,Population structure converged. Difference: 0.0086
1,3,49.3426,32.3315,Warrior,91.9543,54.1951,27.0316,18.5249,8.2941,1.9123,200,55.4794,480.7617,263.3581,378.6455,359.1691,377.2945,0.0531,0.2034,Population structure converged. Difference: 0.0086
1,4,47.0028,32.9922,Warrior,108.9864,47.1605,22.0131,15.0857,6.7543,1.9123,200,55.4794,481.7030,210.9135,416.9439,326.7272,348.9774,0.0460,0.2034,Population structure converged. Difference: 0.0086
1,5,50.5812,35.6488,Warrior,103.4352,60.3259,15.5112,14.3173,6.4102,1.9123,200,55.4794,393.4833,154.4372,369.2201,239.2220,299.0090,0.0436,0.2034,Population structure converged. Difference: 0.0086
1,6,50.5812,36.0017,Warrior,103.4352,60.3259,15.5112,14.3173,6.4102,1.9123,200,55.4794,332.6195,171.4595,333.2333,231.2142,263.6306,0.0377,0.2034,Population structure converged. Difference: 0.0086
1,7,51.9958,37.8694,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,224.9337,160.2938,289.8037,120.1393,219.9603,0.0346,0.2034,Population structure converged. Difference: 0.0086
1,8,51.9958,39.2944,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,164.7950,145.3999,226.1362,82.2626,156.2210,0.0323,0.2034,Population structure converged. Difference: 0.0086
1,9,51.9958,40.3459,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,170.7996,141.9731,211.6777,84.0906,169.3132,0.0313,0.2034,Population structure converged. Difference: 0.0086
1,10,51.9958,41.2199,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,152.0779,144.0575,213.9061,74.9542,160.4667,0.0327,0.2034,Population structure converged. Difference: 0.0086
1,11,51.9958,42.9533,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,176.9798,123.1675,225.9531,34.3007,140.0983,0.0247,0.2034,Population structure converged. Difference: 0.0086
1,12,51.9958,43.9185,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,189.1395,153.4934,247.7329,21.1846,118.3823,0.0123,0.2034,Population structure converged. Difference: 0.0086
1,13,51.9958,44.8982,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,194.4327,129.9381,238.1691,16.2505,103.4083,0.0151,0.2034,Population structure converged. Difference: 0.0086
1,14,51.9958,45.4906,Warrior,88.6008,69.5933,17.8941,16.5168,7.3950,1.9123,200,55.4794,151.1070,134.8143,219.1424,17.5305,103.2540,0.0121,0.2034,Population structure converged. Difference: 0.0086
1,15,51.3235,46.7066,Warrior,81.7116,56.7580,39.0644,13.3325,9.1335,1.9413,200,55.4794,121.3141,90.1678,196.2451,16.9680,55.6953,0.0058,0.2034,Population structure converged. Difference: 0.0086
1,16,51.9725,46.9630,Warrior,77.8577,73.9430,24.4861,19.4716,4.2416,1.9123,200,55.4794,114.4421,73.1118,185.5460,20.5511,55.3637,0.0058,0.2034,Population structure converged. Difference: 0.0086
