Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.9788,32.6787,Warrior,64.7729,51.9464,57.4698,23.3624,2.4485,1.9616,200,55.6476,377.1890,265.3172,404.6873,343.3661,555.3403,0.0423,0.0229,Population structure converged. Difference: 0.0098
1,1,55.4512,37.8459,Warrior,81.7863,66.8349,46.4811,1.8061,3.0916,1.8390,200,55.6476,302.1952,137.0026,263.0585,177.8367,473.3984,0.0266,0.0229,Population structure converged. Difference: 0.0098
1,2,55.4512,45.7785,Warrior,81.7863,66.8349,46.4811,1.8061,3.0916,1.8390,200,55.6476,208.2624,112.0903,108.4618,166.7379,156.3438,0.0098,0.0229,Population structure converged. Difference: 0.0098
1,3,55.6476,50.5466,Warrior,82.0501,67.0505,46.6311,1.8120,2.4564,1.8390,200,55.6476,123.7810,78.2896,57.6887,106.2019,59.9788,0.0057,0.0229,Population structure converged. Difference: 0.0098
1,4,55.6476,53.3749,Warrior,82.0501,67.0505,46.6311,1.8120,2.4564,1.8390,200,55.6476,67.0363,35.2227,31.5921,60.4556,25.1440,0.0002,0.0229,Population structure converged. Difference: 0.0098
1,5,55.6476,54.3746,Warrior,82.0501,67.0505,46.6311,1.8120,2.4564,1.8390,200,55.6476,23.7199,19.4722,12.6741,33.7766,11.8321,0.0002,0.0229,Population structure converged. Difference: 0.0098
1,6,55.6476,55.1097,Warrior,82.0501,67.0505,46.6311,1.8120,2.4564,1.8390,200,55.6476,6.4196,4.9315,7.0878,9.8764,0.0348,0.0000,0.0229,Population structure converged. Difference: 0.0098
2,0,43.6851,32.2434,Warrior,55.8142,61.0739,46.9549,24.3416,11.8154,1.9215,200,46.6914,482.9084,392.2134,411.3578,478.4406,295.3396,0.0536,0.0456,Population structure converged. Difference: 0.0091
2,1,43.6851,37.3975,Warrior,55.8142,61.0739,46.9549,24.3416,11.8154,1.9215,200,46.6914,272.6808,274.7540,244.3341,253.5150,130.9383,0.0430,0.0456,Population structure converged. Difference: 0.0091
2,2,45.7380,39.9050,Warrior,71.8440,65.0005,21.2850,6.4035,35.4671,1.8913,200,46.6914,151.4789,156.4333,158.4430,133.1090,69.9074,0.0268,0.0456,Population structure converged. Difference: 0.0091
2,3,45.7380,42.0396,Warrior,71.8440,65.0005,21.2850,6.4035,35.4671,1.8913,200,46.6914,58.2903,97.3097,71.8937,54.0483,15.6472,0.0112,0.0456,Population structure converged. Difference: 0.0091
2,4,45.7380,42.9529,Warrior,71.8440,65.0005,21.2850,6.4035,35.4671,1.8913,200,46.6914,25.2388,45.2442,64.4288,27.5218,7.1736,0.0040,0.0456,Population structure converged. Difference: 0.0091
2,5,45.7380,43.4692,Warrior,71.8440,65.0005,21.2850,6.4035,35.4671,1.8913,200,46.6914,11.3245,17.9450,51.7815,12.3681,5.2434,0.0021,0.0456,Population structure converged. Difference: 0.0091
2,6,46.5690,43.8220,Warrior,72.8934,65.9500,21.5959,5.7013,33.8595,1.8913,200,46.6914,7.7760,20.7216,48.0299,6.9476,5.5428,0.0002,0.0456,Population structure converged. Difference: 0.0091
2,7,46.5690,44.0505,Warrior,72.8934,65.9500,21.5959,5.7013,33.8595,1.8913,200,46.6914,5.3047,11.6591,26.1859,5.4642,7.9538,0.0002,0.0456,Population structure converged. Difference: 0.0091
2,8,46.5690,44.5217,Warrior,72.8934,65.9500,21.5959,5.7013,33.8595,1.8913,200,46.6914,5.6127,5.2116,8.1953,0.1201,8.8069,0.0003,0.0456,Population structure converged. Difference: 0.0091
2,9,46.5690,44.9776,Warrior,72.8934,65.9500,21.5959,5.7013,33.8595,1.8913,200,46.6914,5.4148,2.2415,3.7802,0.1411,8.3736,0.0002,0.0456,Population structure converged. Difference: 0.0091
2,10,46.5938,45.4918,Warrior,72.9231,65.9769,21.6047,5.7037,33.7916,1.8913,200,46.6914,4.6675,1.7191,1.9237,0.1210,7.6285,0.0001,0.0456,Population structure converged. Difference: 0.0091
2,11,46.5808,45.8673,Warrior,72.9850,65.9024,21.5803,5.6972,33.8351,1.8913,200,46.6914,2.6978,1.5059,0.1988,0.1135,5.4083,0.0000,0.0456,Population structure converged. Difference: 0.0091
2,12,46.6143,46.1196,Warrior,72.6341,66.2513,21.6945,5.6810,33.7391,1.8913,200,46.6914,1.8119,1.0590,0.2124,0.0850,3.2715,0.0000,0.0456,Population structure converged. Difference: 0.0091
2,13,46.6914,46.2709,Warrior,73.8804,65.4379,21.4282,5.6571,33.5966,1.8913,200,46.6914,1.2398,0.8090,0.1591,0.0587,1.6201,0.0000,0.0456,Population structure converged. Difference: 0.0091
3,0,47.8896,33.5118,Warrior,91.4433,35.3591,54.4024,1.8375,16.9576,1.8696,200,54.4890,777.2090,289.0168,396.3667,540.5597,435.0000,0.0388,0.0467,Population structure converged. Difference: 0.0093
3,1,51.9772,40.7693,Warrior,82.8747,50.7866,49.3047,1.6653,15.3686,1.8696,200,54.4890,650.1349,146.9957,165.2900,313.5612,195.0269,0.0221,0.0467,Population structure converged. Difference: 0.0093
3,2,51.9772,45.2028,Warrior,82.8747,50.7866,49.3047,1.6653,15.3686,1.8696,200,54.4890,349.4269,112.3313,49.1558,113.9478,76.2173,0.0099,0.0467,Population structure converged. Difference: 0.0093
3,3,51.9772,47.3913,Warrior,82.8747,50.7866,49.3047,1.6653,15.3686,1.8696,200,54.4890,163.5929,82.4875,28.9075,85.0258,39.9541,0.0039,0.0467,Population structure converged. Difference: 0.0093
