Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.7819,27.4479,Warrior,58.5288,69.8496,47.3239,3.7545,20.5432,1.4388,200,54.4597,388.2139,477.4417,335.0436,420.8029,328.4796,0.0393,0.3925,Population structure converged. Difference: 0.0094
1,1,43.8217,29.2630,Warrior,73.3857,62.5142,42.3541,3.3602,18.3858,1.3847,200,54.4597,316.5757,334.2689,297.1968,339.6333,293.4860,0.0426,0.3925,Population structure converged. Difference: 0.0094
1,2,43.8217,32.0430,Warrior,73.3857,62.5142,42.3541,3.3602,18.3858,1.3847,200,54.4597,187.7290,266.4224,210.0106,316.3517,287.3051,0.0461,0.3925,Population structure converged. Difference: 0.0094
1,3,46.7769,33.3563,Warrior,71.4635,42.9866,56.5271,4.4846,24.5382,1.8765,200,54.4597,155.9841,320.4914,151.4448,335.4261,266.4816,0.0423,0.3925,Population structure converged. Difference: 0.0094
1,4,46.7769,35.3819,Warrior,71.4635,42.9866,56.5271,4.4846,24.5382,1.8765,200,54.4597,131.5800,374.0428,232.2322,288.0830,262.5602,0.0428,0.3925,Population structure converged. Difference: 0.0094
1,5,48.3452,37.5483,Warrior,58.8771,70.2652,47.6055,3.7768,19.4753,1.8765,200,54.4597,90.0684,342.2271,299.1788,276.5235,175.6294,0.0432,0.3925,Population structure converged. Difference: 0.0094
1,6,48.3452,38.2782,Warrior,58.8771,70.2652,47.6055,3.7768,19.4753,1.8765,200,54.4597,109.8698,342.8178,259.6680,212.9512,206.1929,0.0466,0.3925,Population structure converged. Difference: 0.0094
1,7,48.7250,39.1361,Warrior,66.2212,79.0297,25.3904,7.4542,21.9045,1.8765,200,54.4597,105.4984,298.4128,267.4335,199.0513,188.4213,0.0471,0.3925,Population structure converged. Difference: 0.0094
1,8,49.4151,41.0641,Warrior,70.2514,67.2936,33.2097,4.9148,24.3305,1.8765,200,54.4597,109.4872,206.2431,242.0270,102.6934,125.8993,0.0434,0.3925,Population structure converged. Difference: 0.0094
1,9,49.9697,42.1950,Warrior,71.9132,65.4046,32.7092,6.6591,23.3138,1.9247,200,54.4597,106.9666,196.7715,272.0483,68.1266,100.6560,0.0450,0.3925,Population structure converged. Difference: 0.0094
1,10,50.3058,44.0260,Warrior,73.0222,59.4759,41.9177,4.0391,21.5450,1.8765,200,54.4597,98.2254,142.3080,235.2737,50.5456,60.3463,0.0450,0.3925,Population structure converged. Difference: 0.0094
1,11,50.5779,45.3358,Warrior,72.6090,59.1394,41.6805,5.9033,20.6677,1.9247,200,54.4597,86.2477,104.5625,192.1292,20.1546,35.7611,0.0398,0.3925,Population structure converged. Difference: 0.0094
1,12,51.1457,45.8679,Warrior,84.2132,69.5861,18.7120,4.2476,23.2411,1.9232,200,54.4597,72.6702,89.4101,190.5949,18.1286,34.8525,0.0392,0.3925,Population structure converged. Difference: 0.0094
1,13,51.8658,46.6280,Warrior,77.0432,63.6615,34.3019,5.0765,19.9170,1.9232,200,54.4597,56.7885,79.7816,167.7461,21.6893,14.3761,0.0389,0.3925,Population structure converged. Difference: 0.0094
1,14,52.2083,46.9015,Warrior,83.5788,60.2776,32.4786,4.8066,18.8583,1.9232,200,54.4597,52.8683,95.5034,170.4333,18.7119,10.4421,0.0344,0.3925,Population structure converged. Difference: 0.0094
1,15,52.5015,47.7108,Warrior,81.3723,59.5793,36.4869,4.2010,18.3604,1.9232,200,54.4597,40.9526,102.1681,185.0541,14.8709,7.5782,0.0205,0.3925,Population structure converged. Difference: 0.0094
1,16,53.2237,48.4108,Warrior,76.8607,67.3648,34.4639,3.9681,17.3425,1.9232,200,54.4597,43.7043,73.3927,136.1020,9.1154,8.5725,0.0110,0.3925,Population structure converged. Difference: 0.0094
1,17,52.6016,48.8565,Warrior,80.8828,63.9973,34.0594,3.9215,17.1389,1.8765,200,54.4597,39.3015,72.1623,103.2674,9.2160,9.6885,0.0130,0.3925,Population structure converged. Difference: 0.0094
1,18,52.6016,49.3338,Warrior,80.8828,63.9973,34.0594,3.9215,17.1389,1.8765,200,54.4597,42.9935,73.5679,115.5997,13.6787,9.5720,0.0061,0.3925,Population structure converged. Difference: 0.0094
1,19,52.9688,49.6642,Warrior,74.3188,67.1019,37.3286,3.5004,17.7504,1.9232,200,54.4597,40.7747,58.4799,84.1146,8.0765,10.0206,0.0043,0.3925,Population structure converged. Difference: 0.0094
1,20,52.7037,49.8451,Warrior,78.4015,62.7311,36.4492,3.6926,18.7255,1.9232,200,54.4597,36.6976,50.5938,64.1714,4.0860,10.1838,0.0044,0.3925,Population structure converged. Difference: 0.0094
1,21,52.6606,49.8055,Warrior,81.5640,59.7197,36.5728,3.7398,18.4037,1.9232,200,54.4597,46.7601,47.5106,63.7855,4.1958,8.5165,0.0024,0.3925,Population structure converged. Difference: 0.0094
1,22,52.6617,50.0819,Warrior,81.5451,59.7059,36.5644,2.6626,19.5220,1.9232,200,54.4597,39.6694,34.0292,44.4799,1.1014,8.0098,0.0024,0.3925,Population structure converged. Difference: 0.0094
1,23,52.6617,50.3063,Warrior,81.5451,59.7059,36.5644,2.6626,19.5220,1.9232,200,54.4597,35.6725,26.4939,32.2686,0.7569,7.9187,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,24,52.6617,50.4209,Warrior,81.5451,59.7059,36.5644,2.6626,19.5220,1.9232,200,54.4597,36.7824,31.7186,46.1008,0.8441,7.0379,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,25,52.8846,50.3721,Warrior,79.1121,57.9245,42.5395,2.5890,17.8348,1.9232,200,54.4597,38.8788,30.5911,41.8849,1.0018,7.6865,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,26,53.2239,50.7630,Warrior,76.9353,67.2548,34.4974,3.9685,17.3441,1.9232,200,54.4597,30.4187,23.2858,42.8945,0.9836,6.1311,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,27,53.2239,50.9183,Warrior,76.9353,67.2548,34.4974,3.9685,17.3441,1.9232,200,54.4597,25.6892,23.5616,32.0516,0.9217,6.1197,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,28,53.6688,51.2243,Warrior,77.4332,67.6900,34.7206,2.6999,17.4563,1.9232,200,54.4597,31.3694,23.0828,37.5731,0.6266,4.4212,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,29,53.6688,51.4820,Warrior,77.4332,67.6900,34.7206,2.6999,17.4563,1.9232,200,54.4597,25.0505,25.0659,27.7612,0.5988,2.6155,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,30,53.6688,51.7350,Warrior,77.4332,67.6900,34.7206,2.6999,17.4563,1.9232,200,54.4597,18.2287,16.7002,26.1626,0.6946,1.8617,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,31,53.6688,51.8343,Warrior,77.4332,67.6900,34.7206,2.6999,17.4563,1.9232,200,54.4597,15.7339,19.1015,21.4542,0.5347,1.6207,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,32,53.7173,51.9271,Warrior,77.4875,67.7375,34.7449,2.5615,17.4686,1.9232,200,54.4597,12.2002,15.8232,17.0319,0.6328,1.7236,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,33,53.7173,52.0863,Warrior,77.4875,67.7375,34.7449,2.5615,17.4686,1.9232,200,54.4597,13.5196,15.1978,18.2929,0.6287,1.7784,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,34,53.6463,52.1248,Warrior,78.5629,67.7126,33.2793,3.7135,16.7317,1.9232,200,54.4597,13.8353,16.5067,15.9510,0.6980,1.9006,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,35,54.0520,52.1342,Warrior,83.7374,62.0290,35.5399,2.3906,16.3030,1.9232,200,54.4597,13.9817,14.9524,15.9892,0.7020,3.0841,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,36,54.0520,52.2160,Warrior,83.7374,62.0290,35.5399,2.3906,16.3030,1.9232,200,54.4597,12.0613,13.0447,14.0881,0.6411,3.9961,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,37,54.1005,52.3253,Warrior,79.7224,63.9454,37.7842,2.3720,16.1760,1.9232,200,54.4597,9.8069,12.0333,15.7777,0.6118,3.9924,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,38,54.1008,52.4687,Warrior,77.5122,65.9177,38.1507,2.5649,15.8545,1.9232,200,54.4597,11.2193,11.6380,19.6240,0.5864,4.2952,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,39,54.0497,52.6179,Warrior,82.7466,61.2951,37.5334,2.3563,16.0687,1.9232,200,54.4597,10.6736,8.0277,12.9390,0.5954,3.5463,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,40,54.0497,52.7767,Warrior,82.7466,61.2951,37.5334,2.3563,16.0687,1.9232,200,54.4597,10.8670,8.2029,14.6141,0.6178,2.8594,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,41,54.1307,52.7540,Warrior,81.1224,62.8973,37.5481,2.3572,16.0750,1.9232,200,54.4597,10.0150,10.5111,16.0339,0.6283,2.8730,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,42,54.2009,52.9389,Warrior,81.5240,63.6333,36.3955,2.6160,15.8312,1.9232,200,54.4597,7.9498,10.1944,14.3389,0.5021,2.7566,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,43,54.2078,52.8511,Warrior,77.7468,69.2244,34.2582,2.2963,16.4744,1.9232,200,54.4597,10.9789,12.2895,16.2805,0.5381,3.0091,0.0004,0.3925,Population structure converged. Difference: 0.0094
1,44,54.2078,52.9138,Warrior,77.7468,69.2244,34.2582,2.2963,16.4744,1.9232,200,54.4597,11.7039,11.5946,16.1557,0.4686,2.8009,0.0005,0.3925,Population structure converged. Difference: 0.0094
1,45,54.1135,53.0229,Warrior,80.8231,71.9634,27.4216,2.5457,17.2461,1.9232,200,54.4597,9.5218,12.4457,14.7728,0.4213,2.7902,0.0004,0.3925,Population structure converged. Difference: 0.0094
