Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.3959,28.4274,Warrior,70.2413,59.1784,28.9285,25.5117,16.1400,1.9302,200,58.0443,503.6115,483.8706,398.3563,366.7281,532.1361,0.0426,0.0604,Population structure converged. Difference: 0.0092
1,1,45.3959,30.8485,Warrior,70.2413,59.1784,28.9285,25.5117,16.1400,1.9302,200,58.0443,578.6080,481.7487,348.1925,369.2254,490.5671,0.0511,0.0604,Population structure converged. Difference: 0.0092
1,2,45.3959,33.9352,Warrior,70.2413,59.1784,28.9285,25.5117,16.1400,1.9302,200,58.0443,480.7396,345.2529,254.4207,225.3475,304.2863,0.0575,0.0604,Population structure converged. Difference: 0.0092
1,3,52.0796,36.8201,Warrior,71.5694,78.3389,38.2948,6.5021,5.2947,1.9780,200,58.0443,320.0580,349.1127,273.5894,180.7593,283.1705,0.0627,0.0604,Population structure converged. Difference: 0.0092
1,4,53.5855,39.4597,Warrior,71.6335,69.4176,43.9415,11.5208,3.4867,1.9302,200,58.0443,169.9055,291.2642,249.7865,121.4952,290.8716,0.0544,0.0604,Population structure converged. Difference: 0.0092
1,5,53.5855,42.5872,Warrior,71.6335,69.4176,43.9415,11.5208,3.4867,1.9302,200,58.0443,112.6951,255.6314,185.2635,66.0763,280.8350,0.0289,0.0604,Population structure converged. Difference: 0.0092
1,6,53.5855,45.3388,Warrior,71.6335,69.4176,43.9415,11.5208,3.4867,1.9302,200,58.0443,100.0547,182.7471,121.0691,38.1817,217.8720,0.0151,0.0604,Population structure converged. Difference: 0.0092
1,7,53.8669,47.8546,Warrior,84.1119,66.7316,39.6960,4.2528,5.2076,1.9780,200,58.0443,94.9656,150.4032,107.4229,22.1309,134.7069,0.0042,0.0604,Population structure converged. Difference: 0.0092
1,8,54.7703,50.0524,Warrior,74.8004,63.0194,50.2133,5.3796,6.5873,1.9302,200,58.0443,68.3993,119.6536,66.3653,11.7911,30.9281,0.0014,0.0604,Population structure converged. Difference: 0.0092
1,9,56.3486,51.2823,Warrior,75.3214,72.9914,41.7397,4.4718,5.4757,1.9302,200,58.0443,43.5094,77.9283,49.9013,11.6651,5.5384,0.0005,0.0604,Population structure converged. Difference: 0.0092
1,10,56.6354,52.6315,Warrior,84.8704,61.9208,44.5006,6.4273,2.2809,1.9302,200,58.0443,25.7587,52.7108,35.0461,11.1076,0.9569,0.0006,0.0604,Population structure converged. Difference: 0.0092
1,11,57.0493,53.7150,Warrior,79.1562,69.1020,43.3048,4.6395,3.7975,1.9302,200,58.0443,17.2872,39.4083,46.8403,11.9661,0.8739,0.0004,0.0604,Population structure converged. Difference: 0.0092
1,12,57.8519,54.5850,Warrior,83.6209,67.3814,42.2265,4.5239,2.2473,1.9302,200,58.0443,13.5474,33.7158,44.4096,11.2740,1.2643,0.0002,0.0604,Population structure converged. Difference: 0.0092
1,13,57.8519,55.3384,Warrior,83.6209,67.3814,42.2265,4.5239,2.2473,1.9302,200,58.0443,11.5904,29.1148,40.1688,8.8418,1.2161,0.0001,0.0604,Population structure converged. Difference: 0.0092
1,14,57.9893,55.9925,Warrior,81.3393,70.9999,41.0743,4.4005,2.1860,1.9302,200,58.0443,12.5328,20.7549,23.0111,5.8237,1.0978,0.0000,0.0604,Population structure converged. Difference: 0.0092
