Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.5733,28.8540,Warrior,67.2165,57.1807,60.5334,10.1886,4.8808,1.8836,200,56.4360,513.1227,434.1764,433.8848,469.2106,373.2183,0.0467,0.0500,Population structure converged. Difference: 0.0462
1,1,50.5733,32.9458,Warrior,67.2165,57.1807,60.5334,10.1886,4.8808,1.8836,200,56.4360,382.2756,390.7550,417.7934,260.1444,316.4196,0.0527,0.0500,Population structure converged. Difference: 0.0462
1,2,51.1829,38.3456,Warrior,94.5955,62.0652,19.4414,8.1921,15.7058,1.9009,200,56.4360,263.0899,270.1833,468.2937,182.6108,233.4997,0.0575,0.0500,Population structure converged. Difference: 0.0462
1,3,54.5748,43.3755,Warrior,90.1640,71.4687,22.3869,9.4333,6.5471,1.8836,200,56.4360,192.6983,170.2236,407.1099,124.2552,176.9617,0.0487,0.0500,Population structure converged. Difference: 0.0462
1,4,56.2776,47.8753,Warrior,88.2424,80.6186,18.1357,7.6010,5.4024,1.9009,200,56.4360,189.6209,173.5139,402.5763,27.1892,115.1113,0.0263,0.0500,Population structure converged. Difference: 0.0462
1,5,56.2776,50.4489,Warrior,88.2424,80.6186,18.1357,7.6010,5.4024,1.9009,200,56.4360,171.6307,183.6694,338.1068,13.7692,60.2621,0.0162,0.0500,Population structure converged. Difference: 0.0462
1,6,56.2776,52.2057,Warrior,88.2424,80.6186,18.1357,7.6010,5.4024,1.9009,200,56.4360,148.8454,170.2443,267.3105,4.3971,56.1064,0.0049,0.0500,Population structure converged. Difference: 0.0462
1,7,56.4360,53.9436,Warrior,86.6537,79.1672,21.4099,7.4641,5.3051,1.9009,200,56.4360,67.2396,123.6319,160.4579,4.7482,26.0735,0.0028,0.0500,Population structure converged. Difference: 0.0462
2,0,55.2209,30.8456,Warrior,78.0541,94.2645,19.4096,4.0760,4.1959,1.8572,200,56.9731,321.0977,427.2003,513.4036,366.8510,392.1738,0.0244,0.0423,Population structure converged. Difference: 0.0410
2,1,55.2209,36.5364,Warrior,78.0541,94.2645,19.4096,4.0760,4.1959,1.8572,200,56.9731,193.5456,443.4600,383.2523,275.4580,345.7453,0.0309,0.0423,Population structure converged. Difference: 0.0410
2,2,55.2209,42.4918,Warrior,78.0541,94.2645,19.4096,4.0760,4.1959,1.8572,200,56.9731,151.8510,335.3321,350.6183,215.4592,238.3164,0.0384,0.0423,Population structure converged. Difference: 0.0410
2,3,56.1644,46.7952,Warrior,79.1589,95.5987,19.6843,2.7388,2.8193,1.8572,200,56.9731,93.1851,254.7366,337.7571,152.6639,123.0536,0.0479,0.0423,Population structure converged. Difference: 0.0410
2,4,56.5383,50.0830,Warrior,78.0541,94.2645,19.4096,4.0760,4.1959,1.8859,200,56.9731,73.1007,244.6775,356.6957,90.2895,49.6251,0.0458,0.0423,Population structure converged. Difference: 0.0410
2,5,56.5607,53.3579,Warrior,77.1771,93.2053,21.4386,4.0302,4.1487,1.8859,200,56.9731,35.3072,208.9069,303.6940,11.8747,4.1985,0.0328,0.0423,Population structure converged. Difference: 0.0410
2,6,56.9731,54.7315,Warrior,86.1868,89.6346,18.4563,2.5910,3.1313,1.8572,200,56.9731,31.7442,175.1782,249.6505,3.5111,1.7827,0.0158,0.0423,Population structure converged. Difference: 0.0410
3,0,50.6927,31.3403,Warrior,63.2674,79.6115,37.7450,4.3092,15.0669,1.8746,200,54.9495,465.5489,488.8587,360.8653,408.2232,388.8305,0.0385,0.0474,Population structure converged. Difference: 0.0472
3,1,52.3292,36.1967,Warrior,71.9394,72.1343,35.7612,4.1068,16.0583,1.8746,200,54.9495,346.3633,405.6767,308.3713,289.5411,233.6497,0.0403,0.0474,Population structure converged. Difference: 0.0472
3,2,52.3380,40.0079,Warrior,73.4248,69.4942,36.4996,4.1916,16.3898,1.8746,200,54.9495,160.7166,288.9353,156.7730,234.6556,175.2691,0.0405,0.0474,Population structure converged. Difference: 0.0472
3,3,52.5325,43.7816,Warrior,73.5624,72.2991,33.8326,3.8853,16.4206,1.8746,200,54.9495,88.1577,244.3658,170.7652,133.1582,81.6995,0.0367,0.0474,Population structure converged. Difference: 0.0472
3,4,54.2460,47.4444,Warrior,83.3118,89.3314,10.3667,3.4332,13.5569,1.8956,200,54.9495,74.6236,148.3926,99.3932,115.8043,68.6582,0.0254,0.0474,Population structure converged. Difference: 0.0472
3,5,54.2460,50.3712,Warrior,83.3118,89.3314,10.3667,3.4332,13.5569,1.8956,200,54.9495,44.7862,58.4876,57.2034,55.7828,8.3712,0.0127,0.0474,Population structure converged. Difference: 0.0472
3,6,54.2460,51.4169,Warrior,83.3118,89.3314,10.3667,3.4332,13.5569,1.8956,200,54.9495,46.6183,37.2511,55.0600,51.4158,4.2943,0.0060,0.0474,Population structure converged. Difference: 0.0472
3,7,54.9495,52.4713,Warrior,79.1002,69.5841,35.1845,3.2596,12.8716,1.8956,200,54.9495,29.3462,51.4695,102.1102,3.1092,3.2565,0.0040,0.0474,Population structure converged. Difference: 0.0472
4,0,52.3049,31.7767,Warrior,61.1495,67.8917,65.5721,4.3615,1.0251,1.9103,200,59.9103,407.1623,445.1457,590.1725,409.4917,479.9096,0.0365,0.0422,Population structure converged. Difference: 0.0418
4,1,57.7160,38.2394,Warrior,76.2767,84.6868,32.3173,5.4405,1.2787,1.9103,200,59.9103,324.4444,313.4158,527.5384,317.3001,390.6419,0.0333,0.0422,Population structure converged. Difference: 0.0418
4,2,57.9420,44.8558,Warrior,77.9172,82.2481,32.9711,5.5575,1.3062,1.9103,200,59.9103,165.1222,210.0950,472.8997,161.8460,175.1014,0.0263,0.0422,Population structure converged. Difference: 0.0418
4,3,58.6339,50.1738,Warrior,73.9629,88.1159,35.3234,1.3580,1.2399,1.9103,200,59.9103,128.5788,171.7543,336.0150,69.3174,139.9551,0.0192,0.0422,Population structure converged. Difference: 0.0418
4,4,58.6339,54.1778,Warrior,73.9629,88.1159,35.3234,1.3580,1.2399,1.9103,200,59.9103,124.8186,128.2653,243.6387,27.7052,48.6028,0.0054,0.0422,Population structure converged. Difference: 0.0418
4,5,59.5594,56.2387,Warrior,78.4357,84.9978,34.0734,1.3099,1.1832,1.9103,200,59.9103,59.5688,135.3700,157.5315,7.0675,26.1042,0.0027,0.0422,Population structure converged. Difference: 0.0418
4,6,59.9103,57.5045,Warrior,81.1262,81.0529,35.2422,1.3549,1.2238,1.9103,200,59.9103,41.9310,107.6983,103.7193,8.0409,5.5777,0.0002,0.0422,Population structure converged. Difference: 0.0418
