Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.8174,27.2985,Warrior,92.5385,59.4590,17.7624,16.8546,13.3855,1.7336,200,58.4998,463.7217,427.4537,554.4420,499.6829,549.4207,0.0411,0.1314,Population structure converged. Difference: 0.0095
1,1,41.1120,28.9152,Warrior,58.6293,64.8468,30.2805,40.9461,5.2974,1.9303,200,58.4998,337.2650,321.0960,574.7298,444.4113,516.4270,0.0442,0.1314,Population structure converged. Difference: 0.0095
1,2,44.5905,31.2430,Warrior,77.3295,62.6592,37.8970,17.7573,4.3570,1.4208,200,58.4998,344.3931,286.9169,484.1533,257.7398,551.2611,0.0433,0.1314,Population structure converged. Difference: 0.0095
1,3,53.6399,33.5464,Warrior,65.4577,72.3993,51.7057,4.5229,5.9144,1.9303,200,58.4998,335.9172,358.9961,389.5057,146.0901,532.3172,0.0472,0.1314,Population structure converged. Difference: 0.0095
1,4,53.6399,35.5995,Warrior,65.4577,72.3993,51.7057,4.5229,5.9144,1.9303,200,58.4998,276.1935,306.3292,435.1862,167.4831,485.2401,0.0484,0.1314,Population structure converged. Difference: 0.0095
1,5,55.9267,36.8929,Warrior,82.0897,63.4494,45.3139,3.9638,5.1833,1.9497,200,58.4998,200.8714,320.9126,348.4511,161.1375,467.9073,0.0487,0.1314,Population structure converged. Difference: 0.0095
1,6,56.2111,40.3082,Warrior,84.9771,78.1325,23.3408,5.8716,7.6780,1.9303,200,58.4998,125.1494,264.7930,300.9564,183.5208,337.0701,0.0474,0.1314,Population structure converged. Difference: 0.0095
1,7,56.8912,42.0327,Warrior,77.3382,71.1089,42.7020,3.8354,5.0154,1.9303,200,58.4998,140.7599,267.6313,243.8836,189.6741,338.9757,0.0410,0.1314,Population structure converged. Difference: 0.0095
1,8,56.8912,43.7652,Warrior,77.3382,71.1089,42.7020,3.8354,5.0154,1.9303,200,58.4998,170.3735,201.5518,222.5798,192.7694,302.0895,0.0409,0.1314,Population structure converged. Difference: 0.0095
1,9,57.2265,45.2034,Warrior,85.0378,72.9299,31.5168,4.5568,5.9587,1.9303,200,58.4998,143.8168,138.4134,217.1123,175.2745,178.4482,0.0439,0.1314,Population structure converged. Difference: 0.0095
1,10,57.3939,47.6158,Warrior,83.6470,74.3134,32.1147,4.6433,5.2816,1.9303,200,58.4998,157.1127,96.8658,199.0995,176.1026,43.6180,0.0356,0.1314,Population structure converged. Difference: 0.0095
1,11,57.4568,49.5567,Warrior,89.6000,73.5406,26.8754,4.3264,5.6575,1.9303,200,58.4998,132.6326,96.5768,165.6576,123.0983,17.0990,0.0281,0.1314,Population structure converged. Difference: 0.0095
1,12,57.4568,51.9704,Warrior,89.6000,73.5406,26.8754,4.3264,5.6575,1.9303,200,58.4998,100.7136,50.8227,115.1563,92.0287,13.1026,0.0162,0.1314,Population structure converged. Difference: 0.0095
1,13,57.4991,53.0042,Warrior,85.8290,77.0388,27.0744,4.3585,5.6993,1.9303,200,58.4998,69.6703,46.8170,84.4068,64.2470,11.2474,0.0133,0.1314,Population structure converged. Difference: 0.0095
1,14,57.4991,53.2509,Warrior,85.8290,77.0388,27.0744,4.3585,5.6993,1.9303,200,58.4998,57.8259,55.1780,70.4363,44.4390,10.8179,0.0156,0.1314,Population structure converged. Difference: 0.0095
1,15,57.6245,54.0187,Warrior,88.8349,72.8334,28.7941,3.9285,5.6092,1.9303,200,58.4998,47.2931,53.2961,62.1982,33.4479,11.4376,0.0133,0.1314,Population structure converged. Difference: 0.0095
1,16,57.6245,54.5454,Warrior,88.8349,72.8334,28.7941,3.9285,5.6092,1.9303,200,58.4998,43.9202,47.4394,46.8369,24.2861,9.2883,0.0133,0.1314,Population structure converged. Difference: 0.0095
1,17,57.6245,54.8351,Warrior,88.8349,72.8334,28.7941,3.9285,5.6092,1.9303,200,58.4998,49.1427,45.1943,52.0516,14.9726,7.8752,0.0112,0.1314,Population structure converged. Difference: 0.0095
1,18,57.6538,55.4512,Warrior,89.2185,69.6300,34.3865,2.8316,3.9333,1.9497,200,58.4998,43.4368,32.7179,39.7730,11.6108,6.9132,0.0036,0.1314,Population structure converged. Difference: 0.0095
1,19,58.3373,55.7774,Warrior,81.0793,82.6506,29.4125,2.8704,3.9872,1.9303,200,58.4998,46.3212,32.0809,34.8903,9.9657,7.3457,0.0008,0.1314,Population structure converged. Difference: 0.0095
1,20,57.9530,55.7173,Warrior,87.8254,72.0882,31.5547,3.5790,4.9527,1.9303,200,58.4998,46.9347,33.3532,35.9759,13.2180,6.0464,0.0008,0.1314,Population structure converged. Difference: 0.0095
1,21,58.1149,55.7267,Warrior,90.3672,69.8473,32.1285,3.6393,4.0177,1.9303,200,58.4998,49.6183,29.1733,35.9445,13.4279,7.8042,0.0008,0.1314,Population structure converged. Difference: 0.0095
1,22,58.1472,55.9915,Warrior,85.2870,70.0007,37.3621,3.0766,4.2737,1.9303,200,58.4998,48.7856,26.9503,38.5869,10.2161,7.0381,0.0009,0.1314,Population structure converged. Difference: 0.0095
1,23,58.2574,56.1008,Warrior,86.3178,77.9645,27.7449,3.6754,4.2974,1.9303,200,58.4998,35.7584,29.9868,35.9094,11.0494,6.9627,0.0007,0.1314,Population structure converged. Difference: 0.0095
1,24,58.0977,56.1823,Warrior,90.4241,74.2170,27.1226,3.7345,4.5018,1.9303,200,58.4998,36.8818,28.2827,37.0188,8.6721,7.2838,0.0007,0.1314,Population structure converged. Difference: 0.0095
1,25,58.0977,56.3533,Warrior,90.4241,74.2170,27.1226,3.7345,4.5018,1.9303,200,58.4998,22.8472,26.4367,35.9943,10.7841,5.0861,0.0004,0.1314,Population structure converged. Difference: 0.0095
1,26,58.4590,56.5968,Warrior,88.3809,74.1252,30.1318,2.9620,4.4001,1.9303,200,58.4998,22.5798,21.1060,32.1426,7.0622,5.2383,0.0004,0.1314,Population structure converged. Difference: 0.0095
1,27,58.4590,56.8087,Warrior,88.3809,74.1252,30.1318,2.9620,4.4001,1.9303,200,58.4998,21.7380,19.8346,29.5358,5.4318,4.4891,0.0003,0.1314,Population structure converged. Difference: 0.0095
1,28,58.5494,56.8264,Warrior,86.7596,75.4499,30.6702,3.0149,4.1054,1.9303,200,58.4998,16.3977,16.7949,28.1677,6.4619,3.9794,0.0003,0.1314,Population structure converged. Difference: 0.0095
