Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.5215,38.1293,Warrior,70.6625,88.1662,27.7439,6.8549,6.5725,1.8708,200,56.2504,212.0796,453.7151,486.6781,510.2323,500.5365,0.0282,0.0336,Population structure converged. Difference: 0.0077
1,1,54.7097,46.2095,Warrior,76.6656,82.6062,27.4452,6.7811,6.5018,1.8708,200,56.2504,113.2160,223.2852,479.5777,222.4873,155.8389,0.0138,0.0336,Population structure converged. Difference: 0.0077
1,2,54.9785,51.8772,Warrior,77.5776,83.4523,26.2605,6.4884,6.2211,1.8708,200,56.2504,68.1212,106.3881,296.2577,15.6633,3.8949,0.0004,0.0336,Population structure converged. Difference: 0.0077
1,3,56.1941,53.6880,Warrior,83.3214,78.4057,27.6271,5.4349,5.2110,1.8708,200,56.2504,28.0314,39.8703,93.2668,0.4959,0.5630,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,4,56.2149,54.3286,Warrior,82.9660,78.0714,28.4317,5.3762,5.1547,1.8708,200,56.2504,13.1780,18.0900,1.3617,0.5078,0.5571,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,5,56.2149,54.7030,Warrior,82.9660,78.0714,28.4317,5.3762,5.1547,1.8708,200,56.2504,15.7145,19.7444,1.4676,0.5044,0.5181,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,6,56.2333,55.0386,Warrior,83.3650,78.4468,27.6415,5.3329,5.2137,1.8708,200,56.2504,14.9779,19.0922,1.6846,0.4191,0.6290,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,7,56.2333,55.2646,Warrior,83.3650,78.4468,27.6415,5.3329,5.2137,1.8708,200,56.2504,9.8461,11.7139,2.1423,0.3736,0.6182,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,8,56.2333,55.5055,Warrior,83.3650,78.4468,27.6415,5.3329,5.2137,1.8708,200,56.2504,9.9747,9.6323,1.8264,0.2522,0.6777,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,9,56.2333,55.6556,Warrior,83.0435,78.1442,28.3220,5.3555,5.1348,1.8708,200,56.2504,6.8461,6.5835,1.4902,0.1911,0.5450,0.0000,0.0336,Population structure converged. Difference: 0.0077
1,10,56.2504,55.8222,Warrior,84.1951,79.2279,25.9985,5.4005,5.1780,1.8708,200,56.2504,5.3926,5.4929,1.0539,0.1627,0.3632,0.0000,0.0336,Population structure converged. Difference: 0.0077
2,0,51.3333,38.7078,Warrior,83.6946,71.7849,18.6233,6.6576,19.2396,1.9436,200,56.0732,421.5410,209.0723,404.0834,466.7649,325.5372,0.0377,0.0503,Population structure converged. Difference: 0.0094
2,1,52.6637,46.2191,Warrior,85.4960,73.3299,19.0241,5.6943,16.4557,1.9436,200,56.0732,218.8663,72.5470,323.9552,133.8943,135.5533,0.0113,0.0503,Population structure converged. Difference: 0.0094
2,2,53.4434,49.2231,Warrior,73.7319,63.2399,47.2589,4.0539,11.7154,1.9436,200,56.0732,57.8250,152.3762,404.6223,0.7846,5.0571,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,3,54.1476,50.9525,Warrior,80.1575,60.0217,44.8540,3.8476,11.1192,1.9436,200,56.0732,40.7962,153.2289,365.3360,1.2398,9.2034,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,4,54.3124,52.0614,Warrior,81.9656,79.8011,20.7029,4.5066,13.0236,1.9436,200,56.0732,25.6258,84.0608,210.2212,1.0299,7.1535,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,5,55.0267,52.8352,Warrior,78.2047,67.0761,41.0287,3.5195,10.1709,1.9436,200,56.0732,18.9622,57.2635,163.0425,1.0877,6.9162,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,6,55.1661,53.4354,Warrior,86.4597,77.6472,20.5777,4.1502,11.1652,1.9436,200,56.0732,20.4052,55.7729,154.5011,1.1584,6.3120,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,7,55.3738,54.0268,Warrior,82.8320,64.5278,39.4699,3.3858,9.7845,1.9436,200,56.0732,17.9900,58.6383,133.8880,0.8769,3.7400,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,8,55.6088,54.3822,Warrior,83.5858,81.3785,21.1122,3.3898,10.5338,1.9436,200,56.0732,21.2751,57.9230,112.2529,0.6370,1.1018,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,9,55.6088,54.6452,Warrior,83.5858,81.3785,21.1122,3.3898,10.5338,1.9436,200,56.0732,15.2644,47.6232,82.3948,0.3078,0.6437,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,10,55.7383,54.9418,Warrior,85.4301,80.0892,20.7777,3.3361,10.3669,1.9436,200,56.0732,14.1330,17.7193,45.7789,0.1392,0.6482,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,11,55.7383,55.0547,Warrior,85.4301,80.0892,20.7777,3.3361,10.3669,1.9436,200,56.0732,8.2109,11.8216,26.0622,0.1440,0.5937,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,12,55.7788,55.1813,Warrior,84.1237,81.3337,21.1005,4.0380,9.4041,1.9436,200,56.0732,7.9701,11.7755,29.2940,0.1590,0.5838,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,13,56.1587,55.3245,Warrior,81.8447,73.8620,31.9777,2.7431,9.5725,1.9436,200,56.0732,9.0542,11.7501,31.9675,0.1797,0.4959,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,14,56.0369,55.4310,Warrior,82.5049,73.0975,31.6468,2.7147,10.0361,1.9436,200,56.0732,8.6746,12.6838,31.2378,0.2086,0.4499,0.0000,0.0503,Population structure converged. Difference: 0.0094
2,15,56.0732,55.5512,Warrior,79.7334,74.9729,33.1517,2.8438,9.2983,1.9436,200,56.0732,6.6747,15.8052,30.2558,0.1875,0.2458,0.0000,0.0503,Population structure converged. Difference: 0.0094
3,0,51.3466,41.0271,Warrior,90.7697,51.9125,35.6181,4.3189,17.3809,1.8940,200,51.3466,583.8777,308.4345,276.9298,463.4443,340.6378,0.0308,0.0106,Population structure converged. Difference: 0.0018
3,1,51.3466,48.7241,Warrior,90.7697,51.9125,35.6181,4.3189,17.3809,1.8940,200,51.3466,140.6669,79.8628,83.3832,205.7470,75.8984,0.0120,0.0106,Population structure converged. Difference: 0.0018
3,2,51.3466,51.2557,Warrior,90.7697,51.9125,35.6181,4.3189,17.3809,1.8940,200,51.3466,6.5687,17.5455,15.3006,6.0304,0.0289,0.0000,0.0106,Population structure converged. Difference: 0.0018
4,0,51.9697,35.7986,Warrior,97.8556,61.3868,24.9678,14.5348,1.2551,1.9596,200,54.6321,854.4035,323.4572,314.7263,308.4266,433.4492,0.0548,0.0393,Population structure converged. Difference: 0.0072
4,1,52.6268,44.3479,Warrior,98.3429,58.5908,26.3820,15.3580,1.3262,1.9022,200,54.6321,459.9315,207.4958,178.5235,157.9160,284.4540,0.0420,0.0393,Population structure converged. Difference: 0.0072
4,2,53.3845,50.5841,Warrior,97.8556,61.3868,24.9678,14.5348,1.2551,1.9022,200,54.6321,49.1904,21.1271,40.6203,6.1084,38.8498,0.0062,0.0393,Population structure converged. Difference: 0.0072
4,3,53.3845,51.5852,Warrior,97.8556,61.3868,24.9678,14.5348,1.2551,1.9022,200,54.6321,36.1880,12.3849,21.5477,2.7869,14.9558,0.0033,0.0393,Population structure converged. Difference: 0.0072
4,4,53.0293,51.9436,Warrior,83.3624,67.4852,33.1377,14.6957,1.3190,1.9596,200,54.6321,25.7864,10.4884,5.8648,0.8281,0.0009,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,5,54.0191,52.0526,Warrior,91.4288,72.5413,22.0716,12.8488,1.1095,1.9596,200,54.6321,39.5830,18.5315,5.0223,0.3463,0.0008,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,6,54.5394,52.1959,Warrior,85.3271,74.3094,27.3368,11.9913,1.0355,1.9596,200,54.6321,46.0458,28.0049,5.3325,0.4809,0.0019,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,7,54.5394,52.4538,Warrior,85.3271,74.3094,27.3368,11.9913,1.0355,1.9596,200,54.6321,46.2425,32.3547,5.9592,0.5288,0.0040,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,8,54.5940,52.8048,Warrior,86.7817,73.3668,26.9900,11.8392,1.0223,1.9596,200,54.6321,36.8019,30.2411,4.0855,0.9594,0.0077,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,9,54.5940,53.3769,Warrior,86.7817,73.3668,26.9900,11.8392,1.0223,1.9596,200,54.6321,22.1994,23.2630,6.3119,1.5617,0.0123,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,10,54.6321,53.9854,Warrior,86.3746,73.9608,26.8634,11.7836,1.0175,1.9596,200,54.6321,9.9987,12.9313,7.4275,1.3061,0.0138,0.0000,0.0393,Population structure converged. Difference: 0.0072
4,11,54.6321,54.2397,Warrior,86.3746,73.9608,26.8634,11.7836,1.0175,1.9596,200,54.6321,6.0240,5.9889,4.3617,0.7641,0.0089,0.0000,0.0393,Population structure converged. Difference: 0.0072
5,0,42.9936,32.6350,Warrior,79.8400,39.4277,51.0770,5.7617,23.8936,1.7955,200,55.5108,293.6074,217.0027,366.4139,400.5168,390.4140,0.0257,0.0503,Population structure converged. Difference: 0.0099
5,1,48.2144,38.5043,Warrior,94.9820,52.2509,23.5068,7.3060,21.9542,1.9149,200,55.5108,145.1779,52.1057,174.4522,166.4557,114.2982,0.0060,0.0503,Population structure converged. Difference: 0.0099
5,2,50.9392,42.7855,Warrior,99.5404,54.7586,24.6350,7.6566,13.4094,1.9149,200,55.5108,113.2661,37.4076,185.7537,38.0067,56.3634,0.0050,0.0503,Population structure converged. Difference: 0.0099
5,3,52.1551,46.5005,Warrior,86.0645,62.1041,27.9396,8.6837,15.2082,1.9149,200,55.5108,122.9673,47.2170,230.4420,4.9341,36.6430,0.0045,0.0503,Population structure converged. Difference: 0.0099
5,4,52.1551,48.9245,Warrior,86.0645,62.1041,27.9396,8.6837,15.2082,1.9149,200,55.5108,64.6918,30.8564,119.9622,4.4478,19.1536,0.0013,0.0503,Population structure converged. Difference: 0.0099
5,5,52.9130,50.2501,Warrior,88.7860,64.0679,25.4140,7.8987,13.8334,1.9149,200,55.5108,37.7153,23.6627,71.6719,1.6752,12.5371,0.0004,0.0503,Population structure converged. Difference: 0.0099
5,6,53.4861,51.2790,Warrior,87.7804,63.3423,28.4966,4.8693,15.5114,1.9149,200,55.5108,37.7878,28.2080,68.3696,0.9504,4.3045,0.0000,0.0503,Population structure converged. Difference: 0.0099
5,7,54.5200,51.8293,Warrior,82.6016,59.6053,41.9854,5.7454,10.0623,1.9149,200,55.5108,30.7977,33.0569,56.5157,1.0567,3.2450,0.0000,0.0503,Population structure converged. Difference: 0.0099
5,8,54.5554,52.5731,Warrior,86.2783,57.7385,40.6705,5.5655,9.7472,1.9149,200,55.5108,21.1529,31.8049,60.6058,1.1498,3.5419,0.0000,0.0503,Population structure converged. Difference: 0.0099
5,9,55.0154,53.1645,Warrior,90.1812,65.2148,28.5986,5.8173,10.1881,1.9149,200,55.5108,9.2777,20.5012,54.0971,1.2249,3.8187,0.0000,0.0503,Population structure converged. Difference: 0.0099
