Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.6945,38.0589,Warrior,70.6249,76.4006,27.3380,19.2714,6.3652,1.9165,200,50.8861,139.6536,219.8264,288.3811,152.7097,348.4549,0.0359,0.0132,Population structure converged. Difference: 0.0066
1,1,50.8861,45.4589,Warrior,70.8804,76.6769,27.4369,19.3411,5.6647,1.9165,200,50.8861,21.2497,90.8438,138.8794,34.4201,29.7785,0.0071,0.0132,Population structure converged. Difference: 0.0066
1,2,50.8861,49.0310,Warrior,70.8804,76.6769,27.4369,19.3411,5.6647,1.9165,200,50.8861,16.6873,82.5711,82.8962,10.8850,0.4335,0.0021,0.0132,Population structure converged. Difference: 0.0066
1,3,50.8861,50.5519,Warrior,70.8804,76.6769,27.4369,19.3411,5.6647,1.9165,200,50.8861,8.2823,15.9461,12.0488,0.5912,0.0867,0.0000,0.0132,Population structure converged. Difference: 0.0066
2,0,44.7075,33.9211,Warrior,85.6711,37.8047,49.2386,17.5942,9.6914,1.9679,200,55.6257,326.0330,280.7416,292.0770,251.2900,438.5008,0.0405,0.0266,Population structure converged. Difference: 0.0098
2,1,48.5693,40.2191,Warrior,76.3803,55.3943,43.8988,15.6862,8.6404,1.9679,200,55.6257,183.6355,142.0650,250.5654,112.9999,143.2785,0.0546,0.0266,Population structure converged. Difference: 0.0098
2,2,54.9072,44.9056,Warrior,84.9334,74.5664,28.8741,0.4518,11.1744,1.9679,200,55.6257,88.5787,152.1241,160.2574,64.9643,81.0966,0.0205,0.0266,Population structure converged. Difference: 0.0098
2,3,55.0033,49.7700,Warrior,85.0582,74.6760,28.9166,0.4524,10.8968,1.9679,200,55.6257,42.4419,123.1868,99.9434,71.8892,53.3515,0.0037,0.0266,Population structure converged. Difference: 0.0098
2,4,55.0033,53.9596,Warrior,85.0582,74.6760,28.9166,0.4524,10.8968,1.9679,200,55.6257,10.7499,93.0047,48.5038,20.8354,3.6483,0.0000,0.0266,Population structure converged. Difference: 0.0098
2,5,55.6036,54.6895,Warrior,85.8433,75.3652,29.1834,0.5188,9.0892,1.9679,200,55.6257,2.7018,23.6519,12.7619,5.9071,0.0786,0.0000,0.0266,Population structure converged. Difference: 0.0098
2,6,55.6036,54.9339,Warrior,85.8433,75.3652,29.1834,0.5188,9.0892,1.9679,200,55.6257,0.1313,0.0669,0.0409,0.0004,0.0953,0.0000,0.0266,Population structure converged. Difference: 0.0098
2,7,55.6257,54.9867,Warrior,86.0052,75.5073,28.9286,0.4526,9.1063,1.9679,200,55.6257,0.2906,0.1581,0.0593,0.0006,0.2280,0.0000,0.0266,Population structure converged. Difference: 0.0098
2,8,55.6257,55.0849,Warrior,86.0052,75.5073,28.9286,0.4526,9.1063,1.9679,200,55.6257,0.3288,0.2203,0.0505,0.0008,0.5201,0.0000,0.0266,Population structure converged. Difference: 0.0098
3,0,54.1413,40.1306,Warrior,81.5241,87.2716,16.7598,11.6179,2.8266,1.9549,200,56.4824,343.9336,227.3146,309.1124,353.5588,361.5147,0.0445,0.0213,Population structure converged. Difference: 0.0090
3,1,55.9029,50.8811,Warrior,83.5675,89.4590,17.1799,6.8630,2.9307,1.9549,200,56.4824,50.4600,160.2222,125.1585,62.3956,9.3375,0.0070,0.0213,Population structure converged. Difference: 0.0090
3,2,55.9629,52.5631,Warrior,83.6376,89.5341,17.1943,6.7008,2.9331,1.9549,200,56.4824,32.7225,301.3952,240.3471,3.0044,8.0004,0.0000,0.0213,Population structure converged. Difference: 0.0090
3,3,56.0308,54.1744,Warrior,83.7398,89.6435,17.2153,6.8771,2.5243,1.9549,200,56.4824,17.8998,169.1909,156.1374,4.4403,12.0827,0.0000,0.0213,Population structure converged. Difference: 0.0090
3,4,56.4824,55.3151,Warrior,84.2460,90.1853,17.3194,5.2948,2.9544,1.9549,200,56.4824,25.8624,56.2166,78.4755,2.4791,4.9547,0.0000,0.0213,Population structure converged. Difference: 0.0090
3,5,56.4824,55.8176,Warrior,84.2460,90.1853,17.3194,5.2948,2.9544,1.9549,200,56.4824,10.3587,43.0696,39.8168,0.7990,0.8602,0.0000,0.0213,Population structure converged. Difference: 0.0090
3,6,56.4824,55.9764,Warrior,84.2460,90.1853,17.3194,5.2948,2.9544,1.9549,200,56.4824,8.1006,17.8188,4.9439,0.1937,0.8742,0.0000,0.0213,Population structure converged. Difference: 0.0090
4,0,50.7702,36.3162,Warrior,84.2893,39.8444,61.9134,0.3240,13.6290,1.8839,200,55.9037,274.8813,234.9248,345.8499,286.4052,229.1959,0.0395,0.0178,Population structure converged. Difference: 0.0068
4,1,55.1541,45.0264,Warrior,75.0308,73.3569,38.0885,0.3140,13.2098,1.8839,200,55.9037,131.2783,130.1867,105.0286,113.5546,79.8860,0.0180,0.0178,Population structure converged. Difference: 0.0068
4,2,55.6948,50.6068,Warrior,80.3951,69.9678,36.3288,0.3090,12.9993,1.8839,200,55.9037,36.2369,177.8408,122.1808,20.0954,8.8278,0.0000,0.0178,Population structure converged. Difference: 0.0068
4,3,55.9037,53.3261,Warrior,81.4608,69.5825,36.1287,0.2979,12.5301,1.8839,200,55.9037,31.8103,249.9400,133.6335,7.3141,0.3942,0.0000,0.0178,Population structure converged. Difference: 0.0068
4,4,55.9037,55.0201,Warrior,81.4608,69.5825,36.1287,0.2979,12.5301,1.8839,200,55.9037,12.2918,32.5727,16.3687,5.1381,0.3044,0.0000,0.0178,Population structure converged. Difference: 0.0068
4,5,55.9037,55.5236,Warrior,81.4608,69.5825,36.1287,0.2979,12.5301,1.8839,200,55.9037,6.4836,3.2608,0.8573,0.0000,0.1655,0.0000,0.0178,Population structure converged. Difference: 0.0068
5,0,51.9776,39.6097,Warrior,78.8408,93.4830,15.0757,0.8413,11.7592,1.9811,200,57.5726,370.2634,582.0200,223.7426,391.2325,322.9412,0.0432,0.0207,Population structure converged. Difference: 0.0096
5,1,54.6056,49.3706,Warrior,77.1401,89.8076,17.3644,8.7140,6.9740,1.9076,200,57.5726,27.2938,63.3509,6.2348,33.1812,44.2464,0.0043,0.0207,Population structure converged. Difference: 0.0096
5,2,54.6056,50.5730,Warrior,77.1401,89.8076,17.3644,8.7140,6.9740,1.9076,200,57.5726,2.3283,1.4495,3.5657,4.2774,1.9376,0.0010,0.0207,Population structure converged. Difference: 0.0096
5,3,57.3877,52.2197,Warrior,79.9870,93.7723,18.1309,0.8784,7.2314,1.9076,200,57.5726,1.1839,2.5848,1.4593,9.1915,4.7486,0.0013,0.0207,Population structure converged. Difference: 0.0096
