Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.4363,36.0324,Warrior,95.3970,54.0315,43.2435,6.4517,0.8763,1.8840,200,57.7984,977.3545,312.1072,471.4070,343.6052,512.5532,0.0373,0.0262,Population structure converged. Difference: 0.0068
1,1,55.4363,46.1942,Warrior,95.3970,54.0315,43.2435,6.4517,0.8763,1.8840,200,57.7984,485.5741,126.1137,302.5761,166.0774,197.7533,0.0224,0.0262,Population structure converged. Difference: 0.0068
1,2,57.5507,52.1640,Warrior,84.1196,69.5595,39.6088,5.9094,0.8027,1.8840,200,57.7984,284.6544,43.6238,118.3515,46.7883,28.5661,0.0086,0.0262,Population structure converged. Difference: 0.0068
1,3,57.6111,55.0444,Warrior,90.3050,65.8466,37.4946,5.5940,0.7598,1.8840,200,57.7984,64.9251,22.0019,27.9251,3.0631,0.0147,0.0001,0.0262,Population structure converged. Difference: 0.0068
1,4,57.6111,55.7637,Warrior,90.3050,65.8466,37.4946,5.5940,0.7598,1.8840,200,57.7984,17.2135,26.8210,8.1890,1.6198,0.0029,0.0000,0.0262,Population structure converged. Difference: 0.0068
1,5,57.6502,56.5359,Warrior,87.5959,67.4728,38.4206,5.7321,0.7786,1.8840,200,57.7984,22.7044,38.9405,5.5070,0.1389,0.0026,0.0000,0.0262,Population structure converged. Difference: 0.0068
1,6,57.7222,57.0405,Warrior,84.2892,69.6998,39.6887,5.4449,0.8775,1.8840,200,57.7984,18.2683,28.1545,5.0852,0.1170,0.0025,0.0000,0.0262,Population structure converged. Difference: 0.0068
1,7,57.7984,57.4052,Warrior,85.1742,70.4316,37.9614,5.6636,0.7693,1.8840,200,57.7984,11.9038,11.2345,2.4094,0.0836,0.0017,0.0000,0.0262,Population structure converged. Difference: 0.0068
2,0,50.0482,38.0263,Warrior,81.0690,74.2487,15.9127,17.1730,11.5966,1.8803,200,50.3311,531.4098,427.0602,353.9463,294.2490,338.2295,0.0386,0.0129,Population structure converged. Difference: 0.0055
2,1,50.3311,47.9243,Warrior,77.4825,79.8120,15.2087,16.4133,11.0835,1.8803,200,50.3311,199.8649,99.7004,64.6105,59.3151,122.2296,0.0126,0.0129,Population structure converged. Difference: 0.0055
2,2,50.3311,49.5933,Warrior,77.4825,79.8120,15.2087,16.4133,11.0835,1.8803,200,50.3311,35.9441,22.2920,12.1498,6.0192,24.8494,0.0022,0.0129,Population structure converged. Difference: 0.0055
2,3,50.3311,50.0541,Warrior,77.4825,79.8120,15.2087,16.4133,11.0835,1.8803,200,50.3311,1.1563,2.2201,0.0668,0.0344,0.0168,0.0000,0.0129,Population structure converged. Difference: 0.0055
3,0,51.6211,35.8123,Warrior,60.2681,78.8889,51.4888,7.1118,2.2425,1.9433,200,57.4402,244.0999,352.1139,335.5833,284.9164,372.6057,0.0541,0.0244,Population structure converged. Difference: 0.0081
