Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.0404,33.4726,Warrior,67.4650,54.6267,42.3108,14.6895,20.9080,1.8436,200,47.7860,291.5054,300.0853,325.2323,290.4219,254.0868,0.0296,0.0182,Population structure converged. Difference: 0.0476
1,1,46.9971,41.5100,Warrior,72.7842,58.9336,36.0823,10.1855,22.0144,1.8436,200,47.7860,106.8402,97.0497,64.1552,67.8317,71.3402,0.0137,0.0182,Population structure converged. Difference: 0.0476
1,2,46.9971,44.4097,Warrior,72.7842,58.9336,36.0823,10.1855,22.0144,1.8436,200,47.7860,12.6621,3.9626,9.2553,10.0893,20.1062,0.0043,0.0182,Population structure converged. Difference: 0.0476
1,3,47.7860,45.1084,Warrior,70.6485,57.2043,44.3073,5.9454,21.8946,1.8436,200,47.7860,2.4849,2.2407,6.0170,1.9151,0.9871,0.0002,0.0182,Population structure converged. Difference: 0.0476
1,4,47.7860,45.6132,Warrior,70.6485,57.2043,44.3073,5.9454,21.8946,1.8436,200,47.7860,3.7447,4.4264,11.2878,5.2347,0.3791,0.0000,0.0182,Population structure converged. Difference: 0.0476
2,0,53.1696,35.7063,Warrior,69.2683,60.3269,66.0844,3.5943,0.7262,1.8665,200,54.0953,310.8218,297.5187,458.1857,349.3309,687.0003,0.0357,0.0130,Population structure converged. Difference: 0.0393
2,1,53.6030,45.7738,Warrior,71.4078,59.2422,64.8962,3.7053,0.7486,1.8665,200,54.0953,117.9099,123.5406,137.1623,129.5675,263.8728,0.0105,0.0130,Population structure converged. Difference: 0.0393
2,2,53.6477,50.0655,Warrior,71.4474,59.2751,64.9322,3.5963,0.7490,1.8665,200,54.0953,18.3562,40.8023,27.4379,61.7771,20.2903,0.0000,0.0130,Population structure converged. Difference: 0.0393
2,3,54.0953,52.0488,Warrior,69.2683,60.3269,66.0844,3.5943,0.7262,1.8903,200,54.0953,12.0489,15.8358,13.1311,15.3647,3.2676,0.0000,0.0130,Population structure converged. Difference: 0.0393
3,0,51.7776,34.8588,Warrior,97.7182,80.1660,2.8565,1.0296,18.2297,1.8765,200,57.8216,458.6419,464.6242,665.5836,307.6251,353.2273,0.0360,0.0184,Population structure converged. Difference: 0.0492
3,1,54.1106,43.2313,Warrior,100.2422,82.2366,2.9303,0.7800,13.8109,1.9014,200,57.8216,365.4757,360.9439,905.6864,246.9358,201.6493,0.0193,0.0184,Population structure converged. Difference: 0.0492
3,2,55.8631,49.3718,Warrior,75.3863,61.8454,54.3176,0.7112,7.7396,1.9014,200,57.8216,198.4036,301.7260,802.2715,158.5324,52.3621,0.0030,0.0184,Population structure converged. Difference: 0.0492
3,3,56.5177,52.5158,Warrior,89.8278,54.6781,48.0227,0.6288,6.8427,1.9014,200,57.8216,80.7073,183.7312,444.7287,36.8673,16.1387,0.0001,0.0184,Population structure converged. Difference: 0.0492
3,4,56.5177,53.6818,Warrior,89.8278,54.6781,48.0227,0.6288,6.8427,1.9014,200,57.8216,113.9100,128.0969,449.3404,9.5592,14.1157,0.0001,0.0184,Population structure converged. Difference: 0.0492
3,5,57.8216,55.1083,Warrior,82.2484,65.8494,44.9144,0.5881,6.3998,1.9014,200,57.8216,141.2473,183.8327,609.9249,0.0510,11.8528,0.0000,0.0184,Population structure converged. Difference: 0.0492
4,0,60.6074,35.8866,Warrior,83.9146,77.4270,37.4516,0.4421,0.7647,1.9197,200,60.8918,342.8278,339.7719,365.6811,447.9687,220.8934,0.0510,0.0123,Population structure converged. Difference: 0.0164
4,1,60.6936,49.9696,Warrior,88.3182,73.0589,37.3527,0.4653,0.8049,1.9197,200,60.8918,148.2713,192.6504,84.1481,184.5624,299.6757,0.0200,0.0123,Population structure converged. Difference: 0.0164
4,2,60.8177,57.0977,Warrior,89.4611,73.7276,35.6622,0.4210,0.7282,1.9197,200,60.8918,81.5789,84.4485,46.2478,74.4661,152.2232,0.0071,0.0123,Population structure converged. Difference: 0.0164
4,3,60.8918,59.9084,Warrior,90.3318,74.4451,34.1235,0.4029,0.6968,1.9197,200,60.8918,26.3750,25.9839,11.6381,9.2174,26.9806,0.0002,0.0123,Population structure converged. Difference: 0.0164
5,0,56.0846,39.4582,Warrior,76.4318,66.7672,47.8908,3.8849,5.0254,1.9384,200,56.1555,323.5230,300.3038,296.8470,376.1950,400.6905,0.0373,0.0093,Population structure converged. Difference: 0.0173
5,1,56.1555,51.9864,Warrior,76.4318,66.7672,47.8908,3.8849,5.0254,1.9363,200,56.1555,117.6956,71.0936,79.8197,106.7310,139.1746,0.0141,0.0093,Population structure converged. Difference: 0.0173
5,2,56.1555,55.1991,Warrior,76.4318,66.7672,47.8908,3.8849,5.0254,1.9363,200,56.1555,36.4827,15.2289,10.4717,26.4329,36.3813,0.0028,0.0093,Population structure converged. Difference: 0.0173
6,0,47.8869,33.7936,Warrior,76.6751,70.8219,39.8925,1.1159,11.4947,1.7549,200,56.6179,461.4746,422.0539,315.8828,289.3511,439.4491,0.0430,0.0203,Population structure converged. Difference: 0.0318
6,1,48.0099,41.8788,Warrior,77.1787,71.2870,39.1565,1.0953,11.2826,1.7549,200,56.6179,282.5677,252.4845,103.3791,149.5843,190.4109,0.0427,0.0203,Population structure converged. Difference: 0.0318
6,2,51.5402,45.4222,Warrior,72.6195,67.0758,36.5732,13.1351,10.5964,1.9011,200,56.6179,70.1249,139.7418,49.0494,93.2650,13.5140,0.0385,0.0203,Population structure converged. Difference: 0.0318
6,3,56.2617,47.8922,Warrior,77.0211,71.1414,40.0725,1.1209,10.6442,1.9011,200,56.6179,15.8180,18.8243,9.5008,34.7455,0.6852,0.0335,0.0203,Population structure converged. Difference: 0.0318
6,4,56.6072,51.3725,Warrior,78.7935,72.7785,36.8010,1.1467,10.4802,1.9011,200,56.6179,17.5629,5.3686,6.9191,30.3647,0.3403,0.0162,0.0203,Population structure converged. Difference: 0.0318
6,5,56.6179,54.8749,Warrior,79.1256,73.0852,36.0375,1.1515,10.6002,1.9011,200,56.6179,6.5168,2.0227,4.0441,16.7840,0.0997,0.0014,0.0203,Population structure converged. Difference: 0.0318
7,0,45.9583,33.2077,Warrior,64.9306,56.9307,60.0053,6.0941,12.0393,1.9921,200,49.4076,321.3989,354.7969,509.6300,328.8590,325.7732,0.0350,0.0228,Population structure converged. Difference: 0.0388
7,1,46.0921,39.3774,Warrior,82.9378,41.5866,57.9603,5.8864,11.6289,1.9921,200,49.4076,166.0897,218.5532,394.5907,156.1047,120.8360,0.0328,0.0228,Population structure converged. Difference: 0.0388
7,2,47.9539,43.1073,Warrior,72.4316,63.6934,43.6469,6.7981,13.4301,1.9921,200,49.4076,101.4137,112.7692,154.8100,76.3568,52.9195,0.0425,0.0228,Population structure converged. Difference: 0.0388
7,3,48.1679,45.6078,Warrior,73.7712,63.8343,42.6061,7.8289,11.9596,1.9921,200,49.4076,58.3627,44.5951,84.8761,10.2089,2.4839,0.0181,0.0228,Population structure converged. Difference: 0.0388
7,4,49.4076,46.7461,Warrior,77.1560,63.2242,43.3254,5.4760,10.8183,1.9921,200,49.4076,46.1346,56.2738,51.4779,6.9786,1.1302,0.0059,0.0228,Population structure converged. Difference: 0.0388
7,5,49.4076,47.5625,Warrior,77.1560,63.2242,43.3254,5.4760,10.8183,1.9921,200,49.4076,15.4416,33.0485,37.0784,0.8953,1.3808,0.0042,0.0228,Population structure converged. Difference: 0.0388
8,0,47.2635,34.2872,Warrior,64.8571,40.9467,81.5033,4.5906,8.1022,1.9274,200,56.3020,352.7216,357.7821,389.5772,383.6184,339.6347,0.0410,0.0188,Population structure converged. Difference: 0.0311
8,1,53.4381,42.4417,Warrior,85.5064,53.9834,43.7762,6.0521,10.6819,1.9274,200,56.3020,135.4273,212.0642,297.1257,133.5259,170.9484,0.0177,0.0188,Population structure converged. Difference: 0.0311
8,2,54.7532,46.6937,Warrior,72.0159,76.1956,37.4665,5.1798,9.1422,1.9274,200,56.3020,122.0427,157.5786,372.0584,51.5050,125.6561,0.0066,0.0188,Population structure converged. Difference: 0.0311
8,3,56.2794,51.2709,Warrior,84.3009,68.8817,33.8701,4.6826,8.2647,1.9274,200,56.3020,79.4137,126.6576,147.1409,6.4497,29.9760,0.0022,0.0188,Population structure converged. Difference: 0.0311
8,4,56.3020,53.2395,Warrior,84.9941,68.4690,33.6672,4.6545,8.2152,1.9274,200,56.3020,52.4152,95.3527,43.1183,1.9781,9.8054,0.0014,0.0188,Population structure converged. Difference: 0.0311
8,5,56.3020,54.6048,Warrior,84.9941,68.4690,33.6672,4.6545,8.2152,1.9274,200,56.3020,32.8001,57.4590,27.2157,2.0108,2.0180,0.0005,0.0188,Population structure converged. Difference: 0.0311
