Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.7899,36.3616,Warrior,74.8151,71.2514,29.4937,8.1794,16.2605,1.9820,200,52.5940,577.1493,631.3876,541.4867,477.3409,309.2851,0.0375,0.0564,Population structure converged. Difference: 0.0079
1,1,49.0792,42.2311,Warrior,77.3506,69.8082,28.8963,8.0137,15.9311,1.9820,200,52.5940,353.0416,543.3428,371.1501,323.0375,184.0890,0.0212,0.0564,Population structure converged. Difference: 0.0079
1,2,51.4528,45.8248,Warrior,76.9517,76.2995,31.5833,8.7589,6.4065,1.9820,200,52.5940,174.2623,253.3355,274.7232,107.9605,74.3998,0.0133,0.0564,Population structure converged. Difference: 0.0079
1,3,51.4100,47.6793,Warrior,84.8019,83.4240,15.7231,9.2712,6.7797,1.9820,200,52.5940,62.5973,127.0434,208.2962,27.7824,31.5343,0.0032,0.0564,Population structure converged. Difference: 0.0079
1,4,51.4569,48.5030,Warrior,87.4103,81.2564,15.3146,9.0303,6.9883,1.9820,200,52.5940,26.1655,24.9312,43.4741,15.2652,18.4947,0.0016,0.0564,Population structure converged. Difference: 0.0079
1,5,52.1026,49.2503,Warrior,84.1160,73.4104,27.9268,7.7466,6.8001,1.9820,200,52.5940,14.2834,17.1402,40.9097,0.5083,18.9061,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,6,52.2808,49.8583,Warrior,84.1213,74.6934,27.1280,7.5233,6.5339,1.9820,200,52.5940,14.0797,18.3290,39.5136,0.6259,24.2952,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,7,52.3171,50.9216,Warrior,84.1695,74.7363,27.1436,7.4663,6.4844,1.9820,200,52.5940,13.3581,21.0963,35.0536,0.8741,13.9788,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,8,52.4009,51.2269,Warrior,82.0885,78.2890,26.0986,7.2379,6.2860,1.9820,200,52.5940,9.4464,14.2923,29.8556,1.1328,8.7652,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,9,52.4227,51.4423,Warrior,83.0730,77.1270,26.2155,7.2703,6.3142,1.9820,200,52.5940,8.7578,13.2111,29.7478,1.1831,5.7498,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,10,52.5704,51.6205,Warrior,83.8531,77.4722,25.4743,7.0647,6.1356,1.9820,200,52.5940,7.0346,12.3802,26.0161,1.1872,3.4776,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,11,52.5826,51.7585,Warrior,83.3422,77.0003,26.5376,7.0217,6.0983,1.9820,200,52.5940,6.4100,13.0427,23.0387,0.8576,3.1242,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,12,52.5913,51.8159,Warrior,82.7443,77.8828,26.3472,6.9713,6.0545,1.9820,200,52.5940,4.8352,13.6848,20.6110,0.8254,1.8395,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,13,52.5913,51.9918,Warrior,82.7443,77.8828,26.3472,6.9713,6.0545,1.9820,200,52.5940,3.8684,11.1685,16.9862,0.6660,1.2277,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,14,52.5940,52.0699,Warrior,82.3244,78.2009,26.5150,6.9359,6.0238,1.9820,200,52.5940,3.7401,9.0518,12.5478,0.4523,1.2163,0.0000,0.0564,Population structure converged. Difference: 0.0079
1,15,52.5940,52.1838,Warrior,82.3244,78.2009,26.5150,6.9359,6.0238,1.9820,200,52.5940,3.7481,7.0531,6.2781,0.2628,0.1538,0.0000,0.0564,Population structure converged. Difference: 0.0079
2,0,43.9148,33.9104,Warrior,66.1126,63.8329,32.0450,25.8831,12.1265,1.8381,200,47.9620,310.8775,407.1963,204.9482,242.8326,371.4755,0.0370,0.0273,Population structure converged. Difference: 0.0099
2,1,47.7049,39.3040,Warrior,70.4815,68.0512,33.2863,15.2531,12.9278,1.8381,200,47.9620,154.8610,261.9026,85.8348,139.8123,198.7874,0.0235,0.0273,Population structure converged. Difference: 0.0099
2,2,47.7441,41.4399,Warrior,71.0979,68.6464,31.8283,15.3865,13.0409,1.8381,200,47.9620,106.5915,126.2822,72.9347,84.2694,105.4851,0.0185,0.0273,Population structure converged. Difference: 0.0099
2,3,47.9130,43.9630,Warrior,70.7793,68.3387,33.4269,15.3176,12.1375,1.8381,200,47.9620,34.6997,107.8748,40.2687,45.5533,72.8822,0.0059,0.0273,Population structure converged. Difference: 0.0099
2,4,47.9130,45.5401,Warrior,70.7793,68.3387,33.4269,15.3176,12.1375,1.8381,200,47.9620,20.6253,43.7671,7.7641,44.8518,22.3242,0.0003,0.0273,Population structure converged. Difference: 0.0099
2,5,48.0267,46.6611,Warrior,71.5390,67.8980,33.2114,15.2188,12.1329,1.8381,200,47.9620,8.9028,8.1655,4.5607,18.1595,8.3446,0.0001,0.0273,Population structure converged. Difference: 0.0099
2,6,47.9930,47.2072,Warrior,73.1728,67.1979,31.6432,15.8355,12.1506,1.8381,200,47.9620,2.9305,2.2438,0.7108,12.1708,0.1130,0.0000,0.0273,Population structure converged. Difference: 0.0099
2,7,47.9620,47.4936,Warrior,71.7837,67.4992,32.9826,15.1140,12.6206,1.8381,200,47.9620,1.6799,1.2436,0.6142,5.8431,0.0928,0.0000,0.0273,Population structure converged. Difference: 0.0099
3,0,52.5240,34.7111,Warrior,63.9400,70.1317,52.2565,0.1271,13.5447,1.9355,200,54.9275,487.1951,607.0397,312.1451,818.6208,415.8366,0.0406,0.0336,Population structure converged. Difference: 0.0090
3,1,54.5485,42.9885,Warrior,68.4536,74.4828,45.2301,0.1100,11.7235,1.9355,200,54.9275,252.1632,369.4338,144.7824,438.4641,267.1572,0.0492,0.0336,Population structure converged. Difference: 0.0090
3,2,54.5485,48.7959,Warrior,68.4536,74.4828,45.2301,0.1100,11.7235,1.9355,200,54.9275,61.9536,86.8372,58.8959,114.0024,56.2827,0.0492,0.0336,Population structure converged. Difference: 0.0090
