Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.9072,35.3721,Warrior,80.6511,65.5349,33.4601,11.4331,8.9207,1.8093,200,51.0648,492.3478,329.5989,265.5503,385.4088,567.6087,0.0340,0.0290,Population structure converged. Difference: 0.0079
1,1,50.1898,42.7896,Warrior,84.8882,63.3074,37.9844,12.9790,0.8410,1.8093,200,51.0648,231.2721,106.3559,142.0517,191.5464,280.5347,0.0251,0.0290,Population structure converged. Difference: 0.0079
1,2,50.1898,47.0741,Warrior,84.8882,63.3074,37.9844,12.9790,0.8410,1.8093,200,51.0648,35.1708,14.3453,50.0834,84.9059,10.1507,0.0064,0.0290,Population structure converged. Difference: 0.0079
1,3,51.0501,47.8699,Warrior,81.5320,71.4547,34.4650,11.7764,0.7720,1.8093,200,51.0648,5.5956,16.7656,43.2417,0.5124,3.8927,0.0031,0.0290,Population structure converged. Difference: 0.0079
1,4,51.0501,48.3923,Warrior,81.5320,71.4547,34.4650,11.7764,0.7720,1.8093,200,51.0648,9.4132,33.6610,65.9922,0.8564,1.1102,0.0016,0.0290,Population structure converged. Difference: 0.0079
1,5,51.0501,49.0451,Warrior,81.5320,71.4547,34.4650,11.7764,0.7720,1.8093,200,51.0648,9.9784,38.0180,69.2818,1.2991,0.3814,0.0000,0.0290,Population structure converged. Difference: 0.0079
1,6,51.0501,49.6859,Warrior,81.5320,71.4547,34.4650,11.7764,0.7720,1.8093,200,51.0648,7.2495,25.0795,38.3148,1.9360,1.1149,0.0000,0.0290,Population structure converged. Difference: 0.0079
1,7,51.0501,49.9887,Warrior,81.5320,71.4547,34.4650,11.7764,0.7720,1.8093,200,51.0648,6.2335,12.3142,16.4909,1.6791,0.3798,0.0000,0.0290,Population structure converged. Difference: 0.0079
1,8,51.0971,50.4192,Warrior,82.2385,71.0109,34.2509,11.7033,0.7965,1.8093,200,51.0648,4.3975,9.2201,7.7581,1.0663,0.0012,0.0000,0.0290,Population structure converged. Difference: 0.0079
1,9,51.0648,50.6624,Warrior,82.0989,70.9141,34.4457,11.7698,0.7716,1.8093,200,51.0648,5.3500,5.5331,3.1778,0.4995,0.0010,0.0000,0.0290,Population structure converged. Difference: 0.0079
2,0,53.5288,33.3682,Warrior,86.9441,71.5288,20.6209,10.1722,10.7340,1.9163,200,56.0212,526.7743,631.6669,471.5282,497.5266,504.4493,0.0341,0.0234,Population structure converged. Difference: 0.0065
2,1,55.8602,43.6796,Warrior,89.9658,74.0147,21.3375,4.9951,9.6868,1.9163,200,56.0212,354.2544,299.0689,185.7992,310.1407,242.2442,0.0374,0.0234,Population structure converged. Difference: 0.0065
2,2,55.8602,50.1622,Warrior,89.9658,74.0147,21.3375,4.9951,9.6868,1.9163,200,56.0212,99.1567,78.0621,91.0846,45.0486,60.7798,0.0269,0.0234,Population structure converged. Difference: 0.0065
2,3,55.8652,53.4083,Warrior,89.3915,74.4010,21.4489,5.0212,9.7374,1.9163,200,56.0212,18.1267,11.7057,17.6569,3.3100,0.5525,0.0099,0.0234,Population structure converged. Difference: 0.0065
2,4,56.0697,54.1234,Warrior,89.7141,74.6150,21.5106,5.2205,8.9397,1.9163,200,56.0212,9.5781,6.7930,8.0331,5.0086,0.4628,0.0042,0.0234,Population structure converged. Difference: 0.0065
2,5,56.0697,54.7837,Warrior,89.7141,74.6150,21.5106,5.2205,8.9397,1.9163,200,56.0212,4.0484,5.4536,0.9920,6.1942,0.4935,0.0000,0.0234,Population structure converged. Difference: 0.0065
2,6,56.0212,55.3361,Warrior,90.1217,74.9540,20.6997,5.2443,8.9803,1.9163,200,56.0212,2.3968,2.5515,0.7592,3.9946,0.3771,0.0000,0.0234,Population structure converged. Difference: 0.0065
2,7,56.0212,55.6581,Warrior,90.1217,74.9540,20.6997,5.2443,8.9803,1.9163,200,56.0212,0.8034,1.2070,0.2629,1.5097,0.2018,0.0000,0.0234,Population structure converged. Difference: 0.0065
3,0,55.2252,35.5524,Warrior,79.6210,64.1060,44.6322,7.5775,4.0633,1.9412,200,56.1670,393.9902,499.4702,560.6884,373.0126,502.9913,0.0375,0.0235,Population structure converged. Difference: 0.0092
3,1,55.8964,44.6584,Warrior,80.3533,64.6956,45.0427,6.4497,3.4586,1.9412,200,56.1670,211.1497,303.4169,422.4979,148.2549,286.0619,0.0200,0.0235,Population structure converged. Difference: 0.0092
3,2,55.8967,51.0937,Warrior,84.7374,61.8933,43.0917,6.2092,4.0685,1.9412,200,56.1670,100.7833,123.8846,138.7651,44.9903,100.1838,0.0084,0.0235,Population structure converged. Difference: 0.0092
3,3,56.2315,53.7892,Warrior,85.1735,62.2118,43.3134,6.0546,3.2467,1.9412,200,56.1670,48.3961,67.9039,72.5821,13.7633,34.9774,0.0014,0.0235,Population structure converged. Difference: 0.0092
3,4,56.2315,55.2980,Warrior,85.1735,62.2118,43.3134,6.0546,3.2467,1.9412,200,56.1670,15.7331,6.5147,6.7119,0.4498,4.9559,0.0000,0.0235,Population structure converged. Difference: 0.0092
3,5,56.1670,55.4511,Warrior,81.4009,65.5391,43.2869,6.2373,3.5359,1.9412,200,56.1670,10.6991,4.9911,3.2201,0.3905,4.8780,0.0000,0.0235,Population structure converged. Difference: 0.0092
3,6,56.1670,55.6570,Warrior,81.4009,65.5391,43.2869,6.2373,3.5359,1.9412,200,56.1670,3.7371,2.6309,0.9181,0.3075,0.1183,0.0000,0.0235,Population structure converged. Difference: 0.0092
4,0,46.5762,32.9911,Warrior,65.9151,87.0630,14.7668,24.3068,7.9483,1.9530,200,53.5748,263.7786,597.1698,411.0666,355.2553,370.3968,0.0530,0.0340,Population structure converged. Difference: 0.0095
4,1,51.9969,40.0992,Warrior,71.7805,94.8103,16.0808,8.6728,8.6556,1.9530,200,53.5748,125.0035,464.0839,331.6989,190.0150,128.8447,0.0375,0.0340,Population structure converged. Difference: 0.0095
4,2,52.6227,44.2677,Warrior,76.9637,85.8897,17.9661,9.8999,9.2806,1.9530,200,53.5748,68.7659,296.6500,333.2137,102.2685,46.9206,0.0226,0.0340,Population structure converged. Difference: 0.0095
4,3,53.2230,48.8927,Warrior,77.6831,86.6925,18.1340,8.7539,8.7365,1.9530,200,53.5748,54.1932,136.5381,151.5875,47.2570,24.1096,0.0049,0.0340,Population structure converged. Difference: 0.0095
4,4,53.2747,51.2158,Warrior,77.7461,86.7628,18.1487,8.6798,8.6626,1.9530,200,53.5748,26.2953,36.6094,52.4598,7.3256,7.3391,0.0006,0.0340,Population structure converged. Difference: 0.0095
4,5,53.2747,51.7704,Warrior,77.7461,86.7628,18.1487,8.6798,8.6626,1.9530,200,53.5748,21.1658,25.2376,32.0625,0.8898,4.1653,0.0003,0.0340,Population structure converged. Difference: 0.0095
4,6,53.2810,52.3213,Warrior,77.8215,86.6529,18.1663,8.6883,8.6710,1.9530,200,53.5748,13.1659,18.5723,20.0608,0.3166,1.0681,0.0000,0.0340,Population structure converged. Difference: 0.0095
4,7,53.4067,52.6415,Warrior,77.6882,87.2385,18.2075,8.4413,8.4246,1.9530,200,53.5748,6.4533,11.0640,1.0423,0.2950,0.2938,0.0000,0.0340,Population structure converged. Difference: 0.0095
4,8,53.5473,52.7873,Warrior,77.9613,87.3496,18.2715,8.9688,7.4488,1.9530,200,53.5748,6.4115,9.0286,0.9436,0.1778,0.2812,0.0000,0.0340,Population structure converged. Difference: 0.0095
4,9,53.5748,52.8891,Warrior,78.9769,88.1364,16.5015,8.8997,7.4856,1.9530,200,53.5748,3.6645,5.6305,0.8587,0.1251,0.2863,0.0000,0.0340,Population structure converged. Difference: 0.0095
4,10,53.5748,53.0693,Warrior,78.9769,88.1364,16.5015,8.8997,7.4856,1.9530,200,53.5748,1.4945,2.1728,0.6665,0.0767,0.2161,0.0000,0.0340,Population structure converged. Difference: 0.0095
5,0,50.9941,37.3402,Warrior,69.4095,61.5913,63.1511,4.1603,1.6879,1.8283,200,54.3855,285.6202,370.4354,488.3817,527.7744,662.6578,0.0280,0.0320,Population structure converged. Difference: 0.0098
5,1,52.0024,45.4987,Warrior,98.5454,87.4454,2.4785,9.1343,2.3964,1.8283,200,54.3855,172.4228,201.0479,305.7589,225.8382,348.3618,0.0099,0.0320,Population structure converged. Difference: 0.0098
5,2,54.1423,49.9159,Warrior,77.2935,68.5873,49.5322,3.2631,1.3239,1.8283,200,54.3855,54.3996,56.2467,132.9617,40.0206,66.6892,0.0020,0.0320,Population structure converged. Difference: 0.0098
5,3,54.1423,51.0054,Warrior,77.2935,68.5873,49.5322,3.2631,1.3239,1.8283,200,54.3855,37.5557,33.9699,116.9234,1.2638,0.9168,0.0001,0.0320,Population structure converged. Difference: 0.0098
5,4,54.1423,51.7469,Warrior,77.2935,68.5873,49.5322,3.2631,1.3239,1.8283,200,54.3855,41.0079,34.1815,183.8048,2.7674,0.1182,0.0000,0.0320,Population structure converged. Difference: 0.0098
5,5,54.1423,52.5040,Warrior,77.2935,68.5873,49.5322,3.2631,1.3239,1.8283,200,54.3855,41.0436,33.6833,173.4528,1.9681,0.0894,0.0000,0.0320,Population structure converged. Difference: 0.0098
5,6,54.1423,53.2203,Warrior,77.2935,68.5873,49.5322,3.2631,1.3239,1.8283,200,54.3855,22.0129,19.4811,99.1622,2.0272,0.1017,0.0000,0.0320,Population structure converged. Difference: 0.0098
5,7,54.3855,53.5620,Warrior,79.2888,67.4674,48.7235,3.2157,1.3046,1.8283,200,54.3855,16.7049,16.2340,62.7142,0.7422,0.0382,0.0000,0.0320,Population structure converged. Difference: 0.0098
5,8,54.3855,53.8562,Warrior,79.2888,67.4674,48.7235,3.2157,1.3046,1.8283,200,54.3855,23.4567,19.4121,93.3871,0.7622,0.0363,0.0000,0.0320,Population structure converged. Difference: 0.0098
6,0,52.4409,37.7413,Warrior,73.6781,67.9231,45.9151,2.3654,10.1182,1.8365,200,55.1261,674.8114,625.7078,473.0466,516.7924,476.2619,0.0252,0.0344,Population structure converged. Difference: 0.0095
6,1,53.3840,46.8689,Warrior,83.7682,62.4977,42.2476,2.1765,9.3100,1.8365,200,55.1261,421.9074,320.0148,382.6351,291.5502,160.5267,0.0068,0.0344,Population structure converged. Difference: 0.0095
6,2,54.5724,49.6440,Warrior,78.0229,71.9284,39.3500,2.0272,8.6715,1.8490,200,55.1261,171.1081,190.3085,332.9885,84.1051,10.6681,0.0025,0.0344,Population structure converged. Difference: 0.0095
6,3,54.5724,51.5644,Warrior,78.0229,71.9284,39.3500,2.0272,8.6715,1.8490,200,55.1261,84.6957,93.1885,335.3301,6.6459,4.3109,0.0010,0.0344,Population structure converged. Difference: 0.0095
6,4,54.5724,52.5548,Warrior,78.0229,71.9284,39.3500,2.0272,8.6715,1.8490,200,55.1261,52.6438,101.7024,288.8601,0.5920,4.0661,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,5,54.9250,53.0195,Warrior,81.7158,69.7508,38.1587,1.9658,8.4090,1.8490,200,55.1261,35.8580,93.6308,217.7098,0.5398,3.7963,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,6,54.9250,53.6877,Warrior,81.7158,69.7508,38.1587,1.9658,8.4090,1.8490,200,55.1261,28.0265,43.7538,119.9685,0.4262,2.2701,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,7,54.9250,53.9690,Warrior,81.7158,69.7508,38.1587,1.9658,8.4090,1.8490,200,55.1261,17.1431,26.1895,59.0749,0.4190,0.9794,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,8,54.9250,54.1165,Warrior,81.7158,69.7508,38.1587,1.9658,8.4090,1.8490,200,55.1261,12.2134,27.5022,47.5928,0.3639,0.3965,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,9,55.1261,54.3302,Warrior,78.1463,78.2962,34.0837,1.7559,7.7179,1.8490,200,55.1261,17.9781,19.2763,48.9276,0.3491,0.3614,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,10,55.1261,54.4768,Warrior,78.1463,78.2962,34.0837,1.7559,7.7179,1.8490,200,55.1261,8.3920,12.5455,11.7583,0.1736,0.2703,0.0000,0.0344,Population structure converged. Difference: 0.0095
6,11,55.1261,54.6056,Warrior,78.1463,78.2962,34.0837,1.7559,7.7179,1.8490,200,55.1261,8.3961,12.3063,3.4278,0.0805,0.2011,0.0000,0.0344,Population structure converged. Difference: 0.0095
7,0,51.0970,34.7893,Warrior,74.9830,69.3069,32.1163,17.1432,6.4506,1.8788,200,56.4474,261.7287,350.2914,322.4356,414.2467,238.7686,0.0359,0.0332,Population structure converged. Difference: 0.0089
7,1,51.7702,41.9181,Warrior,70.4852,65.1496,46.4734,11.8282,6.0636,1.8788,200,56.4474,185.4018,229.8870,198.1728,226.9609,182.0239,0.0216,0.0332,Population structure converged. Difference: 0.0089
7,2,54.3525,47.4736,Warrior,75.5707,60.1756,53.7987,3.9538,6.5011,1.8788,200,56.4474,94.4919,135.0787,111.1396,86.5782,124.4220,0.0053,0.0332,Population structure converged. Difference: 0.0089
7,3,54.5035,49.8719,Warrior,71.9286,66.4837,51.6072,3.7928,6.1878,1.8788,200,56.4474,53.9622,38.3162,68.1870,35.3988,75.1275,0.0004,0.0332,Population structure converged. Difference: 0.0089
7,4,54.6616,51.2081,Warrior,72.7346,66.0652,51.2824,3.7689,6.1489,1.8788,200,56.4474,9.6851,18.9728,65.2326,23.9348,25.4459,0.0001,0.0332,Population structure converged. Difference: 0.0089
7,5,56.1869,52.4746,Warrior,79.0269,75.3026,34.8947,4.0950,6.6808,1.8788,200,56.4474,7.4862,13.8153,90.3467,37.0236,0.1277,0.0000,0.0332,Population structure converged. Difference: 0.0089
7,6,56.3476,53.8574,Warrior,79.2222,75.4887,34.9809,4.1051,6.2031,1.8788,200,56.4474,9.0259,20.4751,70.5898,26.0164,0.2025,0.0000,0.0332,Population structure converged. Difference: 0.0089
7,7,56.5574,54.6702,Warrior,80.7227,74.6121,34.5747,3.7855,6.3050,1.8788,200,56.4474,11.4782,26.0931,62.6433,9.5406,0.3021,0.0000,0.0332,Population structure converged. Difference: 0.0089
7,8,56.3862,55.1850,Warrior,79.4834,73.4666,36.9786,3.8214,6.2500,1.8788,200,56.4474,11.2916,33.0906,64.5455,0.6047,0.3681,0.0000,0.0332,Population structure converged. Difference: 0.0089
7,9,56.4551,55.6917,Warrior,80.4035,74.3171,34.9752,3.7686,6.5356,1.8788,200,56.4474,8.4812,28.0118,46.8505,0.0521,0.3866,0.0000,0.0332,Population structure converged. Difference: 0.0089
7,10,56.4474,55.9515,Warrior,80.3954,74.3096,34.9717,3.7883,6.5350,1.8788,200,56.4474,6.1256,17.8036,26.0073,0.0602,0.3514,0.0000,0.0332,Population structure converged. Difference: 0.0089
8,0,49.0165,34.0802,Warrior,60.8204,67.4339,59.5668,4.4347,7.7442,1.8433,200,56.5019,431.0792,617.2682,415.4253,567.8533,396.3423,0.0388,0.0564,Population structure converged. Difference: 0.0088
8,1,49.7227,41.2349,Warrior,64.3647,63.5649,59.1818,4.6931,8.1955,1.8433,200,56.5019,212.0034,333.0727,260.9257,189.6105,266.5052,0.0253,0.0564,Population structure converged. Difference: 0.0088
8,2,50.6336,45.5871,Warrior,65.5249,64.8091,60.3402,5.2508,4.0749,1.8433,200,56.5019,111.7578,92.0400,258.5612,40.3527,91.4912,0.0101,0.0564,Population structure converged. Difference: 0.0088
8,3,52.7213,47.6788,Warrior,84.1531,96.8541,6.1032,4.6935,8.1961,1.8433,200,56.5019,55.6306,128.6167,299.9707,5.8010,34.1280,0.0048,0.0564,Population structure converged. Difference: 0.0088
8,4,53.0255,49.1517,Warrior,82.5859,95.0504,9.7141,4.6061,8.0435,1.8433,200,56.5019,48.1360,116.2391,297.9358,4.1576,17.9667,0.0007,0.0564,Population structure converged. Difference: 0.0088
8,5,53.7857,50.4499,Warrior,85.6798,98.6113,6.2140,5.3461,4.1488,1.8433,200,56.5019,70.1759,217.5494,528.3314,2.7580,8.3898,0.0005,0.0564,Population structure converged. Difference: 0.0088
8,6,54.1923,51.2852,Warrior,90.3694,86.2346,12.2616,4.0543,7.0800,1.8433,200,56.5019,95.7883,201.5783,513.8163,2.9622,5.7595,0.0005,0.0564,Population structure converged. Difference: 0.0088
8,7,54.8726,52.2561,Warrior,76.9712,76.1303,38.9041,3.2077,4.7867,1.8433,200,56.5019,72.3255,194.2660,400.0098,2.1786,3.7853,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,8,55.2047,53.0600,Warrior,91.8540,87.6513,12.4630,3.7794,4.2523,1.8433,200,56.5019,68.3875,165.6000,272.6907,1.7244,3.6117,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,9,55.7054,53.7173,Warrior,81.1418,77.4291,34.3670,2.8336,4.2285,1.8433,200,56.5019,54.6148,123.2639,158.7967,1.2373,2.2147,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,10,55.8440,54.1113,Warrior,91.1463,70.5204,31.3005,2.5808,4.4519,1.8433,200,56.5019,49.1220,90.7496,125.9371,0.7984,1.6604,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,11,55.8440,54.3371,Warrior,91.1463,70.5204,31.3005,2.5808,4.4519,1.8433,200,56.5019,43.6668,78.2322,98.4028,0.6864,1.0861,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,12,56.1035,54.6989,Warrior,85.6348,75.5639,32.2509,3.1493,3.4012,1.8433,200,56.5019,51.0681,76.3918,143.9847,1.0373,0.9807,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,13,56.3486,55.0037,Warrior,84.3956,84.5469,25.3596,2.0910,3.6070,1.8433,200,56.5019,42.0430,83.8796,130.4162,1.1924,0.7275,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,14,56.3486,55.4794,Warrior,84.3956,84.5469,25.3596,2.0910,3.6070,1.8433,200,56.5019,24.9660,59.7264,74.3690,0.7521,0.6574,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,15,56.5019,55.7305,Warrior,89.0576,78.5841,26.5581,2.1898,3.6105,1.8433,200,56.5019,25.5525,28.0108,28.3377,0.3636,0.4451,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,16,56.5019,55.9314,Warrior,89.0576,78.5841,26.5581,2.1898,3.6105,1.8433,200,56.5019,13.5048,16.6543,5.6259,0.1731,0.3071,0.0000,0.0564,Population structure converged. Difference: 0.0088
8,17,56.5019,56.0084,Warrior,89.0576,78.5841,26.5581,2.1898,3.6105,1.8433,200,56.5019,10.1129,18.3609,5.7594,0.1507,0.2390,0.0000,0.0564,Population structure converged. Difference: 0.0088
9,0,50.5928,35.6687,Warrior,77.4115,90.3290,6.2439,2.6166,23.3991,1.9219,200,56.1502,398.2605,732.2181,599.3930,542.0656,243.2900,0.0330,0.0576,Population structure converged. Difference: 0.0088
9,1,50.6183,43.5919,Warrior,79.3005,88.0887,6.0890,2.5517,23.9701,1.9219,200,56.1502,192.9555,526.4448,555.2342,143.8145,126.2815,0.0154,0.0576,Population structure converged. Difference: 0.0088
9,2,50.9157,47.5563,Warrior,78.4192,91.5048,6.3252,2.6506,21.1002,1.8842,200,56.1502,47.1594,227.9914,351.8774,26.7335,27.3093,0.0038,0.0576,Population structure converged. Difference: 0.0088
9,3,50.7825,49.0434,Warrior,79.5017,88.3122,6.1045,2.6232,23.4585,1.9219,200,56.1502,26.8595,82.0835,113.1468,0.0285,14.2456,0.0004,0.0576,Population structure converged. Difference: 0.0088
9,4,51.5087,49.6192,Warrior,69.8265,64.1919,42.5150,2.3602,21.1064,1.9219,200,56.1502,8.8242,56.2890,66.2061,0.0177,9.0793,0.0003,0.0576,Population structure converged. Difference: 0.0088
