Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.2082,35.7948,Warrior,102.1172,90.8877,4.8133,1.1320,1.0497,1.7729,200,59.8248,716.9676,751.6464,548.2724,397.2022,642.9313,0.0328,0.0237,Population structure converged. Difference: 0.0444
1,1,51.4673,44.0806,Warrior,99.9350,91.4461,6.4838,1.1078,1.0273,1.7729,200,59.8248,683.0010,633.0315,508.8105,271.9438,327.0503,0.0246,0.0237,Population structure converged. Difference: 0.0444
1,2,52.2469,48.0063,Warrior,73.0385,72.4439,32.6209,0.9590,20.9377,1.8812,200,59.8248,350.2843,421.1667,379.8055,95.7404,173.3239,0.0136,0.0237,Population structure converged. Difference: 0.0444
1,3,58.3199,49.1333,Warrior,102.1172,90.8877,4.8133,1.1320,1.0497,1.8812,200,59.8248,197.4889,327.7992,265.9266,79.6854,155.3049,0.0124,0.0237,Population structure converged. Difference: 0.0444
1,4,59.4746,51.9746,Warrior,86.9421,77.3814,32.7915,1.9913,0.8937,1.8812,200,59.8248,168.7561,153.7331,222.9608,24.0982,105.4831,0.0126,0.0237,Population structure converged. Difference: 0.0444
1,5,59.4746,55.5810,Warrior,86.9421,77.3814,32.7915,1.9913,0.8937,1.8812,200,59.8248,120.9587,124.1618,269.7488,0.0580,32.4785,0.0039,0.0237,Population structure converged. Difference: 0.0444
1,6,59.8248,57.2833,Warrior,87.3173,77.7153,32.9329,1.1369,0.8976,1.8812,200,59.8248,94.1306,116.3727,305.3485,0.1005,10.7716,0.0014,0.0237,Population structure converged. Difference: 0.0444
2,0,51.8859,34.0440,Warrior,78.3309,58.1097,39.8202,1.6101,22.1291,1.9065,200,52.6305,406.6750,416.0321,362.0229,555.1574,324.0689,0.0391,0.0171,Population structure converged. Difference: 0.0396
2,1,51.8859,41.0921,Warrior,78.3309,58.1097,39.8202,1.6101,22.1291,1.9065,200,52.6305,264.2747,342.5655,201.4014,433.2916,224.9845,0.0337,0.0171,Population structure converged. Difference: 0.0396
2,2,51.8859,46.8542,Warrior,78.3309,58.1097,39.8202,1.6101,22.1291,1.9065,200,52.6305,181.3995,109.5934,92.4295,143.3246,52.0709,0.0132,0.0171,Population structure converged. Difference: 0.0396
2,3,52.4223,49.7169,Warrior,75.2055,63.7711,38.2314,1.5459,21.2462,1.9065,200,52.6305,85.6356,54.0675,69.4800,32.3970,23.0441,0.0034,0.0171,Population structure converged. Difference: 0.0396
2,4,52.6305,50.6238,Warrior,77.1256,62.7899,37.6431,1.5221,20.9192,1.9065,200,52.6305,60.1350,21.5849,12.0217,7.4901,20.1931,0.0030,0.0171,Population structure converged. Difference: 0.0396
3,0,43.6444,29.9366,Warrior,61.6724,90.5487,11.5656,11.0807,25.1326,1.8425,200,47.5042,376.8134,511.8547,464.5964,498.5450,342.7725,0.0383,0.0270,Population structure converged. Difference: 0.0381
3,1,43.6444,35.8866,Warrior,61.6724,90.5487,11.5656,11.0807,25.1326,1.8425,200,47.5042,172.5136,502.5049,253.6960,358.5330,233.5672,0.0314,0.0270,Population structure converged. Difference: 0.0381
3,2,44.5839,39.7031,Warrior,64.2830,76.9552,20.6791,11.6527,26.4299,1.8425,200,47.5042,63.2823,293.4572,173.6602,116.6575,85.2505,0.0201,0.0270,Population structure converged. Difference: 0.0381
3,3,46.8304,41.4191,Warrior,67.0841,57.6855,45.5069,1.0855,28.6381,1.8425,200,47.5042,20.6433,169.1467,151.2339,47.9506,60.8428,0.0059,0.0270,Population structure converged. Difference: 0.0381
3,4,46.8304,42.3498,Warrior,67.0841,57.6855,45.5069,1.0855,28.6381,1.8425,200,47.5042,19.6491,141.1806,126.3618,49.6687,33.7549,0.0047,0.0270,Population structure converged. Difference: 0.0381
3,5,47.4704,43.6968,Warrior,67.8330,58.3295,46.0149,1.0976,26.7250,1.8425,200,47.5042,8.8562,103.0530,140.9907,42.0261,5.4770,0.0054,0.0270,Population structure converged. Difference: 0.0381
3,6,47.5042,44.9313,Warrior,68.3612,81.1144,21.7968,1.1932,27.5345,1.8425,200,47.5042,7.9131,120.0782,194.4914,49.7270,2.3037,0.0000,0.0270,Population structure converged. Difference: 0.0381
3,7,47.5042,45.7616,Warrior,68.3612,81.1144,21.7968,1.1932,27.5345,1.8425,200,47.5042,7.1967,118.0603,181.7651,40.5968,1.6987,0.0000,0.0270,Population structure converged. Difference: 0.0381
4,0,46.9180,32.6484,Warrior,65.5226,94.0990,7.6588,11.0176,21.7021,1.9004,200,46.9180,344.4775,922.6075,530.2171,426.0301,399.9251,0.0488,0.0106,Population structure converged. Difference: 0.0474
4,1,46.9180,40.3256,Warrior,65.5226,94.0990,7.6588,11.0176,21.7021,1.9004,200,46.9180,234.1696,726.6566,420.3091,214.0039,162.2330,0.0307,0.0106,Population structure converged. Difference: 0.0474
4,2,46.9180,44.7948,Warrior,65.5226,94.0990,7.6588,11.0176,21.7021,1.9004,200,46.9180,63.2374,202.5245,134.4427,44.3096,62.9076,0.0145,0.0106,Population structure converged. Difference: 0.0474
5,0,45.6611,33.1510,Warrior,78.4184,64.0866,31.6598,13.2525,12.5827,1.7820,200,55.2700,544.0167,422.5222,416.1532,485.9118,344.1803,0.0363,0.0453,Population structure converged. Difference: 0.0395
5,1,50.4278,38.5449,Warrior,85.0171,69.4793,34.3239,1.4458,9.7340,1.7820,200,55.2700,534.6831,364.4213,315.2256,329.3999,237.1570,0.0244,0.0453,Population structure converged. Difference: 0.0395
5,2,50.4278,43.1067,Warrior,85.0171,69.4793,34.3239,1.4458,9.7340,1.7820,200,55.2700,279.5898,333.7598,337.7620,144.6232,64.9239,0.0116,0.0453,Population structure converged. Difference: 0.0395
5,3,53.9795,46.4677,Warrior,83.3286,68.0994,33.6422,1.1542,13.7756,1.8558,200,55.2700,121.7499,251.7854,199.9706,73.4984,23.3205,0.0074,0.0453,Population structure converged. Difference: 0.0395
5,4,54.3954,48.9266,Warrior,83.8626,68.5358,33.8578,1.0625,12.6813,1.8558,200,55.2700,39.5303,141.6590,128.9496,29.2222,4.5309,0.0024,0.0453,Population structure converged. Difference: 0.0395
5,5,55.1924,50.6983,Warrior,83.9824,70.0244,34.5932,1.4743,9.9258,1.8558,200,55.2700,23.8124,93.2378,69.0599,8.0348,4.3933,0.0013,0.0453,Population structure converged. Difference: 0.0395
5,6,55.2700,52.0200,Warrior,85.0171,69.4793,34.3239,1.4458,9.7340,1.8558,200,55.2700,16.1613,55.9363,50.6607,6.6944,2.9684,0.0013,0.0453,Population structure converged. Difference: 0.0395
5,7,55.2700,53.1711,Warrior,85.0171,69.4793,34.3239,1.4458,9.7340,1.8558,200,55.2700,21.4055,41.2614,12.8828,3.5946,2.5120,0.0007,0.0453,Population structure converged. Difference: 0.0395
6,0,54.4078,36.1380,Warrior,82.9350,78.0218,28.6312,1.1938,9.2182,1.8354,200,54.7512,649.3322,657.1297,516.9080,504.5738,374.6221,0.0419,0.0255,Population structure converged. Difference: 0.0252
6,1,54.7318,46.0871,Warrior,83.3588,78.4206,28.7775,1.1999,8.2432,1.8354,200,54.7512,398.8989,357.1363,252.3567,258.0437,201.4941,0.0289,0.0255,Population structure converged. Difference: 0.0252
6,2,54.7318,51.3927,Warrior,83.3588,78.4206,28.7775,1.1999,8.2432,1.8354,200,54.7512,203.4695,100.1646,145.3356,32.2771,75.1594,0.0120,0.0255,Population structure converged. Difference: 0.0252
6,3,54.7512,53.4070,Warrior,84.0300,79.0520,27.4634,1.1451,8.3096,1.8354,200,54.7512,30.5721,44.3545,66.4546,10.4941,10.3535,0.0039,0.0255,Population structure converged. Difference: 0.0252
7,0,51.3366,34.5748,Warrior,68.1390,67.9099,46.5359,9.6699,7.7454,1.9552,200,56.1194,368.2183,330.5107,435.2790,431.4399,351.5628,0.0421,0.0451,Population structure converged. Difference: 0.0433
7,1,51.3787,43.2011,Warrior,68.1910,67.9617,46.5714,9.6773,7.5986,1.9552,200,56.1194,80.6522,225.7816,166.0497,200.5215,198.6548,0.0404,0.0451,Population structure converged. Difference: 0.0433
7,2,52.3330,46.4745,Warrior,82.5614,81.7148,15.0380,11.4859,9.1999,1.9552,200,56.1194,44.9066,96.7528,90.6706,53.0920,109.5532,0.0279,0.0451,Population structure converged. Difference: 0.0433
7,3,54.2059,48.6644,Warrior,71.7948,69.6232,47.7099,2.8719,8.0002,1.9552,200,56.1194,33.4488,77.0728,89.5697,24.1737,51.7814,0.0145,0.0451,Population structure converged. Difference: 0.0433
7,4,54.2059,49.7213,Warrior,71.7948,69.6232,47.7099,2.8719,8.0002,1.9552,200,56.1194,29.2998,71.4813,105.6279,26.5910,44.9691,0.0187,0.0451,Population structure converged. Difference: 0.0433
7,5,55.6467,51.3640,Warrior,86.8216,85.9313,15.8140,3.0201,8.4130,1.9552,200,56.1194,27.7641,85.2016,159.0788,12.7627,5.8801,0.0081,0.0451,Population structure converged. Difference: 0.0433
7,6,55.6467,52.5566,Warrior,86.8216,85.9313,15.8140,3.0201,8.4130,1.9552,200,56.1194,37.6620,68.9402,160.2194,12.5032,4.0587,0.0055,0.0451,Population structure converged. Difference: 0.0433
7,7,56.1194,53.7927,Warrior,76.9207,76.1320,38.2344,2.3016,6.4113,1.9552,200,56.1194,51.6172,73.5074,199.6626,7.1662,2.4278,0.0000,0.0451,Population structure converged. Difference: 0.0433
