Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.1666,33.2229,Warrior,72.3774,51.0857,67.9622,8.4245,0.1502,1.9287,200,57.8480,392.7939,297.4549,246.1430,414.4542,310.6551,0.0395,0.0206,Population structure converged. Difference: 0.0456
1,1,55.5152,41.3744,Warrior,74.8843,66.1221,50.1937,8.6446,0.1554,1.9287,200,57.8480,173.6672,153.1687,268.1239,215.9030,252.1587,0.0311,0.0206,Population structure converged. Difference: 0.0456
1,2,56.9500,46.3396,Warrior,88.4165,73.4289,27.6797,10.2914,0.1835,1.9287,200,57.8480,152.2801,74.6958,163.5586,156.2174,272.2239,0.0187,0.0206,Population structure converged. Difference: 0.0456
1,3,57.0580,51.3424,Warrior,88.5383,73.5300,27.7178,10.0350,0.1789,1.9287,200,57.8480,63.8974,66.1381,141.3096,55.2093,103.1146,0.0067,0.0206,Population structure converged. Difference: 0.0456
1,4,57.4646,53.7617,Warrior,88.9954,73.9097,27.8609,9.0541,0.1798,1.9287,200,57.8480,61.2406,57.5762,119.5817,16.1587,41.7676,0.0032,0.0206,Population structure converged. Difference: 0.0456
1,5,57.8480,55.3240,Warrior,89.4296,74.2703,27.9968,8.1505,0.1528,1.9287,200,57.8480,41.2336,55.8704,129.4828,1.7884,18.6200,0.0003,0.0206,Population structure converged. Difference: 0.0456
2,0,46.9975,30.7007,Warrior,75.1610,51.6772,42.2098,17.4242,13.5278,1.9599,200,52.7560,413.4734,370.9405,518.4233,440.4721,424.9789,0.0405,0.0209,Population structure converged. Difference: 0.0400
2,1,50.6576,37.8148,Warrior,66.9652,61.3163,53.2021,2.7630,15.7534,1.8677,200,52.7560,219.8498,254.8132,348.4678,212.4381,191.2668,0.0409,0.0209,Population structure converged. Difference: 0.0400
2,2,52.1137,43.3078,Warrior,81.1066,55.7651,45.5488,2.9815,14.5980,1.9599,200,52.7560,80.1233,143.2899,204.3458,78.0579,92.3848,0.0266,0.0209,Population structure converged. Difference: 0.0400
2,3,52.4359,46.7693,Warrior,81.5430,56.0651,45.7938,2.9976,13.6006,1.9599,200,52.7560,64.6729,46.0247,75.4921,81.5665,22.7544,0.0162,0.0209,Population structure converged. Difference: 0.0400
2,4,52.4359,49.2538,Warrior,81.5430,56.0651,45.7938,2.9976,13.6006,1.9599,200,52.7560,38.4385,23.8354,42.4687,68.0414,5.5819,0.0019,0.0209,Population structure converged. Difference: 0.0400
2,5,52.7560,50.7289,Warrior,81.5568,56.0746,45.8016,2.8117,13.7554,1.8677,200,52.7560,26.2664,10.5328,21.1985,37.9931,1.6528,0.0017,0.0209,Population structure converged. Difference: 0.0400
3,0,48.3394,34.1116,Warrior,71.9596,55.3892,42.0138,18.1221,12.5153,1.9277,200,54.0070,654.7958,315.0240,470.7773,311.2054,498.7959,0.0392,0.0338,Population structure converged. Difference: 0.0483
3,1,49.9751,40.3322,Warrior,82.9070,53.7951,36.6048,15.7890,10.9041,1.9277,200,54.0070,424.4913,273.9835,419.5404,152.4982,199.8958,0.0283,0.0338,Population structure converged. Difference: 0.0483
3,2,50.2668,44.1331,Warrior,88.3169,65.7732,17.6918,16.6911,11.5270,1.9277,200,54.0070,250.3057,166.7950,289.9156,64.1011,81.0409,0.0149,0.0338,Population structure converged. Difference: 0.0483
3,3,50.9224,46.6854,Warrior,79.7378,59.3840,35.2055,15.1854,10.4872,1.9277,200,54.0070,121.8797,57.3873,154.1955,43.0061,15.5628,0.0063,0.0338,Population structure converged. Difference: 0.0483
3,4,53.4685,48.3210,Warrior,80.3068,76.3502,22.3723,10.3011,10.6696,1.9277,200,54.0070,86.8690,44.2498,118.4426,10.8509,3.2680,0.0039,0.0338,Population structure converged. Difference: 0.0483
3,5,53.4685,49.2589,Warrior,80.3068,76.3502,22.3723,10.3011,10.6696,1.9277,200,54.0070,55.5296,43.7911,99.7273,4.8676,2.5255,0.0019,0.0338,Population structure converged. Difference: 0.0483
3,6,53.8524,50.4482,Warrior,88.5302,71.1047,20.8352,9.5934,9.9365,1.9277,200,54.0070,48.3264,53.0952,61.4650,6.0438,0.5026,0.0005,0.0338,Population structure converged. Difference: 0.0483
3,7,54.0070,51.5184,Warrior,85.0123,73.8140,21.6291,9.9589,9.5857,1.9277,200,54.0070,45.9906,52.8183,35.5176,7.9428,0.3631,0.0001,0.0338,Population structure converged. Difference: 0.0483
4,0,56.9797,35.0425,Warrior,97.2299,66.3023,29.1167,2.9587,4.3924,1.8783,200,57.8028,409.9552,605.0580,372.7806,449.4830,553.6401,0.0352,0.0140,Population structure converged. Difference: 0.0472
4,1,56.9797,44.3320,Warrior,97.2299,66.3023,29.1167,2.9587,4.3924,1.8783,200,57.8028,536.7591,395.5520,235.3786,257.5954,360.9864,0.0276,0.0140,Population structure converged. Difference: 0.0472
4,2,57.3220,51.9948,Warrior,97.7044,66.6258,29.2588,2.4915,3.9195,1.8783,200,57.8028,238.9824,175.3320,68.6988,102.3112,153.8639,0.0121,0.0140,Population structure converged. Difference: 0.0472
4,3,57.8028,55.1965,Warrior,88.8351,92.2105,13.1753,2.2459,3.5332,1.8783,200,57.8028,83.7270,61.5203,33.4286,28.6765,37.6449,0.0029,0.0140,Population structure converged. Difference: 0.0472
5,0,55.0958,36.0737,Warrior,74.3710,88.0994,23.7276,3.2983,10.5036,1.8997,200,55.2418,303.6416,613.7849,315.1137,220.4386,532.4162,0.0404,0.0180,Population structure converged. Difference: 0.0420
5,1,55.0958,44.8780,Warrior,74.3710,88.0994,23.7276,3.2983,10.5036,1.8997,200,55.2418,171.6876,491.5489,225.2803,122.9318,268.0587,0.0182,0.0180,Population structure converged. Difference: 0.0420
5,2,55.0958,49.1425,Warrior,74.3710,88.0994,23.7276,3.2983,10.5036,1.8997,200,55.2418,87.7006,235.5133,120.0811,69.5596,95.8164,0.0063,0.0180,Population structure converged. Difference: 0.0420
5,3,55.4085,52.3331,Warrior,77.1300,84.5504,23.9282,3.4981,10.8933,1.8997,200,55.2418,11.2961,54.6825,31.6699,25.2156,3.8734,0.0005,0.0180,Population structure converged. Difference: 0.0420
5,4,55.2418,53.0152,Warrior,76.1148,86.3332,23.2519,3.5501,10.7499,1.8997,200,55.2418,11.5853,35.1080,17.7228,31.4556,5.3408,0.0004,0.0180,Population structure converged. Difference: 0.0420
6,0,53.3747,33.2162,Warrior,78.9613,60.7160,41.1360,7.0574,12.1293,1.9210,200,55.5472,428.7753,433.8592,359.2316,556.0410,345.9124,0.0429,0.0171,Population structure converged. Difference: 0.0283
6,1,55.4689,41.6986,Warrior,82.4894,63.4288,39.5171,1.8934,12.6713,1.9210,200,55.5472,304.0034,187.2428,185.7224,443.7848,216.7155,0.0352,0.0171,Population structure converged. Difference: 0.0283
6,2,55.4689,48.1307,Warrior,82.4894,63.4288,39.5171,1.8934,12.6713,1.9210,200,55.5472,133.4163,60.8872,37.9700,81.4150,136.3898,0.0149,0.0171,Population structure converged. Difference: 0.0283
6,3,55.4689,51.8966,Warrior,82.4894,63.4288,39.5171,1.8934,12.6713,1.9210,200,55.5472,97.2654,23.7910,10.3171,9.8104,89.3028,0.0042,0.0171,Population structure converged. Difference: 0.0283
6,4,55.5472,54.0208,Warrior,83.2264,63.9956,38.1649,1.8286,12.7845,1.9210,200,55.5472,15.9902,11.7781,6.7305,1.4463,42.7344,0.0000,0.0171,Population structure converged. Difference: 0.0283
7,0,48.8915,33.5949,Warrior,66.8051,76.5077,25.0891,9.1701,22.4280,1.9072,200,57.4779,356.4332,488.5795,325.4888,295.8426,442.3603,0.0438,0.0250,Population structure converged. Difference: 0.0411
7,1,50.8552,41.3944,Warrior,77.0891,79.4334,26.0485,17.2753,0.1536,1.8354,200,57.4779,142.4214,343.0220,226.6901,118.2350,228.1064,0.0449,0.0250,Population structure converged. Difference: 0.0411
7,2,55.7829,45.4355,Warrior,74.9271,85.8093,28.1394,10.9409,0.1833,1.9072,200,57.4779,74.6739,158.3209,157.0897,42.5100,127.3619,0.0487,0.0250,Population structure converged. Difference: 0.0411
7,3,57.0727,48.8629,Warrior,80.7414,83.1967,26.2777,9.6046,0.1797,1.9072,200,57.4779,58.3621,82.3479,92.2144,23.9214,116.8385,0.0316,0.0250,Population structure converged. Difference: 0.0411
7,4,57.0786,51.7245,Warrior,80.7489,83.2045,26.2802,9.6055,0.1609,1.9072,200,57.4779,52.4378,63.9604,78.1333,14.5644,100.8556,0.0199,0.0250,Population structure converged. Difference: 0.0411
7,5,57.2338,53.8578,Warrior,81.3318,83.8051,25.3972,9.2827,0.1833,1.9072,200,57.4779,28.9576,42.7705,39.1341,12.2919,58.0611,0.0182,0.0250,Population structure converged. Difference: 0.0411
7,6,57.4779,55.2105,Warrior,86.2245,80.0499,24.1175,9.3972,0.2109,1.9072,200,57.4779,18.5088,40.1998,33.8732,10.6316,36.8451,0.0067,0.0250,Population structure converged. Difference: 0.0411
8,0,47.2832,34.8991,Warrior,75.4467,67.7416,46.2677,2.6387,7.9053,1.7453,200,56.5894,384.2937,478.8676,412.6593,473.1692,532.7046,0.0319,0.0235,Population structure converged. Difference: 0.0334
8,1,53.9967,41.3034,Warrior,73.0023,67.5400,43.0106,4.1160,12.3311,1.9013,200,56.5894,266.5940,283.9190,227.4846,349.4197,314.8580,0.0166,0.0235,Population structure converged. Difference: 0.0334
